266,(83-67)*15+15,0,27*15+15,266,(67-67)*15+15,0,5*15+15,133,(53-34)*15+15,0,28*15+15,133,(66-34)*15+15,133,(59-34)*15+15,266,(72-67)*15+15,0,9*15+15,266,(81-67)*15+15,133,(43-34)*15+15,133,(44-34)*15+15,0,21*15+15,0,25*15+15,266,(89-67)*15+15,0,7*15+15,266,(71-67)*15+15,133,(36-34)*15+15,266,(85-67)*15+15,266,(93-67)*15+15,133,(39-34)*15+15,0,2*15+15,266,(80-67)*15+15,266,(84-67)*15+15,0,33*15+15,0,32*15+15,133,(38-34)*15+15,266,(75-67)*15+15,133,(62-34)*15+15,133,(49-34)*15+15,0,30*15+15,0,18*15+15,133,(54-34)*15+15,266,(99-67)*15+15,266,(70-67)*15+15,133,(50-34)*15+15,266,(87-67)*15+15,0,29*15+15,0,31*15+15,133,(55-34)*15+15,0,15*15+15,133,(45-34)*15+15,133,(41-34)*15+15,266,(79-67)*15+15,266,(76-67)*15+15,133,(34-34)*15+15,133,(51-34)*15+15,133,(63-34)*15+15,0,10*15+15,133,(46-34)*15+15,0,20*15+15,0,22*15+15,266,(97-67)*15+15,133,(48-34)*15+15,0,24*15+15,0,14*15+15,133,(65-34)*15+15,266,(74-67)*15+15,133,(58-34)*15+15,266,(73-67)*15+15,0,12*15+15,0,17*15+15,133,(57-34)*15+15,266,(86-67)*15+15,266,(88-67)*15+15,133,(61-34)*15+15,0,8*15+15,266,(92-67)*15+15,0,26*15+15,133,(37-34)*15+15,133,(47-34)*15+15,0,3*15+15,0,1*15+15,0,16*15+15,266,(69-67)*15+15,266,(91-67)*15+15,266,(78-67)*15+15,133,(40-34)*15+15,133,(56-34)*15+15,266,(90-67)*15+15,266,(77-67)*15+15,133,(42-34)*15+15,266,(82-67)*15+15,266,(98-67)*15+15,266,(68-67)*15+15,0,13*15+15,0,23*15+15,266,(96-67)*15+15,266,(95-67)*15+15,133,(64-34)*15+15,0,11*15+15,0,0*15+15,0,19*15+15,266,(94-67)*15+15,0,6*15+15,0,4*15+15,133,(52-34)*15+15,133,(60-34)*15+15,133,(35-34)*15+15,1466160132
266,255,0,420,266,15,0,90,133,300,0,435,133,495,133,390,266,90,0,150,266,225,133,150,133,165,0,330,0,390,266,345,0,120,266,75,133,45,266,285,266,405,133,90,0,45,262,210,266,270,0,510,0,495,133,75,266,135,133,435,133,240,0,465,0,285,133,315,266,495,266,60,133,255,266,315,0,450,0,480,133,330,0,240,133,180,133,120,266,195,266,150,133,15,133,270,133,450,0,165,133,195,0,315,0,345,266,465,133,225,0,375,0,225,133,480,266,120,133,375,266,105,0,195,0,270,133,360,266,300,266,330,133,420,0,135,266,390,0,405,133,60,133,210,0,60,0,30,0,255,266,45,266,375,266,180,133,105,133,345,266,360,266,165,133,135,266,240,266,480,266,30,0,210,0,360,266,450,266,435,133,465,0,180,0,15,0,300,266,420,0,105,0,75,133,285,133,405,133,30,1466160206
266,255,0,420,266,15,0,90,133,300,0,435,133,495,133,390,266,90,0,150,266,225,133,150,133,165,0,330,0,390,266,345,0,120,266,75,133,45,266,285,266,405,133,90,0,45,262,210,266,270,0,510,0,495,133,75,266,135,133,435,133,240,0,465,0,285,133,315,266,495,266,60,133,255,266,315,0,450,0,480,133,330,0,240,133,180,133,120,266,195,266,150,133,15,133,270,133,450,0,165,133,195,0,315,0,345,266,465,133,225,0,375,0,225,133,480,266,120,133,375,266,105,0,195,0,270,133,360,266,300,266,330,133,420,0,135,266,390,0,405,133,60,133,210,0,60,0,30,0,255,266,45,266,375,266,180,133,105,133,345,266,360,266,165,133,135,266,240,266,480,266,30,0,210,0,360,266,450,266,435,133,465,0,180,423,22,0,300,266,420,0,105,0,75,133,285,133,405,133,30,1466160221
266,255,0,420,266,15,596,14,133,300,0,435,133,495,133,390,266,90,0,150,266,225,133,150,133,165,0,330,0,390,266,345,724,28,266,75,133,45,266,285,266,405,133,90,0,45,262,210,266,270,0,510,0,495,133,75,266,135,133,435,133,240,0,465,0,285,133,315,266,495,266,60,133,255,266,315,0,450,0,480,133,330,0,240,133,180,133,120,266,195,266,150,133,15,133,270,133,450,0,165,133,195,0,315,0,345,266,465,133,225,0,375,0,225,133,480,266,120,133,375,266,105,0,195,0,270,133,360,266,300,266,330,133,420,0,135,266,390,0,405,133,60,133,210,0,60,0,30,0,255,266,45,266,375,266,180,133,105,133,345,266,360,266,165,133,135,266,240,266,480,266,30,0,210,0,360,266,450,266,435,133,465,0,180,423,22,0,300,266,420,446,234,0,75,133,285,133,405,133,30,1466160236
266,255,0,420,266,15,596,14,133,300,0,435,133,495,133,390,266,90,0,150,266,225,133,150,133,165,0,330,0,390,266,345,745,23,266,75,133,45,266,285,266,405,133,90,0,45,262,210,266,270,0,510,0,495,133,75,266,135,133,435,133,240,0,465,0,285,133,315,266,495,542,47,133,255,266,315,0,450,0,480,133,330,0,240,133,180,133,120,266,195,266,150,133,15,133,270,133,450,0,165,133,195,0,315,0,345,266,465,133,225,0,375,0,225,133,480,266,120,133,375,266,105,0,195,0,270,133,360,266,300,266,330,133,420,0,135,266,390,0,405,133,60,133,210,0,60,0,30,0,255,266,45,266,375,266,180,133,105,133,345,266,360,266,165,133,135,266,240,266,480,266,30,0,210,0,360,266,450,266,435,133,465,0,180,423,22,0,300,266,420,446,234,0,75,133,285,133,405,133,30,1466160251
266,255,0,420,266,15,596,14,133,300,0,435,133,495,133,390,266,90,0,150,266,225,133,150,133,165,0,330,0,390,266,345,745,23,266,75,133,45,266,285,266,405,133,90,0,45,262,210,266,270,0,510,0,495,133,75,266,135,133,435,133,240,0,465,0,285,133,315,266,495,542,47,133,255,266,315,0,450,0,480,133,330,0,240,133,180,133,120,266,195,266,150,133,15,133,270,133,450,0,165,133,195,0,315,0,345,266,465,133,225,0,375,0,225,133,480,266,120,133,375,266,105,0,195,0,270,133,360,266,300,266,330,133,420,0,135,266,390,0,405,133,60,133,210,0,60,0,30,0,255,266,45,266,375,266,180,133,105,133,345,266,360,266,165,133,135,266,240,266,480,266,30,0,210,0,360,266,450,836,169,133,465,0,180,423,22,0,300,266,420,446,234,0,75,133,285,133,405,133,30,1466160266
266,255,0,420,266,15,596,14,133,300,0,435,133,495,133,390,266,90,0,150,266,225,133,150,133,165,0,330,0,390,614,300,745,23,266,75,133,45,420,348,266,405,133,90,0,45,262,210,266,270,0,510,0,495,133,75,266,135,133,435,133,240,0,465,0,285,133,315,266,495,542,47,133,255,682,272,0,450,0,480,133,330,0,240,133,180,133,120,266,195,266,150,133,15,133,270,133,450,0,165,133,195,0,315,0,345,266,465,133,225,0,375,0,225,133,480,266,120,133,375,266,105,0,195,0,270,133,360,266,300,266,330,133,420,0,135,835,128,0,405,133,60,133,210,0,60,0,30,0,255,266,45,266,375,266,180,133,105,133,345,266,360,266,165,133,135,266,240,266,480,266,30,0,210,0,360,266,450,836,169,133,465,0,180,423,22,0,300,266,420,446,234,0,75,133,285,133,405,133,30,1466160281
266,255,0,420,266,15,596,14,133,300,0,435,133,495,133,390,266,90,0,150,266,225,133,150,133,165,0,330,0,390,614,300,745,23,266,75,133,45,420,348,266,405,133,90,0,45,262,210,266,270,0,510,0,495,133,75,266,135,133,435,133,240,0,465,852,194,133,315,266,495,542,47,133,255,682,272,0,450,0,480,133,330,0,240,133,180,133,120,266,195,266,150,133,15,133,270,133,450,0,165,133,195,0,315,0,345,266,465,133,225,0,375,0,225,133,480,266,120,133,375,266,105,0,195,0,270,133,360,266,300,266,330,133,420,0,135,835,128,0,405,133,60,133,210,0,60,0,30,0,255,266,45,266,375,266,180,133,105,133,345,266,360,266,165,133,135,266,240,266,480,266,30,0,210,0,360,266,450,836,169,133,465,0,180,423,22,0,300,266,420,446,234,0,75,133,285,133,405,133,30,1466160296
266,255,0,420,436,43,596,14,133,300,0,435,133,495,133,390,841,151,0,150,266,225,133,150,133,165,0,330,0,390,614,300,745,23,266,75,133,45,420,348,266,405,133,90,0,45,262,210,266,270,0,510,0,495,133,75,266,135,133,435,133,240,0,465,852,194,133,315,266,495,542,47,133,255,682,272,0,450,0,480,133,330,0,240,133,180,133,120,266,195,266,150,133,15,133,270,133,450,0,165,133,195,0,315,0,345,266,465,133,225,0,375,0,225,133,480,266,120,133,375,266,105,0,195,699,369,133,360,266,300,266,330,133,420,0,135,835,128,0,405,133,60,133,210,0,60,0,30,0,255,650,386,266,375,266,180,133,105,133,345,266,360,266,165,133,135,266,240,266,480,266,30,0,210,0,360,266,450,836,169,133,465,0,180,423,22,0,300,266,420,446,234,0,75,133,285,133,405,133,30,1466160311
266,255,0,420,952,152,596,14,133,300,0,435,133,495,133,390,841,151,0,150,266,225,133,150,133,165,0,330,0,390,614,300,745,23,266,75,133,45,420,348,266,405,133,90,0,45,262,210,266,270,0,510,0,495,866,224,266,135,133,435,133,240,0,465,852,194,133,315,266,495,542,47,133,255,682,272,0,450,0,480,133,330,0,240,133,180,133,120,266,195,266,150,133,15,133,270,133,450,0,165,133,195,0,315,0,345,266,465,133,225,0,375,0,225,133,480,266,120,133,375,266,105,0,195,699,369,133,360,266,300,266,330,133,420,0,135,835,128,0,405,724,325,133,210,0,60,0,30,0,255,650,386,266,375,266,180,133,105,133,345,266,360,266,165,133,135,266,240,266,480,437,90,0,210,0,360,266,450,836,169,133,465,0,180,423,22,0,300,266,420,446,234,0,75,133,285,133,405,133,30,1466160326
266,255,0,420,952,152,596,14,133,300,0,435,133,495,133,390,841,151,0,150,266,225,569,132,578,143,0,330,0,390,614,300,745,23,266,75,133,45,420,348,266,405,133,90,0,45,262,210,266,270,0,510,0,495,866,224,266,135,133,435,133,240,0,465,852,194,133,315,266,495,542,47,133,255,682,272,0,450,0,480,133,330,0,240,133,180,133,120,266,195,266,150,133,15,133,270,133,450,0,165,133,195,0,315,0,345,266,465,133,225,0,375,0,225,133,480,266,120,133,375,266,105,0,195,699,369,133,360,266,300,266,330,133,420,0,135,835,128,0,405,724,325,133,210,0,60,0,30,0,255,650,386,266,375,266,180,133,105,133,345,266,360,266,165,425,288,266,240,266,480,426,274,0,210,0,360,266,450,836,169,133,465,0,180,423,22,0,300,266,420,446,234,0,75,133,285,133,405,133,30,1466160341
