133,(53-34)*15+15,133,(49-34)*15+15,0,26*15+15,266,(92-67)*15+15,266,(85-67)*15+15,133,(63-34)*15+15,0,27*15+15,133,(44-34)*15+15,0,31*15+15,133,(36-34)*15+15,266,(84-67)*15+15,266,(95-67)*15+15,266,(82-67)*15+15,266,(69-67)*15+15,0,0*15+15,266,(99-67)*15+15,0,22*15+15,266,(71-67)*15+15,266,(75-67)*15+15,133,(58-34)*15+15,0,5*15+15,133,(64-34)*15+15,266,(96-67)*15+15,266,(67-67)*15+15,133,(34-34)*15+15,133,(42-34)*15+15,0,10*15+15,133,(39-34)*15+15,266,(91-67)*15+15,266,(87-67)*15+15,266,(98-67)*15+15,0,2*15+15,133,(37-34)*15+15,266,(88-67)*15+15,133,(61-34)*15+15,266,(78-67)*15+15,133,(50-34)*15+15,266,(90-67)*15+15,133,(54-34)*15+15,133,(35-34)*15+15,0,6*15+15,266,(72-67)*15+15,0,15*15+15,266,(80-67)*15+15,0,1*15+15,0,12*15+15,266,(74-67)*15+15,0,14*15+15,133,(62-34)*15+15,0,28*15+15,133,(52-34)*15+15,133,(66-34)*15+15,133,(45-34)*15+15,266,(77-67)*15+15,0,17*15+15,266,(86-67)*15+15,266,(68-67)*15+15,266,(83-67)*15+15,266,(79-67)*15+15,0,8*15+15,0,4*15+15,0,24*15+15,0,23*15+15,133,(41-34)*15+15,133,(51-34)*15+15,0,16*15+15,0,29*15+15,0,30*15+15,0,20*15+15,0,25*15+15,133,(38-34)*15+15,0,13*15+15,0,3*15+15,266,(97-67)*15+15,266,(76-67)*15+15,133,(55-34)*15+15,133,(59-34)*15+15,133,(48-34)*15+15,0,32*15+15,266,(73-67)*15+15,133,(57-34)*15+15,266,(81-67)*15+15,0,21*15+15,133,(43-34)*15+15,133,(46-34)*15+15,133,(47-34)*15+15,266,(94-67)*15+15,0,18*15+15,133,(60-34)*15+15,133,(65-34)*15+15,266,(70-67)*15+15,133,(40-34)*15+15,133,(56-34)*15+15,0,11*15+15,0,19*15+15,0,33*15+15,266,(93-67)*15+15,0,7*15+15,266,(89-67)*15+15,0,9*15+15,1471018717
133,300,133,240,0,405,266,390,266,285,133,450,0,420,133,165,0,480,133,45,266,270,266,435,266,240,266,45,0,15,266,495,0,345,266,75,266,135,133,375,0,90,133,465,266,450,266,15,133,15,133,135,0,165,133,90,266,375,266,315,266,480,0,45,133,60,266,330,133,420,266,180,133,255,266,360,133,315,133,30,0,105,266,90,0,240,266,210,0,30,0,195,266,120,0,225,133,435,0,435,133,285,133,495,133,180,266,165,0,270,266,300,266,30,266,255,266,195,0,135,0,75,0,375,0,360,133,120,133,270,0,255,0,450,0,465,0,315,0,390,133,75,0,210,0,60,266,465,266,150,133,330,133,390,133,225,0,495,266,105,133,360,266,225,0,330,133,150,133,195,133,210,266,420,0,285,133,405,133,480,266,60,133,105,133,345,0,180,0,300,0,510,266,405,0,120,266,345,0,150,1471018758
133,300,133,240,0,405,266,390,266,285,133,450,0,420,133,165,0,480,133,45,266,270,266,435,266,240,266,45,0,15,266,495,0,345,266,75,266,135,133,375,0,90,133,465,266,450,266,15,133,15,133,135,0,165,133,90,266,375,266,315,266,480,0,45,133,60,266,330,133,420,266,180,133,255,266,360,133,315,133,30,0,105,266,90,0,240,266,210,0,30,0,195,266,120,0,225,133,435,0,435,133,285,133,495,133,180,266,165,0,270,266,300,315,48,266,255,266,195,0,135,0,75,0,375,0,360,133,120,133,270,0,255,0,450,0,465,0,315,0,390,133,75,0,210,0,60,266,465,266,150,133,330,133,390,133,225,0,495,266,105,133,360,266,225,0,330,133,150,133,195,133,210,266,420,0,285,133,405,133,480,266,60,133,105,133,345,0,180,0,300,0,510,266,405,0,120,266,345,0,150,1471018773
133,300,133,240,0,405,266,390,266,285,133,450,0,420,133,165,0,480,133,45,266,270,266,435,266,240,266,45,425,41,266,495,0,345,266,75,266,135,133,375,0,90,133,465,266,450,266,15,133,15,133,135,0,165,133,90,266,375,266,315,266,480,0,45,133,60,266,330,133,420,266,180,133,255,266,360,133,315,133,30,0,105,266,90,0,240,266,210,0,30,0,195,266,120,0,225,133,435,0,435,133,285,133,495,133,180,266,165,0,270,266,300,315,48,266,255,266,195,0,135,0,75,0,375,0,360,133,120,133,270,0,255,0,450,0,465,0,315,0,390,133,75,0,210,0,60,266,465,266,150,133,330,133,390,133,225,0,495,266,105,133,360,266,225,0,330,133,150,133,195,133,210,266,420,0,285,133,405,133,480,266,60,133,105,133,345,28,184,0,300,0,510,266,405,0,120,266,345,0,150,1471018788
133,300,133,240,0,405,266,390,266,285,133,450,0,420,133,165,0,480,133,45,266,270,266,435,266,240,266,45,425,41,266,495,0,345,266,75,266,135,133,375,0,90,133,465,266,450,266,15,133,15,133,135,404,52,133,90,266,375,266,315,266,480,0,45,133,60,266,330,133,420,266,180,133,255,266,360,133,315,133,30,0,105,266,90,50,241,266,210,0,30,0,195,266,120,0,225,133,435,0,435,133,285,133,495,133,180,266,165,0,270,266,300,315,48,266,255,266,195,0,135,402,30,0,375,0,360,133,120,133,270,0,255,0,450,0,465,0,315,0,390,133,75,0,210,0,60,266,465,266,150,133,330,133,390,133,225,0,495,266,105,133,360,266,225,0,330,133,150,133,195,133,210,266,420,0,285,133,405,133,480,266,60,133,105,133,345,28,184,0,300,0,510,266,405,0,120,266,345,0,150,1471018803
133,300,133,240,471,43,266,390,266,285,133,450,0,420,133,165,0,480,133,45,266,270,266,435,266,240,266,45,425,41,266,495,0,345,266,75,266,135,133,375,0,90,133,465,266,450,266,15,133,15,133,135,404,52,133,90,266,375,266,315,266,480,0,45,133,60,266,330,133,420,266,180,133,255,266,360,133,315,133,30,0,105,266,90,50,241,266,210,0,30,0,195,266,120,0,225,133,435,0,435,133,285,133,495,133,180,266,165,0,270,266,300,315,48,266,255,266,195,0,135,402,30,0,375,0,360,133,120,133,270,0,255,0,450,0,465,0,315,0,390,133,75,0,210,0,60,266,465,266,150,133,330,133,390,133,225,0,495,266,105,133,360,266,225,11,325,133,150,133,195,133,210,266,420,0,285,133,405,133,480,266,60,133,105,133,345,28,184,0,300,0,510,266,405,0,120,266,345,0,150,1471018818
133,300,133,240,475,54,266,390,266,285,133,450,0,420,133,165,0,480,133,45,266,270,266,435,266,240,266,45,433,73,266,495,0,345,266,75,266,135,133,375,0,90,133,465,266,450,266,15,133,15,133,135,416,55,133,90,266,375,266,315,266,480,0,45,133,60,266,330,133,420,266,180,133,255,266,360,133,315,133,30,0,105,266,90,50,241,266,210,0,30,0,195,266,120,0,225,133,435,0,435,133,285,133,495,133,180,266,165,0,270,266,300,315,48,266,255,266,195,0,135,402,30,0,375,0,360,133,120,133,270,0,255,0,450,408,86,0,315,0,390,133,75,0,210,0,60,266,465,266,150,133,330,133,390,133,225,0,495,266,105,133,360,266,225,11,325,133,150,133,195,133,210,266,420,0,285,133,405,133,480,266,60,133,105,133,345,28,184,0,300,0,510,266,405,0,120,266,345,0,150,1471018833
133,300,133,240,475,54,266,390,266,285,133,450,0,420,133,165,0,480,133,45,266,270,266,435,266,240,266,45,433,73,266,495,0,345,266,75,266,135,133,375,0,90,133,465,266,450,266,15,133,15,133,135,416,55,438,69,266,375,266,315,266,480,0,45,133,60,266,330,133,420,266,180,133,255,266,360,133,315,133,30,0,105,266,90,50,241,266,210,0,30,0,195,266,120,0,225,133,435,2,440,133,285,133,495,133,180,266,165,0,270,266,300,315,48,266,255,266,195,0,135,402,30,0,375,0,360,133,120,133,270,0,255,487,74,408,86,0,315,0,390,133,75,0,210,0,60,266,465,266,150,133,330,133,390,133,225,0,495,266,105,133,360,266,225,11,325,133,150,133,195,133,210,266,420,0,285,133,405,133,480,266,60,133,105,133,345,28,184,0,300,0,510,266,405,0,120,266,345,0,150,1471018848
133,300,133,240,475,54,266,390,266,285,133,450,0,420,133,165,0,480,133,45,266,270,266,435,266,240,266,45,535,92,266,495,0,345,266,75,266,135,133,375,0,90,133,465,266,450,266,15,133,15,133,135,416,55,492,100,266,375,266,315,266,480,0,45,133,60,266,330,133,420,266,180,133,255,266,360,133,315,133,30,0,105,266,90,50,241,266,210,0,30,0,195,266,120,0,225,133,435,2,440,133,285,133,495,133,180,266,165,0,270,266,300,315,48,266,255,266,195,0,135,578,85,0,375,0,360,133,120,133,270,0,255,487,74,408,86,0,315,0,390,133,75,0,210,0,60,266,465,266,150,133,330,133,390,133,225,0,495,266,105,133,360,266,225,11,325,133,150,133,195,133,210,266,420,0,285,133,405,133,480,266,60,133,105,133,345,28,184,0,300,0,510,266,405,0,120,266,345,0,150,1471018863
133,300,133,240,637,112,266,390,266,285,133,450,0,420,133,165,0,480,133,45,266,270,266,435,266,240,266,45,535,92,266,495,0,345,266,75,266,135,133,375,0,90,133,465,266,450,266,15,133,15,133,135,579,103,492,100,266,375,266,315,266,480,0,45,133,60,266,330,133,420,266,180,133,255,266,360,133,315,133,30,0,105,266,90,50,241,266,210,0,30,0,195,266,120,0,225,133,435,2,440,133,285,133,495,133,180,266,165,0,270,266,300,315,48,266,255,266,195,0,135,578,85,0,375,0,360,133,120,133,270,0,255,487,74,614,75,0,315,0,390,133,75,0,210,0,60,266,465,266,150,133,330,133,390,133,225,0,495,266,105,133,360,266,225,11,325,133,150,133,195,133,210,266,420,0,285,133,405,133,480,266,60,133,105,133,345,28,184,0,300,0,510,266,405,0,120,266,345,0,150,1471018878
133,300,133,240,637,112,266,390,266,285,133,450,0,420,133,165,0,480,133,45,266,270,266,435,266,240,266,45,535,92,266,495,0,345,266,75,266,135,133,375,0,90,133,465,266,450,266,15,133,15,133,135,579,103,492,100,266,375,266,315,266,480,0,45,133,60,266,330,133,420,266,180,133,255,266,360,133,315,133,30,0,105,266,90,50,241,266,210,0,30,0,195,266,120,0,225,133,435,2,440,133,285,133,495,133,180,266,165,0,270,266,300,315,48,266,255,266,195,0,135,578,85,0,375,0,360,133,120,133,270,0,255,487,74,614,75,638,64,0,390,133,75,0,210,0,60,266,465,266,150,133,330,133,390,133,225,0,495,266,105,133,360,266,225,53,317,133,150,133,195,133,210,266,420,0,285,133,405,133,480,266,60,133,105,133,345,28,184,0,300,0,510,266,405,0,120,266,345,0,150,1471018893
