266,(75-67)*15+15,0,32*15+15,133,(59-34)*15+15,266,(94-67)*15+15,0,7*15+15,266,(67-67)*15+15,133,(45-34)*15+15,266,(85-67)*15+15,266,(88-67)*15+15,0,13*15+15,266,(71-67)*15+15,133,(49-34)*15+15,0,25*15+15,0,26*15+15,133,(62-34)*15+15,266,(72-67)*15+15,0,27*15+15,133,(39-34)*15+15,133,(38-34)*15+15,133,(63-34)*15+15,266,(69-67)*15+15,0,19*15+15,266,(70-67)*15+15,0,16*15+15,0,20*15+15,0,14*15+15,0,15*15+15,266,(90-67)*15+15,133,(35-34)*15+15,133,(40-34)*15+15,133,(42-34)*15+15,266,(79-67)*15+15,133,(55-34)*15+15,266,(98-67)*15+15,133,(41-34)*15+15,266,(78-67)*15+15,133,(60-34)*15+15,133,(50-34)*15+15,133,(54-34)*15+15,0,11*15+15,133,(46-34)*15+15,266,(95-67)*15+15,266,(97-67)*15+15,266,(82-67)*15+15,266,(77-67)*15+15,0,24*15+15,133,(53-34)*15+15,266,(76-67)*15+15,133,(37-34)*15+15,0,21*15+15,0,33*15+15,0,9*15+15,133,(65-34)*15+15,133,(34-34)*15+15,0,6*15+15,0,29*15+15,266,(74-67)*15+15,0,23*15+15,0,31*15+15,266,(68-67)*15+15,0,17*15+15,266,(93-67)*15+15,266,(73-67)*15+15,133,(66-34)*15+15,266,(87-67)*15+15,0,4*15+15,133,(56-34)*15+15,0,12*15+15,266,(81-67)*15+15,0,18*15+15,133,(52-34)*15+15,133,(51-34)*15+15,266,(80-67)*15+15,0,2*15+15,266,(99-67)*15+15,133,(64-34)*15+15,133,(58-34)*15+15,0,22*15+15,0,0*15+15,266,(92-67)*15+15,0,28*15+15,0,1*15+15,0,5*15+15,133,(47-34)*15+15,0,8*15+15,133,(61-34)*15+15,266,(86-67)*15+15,133,(44-34)*15+15,0,10*15+15,266,(84-67)*15+15,266,(89-67)*15+15,133,(36-34)*15+15,266,(83-67)*15+15,266,(91-67)*15+15,266,(96-67)*15+15,133,(48-34)*15+15,0,3*15+15,133,(57-34)*15+15,133,(43-34)*15+15,0,30*15+15,1477390036
266,135,0,495,133,390,266,420,0,120,266,15,133,180,266,285,505,460,0,210,266,75,133,240,0,390,0,405,133,435,266,90,0,420,133,90,133,75,133,450,266,45,0,300,266,60,0,255,0,315,0,225,0,240,266,360,133,30,133,105,133,135,266,195,133,330,266,480,133,120,266,180,133,405,133,255,133,315,0,180,133,195,266,435,266,465,266,240,266,165,0,375,133,300,266,150,133,60,0,330,0,510,0,150,133,480,133,15,0,105,0,450,266,120,0,360,0,480,266,30,0,270,266,405,266,105,133,495,266,315,0,75,133,345,0,195,266,225,0,285,133,285,133,270,266,210,0,45,266,495,133,465,133,375,0,345,441,23,266,390,0,435,437,32,0,90,133,210,0,135,133,420,266,300,133,165,0,165,266,270,505,354,133,45,266,255,266,375,266,450,133,225,0,60,133,360,133,150,0,465,1477390055
266,135,0,495,133,390,266,420,0,120,266,15,133,180,266,285,505,460,0,210,266,75,133,240,0,390,0,405,133,435,266,90,0,420,133,90,133,75,133,450,266,45,0,300,266,60,0,255,0,315,0,225,0,240,528,469,133,30,133,105,133,135,266,195,133,330,266,480,133,120,266,180,133,405,133,255,133,315,0,180,133,195,266,435,266,465,266,240,266,165,0,375,133,300,266,150,133,60,0,330,0,510,0,150,133,480,133,15,0,105,542,479,266,120,0,360,0,480,266,30,0,270,266,405,266,105,133,495,266,315,0,75,133,345,0,195,266,225,0,285,133,285,133,270,266,210,0,45,266,495,133,465,133,375,0,345,441,23,266,390,0,435,437,32,0,90,133,210,0,135,133,420,266,300,133,165,0,165,266,270,505,354,133,45,266,255,266,375,266,450,133,225,0,60,133,360,133,150,130,468,1477390070
266,135,0,495,133,390,266,420,0,120,266,15,133,180,266,285,505,460,0,210,266,75,133,240,0,390,0,405,133,435,266,90,0,420,133,90,133,75,133,450,266,45,0,300,266,60,0,255,0,315,0,225,0,240,528,469,133,30,133,105,133,135,266,195,133,330,266,480,133,120,266,180,133,405,433,232,133,315,0,180,823,427,266,435,266,465,266,240,266,165,0,375,133,300,266,150,133,60,0,330,0,510,0,150,133,480,133,15,0,105,542,479,266,120,0,360,0,480,266,30,0,270,266,405,266,105,133,495,266,315,0,75,133,345,0,195,266,225,0,285,133,285,133,270,266,210,0,45,266,495,133,465,133,375,0,345,441,23,266,390,0,435,437,32,0,90,133,210,0,135,133,420,266,300,133,165,0,165,266,270,505,354,133,45,266,255,266,375,266,450,133,225,0,60,133,360,133,150,5,461,1477390085
266,135,0,495,133,390,266,420,505,490,266,15,133,180,266,285,505,460,0,210,266,75,181,251,0,390,0,405,133,435,266,90,0,420,133,90,133,75,133,450,266,45,0,300,266,60,0,255,0,315,0,225,0,240,528,469,133,30,133,105,133,135,266,195,133,330,266,480,133,120,266,180,133,405,433,232,133,315,0,180,823,427,266,435,266,465,266,240,266,165,0,375,133,300,266,150,133,60,0,330,0,510,0,150,133,480,133,15,479,480,542,479,266,120,0,360,0,480,266,30,0,270,266,405,266,105,133,495,266,315,0,75,133,345,0,195,266,225,0,285,133,285,133,270,266,210,0,45,266,495,133,465,133,375,0,345,441,23,266,390,0,435,437,32,0,90,133,210,0,135,133,420,266,300,133,165,0,165,266,270,505,354,133,45,266,255,266,375,266,450,133,225,0,60,133,360,133,150,5,461,1477390100
266,135,0,495,133,390,266,420,193,404,436,41,133,180,266,285,505,460,0,210,266,75,181,251,0,390,0,405,133,435,266,90,0,420,133,90,133,75,133,450,266,45,0,300,266,60,0,255,0,315,0,225,0,240,528,469,133,30,133,105,133,135,266,195,133,330,266,480,133,120,266,180,133,405,433,232,133,315,0,180,823,427,266,435,266,465,266,240,266,165,0,375,133,300,266,150,133,60,0,330,0,510,0,150,133,480,461,41,479,480,542,479,266,120,0,360,0,480,266,30,0,270,266,405,266,105,133,495,266,315,0,75,133,345,0,195,266,225,0,285,133,285,133,270,266,210,0,45,266,495,133,465,133,375,0,345,441,23,266,390,0,435,437,32,0,90,133,210,0,135,133,420,266,300,133,165,0,165,266,270,505,354,133,45,266,255,266,375,266,450,133,225,0,60,133,360,133,150,5,461,1477390115
266,135,0,495,133,390,266,420,726,89,436,41,133,180,266,285,505,460,0,210,266,75,181,251,0,390,0,405,133,435,266,90,0,420,133,90,133,75,133,450,266,45,0,300,266,60,0,255,0,315,0,225,0,240,528,469,133,30,133,105,133,135,741,100,456,489,266,480,133,120,788,90,133,405,840,101,133,315,0,180,823,427,266,435,266,465,266,240,266,165,0,375,133,300,266,150,133,60,0,330,0,510,0,150,133,480,461,41,479,480,542,479,266,120,0,360,0,480,266,30,0,270,266,405,266,105,133,495,266,315,0,75,133,345,0,195,266,225,0,285,133,285,133,270,266,210,0,45,266,495,133,465,133,375,0,345,441,23,266,390,0,435,437,32,0,90,133,210,0,135,133,420,266,300,133,165,0,165,266,270,505,354,133,45,266,255,266,375,266,450,133,225,0,60,133,360,133,150,5,461,1477390130
266,135,0,495,133,390,867,92,259,339,436,41,133,180,266,285,505,460,0,210,266,75,181,251,0,390,0,405,133,435,266,90,0,420,133,90,133,75,133,450,266,45,0,300,266,60,0,255,0,315,0,225,0,240,528,469,133,30,133,105,133,135,741,100,456,489,266,480,133,120,788,90,133,405,840,101,133,315,0,180,823,427,819,415,796,428,266,240,266,165,0,375,133,300,266,150,133,60,0,330,0,510,0,150,133,480,461,41,479,480,542,479,266,120,0,360,0,480,266,30,0,270,266,405,266,105,133,495,266,315,0,75,133,345,0,195,266,225,0,285,133,285,133,270,266,210,0,45,266,495,133,465,133,375,0,345,441,23,266,390,0,435,437,32,0,90,133,210,0,135,133,420,266,300,133,165,0,165,266,270,505,354,133,45,266,255,266,375,266,450,133,225,0,60,133,360,133,150,5,461,1477390145
266,135,0,495,133,390,867,92,259,339,436,41,133,180,266,285,505,460,0,210,266,75,181,251,0,390,0,405,133,435,266,90,0,420,133,90,133,75,133,450,266,45,0,300,266,60,0,255,0,315,0,225,0,240,528,469,133,30,133,105,133,135,741,100,456,489,266,480,133,120,788,90,133,405,840,101,133,315,0,180,823,427,819,415,790,416,266,240,266,165,0,375,133,300,266,150,133,60,0,330,84,471,0,150,421,470,461,41,479,480,542,479,266,120,0,360,775,427,266,30,0,270,266,405,266,105,133,495,266,315,0,75,133,345,0,195,266,225,0,285,133,285,133,270,266,210,0,45,266,495,133,465,133,375,0,345,441,23,266,390,0,435,437,32,0,90,133,210,0,135,133,420,266,300,133,165,0,165,266,270,505,354,133,45,266,255,266,375,266,450,133,225,0,60,133,360,133,150,5,461,1477390160
266,135,790,112,133,390,867,92,259,339,436,41,133,180,266,285,505,460,0,210,266,75,181,251,0,390,0,405,133,435,266,90,0,420,133,90,133,75,133,450,266,45,0,300,266,60,0,255,467,450,0,225,0,240,528,469,133,30,133,105,133,135,741,100,456,489,266,480,133,120,788,90,133,405,840,101,133,315,0,180,823,427,819,415,790,416,266,240,266,165,0,375,133,300,266,150,133,60,0,330,739,110,0,150,417,470,461,41,479,480,542,479,266,120,0,360,775,427,266,30,0,270,266,405,266,105,133,495,266,315,0,75,133,345,0,195,266,225,0,285,133,285,133,270,266,210,0,45,266,495,133,465,133,375,0,345,441,23,266,390,0,435,437,32,0,90,133,210,0,135,133,420,266,300,133,165,0,165,266,270,505,354,133,45,266,255,266,375,266,450,133,225,0,60,133,360,133,150,5,461,1477390175
266,135,790,112,133,390,867,92,259,339,436,41,133,180,266,285,466,440,0,210,266,75,181,251,0,390,0,405,133,435,266,90,0,420,133,90,133,75,133,450,266,45,0,300,266,60,0,255,467,450,0,225,0,240,528,469,133,30,133,105,133,135,741,100,456,489,266,480,133,120,788,90,133,405,840,101,133,315,0,180,823,427,819,415,790,416,266,240,266,165,0,375,133,300,266,150,133,60,0,330,739,110,0,150,417,470,461,41,479,480,542,479,266,120,0,360,775,427,266,30,448,497,266,405,266,105,133,495,266,315,0,75,133,345,0,195,266,225,0,285,133,285,133,270,266,210,0,45,266,495,133,465,133,375,0,345,441,23,266,390,0,435,437,32,0,90,133,210,0,135,133,420,266,300,133,165,0,165,266,270,505,354,133,45,266,255,266,375,266,450,133,225,0,60,133,360,133,150,5,461,1477390190
