133,(47-34)*15+15,266,(81-67)*15+15,0,31*15+15,133,(39-34)*15+15,133,(34-34)*15+15,266,(67-67)*15+15,266,(71-67)*15+15,0,25*15+15,0,9*15+15,0,1*15+15,266,(82-67)*15+15,0,15*15+15,133,(55-34)*15+15,266,(87-67)*15+15,133,(63-34)*15+15,266,(78-67)*15+15,133,(45-34)*15+15,0,19*15+15,0,30*15+15,133,(49-34)*15+15,133,(59-34)*15+15,0,7*15+15,0,10*15+15,266,(99-67)*15+15,133,(62-34)*15+15,266,(97-67)*15+15,266,(69-67)*15+15,0,5*15+15,133,(35-34)*15+15,266,(84-67)*15+15,266,(80-67)*15+15,0,22*15+15,133,(42-34)*15+15,133,(43-34)*15+15,266,(94-67)*15+15,133,(41-34)*15+15,133,(46-34)*15+15,133,(65-34)*15+15,0,17*15+15,266,(92-67)*15+15,266,(88-67)*15+15,266,(74-67)*15+15,266,(89-67)*15+15,0,24*15+15,266,(73-67)*15+15,0,11*15+15,133,(57-34)*15+15,266,(95-67)*15+15,133,(60-34)*15+15,133,(52-34)*15+15,0,8*15+15,0,27*15+15,133,(40-34)*15+15,133,(66-34)*15+15,0,4*15+15,0,20*15+15,0,0*15+15,133,(50-34)*15+15,266,(91-67)*15+15,266,(98-67)*15+15,133,(44-34)*15+15,266,(70-67)*15+15,0,13*15+15,133,(48-34)*15+15,266,(83-67)*15+15,133,(61-34)*15+15,266,(86-67)*15+15,0,32*15+15,266,(75-67)*15+15,133,(54-34)*15+15,0,21*15+15,133,(53-34)*15+15,266,(76-67)*15+15,0,14*15+15,0,28*15+15,266,(85-67)*15+15,266,(93-67)*15+15,266,(79-67)*15+15,266,(72-67)*15+15,0,29*15+15,0,2*15+15,133,(58-34)*15+15,133,(37-34)*15+15,0,33*15+15,133,(36-34)*15+15,0,18*15+15,0,23*15+15,266,(96-67)*15+15,0,12*15+15,266,(68-67)*15+15,0,6*15+15,266,(90-67)*15+15,266,(77-67)*15+15,0,26*15+15,133,(38-34)*15+15,0,3*15+15,133,(64-34)*15+15,133,(56-34)*15+15,0,16*15+15,133,(51-34)*15+15,1477525476
133,210,266,225,0,480,133,90,133,15,266,15,266,75,0,390,0,150,0,30,266,240,0,240,133,330,266,315,133,450,266,180,133,180,0,300,0,465,133,240,133,390,0,120,0,165,266,495,133,435,266,465,266,45,0,90,133,30,266,270,266,210,0,345,133,135,133,150,266,420,133,120,133,195,133,480,0,270,266,390,266,330,266,120,266,345,0,375,266,105,0,180,133,360,266,435,133,405,133,285,0,135,0,420,133,105,133,495,0,75,0,315,0,15,133,255,266,375,266,480,133,165,266,60,0,210,133,225,266,255,133,420,266,300,0,495,266,135,133,315,0,330,133,300,266,150,0,225,0,435,266,285,266,405,266,195,266,90,0,450,0,45,133,375,133,60,0,510,133,45,0,285,0,360,266,450,0,195,266,30,0,105,266,360,266,165,0,405,133,75,0,60,133,465,133,345,0,255,133,270,1477525498
133,210,266,225,0,480,133,90,133,15,266,15,266,75,0,390,0,150,0,30,266,240,0,240,133,330,266,315,133,450,266,180,133,180,0,300,0,465,133,240,133,390,0,120,0,165,266,495,133,435,266,465,266,45,0,90,133,30,266,270,266,210,0,345,133,135,133,150,266,420,133,120,133,195,133,480,0,270,266,390,266,330,266,120,266,345,0,375,266,105,0,180,133,360,266,435,133,405,133,285,0,135,0,420,133,105,133,495,0,75,0,315,0,15,133,255,266,375,266,480,133,165,266,60,0,210,133,225,266,255,133,420,266,300,0,495,266,135,133,315,0,330,133,300,266,150,0,225,0,435,266,285,266,405,266,195,266,90,0,450,0,45,133,375,133,60,0,510,133,45,0,285,0,360,266,450,0,195,266,30,0,105,266,360,266,165,0,405,133,75,0,60,133,465,133,345,0,255,133,270,1477525513
133,210,266,225,0,480,133,90,133,15,266,15,616,29,0,390,0,150,0,30,266,240,0,240,133,330,266,315,133,450,266,180,133,180,0,300,0,465,133,240,133,390,0,120,0,165,266,495,133,435,266,465,266,45,0,90,133,30,266,270,266,210,0,345,133,135,133,150,266,420,133,120,133,195,133,480,0,270,266,390,266,330,266,120,266,345,0,375,730,33,0,180,133,360,266,435,133,405,133,285,0,135,0,420,133,105,133,495,0,75,0,315,440,32,133,255,266,375,266,480,133,165,266,60,0,210,133,225,266,255,133,420,266,300,0,495,266,135,133,315,0,330,133,300,266,150,0,225,0,435,266,285,266,405,266,195,434,50,0,450,0,45,133,375,133,60,0,510,133,45,0,285,0,360,266,450,0,195,266,30,0,105,266,360,266,165,0,405,133,75,0,60,133,465,133,345,0,255,133,270,1477525528
133,210,266,225,0,480,133,90,133,15,266,15,663,29,0,390,0,150,0,30,266,240,0,240,133,330,266,315,133,450,266,180,133,180,0,300,0,465,133,240,133,390,0,120,0,165,266,495,133,435,266,465,266,45,0,90,133,30,266,270,266,210,0,345,133,135,133,150,266,420,133,120,133,195,133,480,0,270,266,390,266,330,496,31,266,345,0,375,570,32,0,180,133,360,266,435,133,405,133,285,0,135,0,420,133,105,133,495,0,75,0,315,440,32,133,255,266,375,266,480,133,165,266,60,0,210,133,225,266,255,133,420,266,300,0,495,266,135,133,315,0,330,133,300,842,63,0,225,0,435,266,285,266,405,266,195,434,50,0,450,0,45,133,375,133,60,0,510,133,45,0,285,0,360,266,450,0,195,266,30,0,105,266,360,266,165,0,405,133,75,0,60,133,465,133,345,0,255,133,270,1477525543
133,210,266,225,0,480,133,90,133,15,266,15,558,215,0,390,0,150,0,30,266,240,0,240,133,330,266,315,133,450,454,214,133,180,0,300,0,465,133,240,133,390,0,120,0,165,266,495,133,435,266,465,266,45,0,90,133,30,266,270,266,210,0,345,133,135,133,150,266,420,133,120,133,195,133,480,0,270,266,390,266,330,496,31,266,345,0,375,570,32,0,180,133,360,266,435,133,405,133,285,0,135,0,420,133,105,133,495,0,75,0,315,440,32,133,255,266,375,266,480,133,165,266,60,0,210,133,225,266,255,133,420,266,300,0,495,266,135,133,315,0,330,133,300,758,33,0,225,0,435,266,285,266,405,457,194,434,50,0,450,0,45,133,375,133,60,0,510,133,45,0,285,0,360,266,450,0,195,266,30,0,105,266,360,457,175,0,405,133,75,0,60,133,465,133,345,0,255,133,270,1477525558
133,210,607,220,0,480,133,90,133,15,266,15,558,215,0,390,0,150,0,30,266,240,0,240,133,330,266,315,133,450,454,214,133,180,0,300,0,465,133,240,133,390,0,120,0,165,266,495,133,435,266,465,266,45,0,90,133,30,266,270,718,491,0,345,133,135,133,150,266,420,133,120,133,195,133,480,0,270,266,390,266,330,496,31,266,345,0,375,570,32,0,180,133,360,266,435,133,405,133,285,0,135,0,420,133,105,133,495,0,75,0,315,440,32,133,255,266,375,266,480,133,165,266,60,0,210,133,225,266,255,133,420,266,300,0,495,266,135,133,315,0,330,133,300,758,33,0,225,0,435,266,285,266,405,457,194,434,50,0,450,0,45,133,375,133,60,0,510,133,45,0,285,0,360,266,450,0,195,266,30,0,105,266,360,457,175,0,405,133,75,0,60,133,465,133,345,0,255,133,270,1477525573
133,210,612,217,0,480,133,90,133,15,266,15,558,215,0,390,0,150,0,30,454,154,0,240,133,330,266,315,133,450,454,214,133,180,0,300,0,465,133,240,133,390,0,120,0,165,266,495,133,435,266,465,266,45,0,90,133,30,266,270,718,491,0,345,133,135,133,150,266,420,133,120,133,195,133,480,0,270,266,390,266,330,496,31,266,345,0,375,570,32,0,180,133,360,266,435,133,405,133,285,0,135,0,420,133,105,133,495,0,75,0,315,440,32,133,255,266,375,266,480,133,165,266,60,0,210,133,225,570,249,133,420,266,300,0,495,266,135,133,315,0,330,133,300,758,33,0,225,0,435,266,285,266,405,457,194,434,50,0,450,0,45,133,375,133,60,0,510,133,45,0,285,0,360,266,450,0,195,266,30,0,105,266,360,457,175,0,405,133,75,0,60,133,465,133,345,0,255,133,270,1477525588
133,210,612,217,0,480,133,90,133,15,266,15,558,215,0,390,0,150,0,30,454,154,0,240,133,330,266,315,133,450,454,214,133,180,0,300,0,465,133,240,133,390,0,120,0,165,266,495,133,435,266,465,266,45,0,90,133,30,716,472,718,491,0,345,133,135,133,150,266,420,133,120,133,195,133,480,0,270,266,390,266,330,496,31,266,345,0,375,570,32,0,180,133,360,266,435,133,405,133,285,0,135,0,420,133,105,133,495,0,75,0,315,440,32,133,255,266,375,266,480,133,165,266,60,0,210,133,225,759,59,133,420,266,300,0,495,266,135,133,315,0,330,133,300,758,33,0,225,0,435,759,76,266,405,457,194,434,50,0,450,0,45,133,375,133,60,0,510,133,45,0,285,0,360,266,450,0,195,266,30,0,105,266,360,457,175,0,405,133,75,0,60,133,465,133,345,0,255,133,270,1477525603
133,210,612,217,0,480,133,90,133,15,266,15,558,215,0,390,0,150,0,30,454,154,0,240,133,330,582,233,133,450,454,214,133,180,0,300,0,465,133,240,133,390,0,120,0,165,266,495,133,435,266,465,266,45,0,90,133,30,716,472,718,491,0,345,133,135,133,150,266,420,133,120,133,195,133,480,0,270,266,390,266,330,496,31,266,345,0,375,570,32,0,180,133,360,266,435,133,405,133,285,0,135,0,420,133,105,133,495,0,75,0,315,440,32,133,255,266,375,266,480,133,165,266,60,0,210,133,225,759,59,133,420,714,457,0,495,266,135,133,315,0,330,133,300,758,33,0,225,0,435,759,76,266,405,457,194,434,50,0,450,0,45,133,375,133,60,0,510,133,45,0,285,0,360,266,450,0,195,266,30,0,105,266,360,457,175,0,405,133,75,0,60,133,465,133,345,0,255,133,270,1477525618
133,210,612,217,0,480,133,90,133,15,266,15,558,215,0,390,0,150,0,30,454,154,0,240,133,330,581,231,133,450,454,214,133,180,0,300,0,465,133,240,133,390,0,120,0,165,266,495,133,435,266,465,266,45,0,90,133,30,716,472,718,491,0,345,133,135,133,150,266,420,133,120,133,195,133,480,0,270,266,390,496,51,496,31,266,345,0,375,570,32,0,180,133,360,434,383,133,405,133,285,0,135,0,420,133,105,133,495,0,75,0,315,440,32,133,255,266,375,266,480,133,165,266,60,0,210,133,225,759,59,133,420,714,457,0,495,712,437,133,315,0,330,133,300,758,33,0,225,0,435,759,76,266,405,457,194,434,50,0,450,0,45,133,375,133,60,0,510,133,45,0,285,0,360,266,450,0,195,266,30,0,105,266,360,457,175,0,405,133,75,0,60,133,465,133,345,0,255,133,270,1477525633
