0,3*15+15,0,31*15+15,133,(57-34)*15+15,0,6*15+15,266,(71-67)*15+15,0,25*15+15,133,(63-34)*15+15,0,19*15+15,0,17*15+15,266,(83-67)*15+15,266,(80-67)*15+15,0,23*15+15,133,(50-34)*15+15,133,(42-34)*15+15,133,(46-34)*15+15,266,(89-67)*15+15,266,(96-67)*15+15,133,(60-34)*15+15,133,(39-34)*15+15,0,18*15+15,266,(69-67)*15+15,0,32*15+15,0,13*15+15,266,(74-67)*15+15,266,(79-67)*15+15,133,(59-34)*15+15,133,(43-34)*15+15,133,(45-34)*15+15,0,9*15+15,133,(37-34)*15+15,0,30*15+15,0,26*15+15,0,22*15+15,266,(94-67)*15+15,0,28*15+15,0,4*15+15,266,(81-67)*15+15,266,(87-67)*15+15,266,(70-67)*15+15,0,1*15+15,0,14*15+15,266,(73-67)*15+15,133,(53-34)*15+15,133,(47-34)*15+15,266,(72-67)*15+15,133,(66-34)*15+15,266,(95-67)*15+15,266,(88-67)*15+15,0,33*15+15,266,(82-67)*15+15,266,(84-67)*15+15,266,(76-67)*15+15,0,20*15+15,0,12*15+15,133,(51-34)*15+15,0,27*15+15,0,2*15+15,266,(91-67)*15+15,266,(86-67)*15+15,0,29*15+15,0,16*15+15,266,(97-67)*15+15,0,0*15+15,266,(68-67)*15+15,266,(90-67)*15+15,133,(61-34)*15+15,266,(98-67)*15+15,0,8*15+15,133,(35-34)*15+15,266,(78-67)*15+15,133,(52-34)*15+15,266,(99-67)*15+15,133,(56-34)*15+15,133,(34-34)*15+15,133,(62-34)*15+15,0,10*15+15,0,11*15+15,133,(58-34)*15+15,133,(49-34)*15+15,133,(36-34)*15+15,266,(93-67)*15+15,0,5*15+15,0,24*15+15,266,(75-67)*15+15,0,15*15+15,266,(67-67)*15+15,133,(64-34)*15+15,133,(48-34)*15+15,266,(77-67)*15+15,133,(55-34)*15+15,133,(44-34)*15+15,133,(65-34)*15+15,133,(41-34)*15+15,0,7*15+15,266,(92-67)*15+15,133,(54-34)*15+15,133,(40-34)*15+15,266,(85-67)*15+15,133,(38-34)*15+15,0,21*15+15,1478530817
0,60,0,480,133,360,0,105,266,75,0,390,133,450,0,300,0,270,266,255,266,210,0,360,133,255,133,135,133,195,266,345,266,450,133,405,133,90,0,285,266,45,0,495,0,210,266,120,266,195,133,390,133,150,133,180,0,150,133,60,0,465,0,405,0,345,266,420,0,435,0,75,266,225,266,315,266,60,0,30,0,225,266,105,133,300,133,210,266,90,133,495,266,435,266,330,0,510,266,240,266,270,266,150,0,315,0,195,133,270,0,420,0,45,266,375,266,300,0,450,0,255,266,465,440,55,266,30,266,360,133,420,266,480,0,135,133,30,266,180,133,285,266,495,133,345,420,82,133,435,0,165,0,180,133,375,133,240,133,45,266,405,0,90,0,375,266,135,0,240,266,15,133,465,133,225,266,165,133,330,133,165,133,480,133,120,0,120,266,390,133,315,133,105,266,285,133,75,0,330,1478530833
902,70,0,480,133,360,908,113,266,75,0,390,133,450,0,300,0,270,266,255,266,210,0,360,133,255,133,135,133,195,266,345,266,450,133,405,133,90,0,285,266,45,0,495,0,210,266,120,266,195,133,390,133,150,133,180,0,150,133,60,0,465,0,405,0,345,266,420,0,435,897,90,266,225,266,315,266,60,0,30,0,225,266,105,133,300,133,210,266,90,133,495,266,435,266,330,0,510,266,240,266,270,266,150,0,315,0,195,133,270,0,420,861,340,266,375,266,300,0,450,0,255,266,465,440,55,266,30,266,360,133,420,266,480,0,135,426,571,266,180,133,285,266,495,133,345,420,82,133,435,0,165,0,180,133,375,133,240,855,317,266,405,0,90,0,375,266,135,0,240,266,15,133,465,133,225,266,165,133,330,133,165,133,480,133,120,0,120,266,390,133,315,133,105,266,285,133,75,0,330,1478530848
902,70,0,480,133,360,908,113,266,75,0,390,133,450,0,300,0,270,266,255,266,210,0,360,133,255,133,135,133,195,266,345,266,450,133,405,480,279,0,285,266,45,0,495,0,210,266,120,266,195,133,390,133,150,133,180,128,29,133,60,0,465,0,405,0,345,266,420,0,435,897,90,266,225,266,315,266,60,0,30,0,225,266,105,133,300,133,210,266,90,133,495,266,435,266,330,0,510,266,240,266,270,266,150,0,315,0,195,133,270,0,420,943,549,266,375,266,300,0,450,0,255,266,465,440,55,266,30,266,360,133,420,266,480,471,484,426,571,266,180,133,285,266,495,133,345,420,82,133,435,0,165,0,180,133,375,133,240,917,477,266,405,0,90,0,375,266,135,0,240,266,15,133,465,133,225,266,165,133,330,133,165,133,480,133,120,0,120,266,390,133,315,879,210,266,285,133,75,0,330,1478530863
902,70,0,480,133,360,908,113,266,75,0,390,133,450,0,300,0,270,266,255,266,210,0,360,133,255,133,135,133,195,266,345,266,450,133,405,480,279,0,285,266,45,0,495,0,210,266,120,266,195,133,390,133,150,133,180,128,29,133,60,0,465,0,405,0,345,266,420,0,435,897,90,266,225,266,315,266,60,0,30,0,225,266,105,892,311,133,210,266,90,133,495,266,435,327,335,0,510,266,240,266,270,266,150,0,315,0,195,133,270,0,420,934,537,917,338,266,300,0,450,0,255,266,465,440,55,266,30,266,360,133,420,266,480,471,484,426,571,266,180,133,285,266,495,133,345,420,82,133,435,0,165,0,180,133,375,133,240,917,477,266,405,0,90,0,375,266,135,0,240,266,15,133,465,133,225,266,165,133,330,133,165,133,480,133,120,0,120,937,316,133,315,879,210,266,285,133,75,0,330,1478530878
902,70,0,480,133,360,908,113,266,75,0,390,133,450,0,300,0,270,266,255,266,210,0,360,133,255,133,135,133,195,266,345,266,450,133,405,480,279,0,285,266,45,0,495,0,210,266,120,266,195,133,390,133,150,133,180,128,29,133,60,0,465,0,405,0,345,266,420,0,435,897,90,266,225,659,171,266,60,0,30,0,225,266,105,892,311,133,210,266,90,133,495,266,435,426,260,0,510,266,240,266,270,266,150,0,315,0,195,133,270,0,420,934,537,917,338,868,257,0,450,0,255,266,465,440,55,266,30,266,360,133,420,266,480,471,484,426,571,266,180,133,285,266,495,133,345,420,82,133,435,0,165,0,180,133,375,133,240,917,477,266,405,0,90,0,375,266,135,0,240,266,15,133,465,133,225,266,165,133,330,133,165,133,480,133,120,0,120,937,316,133,315,879,210,266,285,133,75,0,330,1478530893
902,70,0,480,133,360,908,113,266,75,0,390,133,450,0,300,0,270,266,255,266,210,0,360,133,255,133,135,133,195,266,345,443,306,133,405,480,279,0,285,266,45,0,495,0,210,266,120,266,195,133,390,133,150,133,180,128,29,133,60,0,465,0,405,0,345,266,420,0,435,897,90,266,225,659,171,266,60,0,30,0,225,266,105,892,311,133,210,266,90,133,495,395,247,426,260,0,510,266,240,266,270,266,150,0,315,0,195,133,270,0,420,934,537,917,338,868,257,0,450,0,255,482,409,440,55,266,30,266,360,133,420,490,203,471,484,426,571,266,180,133,285,266,495,133,345,420,82,133,435,0,165,0,180,133,375,133,240,917,477,907,388,0,90,0,375,266,135,0,240,266,15,133,465,133,225,266,165,133,330,133,165,133,480,133,120,0,120,937,316,133,315,879,210,266,285,133,75,0,330,1478530908
902,70,0,480,133,360,908,113,266,75,0,390,542,311,0,300,0,270,266,255,266,210,0,360,133,255,133,135,133,195,266,345,443,306,133,405,480,279,0,285,266,45,0,495,0,210,266,120,266,195,133,390,133,150,133,180,128,29,133,60,0,465,0,405,0,345,266,420,0,435,897,90,266,225,659,171,266,60,0,30,0,225,266,105,892,311,133,210,266,90,133,495,395,247,426,260,0,510,266,240,266,270,266,150,0,315,0,195,133,270,0,420,934,537,917,338,868,257,0,450,0,255,482,409,440,55,266,30,266,360,721,47,490,203,471,484,426,571,266,180,133,285,266,495,133,345,420,82,503,183,0,165,0,180,490,369,133,240,917,477,907,388,0,90,0,375,266,135,0,240,266,15,133,465,133,225,266,165,133,330,133,165,133,480,133,120,0,120,937,316,133,315,879,210,266,285,133,75,0,330,1478530923
902,70,0,480,133,360,908,113,266,75,673,471,542,311,0,300,0,270,266,255,266,210,0,360,133,255,133,135,133,195,266,345,443,306,692,218,480,279,0,285,266,45,0,495,0,210,266,120,266,195,133,390,133,150,133,180,128,29,133,60,904,575,0,405,0,345,266,420,0,435,897,90,266,225,659,171,266,60,0,30,0,225,266,105,892,311,133,210,266,90,133,495,395,247,426,260,0,510,266,240,266,270,266,150,0,315,0,195,133,270,0,420,934,537,917,338,868,257,0,450,0,255,482,409,440,55,266,30,266,360,721,47,490,203,471,484,426,571,266,180,133,285,266,495,133,345,420,82,503,183,0,165,0,180,933,434,133,240,917,477,907,388,0,90,0,375,266,135,0,240,266,15,153,430,133,225,266,165,133,330,133,165,133,480,133,120,0,120,937,316,133,315,879,210,266,285,133,75,0,330,1478530938
902,70,0,480,133,360,908,113,266,75,801,508,542,311,0,300,0,270,266,255,266,210,0,360,133,255,133,135,133,195,266,345,443,306,692,218,480,279,0,285,266,45,0,495,0,210,266,120,266,195,133,390,133,150,133,180,128,29,133,60,904,575,0,405,443,330,266,420,0,435,897,90,266,225,659,171,266,60,0,30,0,225,266,105,892,311,133,210,266,90,133,495,395,247,426,260,0,510,266,240,266,270,266,150,0,315,0,195,133,270,0,420,934,537,917,338,868,257,0,450,0,255,482,409,440,55,266,30,266,360,721,47,490,203,471,484,426,571,266,180,133,285,266,495,133,345,420,82,503,183,0,165,0,180,933,434,133,240,917,477,907,388,0,90,0,375,266,135,0,240,266,15,153,430,133,225,266,165,510,144,133,165,133,480,133,120,0,120,937,316,874,186,879,210,266,285,133,75,0,330,1478530953
902,70,0,480,133,360,908,113,266,75,801,508,542,311,0,300,0,270,266,255,759,432,0,360,133,255,133,135,133,195,266,345,443,306,692,218,480,279,0,285,266,45,0,495,0,210,266,120,795,405,133,390,133,150,133,180,128,29,133,60,904,575,0,405,443,330,266,420,0,435,897,90,816,467,659,171,266,60,0,30,0,225,266,105,892,311,133,210,266,90,133,495,395,247,426,260,0,510,266,240,266,270,266,150,0,315,0,195,133,270,0,420,934,537,917,338,868,257,0,450,0,255,482,409,440,55,431,35,266,360,721,47,490,203,471,484,426,571,266,180,133,285,266,495,133,345,420,82,503,183,0,165,0,180,933,434,133,240,917,477,907,388,0,90,0,375,266,135,0,240,939,290,153,430,133,225,266,165,510,144,133,165,133,480,133,120,0,120,937,316,874,186,879,210,266,285,133,75,0,330,1478530968
