133,(41-34)*15+15,266,(86-67)*15+15,133,(40-34)*15+15,133,(66-34)*15+15,0,0*15+15,133,(62-34)*15+15,0,4*15+15,0,25*15+15,133,(49-34)*15+15,266,(84-67)*15+15,0,22*15+15,0,32*15+15,266,(91-67)*15+15,0,18*15+15,0,14*15+15,0,19*15+15,266,(77-67)*15+15,0,8*15+15,0,3*15+15,266,(81-67)*15+15,133,(45-34)*15+15,133,(51-34)*15+15,133,(37-34)*15+15,133,(35-34)*15+15,266,(93-67)*15+15,133,(63-34)*15+15,266,(90-67)*15+15,133,(44-34)*15+15,133,(65-34)*15+15,0,30*15+15,0,29*15+15,133,(61-34)*15+15,133,(43-34)*15+15,133,(59-34)*15+15,0,16*15+15,266,(68-67)*15+15,0,17*15+15,266,(92-67)*15+15,266,(98-67)*15+15,266,(79-67)*15+15,133,(64-34)*15+15,0,5*15+15,133,(48-34)*15+15,133,(42-34)*15+15,133,(46-34)*15+15,266,(85-67)*15+15,133,(56-34)*15+15,0,31*15+15,266,(95-67)*15+15,0,33*15+15,0,9*15+15,0,11*15+15,266,(83-67)*15+15,0,26*15+15,0,27*15+15,266,(73-67)*15+15,133,(36-34)*15+15,266,(74-67)*15+15,133,(39-34)*15+15,266,(80-67)*15+15,266,(75-67)*15+15,133,(55-34)*15+15,266,(99-67)*15+15,0,2*15+15,266,(78-67)*15+15,133,(47-34)*15+15,266,(67-67)*15+15,133,(58-34)*15+15,133,(54-34)*15+15,133,(53-34)*15+15,266,(71-67)*15+15,266,(76-67)*15+15,0,23*15+15,0,13*15+15,266,(94-67)*15+15,266,(97-67)*15+15,266,(96-67)*15+15,266,(88-67)*15+15,133,(38-34)*15+15,0,24*15+15,0,1*15+15,133,(57-34)*15+15,133,(60-34)*15+15,133,(34-34)*15+15,266,(72-67)*15+15,0,20*15+15,133,(50-34)*15+15,133,(52-34)*15+15,0,7*15+15,266,(69-67)*15+15,0,6*15+15,0,12*15+15,0,28*15+15,0,21*15+15,0,15*15+15,266,(70-67)*15+15,266,(89-67)*15+15,0,10*15+15,266,(87-67)*15+15,266,(82-67)*15+15,1476195540
133,120,266,300,133,105,133,495,0,15,133,435,0,75,0,390,133,240,266,270,0,345,0,495,266,375,0,285,0,225,0,300,266,165,0,135,0,60,266,225,133,180,133,270,133,60,133,30,266,405,133,450,266,360,133,165,133,480,0,465,0,450,133,420,133,150,133,390,0,255,266,30,0,270,266,390,266,480,266,195,133,465,0,90,133,225,133,135,133,195,266,285,133,345,0,480,266,435,0,510,0,150,0,180,266,255,0,405,0,420,266,105,133,45,266,120,133,90,266,210,266,135,133,330,266,495,0,45,266,180,133,210,414,30,133,375,133,315,133,300,266,75,266,150,0,360,0,210,266,420,266,465,266,450,266,330,133,75,0,375,0,30,133,360,133,405,133,15,266,90,0,315,133,255,133,285,0,120,266,45,0,105,0,195,0,435,0,330,0,240,266,60,266,345,0,165,266,315,266,240,1476195571
133,120,266,300,133,105,133,495,0,15,133,435,0,75,0,390,133,240,266,270,0,345,0,495,266,375,0,285,0,225,0,300,266,165,0,135,0,60,266,225,133,180,133,270,133,60,133,30,734,427,133,450,266,360,133,165,133,480,0,465,0,450,133,420,133,150,133,390,0,255,266,30,0,270,266,390,266,480,266,195,133,465,0,90,133,225,133,135,133,195,266,285,133,345,0,480,266,435,0,510,0,150,0,180,266,255,0,405,0,420,858,487,133,45,266,120,133,90,266,210,266,135,133,330,266,495,0,45,266,180,133,210,414,30,133,375,133,315,133,300,418,77,266,150,0,360,0,210,266,420,544,131,266,450,266,330,133,75,0,375,0,30,133,360,133,405,133,15,266,90,0,315,133,255,133,285,0,120,266,45,0,105,0,195,0,435,0,330,0,240,266,60,266,345,0,165,266,315,266,240,1476195586
133,120,266,300,133,105,133,495,0,15,133,435,0,75,0,390,133,240,266,270,0,345,0,495,266,375,0,285,0,225,0,300,266,165,0,135,0,60,266,225,133,180,133,270,133,60,133,30,734,427,133,450,266,360,133,165,133,480,0,465,0,450,133,420,133,150,133,390,0,255,266,30,0,270,266,390,420,569,266,195,133,465,0,90,133,225,133,135,133,195,266,285,133,345,0,480,266,435,0,510,0,150,0,180,266,255,0,405,0,420,858,487,133,45,266,120,133,90,266,210,266,135,133,330,654,298,0,45,266,180,133,210,414,30,133,375,133,315,133,300,418,77,266,150,0,360,0,210,266,420,499,115,430,465,266,330,133,75,0,375,0,30,133,360,133,405,133,15,266,90,0,315,133,255,133,285,0,120,266,45,0,105,0,195,0,435,0,330,0,240,266,60,266,345,0,165,266,315,266,240,1476195601
133,120,266,300,133,105,133,495,0,15,133,435,0,75,0,390,133,240,266,270,0,345,0,495,266,375,0,285,0,225,0,300,266,165,0,135,0,60,266,225,133,180,133,270,133,60,133,30,734,427,133,450,858,343,133,165,133,480,0,465,0,450,133,420,133,150,133,390,0,255,266,30,0,270,522,406,420,569,266,195,133,465,0,90,133,225,133,135,133,195,266,285,133,345,0,480,266,435,0,510,0,150,0,180,266,255,0,405,0,420,858,487,133,45,266,120,133,90,266,210,266,135,133,330,654,298,0,45,266,180,133,210,414,30,133,375,133,315,133,300,418,77,266,150,0,360,0,210,248,418,499,115,430,465,266,330,133,75,0,375,0,30,133,360,133,405,133,15,266,90,0,315,133,255,133,285,0,120,266,45,0,105,0,195,0,435,0,330,0,240,266,60,266,345,0,165,266,315,266,240,1476195616
133,120,266,300,133,105,133,495,0,15,133,435,0,75,0,390,133,240,266,270,0,345,0,495,266,375,0,285,0,225,0,300,266,165,0,135,0,60,266,225,133,180,133,270,133,60,133,30,734,427,809,254,858,343,133,165,133,480,0,465,0,450,133,420,133,150,133,390,0,255,452,477,0,270,522,406,420,569,266,195,929,134,0,90,133,225,133,135,133,195,266,285,133,345,0,480,266,435,0,510,0,150,0,180,266,255,0,405,0,420,858,487,133,45,266,120,133,90,266,210,266,135,133,330,654,298,0,45,266,180,133,210,414,30,133,375,133,315,133,300,418,77,266,150,0,360,0,210,248,418,499,115,430,465,266,330,133,75,0,375,0,30,133,360,133,405,133,15,266,90,0,315,133,255,133,285,0,120,266,45,0,105,0,195,0,435,0,330,0,240,266,60,266,345,0,165,266,315,266,240,1476195631
133,120,266,300,133,105,133,495,0,15,133,435,0,75,0,390,133,240,266,270,0,345,0,495,266,375,0,285,0,225,0,300,266,165,0,135,0,60,266,225,133,180,133,270,133,60,133,30,734,427,809,254,858,343,133,165,133,480,0,465,0,450,133,420,133,150,133,390,0,255,413,526,0,270,522,406,420,569,266,195,929,134,0,90,133,225,133,135,133,195,677,508,133,345,0,480,266,435,0,510,0,150,0,180,681,358,0,405,0,420,858,487,133,45,266,120,133,90,266,210,266,135,133,330,654,298,0,45,415,145,133,210,414,30,133,375,133,315,133,300,418,77,266,150,0,360,0,210,248,418,499,115,430,465,266,330,133,75,0,375,0,30,133,360,133,405,133,15,266,90,0,315,133,255,133,285,0,120,266,45,0,105,0,195,0,435,0,330,0,240,266,60,266,345,0,165,266,315,266,240,1476195646
133,120,266,300,133,105,133,495,0,15,133,435,0,75,0,390,133,240,266,270,0,345,0,495,266,375,0,285,0,225,0,300,266,165,0,135,0,60,266,225,133,180,133,270,133,60,133,30,734,427,809,254,858,343,133,165,133,480,0,465,0,450,133,420,133,150,133,390,0,255,413,526,0,270,522,406,420,569,266,195,929,134,0,90,133,225,133,135,133,195,677,508,133,345,0,480,528,481,0,510,0,150,0,180,681,358,0,405,0,420,858,487,133,45,266,120,133,90,266,210,266,135,133,330,654,298,0,45,415,145,133,210,414,30,133,375,133,315,133,300,418,77,266,150,0,360,0,210,248,418,499,115,430,465,266,330,133,75,0,375,0,30,133,360,133,405,133,15,266,90,0,315,133,255,133,285,0,120,266,45,0,105,0,195,0,435,0,330,0,240,266,60,405,406,0,165,266,315,266,240,1476195661
133,120,266,300,133,105,133,495,0,15,478,549,0,75,0,390,133,240,266,270,0,345,0,495,593,586,0,285,0,225,0,300,266,165,0,135,0,60,266,225,133,180,133,270,133,60,133,30,734,427,809,254,858,343,133,165,133,480,0,465,0,450,133,420,133,150,133,390,0,255,413,526,0,270,522,406,420,569,266,195,929,134,0,90,133,225,133,135,133,195,677,508,133,345,0,480,528,481,0,510,0,150,0,180,681,358,0,405,0,420,858,487,133,45,266,120,133,90,266,210,266,135,133,330,654,298,0,45,415,145,133,210,414,30,133,375,133,315,133,300,418,77,266,150,0,360,0,210,248,418,499,115,430,465,266,330,133,75,0,375,0,30,133,360,133,405,133,15,266,90,0,315,133,255,133,285,0,120,266,45,0,105,0,195,0,435,0,330,0,240,266,60,405,406,0,165,266,315,266,240,1476195676
133,120,266,300,133,105,133,495,0,15,478,549,0,75,0,390,133,240,266,270,0,345,0,495,594,593,0,285,0,225,0,300,266,165,0,135,0,60,266,225,133,180,133,270,133,60,133,30,734,427,809,254,858,343,133,165,415,354,0,465,0,450,133,420,133,150,133,390,0,255,413,526,0,270,522,406,420,569,266,195,929,134,0,90,133,225,133,135,133,195,677,508,133,345,0,480,528,481,0,510,0,150,0,180,681,358,0,405,0,420,939,395,133,45,266,120,133,90,266,210,266,135,133,330,654,298,0,45,415,145,133,210,414,30,133,375,133,315,133,300,418,77,266,150,0,360,0,210,248,418,499,115,430,465,266,330,133,75,0,375,0,30,133,360,133,405,133,15,266,90,0,315,133,255,133,285,0,120,266,45,0,105,0,195,0,435,0,330,0,240,266,60,405,406,0,165,266,315,266,240,1476195691
133,120,266,300,133,105,133,495,0,15,478,549,0,75,0,390,133,240,266,270,0,345,0,495,594,593,0,285,0,225,0,300,266,165,0,135,0,60,266,225,133,180,133,270,133,60,133,30,734,427,809,254,858,343,133,165,415,354,0,465,0,450,133,420,133,150,133,390,0,255,413,526,0,270,522,406,420,569,266,195,929,134,0,90,133,225,133,135,133,195,726,478,133,345,0,480,528,481,0,510,0,150,0,180,681,358,0,405,0,420,939,395,133,45,266,120,133,90,266,210,266,135,133,330,654,298,0,45,415,145,133,210,414,30,133,375,133,315,133,300,418,77,266,150,0,360,0,210,248,418,499,115,430,465,266,330,133,75,0,375,0,30,133,360,532,346,133,15,266,90,0,315,133,255,133,285,0,120,266,45,0,105,0,195,0,435,0,330,0,240,266,60,405,406,0,165,740,389,266,240,1476195706
