266,(97-67)*15+15,0,33*15+15,266,(87-67)*15+15,266,(96-67)*15+15,0,7*15+15,133,(65-34)*15+15,133,(56-34)*15+15,266,(99-67)*15+15,0,8*15+15,133,(45-34)*15+15,266,(92-67)*15+15,0,12*15+15,266,(85-67)*15+15,133,(40-34)*15+15,133,(58-34)*15+15,133,(57-34)*15+15,0,23*15+15,0,17*15+15,133,(50-34)*15+15,133,(43-34)*15+15,133,(44-34)*15+15,0,32*15+15,0,18*15+15,266,(67-67)*15+15,266,(95-67)*15+15,0,30*15+15,133,(47-34)*15+15,266,(75-67)*15+15,133,(37-34)*15+15,0,3*15+15,0,4*15+15,133,(39-34)*15+15,0,22*15+15,266,(93-67)*15+15,133,(54-34)*15+15,133,(42-34)*15+15,133,(36-34)*15+15,0,14*15+15,266,(72-67)*15+15,0,2*15+15,0,5*15+15,133,(60-34)*15+15,0,29*15+15,0,24*15+15,266,(91-67)*15+15,0,9*15+15,266,(89-67)*15+15,133,(49-34)*15+15,133,(59-34)*15+15,133,(51-34)*15+15,266,(77-67)*15+15,0,19*15+15,266,(79-67)*15+15,133,(34-34)*15+15,133,(61-34)*15+15,0,11*15+15,133,(38-34)*15+15,266,(73-67)*15+15,266,(68-67)*15+15,266,(70-67)*15+15,266,(81-67)*15+15,0,20*15+15,0,31*15+15,266,(98-67)*15+15,266,(76-67)*15+15,0,13*15+15,266,(69-67)*15+15,133,(62-34)*15+15,266,(88-67)*15+15,0,6*15+15,0,25*15+15,266,(74-67)*15+15,0,28*15+15,266,(78-67)*15+15,133,(41-34)*15+15,133,(63-34)*15+15,133,(53-34)*15+15,133,(48-34)*15+15,133,(35-34)*15+15,0,10*15+15,0,15*15+15,0,26*15+15,0,0*15+15,266,(90-67)*15+15,266,(82-67)*15+15,133,(64-34)*15+15,266,(80-67)*15+15,0,21*15+15,0,16*15+15,266,(84-67)*15+15,266,(83-67)*15+15,133,(52-34)*15+15,133,(46-34)*15+15,0,27*15+15,266,(71-67)*15+15,266,(86-67)*15+15,266,(94-67)*15+15,0,1*15+15,133,(55-34)*15+15,133,(66-34)*15+15,1464369951
266,465,0,510,266,315,266,450,0,120,133,480,133,345,266,495,0,135,133,180,266,390,0,195,266,285,133,105,133,375,133,360,0,360,0,270,133,255,133,150,133,165,0,495,0,285,266,15,266,435,0,465,133,210,266,135,133,60,0,60,0,75,133,90,0,345,266,405,133,315,133,135,133,45,0,225,266,90,0,45,0,90,133,405,0,450,0,375,266,375,0,150,266,345,133,240,133,390,133,270,266,165,0,300,266,195,448,173,133,420,0,180,133,75,266,105,819,73,266,60,266,225,0,315,0,480,266,480,266,150,0,210,820,200,133,435,266,330,0,105,0,390,266,120,0,435,266,180,133,120,133,450,133,300,133,225,801,83,0,165,0,240,0,405,634,40,266,360,266,240,133,465,266,210,0,330,0,255,266,270,266,255,133,285,133,195,0,420,266,75,266,300,266,420,618,49,133,330,133,495,1464369968
266,465,0,510,266,315,266,450,0,120,133,480,133,345,266,495,0,135,133,180,266,390,0,195,266,285,133,105,133,375,133,360,0,360,0,270,133,255,133,150,133,165,0,495,0,285,266,15,266,435,0,465,133,210,266,135,438,402,883,415,0,75,133,90,0,345,266,405,133,315,133,135,570,271,0,225,266,90,557,262,0,90,133,405,0,450,0,375,266,375,0,150,266,345,133,240,133,390,133,270,266,165,0,300,266,195,448,173,133,420,0,180,133,75,266,105,819,73,266,60,266,225,0,315,0,480,266,480,266,150,0,210,834,213,133,435,266,330,0,105,0,390,266,120,0,435,266,180,133,120,133,450,133,300,133,225,801,83,0,165,0,240,0,405,634,40,266,360,266,240,133,465,266,210,0,330,0,255,266,270,266,255,133,285,133,195,0,420,266,75,266,300,266,420,618,49,133,330,133,495,1464369983
266,465,0,510,266,315,266,450,0,120,133,480,133,345,266,495,0,135,133,180,266,390,0,195,266,285,133,105,133,375,133,360,0,360,0,270,133,255,133,150,133,165,0,495,0,285,470,273,266,435,0,465,133,210,266,135,438,402,883,415,0,75,133,90,0,345,266,405,133,315,133,135,570,271,0,225,266,90,557,262,0,90,133,405,0,450,0,375,266,375,0,150,266,345,133,240,133,390,133,270,266,165,0,300,266,195,448,173,133,420,0,180,133,75,266,105,819,73,514,277,266,225,0,315,0,480,266,480,266,150,0,210,834,213,133,435,266,330,0,105,0,390,266,120,0,435,266,180,133,120,133,450,133,300,133,225,801,83,0,165,0,240,0,405,634,40,266,360,266,240,133,465,266,210,0,330,0,255,266,270,266,255,133,285,133,195,0,420,671,85,266,300,266,420,494,266,133,330,133,495,1464369998
266,465,0,510,266,315,266,450,0,120,133,480,133,345,266,495,0,135,133,180,266,390,0,195,266,285,133,105,133,375,133,360,0,360,0,270,133,255,133,150,133,165,0,495,0,285,490,244,266,435,0,465,133,210,266,135,438,402,883,415,0,75,425,425,0,345,266,405,133,315,133,135,570,271,0,225,533,417,557,262,0,90,133,405,0,450,0,375,266,375,0,150,266,345,133,240,133,390,133,270,266,165,0,300,266,195,448,173,133,420,0,180,133,75,266,105,819,73,514,277,266,225,0,315,0,480,266,480,266,150,0,210,834,213,133,435,266,330,0,105,0,390,381,132,0,435,266,180,133,120,133,450,133,300,133,225,801,83,0,165,0,240,0,405,634,40,266,360,266,240,133,465,266,210,0,330,0,255,266,270,266,255,133,285,133,195,0,420,671,85,266,300,266,420,497,261,133,330,133,495,1464370013
266,465,0,510,266,315,266,450,0,120,133,480,133,345,266,495,0,135,133,180,266,390,0,195,266,285,133,105,133,375,133,360,0,360,0,270,133,255,133,150,133,165,0,495,0,285,490,244,266,435,0,465,133,210,884,404,438,402,883,415,0,75,425,425,0,345,266,405,133,315,133,135,570,271,0,225,533,417,557,262,0,90,133,405,0,450,0,375,266,375,0,150,266,345,133,240,133,390,133,270,266,165,0,300,266,195,448,173,133,420,0,180,133,75,468,184,819,73,514,277,266,225,0,315,0,480,266,480,536,233,0,210,834,213,133,435,266,330,0,105,0,390,761,545,0,435,593,191,133,120,133,450,133,300,133,225,801,83,0,165,0,240,0,405,634,40,266,360,266,240,133,465,266,210,0,330,0,255,266,270,266,255,133,285,133,195,0,420,671,85,266,300,266,420,497,261,133,330,133,495,1464370028
266,465,0,510,266,315,266,450,0,120,133,480,133,345,266,495,0,135,133,180,266,390,0,195,266,285,133,105,133,375,133,360,0,360,0,270,133,255,133,150,133,165,0,495,0,285,490,244,266,435,0,465,133,210,884,404,438,402,883,415,0,75,425,425,0,345,266,405,133,315,133,135,570,271,0,225,533,417,557,262,0,90,133,405,0,450,0,375,266,375,0,150,266,345,133,240,133,390,133,270,574,221,0,300,832,380,448,173,133,420,0,180,133,75,468,184,819,73,514,277,266,225,0,315,0,480,266,480,536,233,0,210,834,213,133,435,266,330,0,105,0,390,761,545,0,435,818,220,133,120,133,450,133,300,133,225,801,83,0,165,0,240,0,405,634,40,266,360,266,240,133,465,723,342,0,330,0,255,266,270,266,255,133,285,133,195,0,420,671,85,266,300,266,420,497,261,133,330,133,495,1464370043
266,465,0,510,266,315,266,450,0,120,133,480,133,345,266,495,0,135,133,180,266,390,0,195,266,285,133,105,133,375,133,360,0,360,0,270,133,255,133,150,133,165,0,495,0,285,490,244,266,435,0,465,133,210,884,404,438,402,883,415,0,75,425,425,0,345,266,405,133,315,133,135,570,271,0,225,533,417,557,262,0,90,133,405,0,450,0,375,266,375,0,150,266,345,133,240,133,390,133,270,574,221,0,300,832,380,448,173,133,420,0,180,133,75,468,184,819,73,514,277,807,284,0,315,0,480,266,480,536,233,0,210,834,213,133,435,266,330,0,105,0,390,761,545,0,435,818,220,133,120,133,450,133,300,133,225,801,83,0,165,0,240,0,405,634,40,266,360,568,130,133,465,796,352,0,330,0,255,266,270,399,34,133,285,133,195,0,420,671,85,266,300,266,420,497,261,133,330,133,495,1464370058
266,465,0,510,266,315,266,450,0,120,133,480,133,345,266,495,0,135,133,180,266,390,0,195,266,285,133,105,133,375,133,360,0,360,0,270,133,255,133,150,133,165,0,495,0,285,490,244,266,435,0,465,133,210,884,404,438,402,883,415,0,75,425,425,0,345,266,405,133,315,133,135,570,271,0,225,533,417,557,262,0,90,133,405,0,450,0,375,266,375,0,150,266,345,133,240,133,390,133,270,574,221,0,300,832,380,448,173,133,420,0,180,133,75,468,184,819,73,514,277,807,284,0,315,0,480,266,480,536,233,0,210,834,213,133,435,266,330,0,105,0,390,761,545,0,435,818,220,640,257,133,450,133,300,133,225,801,83,0,165,0,240,0,405,634,40,266,360,643,427,133,465,796,352,0,330,0,255,375,49,399,34,133,285,133,195,0,420,671,85,266,300,266,420,497,261,133,330,133,495,1464370073
266,465,0,510,266,315,266,450,0,120,133,480,133,345,266,495,0,135,133,180,266,390,0,195,534,207,133,105,133,375,133,360,0,360,0,270,133,255,133,150,133,165,0,495,0,285,490,244,266,435,0,465,133,210,884,404,438,402,883,415,0,75,425,425,0,345,266,405,133,315,522,290,570,271,0,225,533,417,557,262,0,90,133,405,0,450,0,375,266,375,0,150,266,345,133,240,133,390,133,270,574,221,0,300,832,380,448,173,133,420,0,180,133,75,468,184,819,73,514,277,807,284,0,315,0,480,266,480,536,233,0,210,834,213,133,435,266,330,0,105,0,390,761,545,0,435,818,220,737,552,133,450,133,300,133,225,801,83,0,165,0,240,0,405,634,40,266,360,643,427,133,465,796,352,0,330,0,255,375,49,399,34,133,285,133,195,0,420,671,85,266,300,266,420,497,261,133,330,133,495,1464370088
266,465,0,510,266,315,266,450,0,120,133,480,133,345,266,495,0,135,636,349,266,390,0,195,534,207,133,105,133,375,133,360,0,360,0,270,133,255,522,301,849,386,0,495,0,285,490,244,266,435,0,465,133,210,884,404,438,402,883,415,0,75,425,425,0,345,266,405,133,315,522,290,570,271,0,225,533,417,557,262,0,90,133,405,0,450,0,375,266,375,0,150,266,345,133,240,133,390,133,270,574,221,0,300,832,380,448,173,133,420,0,180,374,163,468,184,819,73,514,277,807,284,0,315,0,480,266,480,536,233,0,210,834,213,133,435,266,330,0,105,0,390,761,545,0,435,818,220,737,552,133,450,133,300,133,225,801,83,0,165,0,240,0,405,634,40,266,360,643,427,133,465,796,352,0,330,0,255,375,49,399,34,133,285,445,62,0,420,671,85,266,300,266,420,497,261,133,330,133,495,1464370103
