266,(73-67)*15+15,266,(98-67)*15+15,266,(71-67)*15+15,0,15*15+15,0,10*15+15,0,21*15+15,0,19*15+15,266,(74-67)*15+15,0,0*15+15,133,(61-34)*15+15,133,(43-34)*15+15,0,33*15+15,0,16*15+15,266,(87-67)*15+15,266,(99-67)*15+15,266,(83-67)*15+15,0,4*15+15,0,25*15+15,133,(47-34)*15+15,133,(56-34)*15+15,133,(64-34)*15+15,0,11*15+15,266,(68-67)*15+15,266,(97-67)*15+15,266,(94-67)*15+15,0,2*15+15,133,(46-34)*15+15,0,3*15+15,266,(78-67)*15+15,133,(62-34)*15+15,133,(57-34)*15+15,266,(88-67)*15+15,0,32*15+15,0,1*15+15,266,(95-67)*15+15,133,(52-34)*15+15,0,8*15+15,266,(93-67)*15+15,133,(40-34)*15+15,266,(77-67)*15+15,266,(72-67)*15+15,266,(81-67)*15+15,0,29*15+15,133,(49-34)*15+15,0,30*15+15,0,14*15+15,133,(53-34)*15+15,0,5*15+15,0,26*15+15,133,(37-34)*15+15,133,(45-34)*15+15,266,(70-67)*15+15,133,(35-34)*15+15,0,9*15+15,133,(54-34)*15+15,133,(39-34)*15+15,133,(66-34)*15+15,0,23*15+15,0,22*15+15,266,(82-67)*15+15,266,(89-67)*15+15,133,(44-34)*15+15,266,(75-67)*15+15,133,(65-34)*15+15,266,(85-67)*15+15,133,(63-34)*15+15,0,27*15+15,266,(79-67)*15+15,266,(69-67)*15+15,0,6*15+15,0,12*15+15,133,(50-34)*15+15,266,(76-67)*15+15,266,(86-67)*15+15,133,(48-34)*15+15,133,(42-34)*15+15,266,(92-67)*15+15,133,(34-34)*15+15,0,17*15+15,0,24*15+15,0,7*15+15,133,(59-34)*15+15,0,20*15+15,266,(80-67)*15+15,133,(58-34)*15+15,133,(51-34)*15+15,0,28*15+15,0,13*15+15,133,(36-34)*15+15,266,(90-67)*15+15,133,(60-34)*15+15,266,(91-67)*15+15,266,(96-67)*15+15,266,(67-67)*15+15,133,(55-34)*15+15,133,(41-34)*15+15,266,(84-67)*15+15,0,31*15+15,0,18*15+15,133,(38-34)*15+15,1477328580
266,105,464,164,266,75,0,240,0,165,0,330,0,300,266,120,0,15,133,420,133,150,0,510,0,255,266,315,415,588,266,255,0,75,0,390,133,210,133,345,133,465,0,180,266,30,266,465,266,420,0,45,133,195,0,60,266,180,133,435,133,360,266,330,0,495,0,30,266,435,133,285,0,135,266,405,133,105,266,165,266,90,266,225,0,450,133,240,0,465,0,225,133,300,0,90,0,405,133,60,133,180,266,60,133,30,0,150,133,315,133,90,133,495,0,360,0,345,266,240,266,345,133,165,266,135,133,480,266,285,133,450,0,420,266,195,266,45,0,105,0,195,133,255,266,150,266,300,133,225,133,135,266,390,133,15,0,270,0,375,0,120,133,390,0,315,266,210,133,375,133,270,0,435,0,210,133,45,266,360,133,405,266,375,266,450,266,15,133,330,133,120,266,270,0,480,0,285,133,75,1477328600
935,26,464,164,454,547,0,240,0,165,0,330,0,300,266,120,0,15,133,420,133,150,0,510,0,255,266,315,415,588,266,255,0,75,0,390,133,210,133,345,133,465,0,180,266,30,266,465,266,420,0,45,133,195,0,60,913,14,133,435,133,360,266,330,0,495,0,30,266,435,133,285,0,135,266,405,133,105,266,165,572,446,266,225,0,450,133,240,0,465,0,225,133,300,0,90,0,405,133,60,133,180,266,60,133,30,0,150,133,315,133,90,133,495,0,360,0,345,266,240,266,345,133,165,266,135,133,480,266,285,133,450,0,420,266,195,266,45,0,105,0,195,133,255,266,150,266,300,133,225,133,135,266,390,133,15,0,270,0,375,0,120,133,390,0,315,266,210,133,375,133,270,0,435,0,210,133,45,266,360,133,405,266,375,266,450,266,15,133,330,133,120,266,270,0,480,0,285,133,75,1477328615
935,26,956,562,454,547,0,240,0,165,0,330,0,300,266,120,0,15,133,420,133,150,0,510,0,255,266,315,415,588,266,255,0,75,0,390,133,210,133,345,133,465,0,180,470,152,266,465,266,420,0,45,133,195,0,60,913,14,133,435,133,360,266,330,0,495,0,30,266,435,133,285,0,135,266,405,133,105,266,165,572,446,266,225,0,450,133,240,0,465,0,225,133,300,0,90,0,405,133,60,133,180,266,60,133,30,0,150,133,315,133,90,133,495,0,360,0,345,266,240,266,345,133,165,266,135,133,480,266,285,133,450,0,420,266,195,536,492,0,105,0,195,133,255,266,150,266,300,133,225,133,135,266,390,133,15,0,270,0,375,0,120,133,390,0,315,266,210,133,375,133,270,0,435,0,210,133,45,266,360,133,405,266,375,266,450,646,417,133,330,133,120,266,270,0,480,0,285,133,75,1477328630
935,26,956,562,454,547,0,240,0,165,0,330,0,300,469,504,0,15,133,420,133,150,0,510,0,255,266,315,415,588,266,255,0,75,0,390,133,210,133,345,133,465,0,180,470,152,266,465,266,420,0,45,133,195,0,60,913,14,133,435,133,360,266,330,0,495,0,30,266,435,133,285,0,135,266,405,133,105,266,165,572,446,266,225,0,450,133,240,0,465,0,225,133,300,0,90,0,405,133,60,133,180,530,520,133,30,0,150,133,315,133,90,133,495,0,360,0,345,266,240,266,345,133,165,437,577,133,480,266,285,133,450,0,420,266,195,536,492,0,105,0,195,133,255,529,531,266,300,133,225,133,135,266,390,133,15,0,270,0,375,0,120,133,390,0,315,266,210,133,375,133,270,0,435,0,210,133,45,266,360,133,405,266,375,266,450,646,417,133,330,133,120,266,270,0,480,0,285,133,75,1477328645
935,26,956,562,454,547,0,240,0,165,0,330,0,300,469,504,0,15,133,420,133,150,0,510,0,255,266,315,415,588,266,255,0,75,0,390,133,210,133,345,133,465,0,180,470,152,266,465,266,420,0,45,133,195,0,60,913,14,133,435,133,360,266,330,0,495,0,30,266,435,133,285,0,135,266,405,133,105,790,478,572,446,486,553,0,450,133,240,0,465,0,225,133,300,0,90,0,405,133,60,133,180,530,520,133,30,0,150,133,315,133,90,133,495,0,360,0,345,266,240,266,345,133,165,437,577,133,480,266,285,133,450,0,420,437,578,536,492,0,105,0,195,133,255,529,531,266,300,133,225,133,135,266,390,133,15,0,270,0,375,0,120,133,390,0,315,667,409,133,375,133,270,0,435,0,210,133,45,266,360,133,405,266,375,266,450,646,417,133,330,133,120,266,270,0,480,0,285,133,75,1477328660
935,26,956,562,454,547,0,240,0,165,0,330,0,300,469,504,0,15,133,420,133,150,0,510,0,255,266,315,415,588,908,33,0,75,0,390,133,210,133,345,133,465,0,180,470,152,266,465,266,420,0,45,133,195,0,60,913,14,133,435,133,360,266,330,0,495,0,30,266,435,133,285,0,135,266,405,133,105,790,478,572,446,571,456,0,450,133,240,0,465,0,225,133,300,0,90,0,405,133,60,133,180,530,520,133,30,0,150,133,315,133,90,133,495,0,360,0,345,869,121,266,345,133,165,437,577,133,480,266,285,133,450,0,420,437,578,536,492,0,105,0,195,133,255,529,531,266,300,133,225,133,135,266,390,133,15,0,270,0,375,0,120,133,390,0,315,667,409,133,375,133,270,0,435,0,210,133,45,266,360,133,405,266,375,266,450,646,417,133,330,133,120,933,289,0,480,0,285,133,75,1477328675
935,26,956,562,454,547,0,240,0,165,0,330,0,300,469,504,0,15,133,420,133,150,0,510,0,255,914,93,415,588,908,33,0,75,0,390,133,210,133,345,133,465,0,180,470,152,266,465,266,420,0,45,133,195,0,60,913,14,133,435,133,360,875,7,0,495,0,30,266,435,133,285,0,135,266,405,133,105,790,478,572,446,571,456,0,450,133,240,0,465,0,225,133,300,0,90,0,405,133,60,133,180,530,520,133,30,0,150,133,315,133,90,133,495,0,360,0,345,869,121,266,345,133,165,437,577,133,480,439,579,133,450,0,420,437,578,536,492,0,105,0,195,133,255,529,531,472,570,133,225,133,135,266,390,133,15,0,270,0,375,0,120,133,390,0,315,667,409,133,375,133,270,0,435,0,210,133,45,266,360,133,405,266,375,266,450,646,417,133,330,133,120,933,289,0,480,0,285,133,75,1477328690
935,26,956,562,454,547,0,240,0,165,0,330,0,300,469,504,0,15,133,420,133,150,0,510,0,255,914,93,415,588,908,33,0,75,0,390,133,210,133,345,133,465,0,180,470,152,266,465,266,420,0,45,133,195,0,60,913,14,133,435,133,360,875,7,0,495,0,30,266,435,133,285,0,135,266,405,133,105,790,478,572,446,571,456,0,450,133,240,0,465,0,225,133,300,0,90,0,405,133,60,133,180,530,520,133,30,0,150,133,315,133,90,133,495,0,360,0,345,869,121,543,501,133,165,437,577,133,480,439,579,133,450,0,420,437,578,536,492,0,105,0,195,133,255,529,531,472,570,133,225,133,135,930,302,133,15,0,270,0,375,0,120,133,390,0,315,667,409,133,375,133,270,0,435,0,210,133,45,449,562,133,405,428,536,266,450,646,417,133,330,133,120,933,289,0,480,0,285,133,75,1477328705
935,26,956,562,454,547,0,240,0,165,0,330,0,300,469,504,0,15,133,420,133,150,0,510,0,255,914,93,415,588,908,33,0,75,0,390,133,210,133,345,133,465,0,180,470,152,266,465,889,21,0,45,133,195,0,60,913,14,133,435,133,360,875,7,0,495,0,30,631,473,133,285,0,135,872,32,133,105,790,478,572,446,571,456,0,450,133,240,0,465,0,225,133,300,0,90,0,405,133,60,133,180,530,520,133,30,0,150,133,315,133,90,133,495,0,360,0,345,869,121,543,501,133,165,437,577,133,480,439,579,133,450,0,420,437,578,536,492,0,105,0,195,133,255,529,531,472,570,133,225,133,135,930,302,133,15,0,270,0,375,0,120,133,390,0,315,667,409,133,375,133,270,0,435,0,210,133,45,449,562,133,405,428,536,266,450,646,417,133,330,133,120,933,289,0,480,0,285,133,75,1477328720
935,26,956,562,454,547,0,240,0,165,0,330,0,300,469,504,0,15,133,420,133,150,0,510,0,255,914,93,415,588,908,33,0,75,0,390,133,210,133,345,413,592,0,180,470,152,634,513,889,21,0,45,133,195,0,60,913,14,133,435,133,360,875,7,0,495,0,30,631,473,133,285,0,135,872,32,133,105,790,478,572,446,571,456,0,450,133,240,0,465,0,225,133,300,0,90,0,405,133,60,133,180,530,520,133,30,0,150,133,315,133,90,133,495,0,360,0,345,869,121,543,501,133,165,437,577,504,577,439,579,410,497,0,420,437,578,536,492,0,105,0,195,133,255,529,531,472,570,133,225,133,135,930,302,133,15,0,270,0,375,0,120,133,390,0,315,667,409,133,375,133,270,0,435,0,210,133,45,449,562,133,405,428,536,932,392,646,417,133,330,133,120,933,289,0,480,0,285,133,75,1477328735
935,26,956,562,454,547,0,240,0,165,0,330,0,300,469,504,0,15,873,82,133,150,0,510,0,255,914,93,415,588,908,33,0,75,0,390,133,210,133,345,413,592,0,180,562,261,634,513,889,21,0,45,133,195,0,60,913,14,484,483,133,360,875,7,0,495,0,30,631,473,133,285,0,135,872,32,133,105,790,478,572,446,571,456,0,450,133,240,0,465,0,225,133,300,0,90,0,405,133,60,133,180,530,520,133,30,0,150,133,315,133,90,133,495,0,360,0,345,869,121,543,501,133,165,437,577,504,577,439,579,746,427,0,420,437,578,536,492,0,105,0,195,133,255,529,531,472,570,133,225,133,135,930,302,133,15,0,270,0,375,0,120,133,390,0,315,667,409,133,375,133,270,0,435,0,210,133,45,449,562,133,405,428,536,932,392,646,417,133,330,133,120,933,289,0,480,0,285,133,75,1477328750
935,26,956,562,454,547,0,240,0,165,0,330,0,300,469,504,0,15,940,550,133,150,0,510,0,255,914,93,415,588,908,33,0,75,0,390,133,210,133,345,413,592,0,180,562,261,634,513,889,21,0,45,133,195,0,60,913,14,484,483,133,360,875,7,0,495,0,30,631,473,133,285,0,135,872,32,133,105,790,478,572,446,571,456,0,450,133,240,0,465,0,225,133,300,0,90,0,405,133,60,133,180,530,520,133,30,0,150,133,315,133,90,133,495,0,360,0,345,869,121,543,501,133,165,437,577,504,577,439,579,746,427,0,420,437,578,536,492,0,105,0,195,133,255,529,531,472,570,133,225,133,135,930,302,133,15,0,270,0,375,0,120,880,234,0,315,667,409,545,552,133,270,0,435,0,210,133,45,449,562,426,536,428,536,932,392,646,417,133,330,133,120,933,289,0,480,0,285,133,75,1477328765
935,26,956,562,454,547,0,240,0,165,0,330,0,300,469,504,0,15,940,550,133,150,0,510,0,255,914,93,415,588,908,33,0,75,0,390,133,210,892,24,413,592,0,180,562,261,634,513,889,21,0,45,133,195,0,60,913,14,484,483,919,15,875,7,0,495,0,30,631,473,133,285,0,135,872,32,133,105,790,478,572,446,571,456,0,450,133,240,0,465,0,225,133,300,0,90,0,405,133,60,133,180,530,520,133,30,0,150,485,571,133,90,133,495,0,360,0,345,869,121,543,501,133,165,437,577,504,577,439,579,746,427,0,420,437,578,536,492,0,105,0,195,133,255,529,531,472,570,133,225,133,135,930,302,133,15,0,270,0,375,0,120,880,234,0,315,667,409,545,552,133,270,0,435,0,210,133,45,449,562,426,536,428,536,932,392,646,417,939,21,133,120,933,289,0,480,0,285,133,75,1477328780
935,26,956,562,454,547,0,240,0,165,0,330,0,300,469,504,0,15,940,550,133,150,0,510,0,255,914,93,415,588,908,33,0,75,0,390,133,210,892,24,413,592,0,180,562,261,634,513,889,21,0,45,133,195,0,60,913,14,484,483,919,15,875,7,0,495,0,30,631,473,883,24,0,135,872,32,133,105,790,478,572,446,571,456,0,450,133,240,0,465,0,225,562,437,0,90,0,405,133,60,133,180,530,520,133,30,0,150,485,571,133,90,133,495,0,360,0,345,869,121,543,501,133,165,437,577,504,577,439,579,746,427,0,420,437,578,536,492,0,105,0,195,428,590,529,531,472,570,133,225,133,135,930,302,133,15,0,270,0,375,0,120,880,234,0,315,667,409,545,552,932,14,0,435,0,210,133,45,449,562,426,536,428,536,932,392,646,417,939,21,133,120,933,289,0,480,0,285,133,75,1477328795
935,26,956,562,454,547,0,240,0,165,0,330,0,300,469,504,0,15,940,550,133,150,0,510,0,255,914,93,415,588,908,33,0,75,0,390,457,600,892,24,413,592,0,180,562,261,634,513,889,21,0,45,627,500,0,60,913,14,484,483,919,15,875,7,0,495,0,30,631,473,883,24,0,135,872,32,133,105,790,478,572,446,571,456,0,450,531,511,0,465,0,225,562,437,0,90,0,405,133,60,133,180,530,520,133,30,0,150,485,571,133,90,133,495,0,360,0,345,869,121,543,501,133,165,437,577,504,577,439,579,746,427,0,420,437,578,536,492,0,105,0,195,428,590,529,531,472,570,485,575,133,135,930,302,133,15,0,270,0,375,0,120,880,234,0,315,667,409,545,552,932,14,0,435,0,210,133,45,449,562,426,536,428,536,932,392,646,417,939,21,133,120,933,289,0,480,0,285,133,75,1477328810
935,26,956,562,454,547,0,240,0,165,0,330,0,300,469,504,0,15,940,550,893,32,0,510,0,255,914,93,415,588,908,33,0,75,0,390,457,600,892,24,413,592,0,180,562,261,634,513,889,21,0,45,627,500,0,60,913,14,484,483,919,15,875,7,0,495,0,30,631,473,883,24,0,135,872,32,133,105,790,478,572,446,571,456,0,450,531,511,0,465,0,225,562,437,0,90,0,405,133,60,885,20,530,520,133,30,0,150,485,571,133,90,133,495,0,360,0,345,869,121,543,501,467,604,437,577,504,577,439,579,746,427,0,420,437,578,536,492,0,105,0,195,428,590,529,531,472,570,485,575,497,545,930,302,133,15,0,270,0,375,0,120,880,234,0,315,667,409,545,552,932,14,0,435,0,210,133,45,449,562,426,536,428,536,932,392,646,417,939,21,133,120,933,289,0,480,0,285,133,75,1477328825
935,26,956,562,454,547,0,240,0,165,0,330,0,300,469,504,0,15,940,550,893,32,0,510,0,255,914,93,415,588,908,33,0,75,0,390,457,600,892,24,413,592,0,180,562,261,634,513,889,21,0,45,627,500,0,60,913,14,484,483,919,15,875,7,0,495,0,30,631,473,883,24,0,135,872,32,905,146,790,478,572,446,571,456,0,450,531,511,0,465,0,225,562,437,0,90,0,405,133,60,885,20,530,520,133,30,0,150,485,571,442,593,133,495,0,360,0,345,869,121,543,501,467,604,437,577,504,577,439,579,746,427,0,420,437,578,536,492,0,105,0,195,428,590,529,531,472,570,485,575,497,545,930,302,133,15,0,270,0,375,0,120,880,234,0,315,667,409,545,552,932,14,0,435,0,210,133,45,449,562,426,536,428,536,932,392,646,417,939,21,903,22,933,289,0,480,0,285,788,469,1477328840
935,26,956,562,454,547,0,240,0,165,0,330,0,300,469,504,0,15,940,550,893,32,0,510,0,255,914,93,415,588,908,33,0,75,0,390,457,600,892,24,413,592,0,180,562,261,634,513,889,21,0,45,627,500,0,60,913,14,484,483,919,15,875,7,0,495,0,30,631,473,883,24,0,135,872,32,905,146,790,478,572,446,571,456,0,450,531,511,0,465,0,225,562,437,0,90,0,405,464,590,885,20,530,520,527,462,0,150,485,571,442,593,133,495,0,360,0,345,869,121,543,501,467,604,437,577,504,577,439,579,746,427,0,420,437,578,536,492,0,105,0,195,428,590,529,531,472,570,485,575,497,545,930,302,133,15,0,270,0,375,0,120,880,234,0,315,667,409,545,552,932,14,0,435,0,210,440,528,449,562,426,536,426,533,932,392,646,417,939,21,903,22,933,289,0,480,0,285,788,469,1477328855
935,26,956,562,454,547,0,240,0,165,0,330,0,300,469,504,916,27,940,550,893,32,0,510,0,255,914,93,415,588,908,33,0,75,0,390,457,600,892,24,413,592,0,180,562,261,634,513,889,21,636,492,627,500,0,60,913,14,484,483,919,15,875,7,0,495,905,156,631,473,883,24,0,135,872,32,905,146,790,478,572,446,571,456,0,450,531,511,0,465,0,225,562,437,0,90,0,405,464,590,885,20,530,520,527,462,0,150,485,571,442,593,133,495,0,360,0,345,869,121,543,501,467,604,437,577,504,577,439,579,746,427,0,420,437,578,536,492,0,105,0,195,428,590,529,531,472,570,485,575,497,545,930,302,936,315,0,270,0,375,0,120,880,234,0,315,667,409,545,552,932,14,0,435,0,210,440,528,449,562,426,536,426,533,932,392,646,417,939,21,903,22,933,289,0,480,0,285,788,469,1477328870
