0,11*15+15,266,(79-67)*15+15,266,(84-67)*15+15,0,30*15+15,133,(63-34)*15+15,133,(41-34)*15+15,133,(50-34)*15+15,0,16*15+15,0,22*15+15,133,(62-34)*15+15,0,33*15+15,0,1*15+15,266,(78-67)*15+15,266,(88-67)*15+15,0,18*15+15,133,(42-34)*15+15,266,(81-67)*15+15,0,10*15+15,133,(56-34)*15+15,266,(99-67)*15+15,0,21*15+15,133,(37-34)*15+15,133,(65-34)*15+15,0,15*15+15,266,(85-67)*15+15,133,(54-34)*15+15,0,28*15+15,266,(76-67)*15+15,133,(58-34)*15+15,266,(69-67)*15+15,266,(71-67)*15+15,0,25*15+15,0,31*15+15,266,(98-67)*15+15,266,(94-67)*15+15,0,26*15+15,266,(87-67)*15+15,0,3*15+15,133,(43-34)*15+15,133,(61-34)*15+15,133,(36-34)*15+15,266,(80-67)*15+15,0,9*15+15,133,(35-34)*15+15,266,(74-67)*15+15,133,(59-34)*15+15,133,(40-34)*15+15,0,13*15+15,0,20*15+15,133,(51-34)*15+15,0,29*15+15,0,27*15+15,0,32*15+15,0,0*15+15,133,(66-34)*15+15,0,4*15+15,266,(77-67)*15+15,0,23*15+15,0,17*15+15,133,(47-34)*15+15,0,19*15+15,133,(38-34)*15+15,0,2*15+15,266,(73-67)*15+15,266,(89-67)*15+15,266,(82-67)*15+15,133,(53-34)*15+15,266,(83-67)*15+15,0,14*15+15,0,7*15+15,133,(52-34)*15+15,0,5*15+15,0,6*15+15,266,(97-67)*15+15,266,(70-67)*15+15,266,(93-67)*15+15,266,(86-67)*15+15,266,(95-67)*15+15,133,(55-34)*15+15,266,(72-67)*15+15,266,(75-67)*15+15,133,(46-34)*15+15,133,(44-34)*15+15,266,(96-67)*15+15,133,(48-34)*15+15,133,(49-34)*15+15,266,(90-67)*15+15,133,(57-34)*15+15,266,(91-67)*15+15,133,(60-34)*15+15,266,(67-67)*15+15,0,8*15+15,133,(64-34)*15+15,133,(34-34)*15+15,133,(39-34)*15+15,0,24*15+15,133,(45-34)*15+15,266,(68-67)*15+15,266,(92-67)*15+15,0,12*15+15,1465384529
0,180,266,195,266,270,0,465,133,450,133,120,133,255,0,255,0,345,133,435,0,510,0,30,266,180,266,330,0,285,133,135,266,225,0,165,133,345,266,495,0,330,133,60,133,480,0,240,266,285,133,315,0,435,266,150,133,375,266,45,266,75,0,390,0,480,266,480,266,420,0,405,266,315,0,60,133,150,133,420,133,45,266,210,0,150,133,30,266,120,133,390,133,105,0,210,0,315,133,270,0,450,0,420,0,495,0,15,133,495,0,75,266,165,0,360,0,270,133,210,0,300,133,75,0,45,266,105,266,345,266,240,133,300,266,255,0,225,0,120,133,285,0,90,0,105,266,465,266,60,266,405,266,300,266,435,133,330,266,90,266,135,133,195,133,165,266,450,133,225,133,240,266,360,133,360,266,375,133,405,266,15,0,135,133,465,133,15,133,90,0,375,133,180,266,30,266,390,0,195,1465384616
0,180,266,195,266,270,0,465,133,450,133,120,133,255,0,255,0,345,133,435,0,510,481,48,266,180,266,330,0,285,133,135,266,225,0,165,133,345,266,495,0,330,133,60,133,480,0,240,266,285,133,315,0,435,266,150,133,375,266,45,266,75,0,390,0,480,266,480,266,420,0,405,266,315,0,60,133,150,133,420,133,45,266,210,0,150,133,30,266,120,133,390,133,105,0,210,0,315,133,270,0,450,0,420,0,495,430,28,133,495,535,31,266,165,0,360,0,270,133,210,0,300,133,75,0,45,266,105,266,345,266,240,133,300,266,255,0,225,0,120,133,285,548,361,0,105,266,465,266,60,266,405,266,300,266,435,133,330,266,90,266,135,133,195,133,165,266,450,133,225,133,240,266,360,133,360,266,375,133,405,266,15,0,135,133,465,133,15,133,90,0,375,133,180,266,30,266,390,0,195,1465384631
0,180,266,195,266,270,0,465,133,450,133,120,133,255,0,255,0,345,133,435,0,510,481,48,266,180,266,330,0,285,133,135,266,225,0,165,133,345,266,495,0,330,133,60,133,480,0,240,266,285,133,315,0,435,266,150,133,375,266,45,266,75,0,390,0,480,266,480,266,420,0,405,266,315,512,533,133,150,133,420,133,45,266,210,0,150,133,30,266,120,133,390,133,105,0,210,0,315,133,270,0,450,0,420,0,495,430,28,133,495,535,31,266,165,0,360,0,270,133,210,0,300,133,75,436,501,266,105,266,345,266,240,133,300,266,255,0,225,0,120,133,285,489,123,418,483,266,465,266,60,266,405,266,300,266,435,133,330,266,90,266,135,133,195,133,165,266,450,133,225,133,240,266,360,133,360,266,375,133,405,266,15,0,135,133,465,133,15,133,90,0,375,133,180,266,30,266,390,0,195,1465384646
0,180,266,195,266,270,0,465,133,450,133,120,133,255,0,255,0,345,133,435,0,510,481,48,266,180,266,330,0,285,133,135,266,225,445,67,133,345,266,495,0,330,133,60,133,480,0,240,266,285,133,315,0,435,266,150,133,375,266,45,266,75,0,390,0,480,266,480,266,420,0,405,266,315,512,533,133,150,133,420,133,45,266,210,831,351,133,30,266,120,133,390,133,105,0,210,0,315,133,270,0,450,0,420,0,495,430,28,133,495,840,76,266,165,0,360,0,270,133,210,0,300,133,75,436,501,266,105,266,345,266,240,133,300,266,255,0,225,412,524,133,285,489,123,418,483,266,465,266,60,266,405,266,300,266,435,133,330,266,90,266,135,133,195,133,165,266,450,133,225,133,240,266,360,133,360,266,375,133,405,266,15,765,335,133,465,133,15,133,90,0,375,133,180,266,30,266,390,0,195,1465384661
583,564,266,195,266,270,0,465,133,450,133,120,133,255,0,255,0,345,133,435,0,510,481,48,266,180,266,330,0,285,133,135,266,225,445,67,133,345,266,495,0,330,133,60,133,480,0,240,266,285,133,315,0,435,266,150,133,375,266,45,266,75,0,390,0,480,266,480,266,420,0,405,266,315,512,533,133,150,133,420,133,45,266,210,831,351,133,30,266,120,133,390,133,105,534,200,0,315,133,270,0,450,0,420,0,495,430,28,133,495,840,76,266,165,0,360,0,270,133,210,0,300,133,75,436,501,266,105,266,345,266,240,133,300,266,255,0,225,412,524,133,285,489,123,418,483,266,465,266,60,266,405,266,300,266,435,133,330,266,90,266,135,133,195,133,165,266,450,133,225,133,240,266,360,133,360,266,375,133,405,266,15,765,335,133,465,133,15,133,90,0,375,133,180,266,30,266,390,639,275,1465384676
583,564,266,195,266,270,0,465,133,450,133,120,133,255,0,255,0,345,133,435,0,510,481,48,266,180,266,330,0,285,133,135,266,225,445,67,133,345,266,495,0,330,133,60,133,480,483,488,266,285,133,315,0,435,266,150,133,375,266,45,266,75,0,390,0,480,266,480,266,420,0,405,266,315,512,533,133,150,133,420,133,45,266,210,831,351,133,30,266,120,133,390,133,105,492,396,0,315,133,270,0,450,0,420,0,495,430,28,133,495,840,76,266,165,0,360,0,270,133,210,0,300,133,75,436,501,266,105,266,345,266,240,133,300,266,255,872,105,412,524,133,285,489,123,418,483,266,465,266,60,266,405,266,300,266,435,133,330,266,90,266,135,133,195,133,165,266,450,133,225,133,240,266,360,133,360,266,375,133,405,266,15,765,335,133,465,133,15,133,90,0,375,133,180,266,30,266,390,639,275,1465384691
583,564,266,195,266,270,0,465,133,450,133,120,133,255,462,460,0,345,133,435,0,510,481,48,266,180,266,330,556,461,133,135,266,225,445,67,133,345,266,495,0,330,133,60,133,480,483,488,266,285,133,315,0,435,266,150,133,375,266,45,266,75,0,390,0,480,266,480,266,420,0,405,266,315,512,533,133,150,133,420,133,45,266,210,831,351,133,30,266,120,133,390,133,105,903,517,0,315,133,270,0,450,0,420,0,495,430,28,133,495,840,76,266,165,0,360,862,368,133,210,0,300,133,75,436,501,266,105,266,345,266,240,133,300,266,255,872,105,412,524,133,285,489,123,418,483,266,465,266,60,266,405,266,300,266,435,133,330,266,90,266,135,133,195,133,165,266,450,133,225,133,240,266,360,133,360,266,375,133,405,266,15,765,335,133,465,133,15,133,90,0,375,133,180,266,30,266,390,639,275,1465384706
583,564,266,195,266,270,0,465,133,450,133,120,133,255,462,460,0,345,133,435,0,510,481,48,266,180,266,330,540,467,133,135,266,225,445,67,133,345,266,495,516,26,133,60,133,480,483,488,266,285,133,315,0,435,266,150,133,375,266,45,266,75,0,390,0,480,266,480,266,420,0,405,266,315,512,533,133,150,133,420,133,45,266,210,831,351,133,30,266,120,133,390,133,105,903,517,509,545,133,270,0,450,0,420,0,495,430,28,133,495,840,76,266,165,0,360,862,368,133,210,782,95,133,75,436,501,266,105,266,345,266,240,133,300,266,255,872,105,412,524,133,285,489,123,418,483,266,465,266,60,266,405,266,300,266,435,133,330,266,90,266,135,133,195,133,165,266,450,133,225,133,240,266,360,133,360,266,375,133,405,266,15,765,335,133,465,133,15,133,90,0,375,133,180,266,30,266,390,639,275,1465384721
583,564,266,195,266,270,0,465,133,450,133,120,133,255,462,460,0,345,133,435,0,510,481,48,266,180,266,330,540,467,133,135,266,225,445,67,133,345,266,495,515,26,133,60,133,480,483,488,266,285,133,315,0,435,266,150,133,375,266,45,266,75,0,390,0,480,266,480,266,420,0,405,266,315,512,533,133,150,133,420,133,45,266,210,831,351,133,30,266,120,133,390,133,105,903,517,509,545,133,270,0,450,0,420,0,495,570,52,133,495,840,76,266,165,432,51,862,368,133,210,782,95,133,75,436,501,266,105,266,345,266,240,133,300,266,255,872,105,412,524,133,285,489,123,418,483,266,465,266,60,266,405,266,300,266,435,133,330,266,90,266,135,133,195,133,165,266,450,133,225,133,240,266,360,133,360,266,375,133,405,266,15,765,335,133,465,133,15,133,90,0,375,133,180,266,30,266,390,639,275,1465384736
583,564,266,195,266,270,0,465,133,450,133,120,133,255,462,460,609,566,133,435,0,510,481,48,266,180,266,330,540,467,133,135,266,225,445,67,133,345,266,495,515,26,133,60,133,480,483,488,266,285,133,315,0,435,266,150,133,375,266,45,266,75,0,390,0,480,266,480,266,420,0,405,266,315,512,533,133,150,133,420,133,45,266,210,831,351,133,30,266,120,133,390,133,105,903,517,509,545,133,270,0,450,0,420,0,495,570,52,133,495,840,76,266,165,432,51,862,368,133,210,782,95,133,75,436,501,266,105,266,345,266,240,133,300,266,255,872,105,412,524,133,285,489,123,418,483,266,465,266,60,266,405,266,300,266,435,133,330,266,90,266,135,133,195,133,165,266,450,133,225,133,240,266,360,133,360,266,375,133,405,266,15,765,335,133,465,133,15,133,90,519,370,133,180,266,30,266,390,639,275,1465384751
