133,(58-34)*15+15,133,(44-34)*15+15,266,(91-67)*15+15,0,17*15+15,266,(92-67)*15+15,133,(62-34)*15+15,266,(80-67)*15+15,0,14*15+15,0,3*15+15,133,(64-34)*15+15,0,31*15+15,133,(34-34)*15+15,0,4*15+15,0,30*15+15,133,(57-34)*15+15,133,(60-34)*15+15,133,(54-34)*15+15,0,33*15+15,0,5*15+15,133,(49-34)*15+15,266,(99-67)*15+15,0,29*15+15,266,(67-67)*15+15,0,22*15+15,266,(81-67)*15+15,133,(45-34)*15+15,133,(59-34)*15+15,266,(83-67)*15+15,133,(53-34)*15+15,133,(51-34)*15+15,0,23*15+15,0,2*15+15,0,7*15+15,266,(90-67)*15+15,0,19*15+15,133,(52-34)*15+15,266,(71-67)*15+15,0,24*15+15,133,(39-34)*15+15,133,(43-34)*15+15,133,(42-34)*15+15,0,25*15+15,0,9*15+15,0,13*15+15,266,(86-67)*15+15,133,(47-34)*15+15,266,(77-67)*15+15,0,11*15+15,133,(36-34)*15+15,0,15*15+15,0,20*15+15,133,(46-34)*15+15,0,21*15+15,266,(85-67)*15+15,266,(89-67)*15+15,266,(84-67)*15+15,133,(63-34)*15+15,0,12*15+15,0,27*15+15,266,(76-67)*15+15,266,(78-67)*15+15,266,(79-67)*15+15,0,32*15+15,133,(41-34)*15+15,266,(93-67)*15+15,133,(61-34)*15+15,0,16*15+15,266,(95-67)*15+15,0,28*15+15,266,(96-67)*15+15,266,(87-67)*15+15,266,(88-67)*15+15,0,1*15+15,266,(72-67)*15+15,133,(40-34)*15+15,0,26*15+15,133,(37-34)*15+15,133,(35-34)*15+15,133,(65-34)*15+15,266,(68-67)*15+15,266,(82-67)*15+15,266,(94-67)*15+15,266,(73-67)*15+15,0,6*15+15,0,18*15+15,266,(69-67)*15+15,266,(75-67)*15+15,0,8*15+15,133,(66-34)*15+15,266,(98-67)*15+15,0,10*15+15,266,(74-67)*15+15,133,(56-34)*15+15,133,(55-34)*15+15,133,(38-34)*15+15,266,(70-67)*15+15,266,(97-67)*15+15,133,(50-34)*15+15,0,0*15+15,133,(48-34)*15+15,1478766149
133,375,133,165,266,375,0,270,266,390,133,435,266,210,0,225,0,60,133,465,0,480,133,15,0,75,0,465,133,360,133,405,133,315,0,510,0,90,133,240,266,495,0,450,266,15,0,345,266,225,133,180,133,390,266,255,133,300,133,270,0,360,784,131,0,120,266,360,0,300,133,285,266,75,0,375,133,90,133,150,133,135,0,390,0,150,0,210,266,300,133,210,266,165,0,180,133,45,0,240,0,315,133,195,0,330,266,285,266,345,266,270,133,450,0,195,0,420,266,150,266,180,266,195,0,495,133,120,266,405,133,420,0,255,266,435,0,435,266,450,266,315,266,330,801,363,266,90,133,105,0,405,133,60,133,30,133,480,266,30,266,240,266,420,266,105,0,105,0,285,266,45,266,135,0,135,133,495,266,480,0,165,266,120,133,345,133,330,133,75,266,60,266,465,133,255,539,158,133,225,1478766167
133,375,133,165,266,375,0,270,266,390,133,435,266,210,0,225,739,255,133,465,0,480,133,15,913,233,0,465,133,360,133,405,133,315,0,510,677,403,133,240,266,495,0,450,266,15,0,345,266,225,133,180,133,390,266,255,133,300,133,270,0,360,784,131,0,120,266,360,0,300,133,285,266,75,0,375,133,90,133,150,133,135,0,390,0,150,0,210,266,300,133,210,266,165,0,180,133,45,0,240,0,315,133,195,0,330,266,285,266,345,266,270,133,450,0,195,0,420,266,150,266,180,266,195,0,495,133,120,266,405,133,420,0,255,266,435,0,435,266,450,266,315,266,330,801,363,266,90,133,105,0,405,133,60,133,30,133,480,266,30,266,240,266,420,266,105,444,306,0,285,266,45,266,135,0,135,133,495,266,480,0,165,266,120,133,345,133,330,133,75,266,60,266,465,133,255,539,158,133,225,1478766182
133,375,133,165,266,375,0,270,266,390,133,435,266,210,0,225,739,255,133,465,0,480,133,15,913,233,0,465,133,360,133,405,133,315,0,510,677,403,133,240,266,495,0,450,266,15,0,345,266,225,133,180,133,390,266,255,133,300,133,270,0,360,784,131,761,422,266,360,0,300,133,285,266,75,0,375,133,90,133,150,133,135,0,390,598,540,0,210,266,300,133,210,266,165,0,180,133,45,0,240,0,315,133,195,0,330,266,285,266,345,266,270,133,450,0,195,0,420,266,150,266,180,266,195,0,495,133,120,266,405,133,420,0,255,266,435,0,435,266,450,266,315,266,330,801,363,266,90,133,105,0,405,133,60,133,30,133,480,266,30,266,240,266,420,266,105,444,306,0,285,266,45,266,135,443,435,133,495,266,480,430,396,266,120,133,345,133,330,133,75,266,60,266,465,133,255,539,158,133,225,1478766197
133,375,133,165,266,375,0,270,266,390,133,435,266,210,703,413,739,255,133,465,0,480,133,15,913,233,0,465,133,360,133,405,133,315,0,510,677,403,133,240,266,495,0,450,266,15,0,345,266,225,133,180,133,390,266,255,133,300,133,270,0,360,784,131,761,422,266,360,0,300,133,285,266,75,0,375,133,90,133,150,133,135,0,390,598,540,642,558,266,300,133,210,266,165,427,312,133,45,0,240,0,315,133,195,0,330,266,285,266,345,266,270,133,450,537,552,0,420,266,150,266,180,266,195,0,495,133,120,266,405,133,420,0,255,266,435,0,435,266,450,266,315,266,330,801,363,266,90,133,105,0,405,133,60,133,30,133,480,266,30,266,240,266,420,266,105,444,306,0,285,266,45,266,135,443,435,133,495,266,480,418,436,266,120,133,345,133,330,133,75,266,60,266,465,133,255,539,158,133,225,1478766212
133,375,133,165,266,375,766,95,266,390,133,435,266,210,768,462,739,255,133,465,0,480,133,15,913,233,0,465,133,360,133,405,133,315,0,510,677,403,133,240,266,495,0,450,266,15,0,345,266,225,133,180,133,390,266,255,133,300,133,270,0,360,784,131,761,422,266,360,0,300,133,285,266,75,0,375,133,90,133,150,133,135,0,390,598,540,642,558,266,300,133,210,266,165,427,312,133,45,725,338,0,315,133,195,0,330,266,285,266,345,266,270,133,450,537,552,0,420,266,150,266,180,266,195,0,495,133,120,266,405,133,420,496,119,266,435,0,435,266,450,266,315,266,330,801,363,266,90,133,105,0,405,133,60,133,30,133,480,266,30,266,240,266,420,266,105,444,306,0,285,266,45,266,135,443,435,133,495,266,480,418,436,266,120,133,345,133,330,133,75,266,60,266,465,133,255,486,135,133,225,1478766227
133,375,133,165,266,375,766,95,266,390,133,435,266,210,768,462,739,255,133,465,0,480,133,15,913,233,0,465,133,360,133,405,133,315,0,510,677,403,133,240,266,495,0,450,266,15,0,345,266,225,133,180,133,390,266,255,133,300,133,270,0,360,784,131,761,422,266,360,729,454,133,285,266,75,0,375,133,90,133,150,133,135,0,390,598,540,642,558,266,300,133,210,266,165,427,312,133,45,725,338,709,320,133,195,0,330,266,285,266,345,266,270,133,450,537,552,0,420,266,150,266,180,266,195,0,495,133,120,266,405,133,420,496,119,266,435,0,435,266,450,266,315,266,330,801,363,266,90,133,105,0,405,133,60,133,30,133,480,266,30,266,240,266,420,266,105,444,306,421,300,266,45,266,135,443,435,133,495,266,480,418,436,266,120,133,345,133,330,133,75,266,60,266,465,133,255,486,135,133,225,1478766242
133,375,133,165,266,375,766,95,266,390,133,435,266,210,768,462,739,255,133,465,0,480,133,15,913,233,0,465,133,360,133,405,133,315,0,510,677,403,133,240,266,495,0,450,266,15,0,345,266,225,133,180,133,390,266,255,133,300,133,270,0,360,784,131,761,422,266,360,729,454,133,285,266,75,0,375,133,90,133,150,133,135,0,390,482,531,784,570,266,300,133,210,266,165,427,312,133,45,875,327,507,332,133,195,196,364,266,285,266,345,266,270,133,450,514,577,0,420,266,150,266,180,266,195,0,495,133,120,266,405,133,420,496,119,266,435,0,435,266,450,266,315,266,330,801,363,266,90,133,105,0,405,133,60,133,30,133,480,266,30,266,240,266,420,266,105,444,306,421,300,266,45,266,135,443,435,133,495,266,480,418,436,266,120,133,345,133,330,133,75,266,60,266,465,133,255,486,135,133,225,1478766257
133,375,133,165,266,375,766,95,266,390,133,435,266,210,768,462,739,255,133,465,0,480,133,15,913,233,0,465,133,360,133,405,133,315,0,510,677,403,133,240,266,495,0,450,266,15,544,173,266,225,133,180,133,390,266,255,133,300,133,270,864,139,784,131,761,422,266,360,729,454,133,285,266,75,793,149,133,90,133,150,133,135,0,390,482,531,784,570,266,300,133,210,266,165,427,312,133,45,875,327,507,332,133,195,528,234,266,285,266,345,266,270,133,450,514,577,0,420,266,150,266,180,266,195,0,495,133,120,266,405,133,420,496,119,266,435,0,435,266,450,266,315,266,330,801,363,266,90,133,105,0,405,133,60,133,30,133,480,266,30,266,240,266,420,266,105,444,306,421,300,266,45,266,135,443,435,133,495,266,480,418,436,266,120,133,345,133,330,133,75,266,60,266,465,133,255,486,135,133,225,1478766272
133,375,133,165,266,375,766,95,266,390,133,435,266,210,768,462,739,255,133,465,0,480,133,15,913,233,0,465,133,360,133,405,133,315,0,510,677,403,133,240,266,495,0,450,266,15,544,173,266,225,133,180,133,390,266,255,133,300,133,270,864,139,784,131,761,422,266,360,729,454,133,285,266,75,793,149,133,90,133,150,133,135,586,542,482,531,674,584,266,300,133,210,266,165,427,312,133,45,875,327,507,332,133,195,528,234,266,285,266,345,266,270,133,450,514,577,421,517,266,150,266,180,266,195,0,495,133,120,266,405,133,420,496,119,266,435,0,435,266,450,266,315,266,330,801,363,266,90,133,105,719,348,133,60,133,30,133,480,266,30,266,240,266,420,266,105,444,306,421,300,266,45,266,135,443,435,133,495,266,480,418,436,266,120,133,345,133,330,133,75,266,60,266,465,133,255,486,135,133,225,1478766287
133,375,133,165,266,375,766,95,266,390,133,435,266,210,768,462,739,255,133,465,0,480,133,15,913,233,0,465,133,360,133,405,133,315,0,510,677,403,133,240,266,495,0,450,266,15,544,173,266,225,133,180,133,390,266,255,133,300,133,270,864,139,784,131,761,422,266,360,729,454,133,285,266,75,793,149,133,90,133,150,133,135,586,542,482,531,674,584,266,300,133,210,266,165,427,312,133,45,875,327,507,332,133,195,528,234,266,285,266,345,266,270,133,450,514,577,421,517,266,150,266,180,266,195,0,495,133,120,266,405,133,420,496,119,266,435,43,415,266,450,266,315,266,330,801,363,266,90,133,105,719,348,133,60,133,30,133,480,266,30,266,240,266,420,266,105,444,306,421,300,266,45,266,135,443,435,133,495,266,480,418,436,266,120,133,345,133,330,133,75,266,60,266,465,133,255,486,135,133,225,1478766302
