133,(34-34)*15+15,266,(77-67)*15+15,133,(62-34)*15+15,133,(36-34)*15+15,266,(75-67)*15+15,266,(97-67)*15+15,266,(92-67)*15+15,266,(89-67)*15+15,0,19*15+15,133,(59-34)*15+15,133,(63-34)*15+15,0,25*15+15,266,(95-67)*15+15,266,(82-67)*15+15,0,16*15+15,266,(90-67)*15+15,133,(54-34)*15+15,133,(42-34)*15+15,0,14*15+15,133,(43-34)*15+15,266,(79-67)*15+15,133,(37-34)*15+15,0,7*15+15,0,6*15+15,0,31*15+15,0,33*15+15,133,(40-34)*15+15,133,(57-34)*15+15,0,18*15+15,133,(55-34)*15+15,266,(98-67)*15+15,133,(35-34)*15+15,133,(46-34)*15+15,0,11*15+15,133,(61-34)*15+15,266,(83-67)*15+15,0,17*15+15,0,20*15+15,133,(44-34)*15+15,266,(67-67)*15+15,133,(38-34)*15+15,133,(53-34)*15+15,266,(87-67)*15+15,266,(70-67)*15+15,266,(86-67)*15+15,0,1*15+15,0,9*15+15,266,(93-67)*15+15,0,2*15+15,133,(52-34)*15+15,133,(64-34)*15+15,133,(51-34)*15+15,266,(76-67)*15+15,133,(48-34)*15+15,0,21*15+15,0,12*15+15,133,(45-34)*15+15,0,26*15+15,0,24*15+15,0,32*15+15,266,(91-67)*15+15,0,10*15+15,133,(65-34)*15+15,266,(72-67)*15+15,133,(56-34)*15+15,133,(50-34)*15+15,0,30*15+15,266,(94-67)*15+15,133,(41-34)*15+15,266,(73-67)*15+15,266,(85-67)*15+15,133,(58-34)*15+15,0,13*15+15,133,(39-34)*15+15,266,(68-67)*15+15,133,(60-34)*15+15,266,(74-67)*15+15,0,28*15+15,266,(96-67)*15+15,0,5*15+15,0,4*15+15,266,(81-67)*15+15,133,(49-34)*15+15,133,(47-34)*15+15,0,8*15+15,266,(80-67)*15+15,266,(69-67)*15+15,0,23*15+15,0,29*15+15,0,22*15+15,133,(66-34)*15+15,266,(84-67)*15+15,0,27*15+15,0,3*15+15,266,(71-67)*15+15,0,0*15+15,0,15*15+15,266,(88-67)*15+15,266,(99-67)*15+15,266,(78-67)*15+15,1465700269
133,15,266,165,133,435,133,45,266,135,266,465,266,390,266,345,0,300,133,390,133,450,0,390,266,435,266,240,0,255,266,360,133,315,133,135,0,225,133,150,266,195,133,60,0,120,0,105,0,480,0,510,133,105,133,360,0,285,133,330,266,480,133,30,133,195,0,180,133,420,266,255,0,270,0,315,133,165,266,15,133,75,133,300,266,315,266,60,266,300,0,30,0,150,266,405,0,45,133,285,133,465,133,270,266,150,133,225,0,330,0,195,133,180,0,405,0,375,0,495,266,375,0,165,133,480,266,90,133,345,133,255,0,465,266,420,133,120,266,105,266,285,133,375,0,210,133,90,266,30,133,405,266,120,0,435,266,450,0,90,0,75,266,225,133,240,133,210,0,135,266,210,266,45,0,360,0,450,0,345,133,495,266,270,0,420,0,60,266,75,0,15,0,240,266,330,266,495,266,180,1465700302
133,15,266,165,944,203,133,45,266,135,266,465,266,390,266,345,0,300,133,390,133,450,0,390,266,435,266,240,0,255,266,360,133,315,133,135,0,225,133,150,266,195,133,60,0,120,0,105,0,480,0,510,133,105,133,360,0,285,133,330,266,480,133,30,133,195,0,180,133,420,266,255,0,270,0,315,133,165,266,15,133,75,133,300,266,315,266,60,266,300,0,30,0,150,266,405,0,45,133,285,133,465,133,270,266,150,133,225,0,330,0,195,133,180,0,405,435,305,0,495,266,375,0,165,133,480,266,90,133,345,133,255,0,465,266,420,133,120,266,105,266,285,133,375,0,210,133,90,266,30,133,405,266,120,0,435,266,450,0,90,0,75,266,225,133,240,133,210,0,135,266,210,266,45,0,360,0,450,0,345,133,495,266,270,0,420,0,60,266,75,493,46,0,240,266,330,266,495,266,180,1465700317
133,15,266,165,944,203,133,45,266,135,266,465,266,390,266,345,0,300,133,390,133,450,0,390,266,435,266,240,0,255,266,360,133,315,133,135,0,225,133,150,266,195,133,60,0,120,0,105,0,480,0,510,133,105,133,360,0,285,133,330,266,480,133,30,133,195,0,180,133,420,266,255,0,270,0,315,133,165,266,15,133,75,133,300,266,315,266,60,266,300,0,30,0,150,266,405,0,45,133,285,133,465,133,270,266,150,133,225,0,330,0,195,718,155,0,405,435,305,0,495,266,375,0,165,133,480,266,90,133,345,133,255,0,465,266,420,133,120,266,105,266,285,133,375,0,210,133,90,266,30,133,405,266,120,0,435,266,450,0,90,0,75,266,225,133,240,133,210,0,135,266,210,266,45,0,360,0,450,0,345,133,495,266,270,0,420,0,60,266,75,493,46,0,240,266,330,266,495,266,180,1465700332
133,15,266,165,942,60,133,45,266,135,266,465,266,390,266,345,0,300,133,390,133,450,0,390,266,435,266,240,0,255,266,360,133,315,133,135,0,225,133,150,266,195,133,60,0,120,0,105,0,480,0,510,133,105,133,360,0,285,133,330,266,480,133,30,133,195,0,180,133,420,266,255,441,483,0,315,133,165,266,15,133,75,133,300,266,315,266,60,266,300,0,30,0,150,266,405,0,45,133,285,133,465,133,270,266,150,133,225,0,330,0,195,718,155,0,405,807,437,0,495,266,375,0,165,133,480,266,90,133,345,133,255,0,465,266,420,133,120,266,105,266,285,133,375,0,210,133,90,266,30,133,405,266,120,0,435,266,450,0,90,0,75,266,225,133,240,133,210,0,135,266,210,266,45,0,360,0,450,0,345,133,495,266,270,0,420,0,60,266,75,493,46,0,240,266,330,266,495,266,180,1465700364
133,15,266,165,942,60,133,45,266,135,266,465,266,390,266,345,0,300,133,390,133,450,0,390,266,435,266,240,0,255,266,360,133,315,133,135,0,225,133,150,266,195,133,60,0,120,0,105,0,480,0,510,133,105,133,360,0,285,133,330,266,480,133,30,133,195,0,180,133,420,266,255,441,483,511,461,133,165,266,15,133,75,133,300,497,343,266,60,463,320,0,30,0,150,266,405,0,45,133,285,133,465,133,270,266,150,133,225,0,330,0,195,718,155,0,405,807,437,0,495,266,375,0,165,133,480,266,90,133,345,133,255,0,465,266,420,133,120,266,105,266,285,133,375,0,210,133,90,266,30,133,405,266,120,0,435,266,450,0,90,0,75,422,516,133,240,133,210,0,135,421,446,266,45,0,360,0,450,0,345,133,495,266,270,0,420,0,60,266,75,493,46,0,240,266,330,266,495,266,180,1465700379
133,15,266,165,942,60,133,45,266,135,659,515,266,390,266,345,0,300,133,390,496,489,0,390,608,423,266,240,0,255,266,360,133,315,133,135,0,225,133,150,266,195,133,60,0,120,0,105,0,480,0,510,133,105,133,360,0,285,133,330,475,413,133,30,133,195,0,180,133,420,266,255,441,483,511,461,133,165,266,15,133,75,133,300,497,343,266,60,463,320,0,30,0,150,266,405,0,45,133,285,133,465,133,270,266,150,133,225,0,330,0,195,718,155,0,405,807,437,0,495,266,375,0,165,133,480,266,90,133,345,133,255,0,465,266,420,133,120,266,105,266,285,133,375,0,210,133,90,266,30,133,405,266,120,0,435,511,518,0,90,0,75,422,516,133,240,133,210,0,135,421,446,266,45,0,360,0,450,0,345,133,495,266,270,0,420,0,60,266,75,493,46,0,240,266,330,266,495,266,180,1465700394
133,15,266,165,942,60,133,45,266,135,659,515,266,390,266,345,0,300,133,390,496,489,0,390,608,423,266,240,0,255,266,360,133,315,133,135,0,225,133,150,266,195,133,60,0,120,0,105,0,480,0,510,133,105,133,360,0,285,133,330,475,413,133,30,133,195,0,180,133,420,266,255,441,483,533,437,133,165,266,15,133,75,133,300,497,343,266,60,463,320,0,30,0,150,266,405,0,45,133,285,412,498,133,270,266,150,133,225,0,330,0,195,718,155,0,405,807,437,460,502,266,375,0,165,133,480,266,90,133,345,133,255,0,465,266,420,133,120,266,105,266,285,133,375,0,210,133,90,266,30,133,405,266,120,0,435,511,518,0,90,0,75,422,516,133,240,133,210,0,135,421,446,266,45,0,360,0,450,0,345,133,495,266,270,0,420,0,60,266,75,493,46,0,240,266,330,266,495,266,180,1465700409
133,15,266,165,942,60,133,45,266,135,659,515,266,390,266,345,0,300,133,390,496,489,0,390,608,423,266,240,0,255,266,360,133,315,133,135,0,225,133,150,266,195,133,60,0,120,0,105,0,480,0,510,133,105,133,360,500,399,133,330,475,413,133,30,133,195,0,180,133,420,266,255,441,483,533,437,133,165,266,15,133,75,133,300,497,343,266,60,463,320,0,30,0,150,266,405,0,45,133,285,412,498,133,270,266,150,133,225,0,330,0,195,718,155,0,405,807,437,460,502,266,375,0,165,133,480,266,90,133,345,133,255,0,465,266,420,133,120,266,105,266,285,133,375,0,210,133,90,266,30,133,405,266,120,416,227,511,518,0,90,0,75,422,516,133,240,133,210,0,135,421,446,266,45,0,360,0,450,0,345,133,495,266,270,418,391,0,60,266,75,493,46,0,240,266,330,266,495,266,180,1465700424
133,15,266,165,942,60,133,45,266,135,659,515,266,390,266,345,0,300,133,390,496,489,0,390,608,423,266,240,0,255,266,360,133,315,133,135,0,225,133,150,266,195,133,60,0,120,0,105,0,480,0,510,133,105,133,360,500,399,133,330,475,413,133,30,133,195,0,180,133,420,266,255,441,483,533,437,133,165,266,15,133,75,133,300,497,343,266,60,463,320,0,30,0,150,266,405,614,468,133,285,412,498,133,270,266,150,133,225,0,330,0,195,662,537,0,405,807,437,460,502,266,375,0,165,133,480,266,90,133,345,133,255,0,465,266,420,846,178,266,105,266,285,133,375,0,210,133,90,266,30,133,405,266,120,416,227,511,518,0,90,0,75,422,516,133,240,133,210,0,135,421,446,266,45,0,360,0,450,0,345,133,495,266,270,418,391,0,60,266,75,493,46,0,240,266,330,266,495,266,180,1465700439
133,15,266,165,942,60,133,45,266,135,659,515,266,390,266,345,0,300,133,390,496,489,0,390,608,423,266,240,0,255,266,360,133,315,748,480,0,225,883,453,266,195,133,60,0,120,0,105,0,480,0,510,133,105,133,360,500,399,133,330,475,413,133,30,133,195,0,180,133,420,266,255,441,483,533,437,851,501,266,15,133,75,133,300,497,343,266,60,463,320,0,30,0,150,266,405,614,468,133,285,412,498,133,270,266,150,133,225,0,330,0,195,662,537,0,405,703,357,460,502,266,375,0,165,133,480,266,90,133,345,133,255,0,465,266,420,846,178,266,105,266,285,133,375,0,210,133,90,266,30,133,405,266,120,416,227,511,518,0,90,0,75,422,516,133,240,133,210,0,135,421,446,266,45,0,360,0,450,0,345,133,495,266,270,418,391,0,60,266,75,493,46,0,240,266,330,266,495,266,180,1465700454
