266,(95-67)*15+15,133,(36-34)*15+15,133,(50-34)*15+15,266,(69-67)*15+15,266,(97-67)*15+15,133,(65-34)*15+15,0,25*15+15,0,1*15+15,0,18*15+15,0,0*15+15,0,29*15+15,0,28*15+15,266,(80-67)*15+15,133,(38-34)*15+15,0,12*15+15,133,(51-34)*15+15,133,(64-34)*15+15,266,(99-67)*15+15,133,(49-34)*15+15,266,(87-67)*15+15,266,(81-67)*15+15,0,24*15+15,133,(53-34)*15+15,133,(66-34)*15+15,266,(90-67)*15+15,133,(54-34)*15+15,266,(88-67)*15+15,133,(62-34)*15+15,0,14*15+15,133,(37-34)*15+15,0,27*15+15,266,(98-67)*15+15,266,(70-67)*15+15,133,(46-34)*15+15,266,(68-67)*15+15,133,(52-34)*15+15,133,(45-34)*15+15,266,(86-67)*15+15,266,(67-67)*15+15,0,10*15+15,0,32*15+15,266,(96-67)*15+15,0,17*15+15,266,(85-67)*15+15,266,(93-67)*15+15,133,(55-34)*15+15,266,(73-67)*15+15,0,16*15+15,266,(94-67)*15+15,0,23*15+15,266,(91-67)*15+15,266,(74-67)*15+15,0,4*15+15,133,(44-34)*15+15,0,6*15+15,266,(84-67)*15+15,266,(78-67)*15+15,266,(75-67)*15+15,266,(89-67)*15+15,133,(63-34)*15+15,133,(48-34)*15+15,0,15*15+15,133,(57-34)*15+15,0,22*15+15,0,31*15+15,0,20*15+15,266,(72-67)*15+15,133,(59-34)*15+15,266,(83-67)*15+15,0,9*15+15,133,(60-34)*15+15,0,13*15+15,133,(35-34)*15+15,0,21*15+15,0,11*15+15,133,(47-34)*15+15,133,(61-34)*15+15,266,(76-67)*15+15,133,(43-34)*15+15,0,8*15+15,0,30*15+15,266,(79-67)*15+15,0,7*15+15,266,(82-67)*15+15,0,5*15+15,0,26*15+15,133,(34-34)*15+15,0,33*15+15,0,2*15+15,133,(41-34)*15+15,133,(42-34)*15+15,133,(40-34)*15+15,266,(71-67)*15+15,133,(56-34)*15+15,266,(77-67)*15+15,133,(58-34)*15+15,0,19*15+15,133,(39-34)*15+15,0,3*15+15,266,(92-67)*15+15,1465223413
266,435,133,45,133,255,266,45,266,465,133,480,0,390,0,30,0,285,461,32,0,450,0,435,266,210,133,75,0,195,133,270,133,465,266,495,133,240,266,315,266,225,0,375,133,300,133,495,266,360,133,315,266,330,133,435,0,225,133,60,0,420,266,480,266,60,133,195,266,30,133,285,133,180,266,300,266,15,0,165,0,495,266,450,0,270,266,285,266,405,133,330,266,105,0,255,266,420,0,360,266,375,266,120,0,75,133,165,0,105,266,270,266,180,266,135,266,345,133,450,133,225,0,240,133,360,0,345,0,480,0,315,266,90,133,390,266,255,0,150,133,405,0,210,133,30,0,330,0,180,133,210,133,420,266,150,133,150,0,135,0,465,266,195,0,120,266,240,0,90,0,405,133,15,0,510,0,45,133,120,133,135,133,105,266,75,133,345,266,165,133,375,0,300,133,90,0,60,266,390,1465223639
266,435,133,45,133,255,266,45,266,465,133,480,0,390,886,542,0,285,461,32,0,450,0,435,266,210,133,75,0,195,133,270,133,465,266,495,133,240,266,315,266,225,0,375,133,300,133,495,266,360,133,315,266,330,133,435,0,225,133,60,0,420,266,480,266,60,133,195,266,30,133,285,133,180,266,300,266,15,0,165,0,495,266,450,0,270,266,285,266,405,133,330,266,105,0,255,266,420,0,360,266,375,266,120,480,371,133,165,0,105,266,270,266,180,266,135,266,345,133,450,133,225,0,240,133,360,0,345,0,480,0,315,266,90,133,390,266,255,0,150,133,405,0,210,133,30,0,330,0,180,133,210,133,420,266,150,133,150,0,135,0,465,266,195,0,120,266,240,0,90,0,405,133,15,0,510,506,387,133,120,133,135,133,105,266,75,133,345,266,165,133,375,0,300,133,90,449,158,266,390,1465223654
266,435,133,45,133,255,266,45,266,465,133,480,0,390,886,542,0,285,461,32,0,450,0,435,266,210,133,75,0,195,133,270,133,465,266,495,133,240,266,315,266,225,0,375,133,300,133,495,266,360,133,315,266,330,133,435,0,225,133,60,0,420,266,480,266,60,133,195,266,30,133,285,133,180,266,300,266,15,0,165,0,495,266,450,0,270,266,285,266,405,133,330,266,105,0,255,266,420,0,360,266,375,266,120,423,246,133,165,309,260,266,270,266,180,266,135,266,345,133,450,133,225,0,240,133,360,0,345,0,480,0,315,266,90,133,390,266,255,0,150,133,405,0,210,133,30,0,330,0,180,133,210,133,420,266,150,133,150,0,135,0,465,266,195,0,120,266,240,893,238,0,405,133,15,0,510,506,387,133,120,133,135,133,105,266,75,133,345,266,165,133,375,0,300,133,90,449,158,266,390,1465223669
266,435,133,45,133,255,266,45,266,465,133,480,0,390,886,542,0,285,461,32,0,450,0,435,266,210,133,75,0,195,133,270,133,465,266,495,133,240,266,315,266,225,0,375,133,300,133,495,266,360,133,315,266,330,133,435,0,225,133,60,0,420,266,480,266,60,133,195,266,30,133,285,133,180,266,300,266,15,0,165,0,495,266,450,0,270,266,285,266,405,133,330,266,105,0,255,266,420,0,360,266,375,266,120,423,246,133,165,430,260,266,270,266,180,266,135,266,345,133,450,133,225,0,240,133,360,0,345,0,480,0,315,266,90,133,390,266,255,0,150,133,405,0,210,133,30,0,330,0,180,133,210,133,420,266,150,133,150,894,227,0,465,266,195,465,520,266,240,893,238,0,405,133,15,0,510,506,387,133,120,133,135,133,105,266,75,133,345,266,165,133,375,0,300,133,90,449,158,266,390,1465223684
266,435,133,45,133,255,266,45,266,465,133,480,0,390,886,542,0,285,461,32,0,450,0,435,266,210,133,75,0,195,133,270,133,465,266,495,133,240,266,315,266,225,0,375,133,300,133,495,266,360,133,315,266,330,133,435,0,225,133,60,0,420,266,480,266,60,133,195,266,30,133,285,133,180,266,300,266,15,459,296,0,495,266,450,0,270,266,285,266,405,133,330,266,105,0,255,266,420,0,360,266,375,266,120,423,246,133,165,430,260,266,270,266,180,266,135,266,345,133,450,133,225,0,240,133,360,0,345,0,480,0,315,266,90,133,390,266,255,859,88,133,405,0,210,133,30,0,330,0,180,133,210,133,420,266,150,133,150,894,227,0,465,266,195,465,520,266,240,893,238,0,405,133,15,0,510,446,173,133,120,133,135,133,105,266,75,133,345,266,165,133,375,0,300,133,90,449,158,266,390,1465223699
266,435,133,45,133,255,266,45,266,465,133,480,0,390,511,523,0,285,461,32,0,450,0,435,266,210,133,75,448,274,133,270,133,465,266,495,133,240,266,315,266,225,0,375,133,300,133,495,266,360,133,315,266,330,133,435,0,225,133,60,0,420,266,480,266,60,133,195,266,30,133,285,133,180,266,300,266,15,459,296,0,495,266,450,0,270,266,285,266,405,133,330,266,105,0,255,266,420,0,360,266,375,266,120,423,246,133,165,430,260,266,270,266,180,266,135,266,345,133,450,133,225,0,240,133,360,0,345,0,480,0,315,266,90,133,390,266,255,859,88,133,405,0,210,133,30,0,330,854,103,133,210,133,420,266,150,133,150,894,227,0,465,266,195,791,290,266,240,893,238,0,405,133,15,0,510,446,173,133,120,133,135,133,105,266,75,133,345,266,165,133,375,0,300,133,90,449,158,266,390,1465223714
266,435,133,45,133,255,266,45,266,465,133,480,0,390,511,523,0,285,461,32,0,450,0,435,266,210,133,75,448,274,133,270,133,465,266,495,133,240,266,315,266,225,0,375,133,300,133,495,266,360,133,315,266,330,133,435,527,23,133,60,0,420,266,480,266,60,133,195,266,30,133,285,133,180,266,300,266,15,459,296,0,495,266,450,0,270,266,285,266,405,133,330,266,105,0,255,266,420,0,360,266,375,266,120,423,246,133,165,430,260,266,270,266,180,266,135,266,345,133,450,133,225,0,240,133,360,0,345,0,480,0,315,266,90,133,390,266,255,859,88,133,405,860,77,133,30,0,330,854,103,133,210,133,420,266,150,133,150,894,227,0,465,266,195,791,290,266,240,893,238,0,405,133,15,0,510,446,173,133,120,133,135,133,105,266,75,133,345,266,165,133,375,0,300,133,90,449,158,266,390,1465223729
266,435,133,45,133,255,266,45,266,465,133,480,0,390,511,523,0,285,461,32,0,450,0,435,266,210,133,75,448,274,133,270,133,465,266,495,133,240,266,315,266,225,0,375,133,300,133,495,266,360,133,315,266,330,133,435,527,23,133,60,0,420,266,480,266,60,133,195,266,30,133,285,133,180,266,300,266,15,459,296,0,495,266,450,645,306,266,285,266,405,133,330,266,105,726,189,266,420,0,360,266,375,266,120,423,246,133,165,430,260,266,270,266,180,266,135,266,345,133,450,133,225,450,145,133,360,0,345,0,480,0,315,266,90,133,390,266,255,859,88,133,405,860,77,133,30,0,330,854,103,133,210,133,420,266,150,133,150,894,227,0,465,266,195,791,290,266,240,893,238,0,405,133,15,0,510,446,173,133,120,133,135,133,105,266,75,133,345,266,165,133,375,0,300,133,90,449,158,266,390,1465223744
266,435,133,45,133,255,266,45,266,465,133,480,0,390,511,523,667,58,461,32,0,450,0,435,266,210,133,75,448,274,133,270,133,465,266,495,133,240,266,315,266,225,0,375,133,300,133,495,266,360,133,315,266,330,133,435,527,23,133,60,0,420,266,480,266,60,133,195,266,30,133,285,133,180,266,300,266,15,459,296,0,495,266,450,645,306,266,285,266,405,133,330,266,105,726,189,266,420,0,360,266,375,266,120,423,246,133,165,430,260,266,270,266,180,266,135,266,345,133,450,133,225,450,145,133,360,0,345,0,480,863,144,266,90,133,390,266,255,859,88,133,405,860,77,133,30,0,330,854,103,133,210,133,420,266,150,133,150,894,227,0,465,266,195,791,290,266,240,893,238,0,405,133,15,0,510,446,173,133,120,133,135,133,105,266,75,133,345,266,165,133,375,642,320,133,90,449,158,266,390,1465223759
266,435,133,45,133,255,266,45,266,465,133,480,0,390,511,523,667,58,461,32,0,450,0,435,266,210,133,75,448,274,133,270,133,465,266,495,133,240,266,315,266,225,0,375,133,300,133,495,266,360,133,315,266,330,133,435,527,23,133,60,0,420,266,480,266,60,133,195,266,30,133,285,133,180,266,300,266,15,459,296,0,495,266,450,645,306,266,285,266,405,133,330,266,105,726,189,266,420,641,333,266,375,266,120,423,246,133,165,430,260,266,270,266,180,266,135,266,345,133,450,133,225,450,145,133,360,861,168,0,480,863,144,266,90,133,390,266,255,859,88,133,405,860,77,133,30,861,156,854,103,133,210,133,420,266,150,133,150,894,227,0,465,266,195,791,290,266,240,893,238,0,405,133,15,0,510,446,173,133,120,133,135,133,105,266,75,133,345,266,165,133,375,642,320,133,90,449,158,266,390,1465223774
