266,(79-67)*15+15,133,(49-34)*15+15,133,(44-34)*15+15,266,(98-67)*15+15,133,(56-34)*15+15,266,(67-67)*15+15,266,(81-67)*15+15,266,(74-67)*15+15,266,(70-67)*15+15,0,30*15+15,266,(71-67)*15+15,0,10*15+15,0,14*15+15,0,23*15+15,133,(40-34)*15+15,266,(89-67)*15+15,0,29*15+15,266,(87-67)*15+15,266,(85-67)*15+15,133,(58-34)*15+15,0,22*15+15,0,27*15+15,133,(66-34)*15+15,133,(51-34)*15+15,0,24*15+15,0,31*15+15,0,26*15+15,133,(45-34)*15+15,133,(53-34)*15+15,0,9*15+15,133,(35-34)*15+15,0,5*15+15,133,(50-34)*15+15,266,(83-67)*15+15,0,8*15+15,266,(72-67)*15+15,0,21*15+15,133,(55-34)*15+15,266,(84-67)*15+15,133,(52-34)*15+15,133,(41-34)*15+15,0,1*15+15,266,(69-67)*15+15,133,(36-34)*15+15,266,(86-67)*15+15,133,(42-34)*15+15,0,18*15+15,0,17*15+15,133,(60-34)*15+15,133,(63-34)*15+15,133,(59-34)*15+15,0,20*15+15,266,(96-67)*15+15,0,2*15+15,133,(47-34)*15+15,0,28*15+15,0,7*15+15,133,(39-34)*15+15,0,3*15+15,133,(64-34)*15+15,266,(88-67)*15+15,0,0*15+15,133,(57-34)*15+15,266,(77-67)*15+15,266,(91-67)*15+15,0,33*15+15,0,25*15+15,266,(68-67)*15+15,266,(99-67)*15+15,133,(65-34)*15+15,0,6*15+15,0,15*15+15,0,12*15+15,133,(62-34)*15+15,0,32*15+15,266,(93-67)*15+15,266,(75-67)*15+15,266,(95-67)*15+15,133,(34-34)*15+15,266,(82-67)*15+15,133,(46-34)*15+15,266,(73-67)*15+15,266,(97-67)*15+15,0,13*15+15,266,(94-67)*15+15,266,(92-67)*15+15,133,(38-34)*15+15,0,19*15+15,266,(80-67)*15+15,0,4*15+15,266,(90-67)*15+15,133,(54-34)*15+15,0,16*15+15,133,(37-34)*15+15,266,(76-67)*15+15,0,11*15+15,266,(78-67)*15+15,133,(43-34)*15+15,133,(61-34)*15+15,133,(48-34)*15+15,1477306789
266,195,133,240,133,165,266,480,133,345,266,15,266,225,266,120,266,60,0,465,266,75,0,165,0,225,0,360,422,77,266,345,0,450,266,315,266,285,133,375,0,345,0,420,133,495,133,270,0,375,0,480,0,405,133,180,133,300,0,150,133,30,0,90,133,255,266,255,0,135,266,90,0,330,133,330,266,270,133,285,133,120,0,30,266,45,133,45,266,300,133,135,0,285,0,270,133,405,133,450,133,390,0,315,266,450,0,45,133,210,0,435,0,120,133,90,0,60,133,465,266,330,0,15,133,360,266,165,266,375,0,510,0,390,266,30,266,495,133,480,0,105,0,240,0,195,133,435,0,495,266,405,867,126,266,435,133,15,266,240,133,195,266,105,266,465,0,210,266,420,266,390,133,75,0,300,266,210,0,75,266,360,133,315,0,255,133,60,266,150,0,180,266,180,133,150,133,420,133,225,1477306848
266,195,133,240,133,165,266,480,133,345,266,15,266,225,266,120,266,60,0,465,266,75,0,165,0,225,0,360,419,171,613,236,0,450,881,252,266,285,133,375,0,345,0,420,133,495,133,270,0,375,0,480,0,405,133,180,133,300,0,150,133,30,0,90,133,255,266,255,0,135,266,90,0,330,133,330,266,270,133,285,133,120,0,30,266,45,133,45,912,316,133,135,0,285,0,270,133,405,133,450,133,390,0,315,266,450,0,45,133,210,0,435,0,120,133,90,0,60,133,465,420,231,0,15,133,360,266,165,648,167,0,510,0,390,266,30,266,495,133,480,0,105,0,240,0,195,133,435,0,495,266,405,867,126,266,435,133,15,266,240,133,195,266,105,266,465,0,210,454,386,266,390,133,75,0,300,266,210,0,75,595,322,133,315,0,255,133,60,266,150,0,180,266,180,133,150,133,420,133,225,1477306863
266,195,133,240,133,165,871,22,133,345,266,15,266,225,266,120,266,60,0,465,266,75,0,165,0,225,0,360,419,171,613,236,0,450,881,252,266,285,133,375,0,345,0,420,133,495,133,270,0,375,0,480,0,405,133,180,133,300,0,150,133,30,0,90,133,255,266,255,0,135,266,90,0,330,133,330,266,270,133,285,133,120,0,30,266,45,133,45,912,316,133,135,0,285,0,270,133,405,133,450,133,390,0,315,664,432,0,45,133,210,0,435,0,120,133,90,0,60,133,465,420,231,0,15,133,360,266,165,648,167,0,510,0,390,266,30,467,387,133,480,0,105,0,240,0,195,133,435,0,495,266,405,867,126,928,426,133,15,266,240,133,195,266,105,833,463,0,210,713,388,266,390,133,75,0,300,266,210,0,75,595,322,133,315,0,255,133,60,266,150,0,180,266,180,133,150,133,420,133,225,1477306878
266,195,133,240,133,165,871,22,133,345,266,15,266,225,266,120,266,60,0,465,266,75,0,165,0,225,0,360,419,171,613,236,0,450,881,252,266,285,133,375,0,345,0,420,133,495,133,270,0,375,0,480,0,405,133,180,133,300,0,150,133,30,0,90,133,255,266,255,0,135,266,90,0,330,133,330,266,270,133,285,133,120,0,30,266,45,133,45,912,316,133,135,0,285,0,270,133,405,133,450,133,390,0,315,664,432,0,45,133,210,0,435,0,120,133,90,0,60,133,465,420,231,426,357,133,360,598,114,648,167,0,510,0,390,266,30,424,368,133,480,0,105,0,240,0,195,133,435,0,495,266,405,867,126,928,426,133,15,266,240,133,195,266,105,833,463,0,210,713,388,266,390,133,75,0,300,266,210,0,75,595,322,133,315,0,255,133,60,266,150,0,180,716,135,133,150,133,420,133,225,1477306894
266,195,133,240,133,165,871,22,133,345,266,15,266,225,266,120,266,60,0,465,266,75,0,165,0,225,0,360,419,171,742,294,0,450,744,284,266,285,133,375,0,345,0,420,133,495,133,270,0,375,0,480,0,405,133,180,133,300,0,150,133,30,0,90,133,255,266,255,0,135,266,90,0,330,133,330,266,270,133,285,133,120,0,30,266,45,133,45,742,382,133,135,0,285,0,270,133,405,133,450,133,390,0,315,578,411,0,45,133,210,0,435,0,120,133,90,0,60,133,465,420,231,426,357,133,360,598,114,648,167,0,510,0,390,266,30,424,368,133,480,0,105,0,240,0,195,133,435,0,495,266,405,867,126,928,426,133,15,266,240,133,195,266,105,833,463,0,210,677,338,266,390,133,75,0,300,266,210,0,75,676,324,133,315,0,255,133,60,266,150,0,180,716,135,133,150,133,420,133,225,1477306908
266,195,133,240,133,165,871,22,133,345,266,15,266,225,266,120,266,60,0,465,266,75,0,165,0,225,0,360,419,171,742,294,0,450,744,284,266,285,133,375,0,345,0,420,133,495,133,270,0,375,0,480,0,405,133,180,133,300,0,150,133,30,0,90,133,255,266,255,0,135,266,90,0,330,133,330,266,270,133,285,133,120,0,30,266,45,133,45,742,382,133,135,0,285,0,270,133,405,133,450,133,390,0,315,578,411,0,45,133,210,0,435,0,120,133,90,0,60,133,465,420,231,426,357,133,360,598,114,648,167,0,510,0,390,266,30,424,368,133,480,0,105,0,240,0,195,133,435,0,495,266,405,938,552,941,568,133,15,266,240,133,195,266,105,913,487,0,210,677,338,266,390,133,75,0,300,266,210,0,75,676,324,133,315,0,255,133,60,266,150,0,180,716,135,133,150,133,420,133,225,1477306923
266,195,133,240,133,165,871,22,133,345,266,15,266,225,266,120,266,60,0,465,266,75,925,352,0,225,0,360,419,171,742,294,0,450,744,284,266,285,133,375,0,345,0,420,133,495,133,270,0,375,0,480,0,405,133,180,133,300,0,150,133,30,0,90,133,255,266,255,0,135,266,90,0,330,133,330,266,270,133,285,133,120,0,30,266,45,133,45,742,382,133,135,0,285,0,270,133,405,133,450,133,390,0,315,578,411,0,45,133,210,0,435,0,120,133,90,0,60,133,465,420,231,426,357,133,360,598,114,648,167,0,510,0,390,266,30,424,368,133,480,0,105,0,240,0,195,133,435,0,495,266,405,793,511,779,560,133,15,266,240,133,195,266,105,913,487,0,210,677,338,266,390,133,75,0,300,266,210,0,75,676,324,133,315,0,255,133,60,266,150,0,180,716,135,133,150,133,420,133,225,1477306938
266,195,133,240,133,165,945,22,133,345,266,15,266,225,266,120,266,60,0,465,266,75,936,333,0,225,0,360,404,14,742,294,0,450,744,284,266,285,133,375,0,345,0,420,133,495,133,270,0,375,0,480,0,405,133,180,133,300,0,150,133,30,0,90,133,255,266,255,0,135,266,90,0,330,133,330,266,270,133,285,133,120,0,30,266,45,133,45,742,382,133,135,0,285,0,270,133,405,133,450,133,390,0,315,578,411,0,45,133,210,0,435,0,120,793,213,0,60,133,465,420,231,426,357,133,360,598,114,648,167,0,510,0,390,266,30,424,368,133,480,0,105,0,240,0,195,133,435,0,495,266,405,793,511,779,560,133,15,266,240,133,195,266,105,913,487,0,210,677,338,266,390,133,75,0,300,266,210,0,75,676,324,133,315,0,255,133,60,266,150,0,180,723,82,133,150,133,420,133,225,1477306953
266,195,133,240,133,165,945,22,133,345,898,454,266,225,266,120,266,60,0,465,266,75,760,313,0,225,0,360,402,16,742,294,0,450,744,284,266,285,133,375,0,345,0,420,133,495,133,270,0,375,0,480,0,405,133,180,133,300,0,150,133,30,0,90,133,255,266,255,0,135,266,90,0,330,133,330,266,270,133,285,133,120,0,30,266,45,133,45,742,382,133,135,0,285,0,270,133,405,133,450,133,390,0,315,578,411,0,45,133,210,0,435,0,120,793,213,0,60,133,465,420,231,426,357,133,360,598,114,648,167,0,510,0,390,266,30,424,368,133,480,0,105,0,240,0,195,133,435,0,495,266,405,864,485,864,499,133,15,266,240,133,195,266,105,895,469,0,210,677,338,266,390,133,75,0,300,266,210,0,75,676,324,133,315,0,255,133,60,266,150,0,180,723,82,133,150,133,420,133,225,1477306968
266,195,133,240,133,165,945,22,133,345,898,454,266,225,266,120,266,60,0,465,266,75,817,313,0,225,0,360,402,16,804,300,0,450,813,285,266,285,133,375,0,345,0,420,133,495,133,270,0,375,0,480,0,405,133,180,133,300,0,150,133,30,0,90,133,255,266,255,0,135,266,90,0,330,133,330,266,270,133,285,133,120,0,30,266,45,133,45,747,353,133,135,0,285,0,270,133,405,133,450,133,390,0,315,578,411,0,45,133,210,0,435,0,120,793,213,0,60,133,465,420,231,426,357,133,360,598,114,661,255,0,510,0,390,266,30,424,368,133,480,0,105,0,240,0,195,133,435,0,495,266,405,864,485,864,499,133,15,266,240,133,195,266,105,895,469,0,210,729,340,266,390,133,75,0,300,266,210,0,75,673,270,133,315,0,255,133,60,266,150,0,180,723,82,133,150,133,420,133,225,1477306983
