266,(71-67)*15+15,266,(75-67)*15+15,266,(69-67)*15+15,0,31*15+15,266,(87-67)*15+15,0,32*15+15,0,17*15+15,266,(90-67)*15+15,266,(67-67)*15+15,266,(83-67)*15+15,133,(61-34)*15+15,0,1*15+15,266,(85-67)*15+15,133,(37-34)*15+15,133,(54-34)*15+15,0,10*15+15,266,(81-67)*15+15,133,(56-34)*15+15,0,4*15+15,133,(66-34)*15+15,0,30*15+15,0,22*15+15,266,(73-67)*15+15,133,(51-34)*15+15,133,(34-34)*15+15,266,(80-67)*15+15,133,(63-34)*15+15,133,(41-34)*15+15,0,0*15+15,133,(40-34)*15+15,0,7*15+15,0,29*15+15,266,(74-67)*15+15,266,(97-67)*15+15,266,(94-67)*15+15,133,(48-34)*15+15,0,2*15+15,266,(76-67)*15+15,0,21*15+15,0,8*15+15,0,13*15+15,133,(39-34)*15+15,0,19*15+15,133,(42-34)*15+15,266,(70-67)*15+15,133,(44-34)*15+15,0,20*15+15,133,(46-34)*15+15,0,16*15+15,266,(89-67)*15+15,133,(62-34)*15+15,266,(78-67)*15+15,266,(72-67)*15+15,0,9*15+15,0,15*15+15,133,(35-34)*15+15,133,(64-34)*15+15,133,(55-34)*15+15,266,(93-67)*15+15,0,6*15+15,133,(49-34)*15+15,266,(99-67)*15+15,266,(95-67)*15+15,133,(65-34)*15+15,266,(86-67)*15+15,266,(98-67)*15+15,133,(60-34)*15+15,266,(91-67)*15+15,0,14*15+15,133,(43-34)*15+15,266,(79-67)*15+15,0,26*15+15,133,(53-34)*15+15,133,(36-34)*15+15,133,(38-34)*15+15,0,18*15+15,133,(47-34)*15+15,0,23*15+15,266,(96-67)*15+15,133,(52-34)*15+15,266,(77-67)*15+15,0,5*15+15,0,33*15+15,133,(45-34)*15+15,0,24*15+15,0,27*15+15,133,(50-34)*15+15,266,(68-67)*15+15,0,12*15+15,133,(59-34)*15+15,266,(82-67)*15+15,133,(58-34)*15+15,133,(57-34)*15+15,0,3*15+15,0,25*15+15,266,(88-67)*15+15,266,(92-67)*15+15,0,28*15+15,0,11*15+15,266,(84-67)*15+15,1483355879
266,75,266,135,266,45,0,480,266,315,0,495,0,270,266,360,266,15,266,255,133,420,0,30,266,285,133,60,133,315,0,165,266,225,133,345,0,75,133,495,0,465,0,345,266,105,133,270,133,15,266,210,133,450,133,120,404,10,133,105,0,120,0,450,266,120,266,465,266,420,133,225,0,45,266,150,0,330,0,135,0,210,133,90,0,300,133,135,266,60,133,165,0,315,133,195,0,255,266,345,133,435,266,180,266,90,0,150,0,240,133,30,133,465,133,330,266,405,0,105,133,240,266,495,266,435,133,480,266,300,266,480,133,405,266,375,0,225,133,150,266,195,0,405,133,300,133,45,133,75,0,285,133,210,0,360,266,450,133,285,266,165,0,90,0,510,133,180,0,375,0,420,133,255,266,30,0,195,133,390,266,240,133,375,133,360,0,60,0,390,266,330,266,390,0,435,0,180,266,270,1483355955
266,75,266,135,266,45,0,480,266,315,0,495,0,270,266,360,266,15,266,255,133,420,0,30,266,285,133,60,133,315,0,165,266,225,133,345,0,75,133,495,0,465,0,345,266,105,133,270,133,15,266,210,133,450,133,120,403,12,133,105,0,120,0,450,266,120,266,465,266,420,133,225,0,45,266,150,0,330,0,135,0,210,133,90,0,300,133,135,266,60,133,165,0,315,133,195,0,255,266,345,133,435,266,180,266,90,0,150,0,240,133,30,133,465,133,330,266,405,0,105,133,240,266,495,266,435,133,480,266,300,266,480,133,405,266,375,0,225,133,150,266,195,0,405,133,300,133,45,133,75,0,285,133,210,0,360,266,450,133,285,266,165,0,90,0,510,133,180,0,375,0,420,133,255,266,30,0,195,133,390,266,240,133,375,133,360,0,60,0,390,266,330,266,390,0,435,0,180,266,270,1483355970
266,75,266,135,266,45,0,480,266,315,0,495,0,270,266,360,272,26,266,255,133,420,0,30,266,285,133,60,133,315,0,165,266,225,133,345,0,75,133,495,0,465,0,345,266,105,133,270,133,15,266,210,133,450,133,120,265,0,133,105,0,120,0,450,266,120,266,465,266,420,133,225,0,45,266,150,0,330,0,135,0,210,133,90,0,300,133,135,266,60,133,165,0,315,133,195,0,255,266,345,133,435,266,180,266,90,0,150,0,240,133,30,133,465,133,330,266,405,0,105,133,240,266,495,266,435,133,480,266,300,266,480,133,405,266,375,0,225,133,150,266,195,0,405,133,300,133,45,133,75,0,285,133,210,0,360,266,450,133,285,266,165,0,90,0,510,133,180,0,375,0,420,133,255,266,30,0,195,133,390,266,240,133,375,133,360,0,60,0,390,266,330,266,390,0,435,0,180,266,270,1483355985
266,75,266,135,266,45,0,480,266,315,0,495,0,270,266,360,272,26,266,255,133,420,0,30,266,285,133,60,133,315,0,165,266,225,133,345,0,75,133,495,0,465,0,345,266,105,133,270,133,15,266,210,133,450,133,120,265,0,133,105,0,120,0,450,266,120,266,465,266,420,133,225,0,45,266,150,0,330,0,135,0,210,133,90,0,300,133,135,266,60,133,165,0,315,133,195,0,255,266,345,133,435,266,180,266,90,0,150,389,16,133,30,133,465,133,330,266,405,0,105,133,240,266,495,266,435,133,480,266,300,266,480,133,405,266,375,0,225,133,150,266,195,0,405,133,300,133,45,133,75,0,285,133,210,0,360,266,450,133,285,266,165,0,90,0,510,133,180,0,375,0,420,133,255,271,16,0,195,133,390,266,240,133,375,133,360,0,60,0,390,266,330,266,390,0,435,0,180,266,270,1483356000
266,75,266,135,266,45,0,480,266,315,0,495,0,270,266,360,272,26,266,255,133,420,0,30,266,285,133,60,133,315,0,165,266,225,133,345,0,75,133,495,0,465,387,143,266,105,133,270,133,15,266,210,133,450,133,120,265,0,133,105,0,120,0,450,266,120,266,465,266,420,133,225,0,45,266,150,0,330,0,135,0,210,133,90,0,300,133,135,266,60,133,165,0,315,133,195,0,255,266,345,133,435,266,180,266,90,0,150,412,11,413,22,133,465,133,330,266,405,0,105,133,240,266,495,266,435,133,480,266,300,266,480,133,405,266,375,0,225,133,150,266,195,0,405,133,300,133,45,133,75,0,285,133,210,0,360,266,450,133,285,266,165,0,90,0,510,133,180,0,375,0,420,133,255,271,16,0,195,133,390,266,240,133,375,133,360,0,60,0,390,266,330,266,390,0,435,0,180,266,270,1483356015
266,75,266,135,266,45,0,480,266,315,0,495,0,270,266,360,272,26,266,255,133,420,0,30,266,285,133,60,412,44,0,165,266,225,133,345,0,75,133,495,0,465,412,34,266,105,133,270,133,15,266,210,133,450,133,120,265,0,133,105,0,120,0,450,266,120,266,465,266,420,133,225,0,45,266,150,0,330,0,135,0,210,133,90,0,300,133,135,266,60,133,165,0,315,133,195,0,255,266,345,133,435,266,180,266,90,0,150,412,11,413,22,133,465,133,330,266,405,0,105,133,240,266,495,266,435,133,480,266,300,266,480,133,405,266,375,0,225,133,150,266,195,0,405,133,300,133,45,133,75,0,285,133,210,0,360,266,450,133,285,266,165,0,90,0,510,133,180,0,375,0,420,133,255,271,16,0,195,133,390,266,240,133,375,133,360,0,60,0,390,266,330,266,390,0,435,0,180,266,270,1483356030
266,75,266,135,263,46,0,480,266,315,0,495,0,270,266,360,272,26,266,255,133,420,0,30,266,285,133,60,412,44,0,165,266,225,133,345,0,75,133,495,0,465,412,34,266,105,133,270,411,65,266,210,133,450,413,55,265,0,133,105,0,120,0,450,266,120,266,465,266,420,133,225,0,45,266,150,0,330,0,135,0,210,133,90,0,300,133,135,266,60,133,165,0,315,133,195,0,255,266,345,133,435,266,180,266,90,0,150,412,11,413,22,133,465,133,330,266,405,0,105,133,240,266,495,266,435,133,480,266,300,266,480,133,405,266,375,0,225,133,150,266,195,0,405,133,300,133,45,133,75,0,285,133,210,0,360,266,450,133,285,266,165,0,90,0,510,133,180,0,375,0,420,133,255,271,16,0,195,133,390,266,240,133,375,133,360,0,60,0,390,266,330,266,390,0,435,0,180,266,270,1483356045
266,75,266,135,267,46,0,480,266,315,0,495,0,270,266,360,272,26,266,255,133,420,0,30,266,285,133,60,412,44,0,165,266,225,133,345,0,75,133,495,0,465,412,34,266,105,133,270,411,65,266,210,133,450,179,27,265,0,133,105,0,120,0,450,266,120,266,465,266,420,133,225,0,45,266,150,0,330,0,135,0,210,133,90,0,300,133,135,266,60,133,165,0,315,133,195,0,255,266,345,133,435,266,180,266,90,0,150,412,11,413,22,133,465,133,330,266,405,0,105,133,240,266,495,266,435,133,480,266,300,266,480,133,405,266,375,0,225,133,150,266,195,0,405,133,300,133,45,133,75,0,285,133,210,0,360,266,450,133,285,266,165,0,90,0,510,133,180,0,375,0,420,133,255,271,16,0,195,133,390,266,240,133,375,133,360,0,60,0,390,266,330,266,390,0,435,0,180,266,270,1483356060
266,75,266,135,267,46,0,480,266,315,0,495,0,270,266,360,272,26,266,255,133,420,0,30,266,285,133,60,412,44,0,165,266,225,133,345,0,75,133,495,0,465,412,34,266,105,133,270,130,11,266,210,133,450,141,25,265,0,133,105,0,120,0,450,266,120,266,465,266,420,133,225,0,45,266,150,0,330,0,135,0,210,133,90,0,300,133,135,266,60,133,165,0,315,133,195,0,255,266,345,133,435,266,180,266,90,0,150,412,11,413,22,133,465,133,330,266,405,0,105,133,240,266,495,266,435,133,480,266,300,266,480,133,405,266,375,0,225,133,150,266,195,0,405,133,300,133,45,133,75,0,285,133,210,0,360,266,450,133,285,266,165,0,90,0,510,133,180,0,375,0,420,133,255,271,16,0,195,133,390,266,240,133,375,133,360,0,60,0,390,266,330,266,390,0,435,0,180,266,270,1483356075
266,75,266,135,267,46,0,480,266,315,0,495,0,270,266,360,272,26,266,255,133,420,0,30,266,285,133,60,412,44,0,165,266,225,133,345,0,75,133,495,0,465,412,34,266,105,133,270,130,11,266,210,133,450,141,25,265,0,133,105,0,120,0,450,266,120,266,465,266,420,133,225,406,577,266,150,0,330,0,135,0,210,133,90,0,300,133,135,266,60,133,165,0,315,133,195,0,255,266,345,133,435,266,180,266,90,0,150,412,11,413,22,133,465,133,330,266,405,0,105,133,240,266,495,266,435,133,480,266,300,409,596,133,405,266,375,0,225,133,150,266,195,0,405,133,300,133,45,133,75,0,285,133,210,0,360,266,450,133,285,266,165,0,90,0,510,133,180,0,375,0,420,133,255,271,16,0,195,133,390,266,240,133,375,133,360,116,253,0,390,266,330,266,390,0,435,0,180,266,270,1483356090
