133,(42-34)*15+15,0,23*15+15,0,3*15+15,266,(93-67)*15+15,266,(86-67)*15+15,266,(95-67)*15+15,0,22*15+15,0,1*15+15,0,24*15+15,0,8*15+15,0,10*15+15,0,31*15+15,0,30*15+15,266,(97-67)*15+15,266,(96-67)*15+15,133,(39-34)*15+15,266,(79-67)*15+15,133,(46-34)*15+15,0,4*15+15,133,(38-34)*15+15,266,(84-67)*15+15,0,19*15+15,266,(76-67)*15+15,266,(69-67)*15+15,0,14*15+15,133,(54-34)*15+15,0,15*15+15,266,(89-67)*15+15,266,(99-67)*15+15,133,(65-34)*15+15,133,(51-34)*15+15,133,(36-34)*15+15,133,(56-34)*15+15,133,(53-34)*15+15,266,(88-67)*15+15,133,(60-34)*15+15,266,(68-67)*15+15,133,(45-34)*15+15,0,7*15+15,133,(34-34)*15+15,266,(90-67)*15+15,133,(50-34)*15+15,133,(62-34)*15+15,0,25*15+15,133,(35-34)*15+15,133,(47-34)*15+15,0,11*15+15,0,0*15+15,0,17*15+15,133,(52-34)*15+15,133,(57-34)*15+15,0,27*15+15,133,(64-34)*15+15,0,20*15+15,0,9*15+15,133,(63-34)*15+15,266,(83-67)*15+15,133,(55-34)*15+15,0,6*15+15,133,(37-34)*15+15,266,(80-67)*15+15,266,(85-67)*15+15,133,(48-34)*15+15,266,(67-67)*15+15,266,(71-67)*15+15,133,(41-34)*15+15,266,(75-67)*15+15,0,32*15+15,0,12*15+15,266,(78-67)*15+15,0,33*15+15,0,16*15+15,266,(72-67)*15+15,0,28*15+15,0,26*15+15,133,(58-34)*15+15,266,(91-67)*15+15,266,(70-67)*15+15,266,(82-67)*15+15,133,(66-34)*15+15,0,2*15+15,0,21*15+15,0,29*15+15,266,(87-67)*15+15,266,(92-67)*15+15,0,18*15+15,133,(40-34)*15+15,133,(61-34)*15+15,266,(81-67)*15+15,266,(73-67)*15+15,266,(77-67)*15+15,133,(49-34)*15+15,0,5*15+15,0,13*15+15,133,(59-34)*15+15,266,(74-67)*15+15,133,(43-34)*15+15,133,(44-34)*15+15,266,(98-67)*15+15,266,(94-67)*15+15,1465232683
133,135,0,360,0,60,266,405,266,300,266,435,0,345,0,30,0,375,0,135,0,165,0,480,0,465,266,465,266,450,133,90,266,195,133,195,0,75,133,75,266,270,0,300,266,150,266,45,0,225,133,315,0,240,266,345,266,495,133,480,133,270,133,45,133,345,133,300,266,330,133,405,266,30,133,180,0,120,133,15,266,360,133,255,133,435,0,390,133,30,133,210,0,180,0,15,0,270,133,285,133,360,0,420,133,465,0,315,0,150,133,450,266,255,133,330,0,105,133,60,266,210,266,285,133,225,266,15,266,75,133,120,266,135,0,495,0,195,266,180,417,574,0,255,266,90,0,435,0,405,133,375,266,375,266,60,266,240,133,495,0,45,0,330,0,450,266,315,266,390,0,285,133,105,133,420,266,225,266,105,266,165,133,240,0,90,0,210,133,390,266,120,133,150,133,165,266,480,266,420,1465232709
133,135,0,360,0,60,266,405,266,300,266,435,0,345,0,30,0,375,0,135,0,165,0,480,0,465,266,465,266,450,133,90,266,195,133,195,0,75,133,75,266,270,0,300,466,157,426,554,0,225,133,315,0,240,266,345,266,495,133,480,133,270,133,45,133,345,133,300,495,88,133,405,266,30,133,180,0,120,133,15,266,360,133,255,133,435,0,390,133,30,133,210,0,180,0,15,0,270,133,285,133,360,0,420,133,465,0,315,0,150,133,450,266,255,133,330,0,105,133,60,266,210,266,285,133,225,266,15,266,75,133,120,488,126,0,495,0,195,510,390,417,574,0,255,266,90,0,435,0,405,133,375,266,375,266,60,266,240,133,495,0,45,0,330,0,450,266,315,266,390,0,285,133,105,133,420,266,225,488,107,480,144,133,240,0,90,0,210,133,390,266,120,133,150,133,165,266,480,266,420,1465232724
133,135,0,360,0,60,266,405,266,300,266,435,0,345,0,30,0,375,0,135,0,165,0,480,0,465,266,465,266,450,133,90,266,195,133,195,0,75,896,22,266,270,0,300,466,157,426,554,0,225,133,315,0,240,266,345,266,495,133,480,133,270,186,51,133,345,133,300,495,88,133,405,266,30,133,180,0,120,133,15,266,360,133,255,133,435,0,390,133,30,133,210,0,180,0,15,0,270,133,285,133,360,0,420,133,465,0,315,0,150,133,450,266,255,133,330,0,105,133,60,547,152,266,285,133,225,266,15,266,75,133,120,488,126,0,495,0,195,461,534,417,574,0,255,266,90,0,435,0,405,133,375,266,375,266,60,266,240,133,495,0,45,0,330,0,450,266,315,266,390,0,285,133,105,133,420,555,128,488,107,480,144,133,240,0,90,0,210,133,390,266,120,133,150,133,165,266,480,266,420,1465232739
133,135,0,360,0,60,266,405,266,300,266,435,0,345,-4,32,0,375,0,135,0,165,0,480,0,465,266,465,266,450,133,90,266,195,133,195,0,75,896,22,266,270,0,300,466,157,426,554,0,225,133,315,0,240,266,345,266,495,133,480,133,270,886,36,133,345,133,300,495,88,133,405,266,30,133,180,0,120,133,15,266,360,133,255,133,435,0,390,133,30,133,210,0,180,0,15,0,270,133,285,133,360,0,420,133,465,0,315,0,150,133,450,266,255,133,330,0,105,887,48,547,152,266,285,133,225,266,15,266,75,133,120,488,126,0,495,0,195,461,534,417,574,0,255,266,90,0,435,0,405,133,375,266,375,266,60,266,240,133,495,891,62,0,330,0,450,266,315,266,390,0,285,133,105,133,420,555,128,488,107,480,144,133,240,0,90,0,210,133,390,266,120,745,223,133,165,266,480,266,420,1465232754
133,135,446,514,0,60,266,405,266,300,266,435,0,345,-4,32,0,375,0,135,0,165,0,480,0,465,266,465,503,179,133,90,266,195,133,195,0,75,896,22,266,270,0,300,466,157,426,554,0,225,133,315,0,240,266,345,266,495,133,480,133,270,886,36,133,345,133,300,495,88,133,405,266,30,133,180,0,120,133,15,266,360,133,255,133,435,0,390,133,30,133,210,0,180,0,15,0,270,133,285,133,360,0,420,133,465,0,315,0,150,133,450,266,255,133,330,0,105,887,48,547,152,266,285,133,225,266,15,266,75,133,120,488,126,0,495,0,195,461,534,417,574,0,255,266,90,449,500,0,405,133,375,266,375,266,60,266,240,133,495,893,61,0,330,472,483,266,315,266,390,897,75,133,105,133,420,555,128,488,107,480,144,133,240,0,90,0,210,133,390,266,120,745,223,133,165,266,480,266,420,1465232769
133,135,446,514,0,60,895,396,266,300,266,435,0,345,-4,32,0,375,890,381,0,165,0,480,0,465,266,465,501,176,133,90,574,177,133,195,0,75,896,22,266,270,0,300,466,157,426,554,0,225,133,315,0,240,266,345,266,495,133,480,133,270,886,36,133,345,133,300,495,88,133,405,266,30,133,180,0,120,133,15,266,360,133,255,133,435,0,390,133,30,133,210,0,180,0,15,0,270,133,285,133,360,0,420,133,465,0,315,0,150,133,450,266,255,133,330,0,105,887,48,547,152,493,198,133,225,266,15,266,75,133,120,488,126,0,495,0,195,461,534,417,574,0,255,266,90,449,500,0,405,133,375,266,375,266,60,266,240,133,495,893,61,0,330,472,483,266,315,266,390,897,75,133,105,133,420,555,128,488,107,480,144,133,240,0,90,0,210,133,390,266,120,745,223,133,165,266,480,266,420,1465232784
133,135,446,514,0,60,895,396,266,300,266,435,0,345,-4,32,0,375,890,381,0,165,0,480,0,465,266,465,501,176,133,90,574,177,133,195,0,75,896,22,266,270,0,300,466,157,426,554,0,225,133,315,0,240,266,345,266,495,133,480,133,270,886,36,133,345,133,300,495,88,133,405,266,30,133,180,898,405,133,15,266,360,133,255,133,435,0,390,133,30,133,210,0,180,0,15,0,270,133,285,133,360,0,420,133,465,0,315,0,150,133,450,266,255,133,330,0,105,887,48,547,152,493,198,133,225,266,15,266,75,133,120,488,126,0,495,0,195,461,534,417,574,0,255,266,90,449,500,0,405,133,375,266,375,266,60,266,240,133,495,893,61,0,330,472,483,266,315,266,390,897,75,133,105,133,420,555,128,488,107,480,144,133,240,900,89,0,210,133,390,266,120,745,223,133,165,266,480,266,420,1465232799
133,135,446,514,0,60,895,396,611,145,266,435,0,345,-4,32,0,375,890,381,0,165,0,480,0,465,266,465,501,176,133,90,574,177,133,195,0,75,896,22,266,270,0,300,466,157,426,554,0,225,133,315,0,240,266,345,266,495,133,480,133,270,886,36,133,345,133,300,495,88,133,405,266,30,133,180,898,405,133,15,266,360,133,255,133,435,0,390,133,30,133,210,0,180,0,15,0,270,133,285,133,360,0,420,133,465,0,315,0,150,133,450,266,255,133,330,0,105,887,48,547,152,493,198,133,225,424,90,409,111,133,120,488,126,0,495,0,195,461,534,417,574,0,255,266,90,449,500,0,405,133,375,266,375,266,60,266,240,133,495,893,61,0,330,472,483,855,363,266,390,897,75,133,105,133,420,555,128,488,107,480,144,133,240,900,89,0,210,133,390,266,120,745,223,133,165,266,480,266,420,1465232814
133,135,446,514,0,60,895,396,608,143,266,435,0,345,-4,32,0,375,890,381,0,165,0,480,0,465,266,465,501,176,133,90,574,177,133,195,0,75,896,22,562,200,0,300,466,157,426,554,0,225,133,315,0,240,542,118,266,495,133,480,133,270,886,36,133,345,133,300,495,88,133,405,266,30,133,180,898,405,133,15,266,360,133,255,133,435,0,390,133,30,133,210,0,180,0,15,0,270,133,285,133,360,0,420,133,465,0,315,0,150,133,450,743,238,133,330,0,105,887,48,547,152,493,198,133,225,424,90,409,111,133,120,488,126,0,495,0,195,461,534,417,574,0,255,570,92,449,500,0,405,133,375,266,375,266,60,266,240,133,495,893,61,0,330,472,483,855,363,266,390,897,75,133,105,133,420,555,128,488,107,480,144,133,240,900,89,0,210,133,390,266,120,745,223,133,165,266,480,266,420,1465232829
133,135,446,514,0,60,895,396,608,143,266,435,0,345,435,127,0,375,890,381,0,165,0,480,0,465,266,465,501,176,133,90,574,177,133,195,409,138,896,22,562,200,0,300,466,157,426,554,0,225,133,315,0,240,542,118,266,495,133,480,133,270,886,36,133,345,133,300,495,88,133,405,914,102,133,180,898,405,133,15,266,360,133,255,133,435,0,390,133,30,133,210,0,180,907,113,0,270,133,285,133,360,0,420,133,465,0,315,0,150,133,450,743,238,133,330,0,105,887,48,547,152,493,198,133,225,424,90,409,111,133,120,488,126,0,495,0,195,461,534,417,574,0,255,570,92,449,500,0,405,133,375,266,375,266,60,266,240,133,495,893,61,0,330,472,483,855,363,266,390,897,75,133,105,133,420,555,128,488,107,480,144,133,240,900,89,0,210,133,390,266,120,745,223,133,165,266,480,266,420,1465232844
