266,(77-67)*15+15,0,12*15+15,133,(46-34)*15+15,0,11*15+15,0,8*15+15,266,(84-67)*15+15,133,(54-34)*15+15,133,(34-34)*15+15,133,(40-34)*15+15,0,17*15+15,0,29*15+15,266,(79-67)*15+15,266,(69-67)*15+15,266,(97-67)*15+15,133,(39-34)*15+15,133,(66-34)*15+15,133,(64-34)*15+15,133,(50-34)*15+15,266,(75-67)*15+15,133,(65-34)*15+15,133,(52-34)*15+15,133,(49-34)*15+15,0,22*15+15,266,(86-67)*15+15,266,(72-67)*15+15,0,18*15+15,133,(35-34)*15+15,266,(90-67)*15+15,266,(95-67)*15+15,133,(48-34)*15+15,133,(58-34)*15+15,266,(80-67)*15+15,0,4*15+15,266,(85-67)*15+15,266,(91-67)*15+15,0,28*15+15,0,2*15+15,266,(94-67)*15+15,266,(73-67)*15+15,133,(62-34)*15+15,133,(56-34)*15+15,0,19*15+15,0,6*15+15,133,(38-34)*15+15,133,(43-34)*15+15,133,(53-34)*15+15,133,(60-34)*15+15,0,25*15+15,133,(36-34)*15+15,0,31*15+15,266,(92-67)*15+15,266,(89-67)*15+15,0,24*15+15,0,14*15+15,0,9*15+15,266,(98-67)*15+15,133,(51-34)*15+15,266,(88-67)*15+15,266,(76-67)*15+15,266,(68-67)*15+15,133,(57-34)*15+15,133,(41-34)*15+15,266,(93-67)*15+15,266,(71-67)*15+15,266,(83-67)*15+15,266,(82-67)*15+15,0,20*15+15,133,(45-34)*15+15,133,(63-34)*15+15,0,1*15+15,266,(78-67)*15+15,0,21*15+15,133,(37-34)*15+15,266,(99-67)*15+15,266,(67-67)*15+15,0,32*15+15,133,(44-34)*15+15,0,26*15+15,266,(96-67)*15+15,266,(87-67)*15+15,0,13*15+15,0,5*15+15,266,(81-67)*15+15,133,(59-34)*15+15,0,30*15+15,0,33*15+15,0,0*15+15,133,(47-34)*15+15,266,(74-67)*15+15,0,7*15+15,0,10*15+15,133,(55-34)*15+15,266,(70-67)*15+15,0,15*15+15,0,3*15+15,0,23*15+15,0,16*15+15,0,27*15+15,133,(42-34)*15+15,133,(61-34)*15+15,1477643564
266,165,0,195,133,195,0,180,0,135,266,270,133,315,133,15,133,105,0,270,0,450,266,195,266,45,266,465,133,90,133,495,133,465,133,255,266,135,133,480,133,285,133,240,0,345,266,300,266,90,0,285,133,30,266,360,266,435,133,225,133,375,266,210,0,75,266,285,266,375,0,435,0,45,266,420,266,105,133,435,133,345,0,300,0,105,133,75,133,150,133,300,133,405,0,390,133,45,0,480,266,390,266,345,0,375,0,225,0,150,266,480,133,270,266,330,266,150,266,30,133,360,133,120,266,405,266,75,266,255,266,240,0,315,133,180,133,450,0,30,266,180,0,330,133,60,266,495,266,15,0,495,133,165,0,405,266,450,266,315,0,210,0,90,266,225,133,390,0,465,0,510,0,15,133,210,266,120,0,120,0,165,133,330,266,60,0,240,0,60,0,360,0,255,0,420,133,135,133,420,1477643591
266,165,0,195,133,195,0,180,0,135,266,270,133,315,133,15,133,105,0,270,0,450,266,195,266,45,266,465,133,90,133,495,133,465,133,255,266,135,133,480,133,285,133,240,0,345,266,300,266,90,0,285,133,30,266,360,266,435,133,225,133,375,266,210,0,75,266,285,266,375,0,435,948,15,266,420,266,105,133,435,133,345,0,300,0,105,133,75,133,150,133,300,133,405,0,390,133,45,0,480,266,390,266,345,0,375,0,225,0,150,266,480,133,270,266,330,266,150,266,30,133,360,133,120,266,405,266,75,266,255,266,240,0,315,133,180,133,450,0,30,266,180,0,330,133,60,266,495,266,15,0,495,132,167,0,405,266,450,266,315,0,210,0,90,266,225,133,390,0,465,0,510,0,15,133,210,266,120,0,120,0,165,133,330,266,60,0,240,0,60,0,360,0,255,0,420,133,135,133,420,1477643606
266,165,0,195,133,195,0,180,0,135,266,270,133,315,133,15,133,105,0,270,0,450,266,195,266,45,266,465,133,90,133,495,133,465,133,255,266,135,133,480,133,285,133,240,0,345,266,300,266,90,0,285,133,30,266,360,266,435,133,225,133,375,266,210,0,75,266,285,266,375,0,435,948,15,266,420,266,105,133,435,133,345,0,300,0,105,133,75,133,150,133,300,133,405,0,390,133,45,0,480,266,390,266,345,0,375,0,225,0,150,266,480,133,270,266,330,266,150,266,30,133,360,133,120,266,405,266,75,266,255,266,240,0,315,133,180,133,450,0,30,266,180,0,330,133,60,266,495,266,15,0,495,410,606,0,405,266,450,266,315,0,210,0,90,266,225,133,390,0,465,0,510,0,15,133,210,266,120,0,120,0,165,133,330,266,60,0,240,0,60,0,360,0,255,0,420,133,135,133,420,1477643621
266,165,0,195,133,195,0,180,0,135,266,270,133,315,133,15,133,105,0,270,0,450,266,195,266,45,266,465,133,90,133,495,133,465,133,255,266,135,133,480,133,285,133,240,0,345,266,300,266,90,0,285,133,30,266,360,266,435,133,225,133,375,266,210,0,75,266,285,266,375,0,435,948,15,266,420,266,105,133,435,133,345,0,300,0,105,133,75,426,405,133,300,133,405,0,390,133,45,0,480,266,390,266,345,0,375,0,225,0,150,266,480,133,270,266,330,266,150,266,30,133,360,133,120,266,405,266,75,266,255,266,240,0,315,133,180,133,450,0,30,266,180,0,330,133,60,266,495,266,15,0,495,418,445,0,405,266,450,266,315,0,210,0,90,266,225,133,390,0,465,0,510,0,15,133,210,266,120,0,120,0,165,133,330,266,60,0,240,0,60,0,360,0,255,0,420,133,135,133,420,1477643636
266,165,0,195,133,195,0,180,0,135,266,270,133,315,133,15,133,105,0,270,0,450,266,195,266,45,266,465,133,90,133,495,133,465,133,255,266,135,133,480,133,285,133,240,0,345,266,300,266,90,0,285,133,30,266,360,266,435,133,225,133,375,266,210,0,75,266,285,266,375,0,435,948,15,505,451,266,105,133,435,133,345,0,300,0,105,133,75,426,405,133,300,133,405,0,390,133,45,0,480,266,390,266,345,0,375,0,225,0,150,266,480,515,421,266,330,266,150,266,30,133,360,133,120,266,405,266,75,266,255,266,240,0,315,133,180,133,450,0,30,266,180,0,330,133,60,266,495,266,15,0,495,418,445,0,405,428,472,266,315,0,210,0,90,266,225,133,390,0,465,0,510,0,15,133,210,266,120,0,120,0,165,133,330,266,60,0,240,0,60,0,360,0,255,0,420,133,135,133,420,1477643651
266,165,0,195,133,195,0,180,0,135,266,270,133,315,133,15,133,105,0,270,0,450,266,195,266,45,266,465,133,90,133,495,133,465,133,255,266,135,133,480,133,285,133,240,0,345,266,300,266,90,0,285,133,30,266,360,266,435,133,225,133,375,266,210,0,75,266,285,266,375,0,435,948,15,517,459,266,105,133,435,133,345,0,300,0,105,133,75,426,405,133,300,133,405,0,390,133,45,0,480,266,390,266,345,0,375,0,225,0,150,266,480,515,421,266,330,266,150,266,30,133,360,133,120,266,405,266,75,266,255,266,240,0,315,133,180,133,450,0,30,266,180,0,330,133,60,266,495,266,15,0,495,418,445,0,405,428,472,266,315,0,210,0,90,266,225,133,390,0,465,0,510,0,15,133,210,266,120,0,120,705,340,133,330,266,60,0,240,0,60,0,360,0,255,0,420,133,135,133,420,1477643666
266,165,0,195,133,195,0,180,0,135,266,270,133,315,133,15,133,105,0,270,0,450,266,195,266,45,266,465,133,90,133,495,133,465,133,255,266,135,133,480,133,285,133,240,0,345,266,300,266,90,0,285,133,30,266,360,266,435,133,225,133,375,266,210,0,75,266,285,266,375,0,435,948,15,517,459,266,105,133,435,133,345,0,300,0,105,133,75,426,405,133,300,133,405,0,390,133,45,0,480,266,390,266,345,0,375,0,225,0,150,266,480,515,421,266,330,266,150,266,30,133,360,133,120,266,405,266,75,266,255,266,240,0,315,133,180,133,450,0,30,266,180,0,330,133,60,266,495,266,15,0,495,418,445,419,456,428,472,266,315,0,210,0,90,266,225,133,390,0,465,0,510,0,15,133,210,266,120,0,120,436,216,133,330,266,60,0,239,0,60,0,360,0,255,0,420,133,135,133,420,1477643681
266,165,0,195,133,195,0,180,0,135,266,270,133,315,133,15,133,105,0,270,0,450,266,195,266,45,266,465,133,90,133,495,133,465,133,255,266,135,133,480,133,285,133,240,0,345,266,300,266,90,0,285,133,30,266,360,266,435,133,225,133,375,266,210,0,75,266,285,266,375,0,435,948,15,546,395,266,105,133,435,133,345,0,300,0,105,133,75,426,405,133,300,133,405,0,390,133,45,0,480,266,390,266,345,0,375,0,225,0,150,266,480,469,448,266,330,266,150,266,30,133,360,133,120,266,405,266,75,266,255,266,240,0,315,133,180,133,450,0,30,266,180,0,330,133,60,266,495,266,15,0,495,418,445,419,456,527,504,266,315,0,210,0,90,266,225,133,390,0,465,0,510,0,15,133,210,266,120,0,120,436,216,133,330,266,60,0,239,0,60,0,360,0,255,0,420,133,135,133,420,1477643696
266,165,0,195,133,195,0,180,0,135,266,270,133,315,133,15,133,105,0,270,0,450,266,195,266,45,266,465,133,90,133,495,133,465,133,255,266,135,133,480,133,285,133,240,0,345,266,300,266,90,0,285,133,30,266,360,266,435,133,225,133,375,266,210,0,75,266,285,266,375,0,435,948,15,546,395,266,105,133,435,133,345,0,300,0,105,133,75,426,405,133,300,133,405,0,390,133,45,0,480,266,390,266,345,0,375,0,225,0,150,266,480,469,448,266,330,266,150,266,30,133,360,133,120,266,405,266,75,266,255,266,240,0,315,133,180,133,450,0,30,266,180,0,330,133,60,266,495,266,15,0,495,418,445,419,456,527,504,266,315,0,210,0,90,266,225,133,390,412,440,0,510,0,15,133,210,266,120,0,120,436,216,133,330,266,60,0,239,0,60,422,463,0,255,0,420,133,135,133,420,1477643711
266,165,0,195,133,195,0,180,0,135,266,270,133,315,133,15,133,105,0,270,0,450,266,195,266,45,266,465,133,90,133,495,133,465,133,255,266,135,133,480,133,285,133,240,0,345,266,300,266,90,0,285,133,30,266,360,266,435,133,225,133,375,266,210,0,75,266,285,266,375,0,435,948,15,546,395,266,105,133,435,133,345,0,300,0,105,133,75,426,405,133,300,133,405,0,390,133,45,0,480,266,390,266,345,0,375,0,225,0,150,266,480,469,448,266,330,266,150,266,30,133,360,133,120,266,405,266,75,266,255,266,240,0,315,133,180,133,450,0,30,266,180,0,330,133,60,266,495,266,15,0,495,418,445,419,456,527,504,266,315,0,210,525,502,266,225,133,390,412,440,0,510,0,15,133,210,266,120,0,120,436,216,133,330,266,60,0,239,0,60,419,466,0,255,0,420,133,135,133,420,1477643726
