266,(98-67)*15+15,266,(81-67)*15+15,133,(61-34)*15+15,0,10*15+15,0,2*15+15,133,(56-34)*15+15,133,(66-34)*15+15,266,(96-67)*15+15,133,(43-34)*15+15,266,(78-67)*15+15,266,(77-67)*15+15,133,(45-34)*15+15,0,7*15+15,266,(85-67)*15+15,133,(42-34)*15+15,133,(52-34)*15+15,0,31*15+15,133,(65-34)*15+15,0,5*15+15,0,18*15+15,266,(68-67)*15+15,266,(80-67)*15+15,0,28*15+15,133,(47-34)*15+15,133,(64-34)*15+15,133,(51-34)*15+15,133,(41-34)*15+15,266,(76-67)*15+15,0,23*15+15,266,(84-67)*15+15,266,(74-67)*15+15,0,33*15+15,0,29*15+15,133,(40-34)*15+15,133,(63-34)*15+15,266,(94-67)*15+15,0,17*15+15,133,(38-34)*15+15,266,(99-67)*15+15,133,(53-34)*15+15,133,(55-34)*15+15,0,20*15+15,0,19*15+15,0,21*15+15,0,12*15+15,133,(46-34)*15+15,266,(90-67)*15+15,266,(87-67)*15+15,0,26*15+15,0,0*15+15,0,27*15+15,133,(60-34)*15+15,133,(49-34)*15+15,133,(37-34)*15+15,266,(70-67)*15+15,133,(44-34)*15+15,133,(48-34)*15+15,0,14*15+15,266,(89-67)*15+15,0,24*15+15,266,(93-67)*15+15,0,3*15+15,0,1*15+15,266,(92-67)*15+15,133,(58-34)*15+15,266,(83-67)*15+15,0,30*15+15,266,(95-67)*15+15,133,(62-34)*15+15,266,(73-67)*15+15,266,(75-67)*15+15,133,(59-34)*15+15,0,15*15+15,133,(50-34)*15+15,266,(86-67)*15+15,133,(34-34)*15+15,0,16*15+15,266,(88-67)*15+15,0,22*15+15,266,(67-67)*15+15,266,(82-67)*15+15,266,(69-67)*15+15,0,6*15+15,0,11*15+15,266,(97-67)*15+15,0,32*15+15,133,(54-34)*15+15,133,(39-34)*15+15,133,(57-34)*15+15,0,9*15+15,266,(91-67)*15+15,133,(35-34)*15+15,0,13*15+15,266,(79-67)*15+15,266,(71-67)*15+15,133,(36-34)*15+15,0,25*15+15,266,(72-67)*15+15,0,4*15+15,0,8*15+15,1469858322
266,480,266,225,133,420,0,165,0,45,133,345,133,495,266,450,133,150,266,180,266,165,133,180,0,120,266,285,133,135,133,285,0,480,133,480,0,90,0,285,266,30,266,210,0,435,133,210,133,465,133,270,133,120,266,150,0,360,266,270,266,120,0,510,0,450,133,105,133,450,266,420,0,270,133,75,266,495,133,300,133,330,0,315,0,300,0,330,0,195,133,195,266,360,266,315,0,405,0,15,0,420,133,405,133,240,133,60,266,60,133,165,133,225,0,225,266,345,0,375,266,405,0,60,0,30,266,390,133,375,266,255,0,465,266,435,133,435,266,105,266,135,133,390,0,240,133,255,266,300,133,15,0,255,266,330,0,345,266,15,266,240,266,45,0,105,0,180,266,465,0,495,133,315,133,90,133,360,0,150,266,375,133,30,0,210,266,195,266,75,133,45,0,390,266,90,0,75,0,135,1469858354
266,480,266,225,133,420,0,165,0,45,133,345,133,495,266,450,133,150,266,180,266,165,133,180,0,120,266,285,133,135,133,285,0,480,133,480,0,90,0,285,266,30,266,210,0,435,133,210,133,465,133,270,133,120,266,150,0,360,266,270,266,120,0,510,0,450,133,105,133,450,266,420,0,270,133,75,266,495,133,300,133,330,0,315,0,300,0,330,0,195,133,195,266,360,266,315,0,405,0,15,0,420,133,405,133,240,133,60,266,60,133,165,133,225,0,225,266,345,0,375,266,405,0,60,0,30,266,390,133,375,266,255,0,465,266,435,133,435,266,105,266,135,133,390,0,240,133,255,266,300,133,15,0,255,266,330,0,345,266,15,266,240,266,45,0,105,0,180,266,465,0,495,133,315,133,90,133,360,0,150,266,375,133,30,0,210,266,195,266,75,133,45,0,390,266,90,0,75,0,135,1469858370
266,480,266,225,133,420,0,165,0,45,133,345,133,495,266,450,133,150,266,180,266,165,133,180,0,120,266,285,133,135,133,285,0,480,133,480,0,90,0,285,266,30,266,210,0,435,133,210,133,465,133,270,133,120,266,150,0,360,266,270,266,120,0,510,0,450,133,105,133,450,266,420,0,270,133,75,266,495,133,300,133,330,0,315,0,300,0,330,0,195,133,195,266,360,266,315,0,405,489,87,0,420,133,405,133,240,133,60,266,60,133,165,133,225,0,225,266,345,0,375,266,405,0,60,498,104,266,390,133,375,266,255,0,465,266,435,133,435,266,105,266,135,133,390,0,240,133,255,266,300,133,15,0,255,266,330,0,345,266,15,266,240,266,45,0,105,0,180,266,465,0,495,133,315,133,90,133,360,0,150,266,375,133,30,0,210,266,195,266,75,133,45,0,390,266,90,0,75,0,135,1469858385
266,480,266,225,133,420,0,165,420,72,133,345,133,495,266,450,133,150,266,180,266,165,133,180,0,120,266,285,133,135,133,285,0,480,133,480,505,224,0,285,266,30,266,210,0,435,133,210,133,465,133,270,133,120,266,150,0,360,266,270,266,120,0,510,0,450,133,105,133,450,266,420,0,270,133,75,266,495,133,300,133,330,0,315,0,300,0,330,0,195,133,195,266,360,266,315,0,405,489,87,0,420,133,405,133,240,133,60,266,60,133,165,133,225,0,225,266,345,0,375,266,405,807,373,497,104,266,390,133,375,266,255,0,465,266,435,133,435,266,105,266,135,133,390,0,240,133,255,266,300,133,15,0,255,266,330,0,345,266,15,266,240,266,45,0,105,0,180,266,465,0,495,133,315,133,90,133,360,0,150,266,375,133,30,0,210,266,195,266,75,133,45,0,390,266,90,0,75,0,135,1469858400
266,480,266,225,133,420,0,165,420,72,133,345,133,495,266,450,133,150,266,180,266,165,133,180,493,490,266,285,133,135,133,285,0,480,133,480,497,252,0,285,266,30,266,210,0,435,133,210,133,465,133,270,133,120,266,150,0,360,266,270,266,120,0,510,0,450,133,105,133,450,266,420,0,270,133,75,266,495,133,300,133,330,0,315,0,300,0,330,0,195,133,195,266,360,266,315,0,405,489,87,0,420,133,405,133,240,133,60,266,60,133,165,133,225,0,225,266,345,0,375,266,405,849,288,497,104,266,390,133,375,266,255,0,465,266,435,133,435,266,105,266,135,133,390,0,240,133,255,266,300,133,15,0,255,266,330,0,345,266,15,266,240,266,45,429,526,0,180,266,465,0,495,133,315,133,90,133,360,784,515,266,375,133,30,0,210,266,195,266,75,133,45,0,390,266,90,466,132,454,384,1469858415
266,480,266,225,133,420,482,368,420,72,133,345,133,495,266,450,133,150,266,180,266,165,133,180,493,490,266,285,133,135,133,285,0,480,133,480,497,252,0,285,266,30,266,210,0,435,133,210,133,465,133,270,133,120,266,150,0,360,266,270,266,120,0,510,0,450,133,105,133,450,266,420,0,270,133,75,266,495,133,300,133,330,0,315,0,300,0,330,0,195,133,195,266,360,266,315,0,405,489,87,0,420,133,405,133,240,133,60,266,60,133,165,133,225,0,225,266,345,0,375,266,405,849,288,497,104,266,390,133,375,266,255,0,465,266,435,133,435,266,105,266,135,133,390,0,240,133,255,266,300,133,15,0,255,266,330,0,345,266,15,266,240,266,45,429,526,828,470,266,465,0,495,133,315,133,90,133,360,784,515,266,375,133,30,0,210,266,195,266,75,133,45,0,390,266,90,466,132,454,384,1469858430
266,480,266,225,133,420,482,368,420,72,133,345,133,495,266,450,133,150,266,180,266,165,133,180,493,490,266,285,133,135,133,285,0,480,133,480,497,252,0,285,266,30,266,210,0,435,133,210,133,465,133,270,133,120,266,150,0,360,266,270,266,120,0,510,0,450,133,105,133,450,266,420,0,270,133,75,266,495,133,300,133,330,0,315,0,300,0,330,817,149,133,195,266,360,266,315,0,405,489,87,0,420,133,405,133,240,133,60,266,60,133,165,133,225,699,343,266,345,0,375,266,405,849,288,497,104,266,390,133,375,266,255,0,465,266,435,133,435,266,105,266,135,133,390,0,240,133,255,266,300,133,15,0,255,266,330,0,345,266,15,266,240,266,45,429,526,828,470,266,465,0,495,133,315,133,90,133,360,784,515,266,375,133,30,680,72,266,195,266,75,133,45,0,390,266,90,466,132,454,384,1469858445
266,480,266,225,133,420,482,368,420,72,133,345,133,495,266,450,133,150,266,180,266,165,133,180,493,490,266,285,133,135,133,285,0,480,133,480,497,252,0,285,266,30,266,210,0,435,133,210,133,465,133,270,133,120,266,150,0,360,266,270,266,120,0,510,0,450,133,105,133,450,266,420,0,270,133,75,266,495,133,300,133,330,0,315,0,300,0,330,817,149,133,195,266,360,266,315,0,405,489,87,0,420,133,405,133,240,133,60,266,60,133,165,133,225,699,343,266,345,0,375,266,405,849,288,497,104,266,390,133,375,266,255,0,465,266,435,133,435,266,105,266,135,133,390,0,240,133,255,266,300,133,15,659,511,266,330,0,345,266,15,266,240,266,45,429,526,828,470,266,465,0,495,133,315,133,90,133,360,784,515,266,375,133,30,680,72,266,195,266,75,133,45,0,390,266,90,466,132,454,384,1469858460
266,480,266,225,133,420,482,368,420,72,133,345,133,495,266,450,133,150,266,180,266,165,133,180,493,490,266,285,133,135,133,285,0,480,133,480,497,252,0,285,266,30,266,210,0,435,133,210,133,465,133,270,133,120,266,150,0,360,266,270,266,120,0,510,0,450,133,105,133,450,266,420,472,348,133,75,266,495,133,300,133,330,0,315,0,300,0,330,817,149,133,195,266,360,266,315,0,405,489,87,0,420,133,405,133,240,133,60,266,60,133,165,133,225,699,343,266,345,0,375,266,405,760,517,560,119,266,390,133,375,266,255,0,465,266,435,133,435,266,105,266,135,133,390,612,108,133,255,266,300,133,15,666,515,266,330,0,345,266,15,266,240,266,45,429,526,828,470,266,465,0,495,133,315,133,90,133,360,832,371,266,375,133,30,680,72,266,195,266,75,133,45,0,390,266,90,466,132,454,384,1469858475
266,480,266,225,133,420,482,368,420,72,133,345,133,495,266,450,133,150,266,180,266,165,133,180,493,490,266,285,133,135,133,285,0,480,133,480,497,252,512,475,266,30,266,210,0,435,133,210,133,465,133,270,133,120,266,150,0,360,266,270,266,120,0,510,0,450,133,105,133,450,266,420,472,348,133,75,266,495,133,300,133,330,801,138,837,195,0,330,817,149,133,195,266,360,266,315,0,405,489,87,0,420,133,405,133,240,133,60,266,60,133,165,133,225,699,343,266,345,0,375,266,405,760,517,560,119,266,390,133,375,266,255,0,465,266,435,133,435,266,105,266,135,133,390,612,108,133,255,266,300,133,15,666,515,266,330,0,345,266,15,266,240,266,45,429,526,828,470,266,465,0,495,133,315,133,90,133,360,832,371,266,375,133,30,680,72,266,195,266,75,133,45,0,390,266,90,466,132,454,384,1469858490
