266,(77-67)*15+15,266,(94-67)*15+15,266,(82-67)*15+15,266,(78-67)*15+15,266,(68-67)*15+15,133,(48-34)*15+15,0,25*15+15,266,(89-67)*15+15,266,(72-67)*15+15,266,(91-67)*15+15,266,(84-67)*15+15,133,(57-34)*15+15,133,(54-34)*15+15,0,8*15+15,266,(90-67)*15+15,266,(97-67)*15+15,0,31*15+15,266,(96-67)*15+15,133,(37-34)*15+15,0,33*15+15,0,23*15+15,133,(60-34)*15+15,266,(67-67)*15+15,0,14*15+15,0,1*15+15,133,(66-34)*15+15,0,2*15+15,266,(71-67)*15+15,0,13*15+15,133,(36-34)*15+15,133,(41-34)*15+15,266,(76-67)*15+15,0,0*15+15,133,(62-34)*15+15,266,(79-67)*15+15,0,9*15+15,0,19*15+15,133,(45-34)*15+15,133,(50-34)*15+15,0,16*15+15,133,(44-34)*15+15,133,(49-34)*15+15,0,22*15+15,133,(55-34)*15+15,0,12*15+15,0,5*15+15,133,(42-34)*15+15,266,(98-67)*15+15,133,(43-34)*15+15,133,(34-34)*15+15,0,28*15+15,266,(85-67)*15+15,266,(73-67)*15+15,133,(56-34)*15+15,266,(99-67)*15+15,0,32*15+15,133,(61-34)*15+15,0,26*15+15,0,6*15+15,133,(51-34)*15+15,133,(38-34)*15+15,133,(52-34)*15+15,0,17*15+15,266,(95-67)*15+15,266,(70-67)*15+15,0,10*15+15,133,(35-34)*15+15,0,7*15+15,133,(58-34)*15+15,266,(75-67)*15+15,266,(88-67)*15+15,266,(86-67)*15+15,133,(39-34)*15+15,0,29*15+15,133,(63-34)*15+15,133,(64-34)*15+15,0,18*15+15,0,15*15+15,266,(69-67)*15+15,133,(65-34)*15+15,266,(93-67)*15+15,133,(47-34)*15+15,133,(46-34)*15+15,266,(81-67)*15+15,266,(87-67)*15+15,0,3*15+15,133,(40-34)*15+15,0,4*15+15,266,(74-67)*15+15,0,24*15+15,133,(53-34)*15+15,266,(92-67)*15+15,266,(80-67)*15+15,0,11*15+15,0,21*15+15,266,(83-67)*15+15,0,30*15+15,133,(59-34)*15+15,0,20*15+15,0,27*15+15,1465900353
266,165,266,420,266,240,266,180,266,30,133,225,0,390,266,345,266,90,266,375,266,270,133,360,133,315,0,135,266,360,266,465,0,480,266,450,133,60,0,510,0,360,133,405,266,15,0,225,512,81,133,495,480,107,266,75,0,210,133,45,133,120,266,150,0,15,133,435,266,195,0,150,0,300,133,180,133,255,0,255,133,165,133,240,0,345,133,330,0,195,0,90,133,135,266,480,133,150,133,15,0,435,266,285,266,105,133,345,266,495,0,495,133,420,0,405,0,105,133,270,133,75,133,285,0,270,266,435,266,60,0,165,133,30,0,120,133,375,266,135,266,330,266,300,133,90,0,450,133,450,133,465,0,285,0,240,266,45,133,480,266,405,133,210,133,195,266,225,266,315,0,60,133,105,0,75,266,120,0,375,133,300,266,390,266,210,0,180,0,330,266,255,0,465,133,390,0,315,0,420,1465900426
266,165,266,420,266,240,266,180,266,30,133,225,0,390,266,345,266,90,266,375,266,270,133,360,133,315,0,135,266,360,266,465,0,480,266,450,133,60,0,510,0,360,133,405,266,15,0,225,512,81,133,495,480,107,266,75,0,210,133,45,133,120,266,150,446,54,133,435,266,195,0,150,0,300,133,180,133,255,0,255,133,165,133,240,0,345,133,330,0,195,873,326,133,135,266,480,133,150,133,15,0,435,266,285,266,105,133,345,266,495,0,495,133,420,0,405,6,109,133,270,133,75,133,285,0,270,266,435,266,60,0,165,133,30,0,120,133,375,266,135,266,330,266,300,133,90,0,450,133,450,133,465,0,285,0,240,266,45,133,480,266,405,133,210,133,195,266,225,266,315,782,395,133,105,444,303,266,120,0,375,133,300,266,390,266,210,0,180,0,330,266,255,0,465,133,390,0,315,0,420,1465900441
266,165,266,420,266,240,266,180,266,30,133,225,0,390,266,345,266,90,266,375,266,270,133,360,133,315,931,202,266,360,266,465,0,480,266,450,133,60,0,510,0,360,133,405,266,15,0,225,512,81,133,495,480,107,266,75,0,210,133,45,133,120,266,150,446,54,133,435,266,195,891,245,0,300,133,180,133,255,0,255,133,165,133,240,0,345,133,330,0,195,873,326,133,135,266,480,133,150,133,15,0,435,266,285,266,105,133,345,266,495,0,495,133,420,0,405,765,334,133,270,133,75,133,285,0,270,266,435,266,60,916,137,133,30,510,411,133,375,266,135,266,330,266,300,133,90,0,450,133,450,133,465,0,285,0,240,266,45,133,480,266,405,133,210,133,195,266,225,266,315,782,395,133,105,444,303,266,120,0,375,133,300,266,390,266,210,0,180,0,330,266,255,0,465,133,390,0,315,0,420,1465900456
266,165,266,420,266,240,266,180,266,30,133,225,0,390,266,345,266,90,266,375,266,270,133,360,133,315,931,202,266,360,266,465,0,480,266,450,133,60,0,510,0,360,133,405,266,15,0,225,512,81,133,495,480,107,266,75,0,210,133,45,133,120,266,150,446,54,133,435,266,195,806,274,0,300,133,180,133,255,0,255,133,165,133,240,0,345,133,330,0,195,794,298,133,135,266,480,133,150,133,15,0,435,266,285,266,105,133,345,266,495,0,495,133,420,0,405,745,281,133,270,133,75,133,285,0,270,266,435,266,60,770,71,133,30,510,411,133,375,266,135,266,330,266,300,133,90,0,450,133,450,133,465,0,285,0,240,266,45,133,480,266,405,133,210,133,195,266,225,266,315,782,395,133,105,444,303,266,120,0,375,133,300,266,390,266,210,748,254,0,330,266,255,0,465,133,390,0,315,0,420,1465900471
266,165,266,420,266,240,266,180,266,30,133,225,0,390,266,345,266,90,266,375,266,270,133,360,133,315,931,202,266,360,266,465,0,480,266,450,133,60,0,510,0,360,133,405,266,15,0,225,512,81,133,495,480,107,266,75,687,392,133,45,133,120,266,150,446,54,133,435,266,195,806,274,0,300,133,180,133,255,0,255,133,165,133,240,0,345,133,330,890,115,794,299,133,135,266,480,133,150,133,15,0,435,266,285,266,105,133,345,266,495,0,495,133,420,0,405,745,281,133,270,133,75,133,285,0,270,266,435,266,60,770,71,133,30,510,411,133,375,266,135,266,330,266,300,133,90,0,450,133,450,133,465,0,285,0,240,266,45,133,480,266,405,133,210,133,195,266,225,266,315,760,317,133,105,444,303,266,120,0,375,133,300,266,390,266,210,748,254,0,330,266,255,0,465,133,390,0,315,0,420,1465900486
266,165,266,420,266,240,266,180,266,30,133,225,0,390,266,345,266,90,266,375,266,270,133,360,133,315,931,202,266,360,266,465,0,480,266,450,133,60,0,510,0,360,133,405,266,15,715,441,512,81,133,495,480,107,266,75,880,179,133,45,133,120,266,150,446,54,133,435,266,195,806,274,0,300,133,180,133,255,0,255,133,165,133,240,0,345,133,330,890,115,794,299,133,135,266,480,133,150,133,15,0,435,266,285,266,105,133,345,266,495,0,495,133,420,0,405,745,281,133,270,133,75,133,285,0,270,266,435,266,60,770,71,133,30,510,411,133,375,266,135,266,330,266,300,133,90,0,450,133,450,133,465,0,285,918,133,266,45,133,480,266,405,133,210,133,195,266,225,266,315,760,317,133,105,444,303,266,120,0,375,133,300,266,390,266,210,748,254,0,330,266,255,0,465,133,390,0,315,0,420,1465900501
266,165,266,420,266,240,266,180,266,30,133,225,0,390,266,345,266,90,266,375,266,270,133,360,133,315,931,202,266,360,266,465,0,480,266,450,133,60,0,510,0,360,133,405,266,15,715,441,512,81,133,495,480,107,266,75,880,179,133,45,133,120,266,150,446,54,133,435,266,195,806,274,886,287,133,180,133,255,519,142,133,165,133,240,0,345,133,330,890,115,794,299,133,135,266,480,133,150,133,15,0,435,266,285,266,105,133,345,266,495,0,495,133,420,0,405,745,281,133,270,133,75,133,285,492,388,266,435,266,60,770,71,133,30,510,411,133,375,266,135,266,330,266,300,133,90,0,450,133,450,133,465,852,138,918,133,266,45,133,480,266,405,133,210,133,195,266,225,266,315,760,317,133,105,444,303,266,120,0,375,133,300,266,390,266,210,748,254,0,330,266,255,0,465,133,390,0,315,0,420,1465900516
266,165,266,420,266,240,266,180,266,30,133,225,0,390,266,345,266,90,266,375,266,270,133,360,133,315,931,202,266,360,266,465,0,480,266,450,133,60,0,510,0,360,133,405,266,15,715,441,512,81,133,495,480,107,266,75,880,179,133,45,133,120,266,150,446,54,133,435,266,195,806,274,886,287,133,180,133,255,519,142,133,165,133,240,927,118,133,330,890,115,794,299,133,135,266,480,133,150,133,15,0,435,266,285,266,105,133,345,266,495,0,495,133,420,0,405,745,281,133,270,133,75,133,285,492,388,266,435,266,60,770,71,133,30,510,411,133,375,266,135,266,330,266,300,133,90,0,450,133,450,133,465,852,138,918,133,266,45,133,480,266,405,133,210,133,195,266,225,266,315,760,317,133,105,444,303,266,120,0,375,133,300,266,390,266,210,748,254,834,247,266,255,0,465,133,390,452,195,0,420,1465900531
266,165,266,420,266,240,266,180,266,30,133,225,0,390,266,345,266,90,266,375,266,270,133,360,133,315,931,202,266,360,266,465,0,480,266,450,133,60,0,510,683,405,133,405,266,15,715,441,512,81,133,495,480,107,266,75,880,179,133,45,133,120,266,150,446,54,133,435,266,195,806,274,886,287,133,180,133,255,519,142,133,165,133,240,927,118,133,330,890,115,794,299,133,135,266,480,133,150,133,15,0,435,266,285,266,105,133,345,266,495,0,495,133,420,0,405,745,281,133,270,133,75,133,285,492,388,266,435,266,60,770,71,133,30,510,411,133,375,266,135,266,330,266,300,133,90,0,450,133,450,133,465,852,138,918,133,266,45,133,480,266,405,133,210,133,195,266,225,266,315,760,317,133,105,444,303,266,120,590,33,133,300,266,390,266,210,748,254,834,247,266,255,0,465,133,390,452,195,0,420,1465900546
266,165,266,420,266,240,266,180,266,30,133,225,624,512,266,345,266,90,266,375,266,270,133,360,133,315,931,202,266,360,266,465,0,480,266,450,133,60,0,510,683,405,133,405,266,15,715,441,512,81,133,495,480,107,266,75,880,179,133,45,133,120,266,150,446,54,133,435,266,195,806,274,886,287,133,180,133,255,519,142,133,165,133,240,927,118,133,330,890,115,794,299,133,135,266,480,133,150,133,15,0,435,266,285,266,105,133,345,266,495,0,495,133,420,889,251,745,281,133,270,133,75,133,285,492,388,266,435,266,60,770,71,133,30,510,411,133,375,266,135,266,330,266,300,133,90,0,450,133,450,133,465,852,138,918,133,266,45,133,480,266,405,133,210,133,195,266,225,266,315,760,317,133,105,444,303,266,120,590,33,133,300,266,390,266,210,748,254,834,247,266,255,0,465,133,390,452,195,466,215,1465900561
266,165,266,420,266,240,266,180,266,30,133,225,624,512,266,345,266,90,266,375,266,270,133,360,133,315,931,202,266,360,266,465,0,480,266,450,133,60,0,510,683,405,133,405,266,15,715,441,512,81,133,495,480,107,266,75,880,179,133,45,133,120,266,150,446,54,133,435,266,195,806,277,886,287,133,180,133,255,519,142,133,165,133,240,927,118,133,330,890,115,794,299,133,135,266,480,133,150,133,15,873,320,266,285,266,105,133,345,266,495,0,495,133,420,889,251,745,281,133,270,133,75,133,285,492,388,266,435,266,60,770,71,133,30,510,411,133,375,266,135,266,330,266,300,133,90,422,374,133,450,133,465,852,138,918,133,266,45,133,480,266,405,133,210,133,195,266,225,266,315,760,317,133,105,444,303,266,120,590,33,133,300,266,390,266,210,748,254,834,247,266,255,0,465,133,390,452,195,466,215,1465900576
266,165,266,420,266,240,266,180,266,30,133,225,624,512,266,345,266,90,266,375,266,270,133,360,133,315,931,202,266,360,266,465,0,480,266,450,133,60,0,510,683,405,133,405,266,15,715,441,512,81,133,495,480,107,266,75,880,179,133,45,133,120,266,150,446,54,133,435,266,195,801,317,886,287,133,180,133,255,519,142,133,165,133,240,927,118,133,330,890,115,823,222,133,135,266,480,133,150,133,15,858,331,266,285,266,105,133,345,266,495,0,495,133,420,889,251,745,281,133,270,133,75,133,285,492,388,266,435,266,60,770,71,133,30,510,411,133,375,266,135,266,330,266,300,133,90,422,374,133,450,133,465,852,138,918,133,266,45,133,480,266,405,133,210,133,195,266,225,266,315,760,317,133,105,444,303,266,120,590,33,133,300,266,390,266,210,748,254,834,247,266,255,775,231,133,390,452,195,466,215,1465900591
