266,(81-67)*15+15,133,(58-34)*15+15,0,3*15+15,266,(94-67)*15+15,0,8*15+15,133,(49-34)*15+15,133,(64-34)*15+15,266,(75-67)*15+15,133,(48-34)*15+15,0,16*15+15,133,(56-34)*15+15,0,1*15+15,0,28*15+15,266,(93-67)*15+15,133,(40-34)*15+15,133,(35-34)*15+15,266,(88-67)*15+15,266,(98-67)*15+15,266,(83-67)*15+15,0,19*15+15,133,(34-34)*15+15,0,21*15+15,0,9*15+15,133,(62-34)*15+15,0,22*15+15,133,(61-34)*15+15,133,(47-34)*15+15,266,(87-67)*15+15,133,(54-34)*15+15,0,10*15+15,266,(77-67)*15+15,266,(99-67)*15+15,0,27*15+15,0,5*15+15,266,(89-67)*15+15,266,(96-67)*15+15,133,(50-34)*15+15,0,26*15+15,0,32*15+15,133,(39-34)*15+15,133,(65-34)*15+15,266,(71-67)*15+15,266,(74-67)*15+15,266,(97-67)*15+15,266,(67-67)*15+15,133,(41-34)*15+15,0,7*15+15,266,(69-67)*15+15,266,(90-67)*15+15,133,(36-34)*15+15,0,29*15+15,0,25*15+15,133,(66-34)*15+15,133,(57-34)*15+15,133,(46-34)*15+15,266,(76-67)*15+15,266,(85-67)*15+15,266,(78-67)*15+15,133,(45-34)*15+15,0,20*15+15,0,31*15+15,0,0*15+15,266,(86-67)*15+15,133,(59-34)*15+15,0,23*15+15,0,2*15+15,0,4*15+15,133,(55-34)*15+15,133,(44-34)*15+15,0,18*15+15,266,(70-67)*15+15,0,24*15+15,266,(72-67)*15+15,0,6*15+15,133,(42-34)*15+15,0,14*15+15,133,(51-34)*15+15,0,33*15+15,133,(63-34)*15+15,266,(92-67)*15+15,266,(84-67)*15+15,0,17*15+15,266,(91-67)*15+15,0,13*15+15,133,(52-34)*15+15,133,(43-34)*15+15,0,12*15+15,133,(37-34)*15+15,266,(73-67)*15+15,266,(68-67)*15+15,0,11*15+15,266,(95-67)*15+15,133,(60-34)*15+15,0,15*15+15,266,(82-67)*15+15,133,(53-34)*15+15,133,(38-34)*15+15,266,(79-67)*15+15,266,(80-67)*15+15,0,30*15+15,1466073530
266,225,133,375,0,60,266,420,0,135,133,240,133,465,266,135,133,225,0,255,133,345,0,30,0,435,266,405,133,105,133,30,266,330,266,480,266,255,0,300,133,15,0,330,0,150,133,435,0,345,133,420,133,210,266,315,133,315,0,165,266,165,266,495,0,420,0,90,266,345,266,450,133,255,0,405,0,495,133,90,133,480,266,75,266,120,266,465,266,15,133,120,0,120,266,45,266,360,133,45,0,450,0,390,133,495,133,360,133,195,266,150,266,285,266,180,133,180,0,315,0,480,411,15,266,300,133,390,0,360,0,45,0,75,133,330,133,165,0,285,266,60,0,375,266,90,0,105,133,135,0,225,133,270,0,510,133,450,266,390,266,270,0,270,266,375,0,210,133,285,133,150,0,195,133,60,266,105,266,30,0,180,266,435,133,405,0,240,266,240,133,300,133,75,266,195,266,210,0,465,1466073553
266,225,133,375,0,60,266,420,0,135,133,240,133,465,266,135,133,225,0,255,133,345,0,30,0,435,266,405,133,105,133,30,266,330,266,480,266,255,0,300,133,15,0,330,0,150,133,435,0,345,133,420,133,210,266,315,133,315,0,165,266,165,266,495,0,420,0,90,266,345,266,450,133,255,0,405,0,495,133,90,133,480,266,75,266,120,266,465,266,15,133,120,0,120,266,45,266,360,133,45,0,450,0,390,133,495,133,360,133,195,266,150,266,285,266,180,133,180,0,315,0,480,411,15,266,300,133,390,0,360,410,29,0,75,133,330,133,165,0,285,266,60,0,375,266,90,410,45,133,135,0,225,133,270,0,510,133,450,266,390,266,270,0,270,266,375,0,210,133,285,133,150,0,195,133,60,266,105,266,30,0,180,266,435,133,405,0,240,266,240,133,300,133,75,266,195,266,210,0,465,1466073568
266,225,133,375,0,60,266,420,434,165,133,240,133,465,266,135,133,225,0,255,133,345,447,146,0,435,266,405,133,105,133,30,266,330,266,480,266,255,0,300,133,15,0,330,0,150,133,435,0,345,133,420,133,210,266,315,133,315,0,165,266,165,266,495,0,420,0,90,266,345,266,450,133,255,0,405,0,495,133,90,133,480,266,75,266,120,266,465,266,15,133,120,0,120,266,45,266,360,133,45,0,450,0,390,133,495,133,360,133,195,266,150,266,285,266,180,133,180,0,315,0,480,411,15,266,300,133,390,0,360,410,29,0,75,133,330,133,165,0,285,266,60,0,375,266,90,410,45,133,135,415,182,133,270,0,510,133,450,266,390,266,270,0,270,266,375,0,210,133,285,133,150,0,195,133,60,266,105,266,30,0,180,266,435,133,405,0,240,266,240,133,300,133,75,266,195,266,210,0,465,1466073583
266,225,133,375,0,60,266,420,434,165,133,240,133,465,266,135,133,225,435,203,133,345,447,146,0,435,266,405,133,105,133,30,266,330,266,480,266,255,0,300,133,15,0,330,0,150,133,435,0,345,133,420,133,210,266,315,133,315,0,165,266,165,266,495,0,420,0,90,266,345,266,450,133,255,0,405,0,495,133,90,133,480,266,75,266,120,266,465,266,15,133,120,0,120,266,45,266,360,133,45,0,450,0,390,133,495,133,360,133,195,266,150,266,285,266,180,133,180,0,315,0,480,411,15,266,300,133,390,0,360,410,29,0,75,133,330,133,165,0,285,266,60,0,375,266,90,410,45,133,135,415,182,133,270,0,510,133,450,266,390,266,270,0,270,266,375,0,210,133,285,133,150,0,195,133,60,266,105,266,30,0,180,266,435,133,405,0,240,266,240,133,300,133,75,266,195,266,210,0,465,1466073598
266,225,133,375,0,60,266,420,434,165,133,240,133,465,266,135,133,225,435,203,133,345,447,146,0,435,266,405,133,105,133,30,266,330,266,480,266,255,0,300,133,15,0,330,0,150,133,435,0,345,133,420,133,210,266,315,133,315,0,165,266,165,266,495,0,420,0,90,266,345,266,450,133,255,0,405,0,495,133,90,133,480,266,75,266,120,266,465,266,15,133,120,0,120,266,45,266,360,133,45,0,450,0,390,133,495,133,360,133,195,266,150,266,285,266,180,133,180,0,315,0,480,411,15,266,300,133,390,0,360,410,29,0,75,133,330,133,165,0,285,266,60,0,375,266,90,410,45,133,135,415,182,133,270,0,510,133,450,266,390,266,270,0,270,266,375,0,210,133,285,133,150,0,195,133,60,266,105,266,30,0,180,266,435,133,405,0,240,266,240,133,300,133,75,266,195,266,210,0,465,1466073613
266,225,133,375,0,60,266,420,434,165,133,240,133,465,266,135,133,225,435,203,133,345,447,146,0,435,266,405,133,105,133,30,266,330,266,480,266,255,0,300,133,15,0,330,0,150,133,435,0,345,133,420,133,210,266,315,133,315,0,165,266,165,266,495,0,420,0,90,266,345,266,450,133,255,0,405,0,495,133,90,133,480,266,75,266,120,266,465,266,15,133,120,0,120,266,45,266,360,133,45,0,450,0,390,133,495,133,360,133,195,266,150,266,285,266,180,133,180,0,315,0,480,411,15,266,300,133,390,0,360,410,29,0,75,133,330,133,165,0,285,266,60,0,375,266,90,410,45,133,135,415,182,133,270,0,510,133,450,266,390,266,270,0,270,266,375,0,210,133,285,133,150,0,195,133,60,266,105,266,30,0,180,266,435,133,405,0,240,266,240,133,300,133,75,266,195,266,210,0,465,1466073628
266,225,133,375,0,60,266,420,634,41,133,240,133,465,266,135,133,225,633,76,133,345,648,24,0,435,266,405,133,105,133,30,266,330,266,480,266,255,0,300,133,15,0,330,0,150,133,435,0,345,133,420,133,210,266,315,133,315,0,165,266,165,266,495,0,420,0,90,266,345,266,450,133,255,0,405,0,495,133,90,133,480,266,75,266,120,266,465,266,15,133,120,0,120,266,45,266,360,133,45,0,450,0,390,133,495,133,360,133,195,266,150,266,285,266,180,133,180,0,315,0,480,411,15,266,300,133,390,0,360,410,29,0,75,133,330,133,165,0,285,266,60,0,375,266,90,410,45,133,135,611,59,133,270,0,510,133,450,266,390,266,270,0,270,266,375,0,210,133,285,133,150,0,195,133,60,266,105,266,30,0,180,266,435,133,405,0,240,266,240,133,300,133,75,266,195,266,210,0,465,1466073643
266,225,133,375,414,306,266,420,634,41,133,240,133,465,266,135,133,225,633,76,133,345,648,24,0,435,266,405,133,105,133,30,266,330,266,480,266,255,0,300,133,15,0,330,0,150,133,435,0,345,133,420,133,210,266,315,133,315,399,322,266,165,266,495,0,420,0,90,266,345,266,450,133,255,0,405,0,495,133,90,133,480,266,75,266,120,266,465,266,15,133,120,0,120,266,45,266,360,133,45,0,450,0,390,133,495,133,360,133,195,266,150,266,285,266,180,133,180,0,315,0,480,411,15,266,300,133,390,0,360,410,29,0,75,133,330,133,165,0,285,266,60,0,375,266,90,410,45,133,135,611,59,133,270,0,510,133,450,266,390,266,270,0,270,266,375,0,210,133,285,133,150,0,195,133,60,266,105,266,30,0,180,266,435,133,405,0,240,266,240,133,300,133,75,266,195,266,210,0,465,1466073658
266,225,133,375,434,306,266,420,634,41,133,240,133,465,266,135,133,225,633,76,133,345,648,24,0,435,266,405,417,384,133,30,266,330,266,480,266,255,0,300,133,15,0,330,0,150,133,435,0,345,133,420,133,210,266,315,133,315,405,322,266,165,266,495,0,420,0,90,266,345,266,450,133,255,0,405,0,495,133,90,133,480,266,75,266,120,266,465,266,15,133,120,0,120,266,45,266,360,427,362,0,450,0,390,133,495,133,360,133,195,266,150,266,285,266,180,133,180,0,315,410,343,411,15,266,300,133,390,0,360,410,29,0,75,133,330,133,165,0,285,266,60,0,375,266,90,410,45,133,135,611,59,133,270,0,510,133,450,266,390,266,270,0,270,266,375,0,210,133,285,133,150,0,195,133,60,266,105,266,30,0,180,266,435,133,405,0,240,266,240,133,300,133,75,266,195,266,210,0,465,1466073673
266,225,133,375,434,306,266,420,634,41,133,240,133,465,266,135,133,225,633,76,133,345,648,24,0,435,266,405,417,384,133,30,266,330,266,480,266,255,0,300,724,268,0,330,0,150,133,435,0,345,133,420,133,210,266,315,133,315,405,322,266,165,266,495,0,420,0,90,266,345,266,450,133,255,0,405,0,495,133,90,133,480,266,75,266,120,266,465,266,15,133,120,0,120,266,45,266,360,427,362,0,450,0,390,133,495,133,360,723,227,729,246,266,285,266,180,133,180,0,315,410,343,411,15,266,300,133,390,0,360,410,29,0,75,133,330,133,165,0,285,266,60,0,375,266,90,410,45,133,135,611,59,133,270,0,510,133,450,266,390,266,270,0,270,266,375,0,210,133,285,133,150,0,195,133,60,266,105,266,30,0,180,266,435,133,405,0,240,266,240,133,300,133,75,266,195,266,210,0,465,1466073688
