0,7*15+15,133,(39-34)*15+15,266,(99-67)*15+15,0,5*15+15,133,(49-34)*15+15,0,13*15+15,0,15*15+15,0,33*15+15,266,(78-67)*15+15,0,4*15+15,266,(68-67)*15+15,0,26*15+15,0,25*15+15,0,2*15+15,0,11*15+15,0,1*15+15,0,31*15+15,266,(98-67)*15+15,0,29*15+15,266,(84-67)*15+15,266,(73-67)*15+15,266,(97-67)*15+15,266,(74-67)*15+15,133,(37-34)*15+15,133,(45-34)*15+15,0,32*15+15,133,(64-34)*15+15,133,(48-34)*15+15,266,(95-67)*15+15,133,(34-34)*15+15,133,(54-34)*15+15,0,18*15+15,133,(61-34)*15+15,133,(43-34)*15+15,266,(69-67)*15+15,0,27*15+15,266,(80-67)*15+15,266,(70-67)*15+15,133,(35-34)*15+15,266,(96-67)*15+15,266,(87-67)*15+15,0,30*15+15,0,0*15+15,133,(52-34)*15+15,266,(79-67)*15+15,266,(71-67)*15+15,133,(51-34)*15+15,133,(60-34)*15+15,0,17*15+15,266,(88-67)*15+15,266,(83-67)*15+15,0,20*15+15,133,(65-34)*15+15,133,(58-34)*15+15,266,(94-67)*15+15,0,9*15+15,133,(56-34)*15+15,133,(63-34)*15+15,133,(59-34)*15+15,266,(82-67)*15+15,133,(50-34)*15+15,133,(40-34)*15+15,0,14*15+15,133,(53-34)*15+15,266,(81-67)*15+15,133,(36-34)*15+15,133,(57-34)*15+15,0,24*15+15,0,22*15+15,0,12*15+15,266,(92-67)*15+15,266,(89-67)*15+15,0,19*15+15,133,(42-34)*15+15,266,(85-67)*15+15,133,(41-34)*15+15,0,6*15+15,0,21*15+15,0,3*15+15,266,(77-67)*15+15,133,(38-34)*15+15,133,(55-34)*15+15,0,10*15+15,133,(44-34)*15+15,0,16*15+15,0,28*15+15,266,(90-67)*15+15,266,(72-67)*15+15,0,8*15+15,133,(46-34)*15+15,266,(86-67)*15+15,266,(91-67)*15+15,266,(75-67)*15+15,133,(62-34)*15+15,266,(93-67)*15+15,133,(47-34)*15+15,0,23*15+15,133,(66-34)*15+15,266,(76-67)*15+15,266,(67-67)*15+15,1465216241
0,120,133,90,266,495,0,90,133,240,0,210,0,240,0,510,266,180,0,75,266,30,0,405,0,390,0,45,0,180,0,30,0,480,266,480,0,450,266,270,266,105,266,465,266,120,133,60,133,180,0,495,133,465,133,225,266,435,133,15,133,315,0,285,133,420,133,150,266,45,0,420,266,210,266,60,492,361,266,450,266,315,0,465,0,15,133,285,266,195,266,75,133,270,133,405,0,270,266,330,465,397,0,315,133,480,133,375,266,420,0,150,133,345,133,450,133,390,266,240,133,255,133,105,0,225,133,300,266,225,133,45,133,360,0,375,0,345,0,195,266,390,266,345,0,300,133,135,266,285,133,120,0,105,0,330,0,60,266,165,133,75,133,330,0,165,133,165,0,255,0,435,266,360,266,90,0,135,133,195,266,300,266,375,266,135,133,435,266,405,133,210,0,360,133,495,266,150,266,15,1465216264
0,120,133,90,266,495,0,90,133,240,0,210,0,240,0,510,266,180,0,75,266,30,0,405,0,390,0,45,0,180,0,30,0,480,266,480,0,450,266,270,266,105,266,465,266,120,133,60,442,324,0,495,133,465,133,225,266,435,133,15,133,315,0,285,731,195,133,150,266,45,0,420,266,210,266,60,492,361,266,450,266,315,0,465,0,15,133,285,266,195,266,75,133,270,133,405,0,270,266,330,465,397,0,315,133,480,133,375,732,173,0,150,133,345,569,312,133,390,266,240,133,255,133,105,0,225,133,300,266,225,133,45,133,360,0,375,0,345,0,195,266,390,266,345,0,300,133,135,266,285,133,120,0,105,0,330,0,60,266,165,133,75,133,330,0,165,133,165,0,255,0,435,266,360,266,90,0,135,133,195,266,300,266,375,266,135,133,435,266,405,133,210,0,360,133,495,266,150,266,15,1465216279
0,120,133,90,266,495,0,90,133,240,0,210,0,240,0,510,266,180,0,75,266,30,0,405,0,390,0,45,0,180,0,30,0,480,266,480,0,450,266,270,266,105,622,364,266,120,133,60,442,324,0,495,133,465,891,136,517,418,133,15,133,315,0,285,731,195,133,150,266,45,0,420,266,210,266,60,492,361,266,450,266,315,0,465,0,15,829,440,266,195,266,75,133,270,133,405,0,270,266,330,465,397,0,315,133,480,133,375,732,173,0,150,133,345,569,312,133,390,266,240,133,255,133,105,0,225,133,300,266,225,133,45,133,360,0,375,0,345,0,195,266,390,266,345,0,300,133,135,266,285,133,120,0,105,0,330,0,60,266,165,133,75,133,330,0,165,133,165,0,255,0,435,266,360,266,90,0,135,733,126,266,300,266,375,266,135,133,435,266,405,133,210,0,360,133,495,266,150,266,15,1465216294
0,120,133,90,266,495,0,90,133,240,0,210,0,240,0,510,266,180,0,75,467,279,0,405,0,390,0,45,0,180,0,30,0,480,266,480,0,450,266,270,266,105,622,364,266,120,133,60,442,324,0,495,133,465,891,137,517,418,630,76,133,315,0,285,731,195,133,150,266,45,0,420,266,210,266,60,492,361,266,450,266,315,0,465,526,158,829,440,266,195,266,75,133,270,133,405,0,270,266,330,465,397,0,315,133,480,133,375,732,173,696,230,133,345,569,312,133,390,266,240,133,255,133,105,0,225,133,300,266,225,133,45,133,360,0,375,0,345,0,195,266,390,266,345,0,300,133,135,266,285,133,120,0,105,0,330,0,60,266,165,133,75,133,330,497,196,133,165,0,255,0,435,266,360,266,90,0,135,733,126,266,300,266,375,474,133,133,435,266,405,133,210,0,360,133,495,266,150,266,15,1465216309
0,120,133,90,266,495,0,90,133,240,0,210,0,240,0,510,266,180,0,75,467,279,0,405,0,390,0,45,0,180,0,30,0,480,266,480,0,450,266,270,266,105,622,364,266,120,133,60,442,324,0,495,133,465,891,137,517,418,630,76,133,315,0,285,731,195,133,150,266,45,0,420,266,210,266,60,492,361,266,450,266,315,0,465,526,158,829,440,266,195,266,75,133,270,133,405,0,270,266,330,465,397,0,315,665,303,688,138,732,173,738,158,133,345,569,312,535,480,266,240,133,255,133,105,0,225,516,257,266,225,133,45,133,360,0,375,0,345,0,195,266,390,266,345,0,300,133,135,266,285,133,120,0,105,0,330,0,60,266,165,133,75,133,330,497,196,133,165,0,255,0,435,266,360,266,90,0,135,733,126,266,300,266,375,474,133,133,435,266,405,133,210,0,360,133,495,266,150,266,15,1465216324
0,120,133,90,266,495,0,90,133,240,0,210,0,240,0,510,266,180,0,75,467,279,0,405,0,390,0,45,0,180,0,30,0,480,266,480,892,304,266,270,266,105,622,364,266,120,133,60,442,324,0,495,133,465,891,137,517,418,630,76,133,315,430,431,731,195,133,150,266,45,456,451,266,210,266,60,492,361,266,450,266,315,0,465,526,158,829,440,266,195,266,75,133,270,133,405,0,270,266,330,465,397,0,315,665,303,688,138,732,173,738,158,133,345,569,312,535,480,266,240,133,255,133,105,0,225,513,255,266,225,133,45,133,360,0,375,0,345,0,195,266,390,266,345,0,300,133,135,266,285,133,120,0,105,0,330,0,60,266,165,133,75,133,330,497,196,133,165,0,255,0,435,266,360,266,90,0,135,733,126,266,300,266,375,474,133,133,435,266,405,133,210,0,360,133,495,266,150,266,15,1465216339
682,272,133,90,266,495,0,90,133,240,0,210,0,240,0,510,266,180,0,75,467,279,0,405,0,390,0,45,0,180,0,30,0,480,266,480,892,304,266,270,266,105,622,364,266,120,133,60,442,324,0,495,133,465,891,137,517,418,630,76,133,315,430,431,731,195,133,150,266,45,456,451,266,210,266,60,492,361,266,450,266,315,0,465,526,158,829,440,266,195,266,75,133,270,133,405,0,270,266,330,465,397,0,315,665,303,688,138,732,173,738,158,133,345,569,312,535,480,266,240,133,255,133,105,0,225,513,255,266,225,133,45,133,360,0,375,0,345,0,195,266,390,266,345,0,300,133,135,266,285,133,120,0,105,0,330,0,60,266,165,459,101,133,330,497,196,133,165,0,255,0,435,266,360,266,90,0,135,733,126,266,300,266,375,474,133,133,435,266,405,424,182,0,360,133,495,266,150,266,15,1465216354
682,272,133,90,266,495,0,90,133,240,0,210,0,240,0,510,266,180,0,75,467,279,0,405,0,390,0,45,0,180,0,30,0,480,266,480,892,304,266,270,266,105,622,364,615,460,133,60,442,324,0,495,133,465,891,137,577,448,630,76,133,315,430,431,731,195,133,150,266,45,456,451,266,210,266,60,492,361,266,450,266,315,0,465,526,158,829,440,266,195,266,75,133,270,133,405,0,270,266,330,465,397,0,315,665,303,688,138,732,173,738,158,133,345,569,312,535,480,266,240,133,255,133,105,0,225,513,255,266,225,133,45,133,360,0,375,0,345,0,195,266,390,266,345,0,300,133,135,266,285,133,120,0,105,0,330,0,60,266,165,459,101,133,330,497,196,133,165,0,255,0,435,266,360,858,322,0,135,733,126,266,300,266,375,474,133,133,435,266,405,551,115,0,360,133,495,266,150,266,15,1465216369
682,272,133,90,266,495,0,90,133,240,0,210,0,240,0,510,266,180,0,75,467,279,0,405,0,390,0,45,0,180,0,30,0,480,266,480,892,304,266,270,266,105,622,364,615,460,133,60,442,324,0,495,133,465,891,137,577,448,630,76,133,315,588,436,731,195,133,150,266,45,456,451,542,103,266,60,492,361,266,450,266,315,0,465,526,158,829,440,266,195,266,75,133,270,133,405,0,270,266,330,465,397,0,315,665,303,688,138,732,173,738,158,133,345,569,312,535,480,266,240,133,255,609,216,0,225,513,255,266,225,133,45,133,360,0,375,0,345,0,195,266,390,266,345,0,300,133,135,266,285,133,120,0,105,0,330,0,60,266,165,459,101,133,330,497,196,133,165,0,255,0,435,266,360,858,322,0,135,733,126,266,300,266,375,474,133,133,435,266,405,551,115,0,360,133,495,631,233,266,15,1465216384
682,272,133,90,266,495,0,90,133,240,0,210,0,240,0,510,266,180,0,75,467,279,0,405,0,390,0,45,0,180,528,91,0,480,266,480,892,304,266,270,266,105,622,364,615,460,133,60,442,324,0,495,133,465,891,137,577,448,630,76,133,315,588,436,731,195,133,150,266,45,456,451,542,103,266,60,492,361,266,450,266,315,0,465,526,158,829,440,266,195,266,75,133,270,133,405,0,270,266,330,465,397,0,315,665,303,688,138,732,173,738,158,133,345,569,312,535,480,266,240,133,255,636,216,0,225,513,255,266,225,641,246,133,360,0,375,0,345,0,195,266,390,266,345,0,300,133,135,266,285,133,120,0,105,0,330,530,127,266,165,459,101,133,330,497,196,133,165,0,255,0,435,266,360,858,322,646,200,733,126,266,300,266,375,474,133,133,435,266,405,551,115,0,360,133,495,631,233,266,15,1465216399
