266,(89-67)*15+15,0,12*15+15,266,(97-67)*15+15,266,(70-67)*15+15,133,(47-34)*15+15,266,(90-67)*15+15,0,28*15+15,0,5*15+15,133,(52-34)*15+15,266,(72-67)*15+15,0,3*15+15,0,2*15+15,266,(85-67)*15+15,0,33*15+15,0,22*15+15,266,(68-67)*15+15,266,(92-67)*15+15,133,(63-34)*15+15,0,13*15+15,0,24*15+15,266,(83-67)*15+15,133,(62-34)*15+15,133,(42-34)*15+15,266,(79-67)*15+15,0,1*15+15,266,(71-67)*15+15,266,(91-67)*15+15,266,(73-67)*15+15,133,(40-34)*15+15,133,(66-34)*15+15,0,11*15+15,0,4*15+15,0,23*15+15,0,31*15+15,133,(44-34)*15+15,133,(64-34)*15+15,133,(61-34)*15+15,266,(74-67)*15+15,133,(50-34)*15+15,0,20*15+15,0,8*15+15,0,0*15+15,266,(67-67)*15+15,133,(34-34)*15+15,133,(54-34)*15+15,0,6*15+15,266,(98-67)*15+15,266,(84-67)*15+15,133,(43-34)*15+15,133,(41-34)*15+15,133,(56-34)*15+15,133,(48-34)*15+15,133,(65-34)*15+15,133,(59-34)*15+15,133,(57-34)*15+15,0,21*15+15,0,15*15+15,133,(55-34)*15+15,0,16*15+15,266,(86-67)*15+15,133,(46-34)*15+15,0,27*15+15,0,32*15+15,266,(69-67)*15+15,266,(81-67)*15+15,266,(82-67)*15+15,133,(60-34)*15+15,0,17*15+15,266,(94-67)*15+15,0,26*15+15,0,7*15+15,0,29*15+15,133,(39-34)*15+15,266,(88-67)*15+15,133,(35-34)*15+15,133,(53-34)*15+15,0,19*15+15,266,(96-67)*15+15,133,(36-34)*15+15,266,(76-67)*15+15,266,(80-67)*15+15,0,10*15+15,133,(45-34)*15+15,133,(38-34)*15+15,266,(77-67)*15+15,133,(37-34)*15+15,266,(95-67)*15+15,0,9*15+15,0,18*15+15,266,(75-67)*15+15,133,(58-34)*15+15,266,(99-67)*15+15,0,25*15+15,266,(78-67)*15+15,133,(49-34)*15+15,266,(87-67)*15+15,266,(93-67)*15+15,133,(51-34)*15+15,0,14*15+15,0,30*15+15,1465047654
266,345,0,195,266,465,266,60,133,210,266,360,0,435,0,90,133,285,266,90,0,60,0,45,266,285,0,510,0,345,266,30,266,390,133,450,0,210,0,375,266,255,133,435,133,135,266,195,0,30,266,75,266,375,890,84,133,105,133,495,0,180,0,75,0,360,0,480,133,165,133,465,133,420,266,120,133,255,0,315,0,135,0,15,266,15,133,15,133,315,0,105,266,480,266,270,133,150,133,120,133,345,133,225,133,480,133,390,133,360,0,330,0,240,133,330,0,255,266,300,133,195,0,420,0,495,266,45,266,225,266,240,133,405,0,270,266,420,0,405,0,120,0,450,133,90,266,330,133,30,133,300,0,300,266,450,133,45,266,150,266,210,0,165,133,180,133,75,266,165,133,60,266,435,0,150,0,285,266,135,133,375,266,495,0,390,266,180,133,240,266,315,266,405,133,270,0,225,0,465,1465047683
266,345,0,195,266,465,266,60,133,210,266,360,0,435,0,90,133,285,266,90,0,60,0,45,266,285,0,510,0,345,266,30,266,390,133,450,0,210,0,375,266,255,133,435,133,135,266,195,0,30,266,75,266,375,890,84,133,105,133,495,0,180,0,75,0,360,0,480,133,165,133,465,133,420,266,120,133,255,0,315,0,135,0,15,266,15,133,15,133,315,0,105,893,266,266,270,133,150,133,120,133,345,133,225,133,480,133,390,133,360,0,330,0,240,133,330,0,255,266,300,133,195,0,420,0,495,266,45,266,225,266,240,133,405,0,270,266,420,0,405,0,120,0,450,133,90,266,330,133,30,133,300,0,300,519,483,133,45,450,510,266,210,0,165,133,180,133,75,266,165,133,60,266,435,0,150,0,285,266,135,133,375,266,495,0,390,266,180,133,240,266,315,266,405,133,270,0,225,0,465,1465047698
266,345,0,195,266,465,266,60,133,210,266,360,0,435,0,90,133,285,266,90,0,60,0,45,266,285,0,510,0,345,266,30,266,390,133,450,0,210,0,375,784,120,133,435,133,135,266,195,0,30,266,75,266,375,890,84,133,105,133,495,0,180,0,75,0,360,0,480,133,165,133,465,133,420,266,120,133,255,0,315,0,135,0,15,266,15,133,15,133,315,0,105,893,266,266,270,133,150,133,120,133,345,133,225,133,480,133,390,133,360,0,330,0,240,133,330,0,255,266,300,133,195,0,420,0,495,266,45,266,225,266,240,133,405,0,270,266,420,0,405,0,120,0,450,133,90,266,330,133,30,133,300,0,300,699,221,133,45,579,293,266,210,0,165,133,180,133,75,266,165,133,60,266,435,0,150,0,285,266,135,133,375,266,495,0,390,266,180,133,240,266,315,266,405,133,270,0,225,0,465,1465047713
477,471,0,195,266,465,266,60,133,210,266,360,0,435,0,90,133,285,266,90,0,60,0,45,266,285,0,510,0,345,266,30,266,390,133,450,0,210,0,375,762,124,133,435,133,135,266,195,0,30,266,75,266,375,890,84,133,105,133,495,0,180,0,75,0,360,0,480,133,165,133,465,133,420,763,338,133,255,0,315,0,135,0,15,266,15,133,15,133,315,0,105,893,266,266,270,133,150,133,120,133,345,133,225,133,480,133,390,133,360,0,330,0,240,133,330,0,255,266,300,133,195,0,420,0,495,266,45,266,225,266,240,133,405,0,270,266,420,0,405,0,120,0,450,133,90,474,111,133,30,133,300,0,300,699,221,133,45,579,293,731,363,0,165,133,180,133,75,266,165,133,60,266,435,0,150,0,285,266,135,133,375,266,495,0,390,266,180,133,240,751,218,266,405,133,270,0,225,0,465,1465047728
492,453,0,195,266,465,266,60,133,210,837,357,0,435,0,90,133,285,266,90,0,60,0,45,266,285,0,510,0,345,266,30,808,328,133,450,0,210,0,375,762,124,133,435,133,135,266,195,0,30,266,75,832,118,890,84,133,105,133,495,0,180,0,75,0,360,0,480,133,165,133,465,133,420,763,338,133,255,0,315,0,135,0,15,266,15,133,15,133,315,0,105,893,266,266,270,133,150,133,120,133,345,133,225,133,480,133,390,133,360,0,330,0,240,133,330,0,255,266,300,133,195,0,420,0,495,266,45,266,225,266,240,133,405,0,270,266,420,0,405,0,120,0,450,133,90,474,111,133,30,133,300,0,300,699,221,133,45,579,293,731,363,0,165,133,180,133,75,266,165,133,60,266,435,0,150,0,285,266,135,133,375,266,495,0,390,266,180,133,240,751,218,711,321,133,270,0,225,0,465,1465047743
492,453,0,195,895,100,266,60,133,210,837,357,0,435,0,90,133,285,266,90,0,60,0,45,266,285,0,510,0,345,266,30,808,328,133,450,0,210,0,375,762,124,133,435,133,135,266,195,0,30,266,75,832,118,890,84,133,105,133,495,0,180,0,75,0,360,0,480,133,165,133,465,133,420,763,338,133,255,0,315,0,135,0,15,266,15,133,15,133,315,0,105,893,266,266,270,133,150,133,120,133,345,133,225,133,480,133,390,133,360,0,330,0,240,133,330,0,255,648,377,133,195,0,420,0,495,266,45,266,225,266,240,133,405,0,270,732,164,0,405,0,120,0,450,133,90,474,111,133,30,133,300,0,300,699,221,133,45,579,293,731,363,0,165,133,180,133,75,266,165,133,60,785,93,0,150,0,285,266,135,133,375,827,178,0,390,266,180,133,240,751,218,711,321,133,270,0,225,0,465,1465047758
492,453,0,195,895,100,266,60,133,210,837,357,0,435,0,90,133,285,266,90,0,60,0,45,528,449,0,510,0,345,266,30,808,328,133,450,0,210,0,375,762,124,133,435,133,135,612,344,0,30,266,75,832,118,890,84,133,105,133,495,0,180,0,75,0,360,0,480,133,165,133,465,133,420,763,338,133,255,0,315,0,135,0,15,266,15,133,15,133,315,0,105,893,266,891,296,133,150,133,120,133,345,133,225,133,480,133,390,133,360,0,330,0,240,133,330,0,255,648,377,133,195,0,420,0,495,266,45,505,173,506,137,133,405,0,270,732,164,0,405,0,120,0,450,133,90,474,111,133,30,133,300,0,300,699,221,133,45,579,293,731,363,0,165,133,180,133,75,266,165,133,60,785,93,0,150,0,285,266,135,133,375,827,178,0,390,266,180,133,240,751,218,711,321,133,270,0,225,0,465,1465047773
492,453,0,195,895,100,266,60,133,210,837,357,0,435,0,90,133,285,851,379,0,60,0,45,528,449,0,510,0,345,266,30,808,328,133,450,0,210,0,375,762,124,133,435,133,135,612,344,0,30,750,250,832,118,890,84,133,105,133,495,0,180,0,75,0,360,0,480,133,165,133,465,133,420,763,338,133,255,0,315,0,135,0,15,266,15,133,15,133,315,0,105,893,266,891,296,133,150,133,120,133,345,133,225,133,480,133,390,133,360,0,330,0,240,133,330,0,255,648,377,133,195,0,420,0,495,266,45,505,173,506,137,133,405,0,270,732,164,0,405,0,120,0,450,133,90,474,111,133,30,133,300,0,300,699,221,133,45,579,293,731,363,0,165,133,180,133,75,531,326,133,60,785,93,0,150,0,285,829,154,133,375,827,178,0,390,642,284,133,240,751,218,711,321,133,270,0,225,0,465,1465047788
492,453,0,195,895,100,773,316,133,210,837,357,0,435,0,90,133,285,851,379,0,60,0,45,528,449,0,510,0,345,800,303,808,328,133,450,0,210,0,375,762,124,133,435,133,135,612,344,0,30,762,142,832,118,890,84,133,105,133,495,0,180,0,75,0,360,0,480,133,165,133,465,133,420,763,338,133,255,0,315,0,135,0,15,596,376,133,15,133,315,0,105,893,266,891,296,133,150,133,120,133,345,133,225,133,480,133,390,133,360,0,330,0,240,133,330,0,255,648,377,133,195,0,420,0,495,512,200,505,173,506,137,133,405,0,270,732,164,0,405,0,120,0,450,133,90,474,111,133,30,133,300,0,300,699,221,133,45,579,293,731,363,0,165,133,180,133,75,531,326,133,60,785,93,0,150,0,285,829,154,133,375,827,178,0,390,642,284,133,240,751,218,711,321,133,270,0,225,0,465,1465047803
492,453,0,195,895,100,773,316,133,210,837,357,0,435,0,90,133,285,851,379,0,60,0,45,528,449,0,510,0,345,800,303,808,328,133,450,0,210,0,375,762,124,133,435,133,135,612,344,0,30,762,142,832,118,890,84,133,105,133,495,0,180,0,75,0,360,0,480,133,165,133,465,133,420,763,338,133,255,0,315,0,135,0,15,846,272,133,15,133,315,0,105,893,266,891,296,133,150,133,120,133,345,133,225,133,480,133,390,133,360,0,330,0,240,133,330,0,255,648,377,133,195,0,420,0,495,512,200,505,173,506,137,133,405,0,270,732,164,0,405,0,120,0,450,133,90,474,111,532,226,133,300,0,300,699,221,133,45,579,293,731,363,0,165,133,180,133,75,531,326,133,60,785,93,0,150,0,285,829,154,133,375,827,178,0,390,642,284,133,240,751,218,711,321,133,270,0,225,0,465,1465047818
