266,(93-67)*15+15,133,(50-34)*15+15,133,(41-34)*15+15,133,(49-34)*15+15,0,33*15+15,133,(61-34)*15+15,0,1*15+15,266,(90-67)*15+15,266,(92-67)*15+15,133,(66-34)*15+15,133,(45-34)*15+15,0,11*15+15,0,4*15+15,133,(39-34)*15+15,266,(96-67)*15+15,0,22*15+15,266,(71-67)*15+15,0,24*15+15,0,16*15+15,0,2*15+15,266,(87-67)*15+15,266,(98-67)*15+15,0,29*15+15,0,10*15+15,133,(47-34)*15+15,0,28*15+15,266,(78-67)*15+15,266,(76-67)*15+15,133,(57-34)*15+15,266,(67-67)*15+15,133,(37-34)*15+15,133,(64-34)*15+15,0,13*15+15,133,(44-34)*15+15,0,17*15+15,266,(94-67)*15+15,0,6*15+15,133,(38-34)*15+15,266,(95-67)*15+15,266,(84-67)*15+15,0,23*15+15,133,(36-34)*15+15,266,(81-67)*15+15,0,7*15+15,266,(69-67)*15+15,266,(89-67)*15+15,0,12*15+15,266,(88-67)*15+15,266,(74-67)*15+15,266,(86-67)*15+15,133,(60-34)*15+15,133,(56-34)*15+15,0,5*15+15,0,19*15+15,133,(46-34)*15+15,0,8*15+15,0,3*15+15,133,(54-34)*15+15,133,(52-34)*15+15,133,(42-34)*15+15,133,(62-34)*15+15,0,32*15+15,0,14*15+15,133,(55-34)*15+15,133,(40-34)*15+15,0,15*15+15,266,(83-67)*15+15,133,(35-34)*15+15,133,(48-34)*15+15,0,26*15+15,266,(85-67)*15+15,266,(80-67)*15+15,0,20*15+15,266,(72-67)*15+15,266,(68-67)*15+15,0,30*15+15,133,(58-34)*15+15,133,(65-34)*15+15,266,(70-67)*15+15,266,(73-67)*15+15,0,27*15+15,266,(75-67)*15+15,0,18*15+15,266,(79-67)*15+15,0,25*15+15,266,(77-67)*15+15,0,21*15+15,266,(99-67)*15+15,133,(63-34)*15+15,266,(97-67)*15+15,133,(43-34)*15+15,133,(34-34)*15+15,266,(82-67)*15+15,0,0*15+15,133,(53-34)*15+15,0,9*15+15,133,(51-34)*15+15,266,(91-67)*15+15,133,(59-34)*15+15,0,31*15+15,1477553002
266,405,133,255,133,120,133,240,0,510,133,420,497,57,266,360,266,390,133,495,133,180,0,180,0,75,133,90,266,450,0,345,266,75,0,375,0,255,0,45,266,315,266,480,0,450,0,165,133,210,0,435,266,180,266,150,133,360,266,15,133,60,133,465,0,210,133,165,0,270,266,420,0,105,133,75,266,435,266,270,0,360,133,45,266,225,0,120,266,45,266,345,0,195,266,330,266,120,266,300,133,405,133,345,0,90,0,300,133,195,0,135,0,60,133,315,133,285,133,135,133,435,0,495,0,225,133,330,133,105,0,240,266,255,133,30,133,225,0,405,266,285,266,210,0,315,266,90,266,30,0,465,133,375,133,480,266,60,266,105,0,420,266,135,0,285,266,195,0,390,266,165,0,330,266,495,133,450,266,465,133,150,133,15,266,240,450,502,133,300,0,150,133,270,266,375,133,390,0,480,1477553035
266,405,133,255,133,120,133,240,0,510,133,420,497,57,266,360,266,390,133,495,133,180,0,180,845,348,133,90,266,450,0,345,266,75,0,375,0,255,857,359,266,315,266,480,0,450,0,165,133,210,0,435,266,180,266,150,133,360,266,15,133,60,133,465,0,210,133,165,0,270,266,420,0,105,133,75,266,435,266,270,0,360,133,45,266,225,0,120,266,45,266,345,0,195,266,330,266,120,266,300,133,405,133,345,419,369,0,300,133,195,0,135,427,486,133,315,133,285,133,135,133,435,0,495,0,225,133,330,133,105,0,240,266,255,133,30,133,225,0,405,266,285,266,210,0,315,266,90,266,30,0,465,133,375,133,480,266,60,266,105,0,420,266,135,0,285,266,195,0,390,266,165,0,330,266,495,133,450,266,465,133,150,133,15,266,240,450,502,133,300,0,150,133,270,266,375,133,390,0,480,1477553050
266,405,133,255,133,120,133,240,0,510,133,420,497,57,266,360,266,390,133,495,133,180,0,180,854,247,133,90,266,450,0,345,266,75,0,375,0,255,855,237,266,315,266,480,0,450,0,165,133,210,0,435,266,180,266,150,133,360,266,15,133,60,133,465,0,210,133,165,0,270,266,420,904,450,133,75,266,435,266,270,0,360,133,45,266,225,0,120,266,45,266,345,0,195,266,330,266,120,266,300,133,405,133,345,414,367,0,300,133,195,706,506,427,486,133,315,133,285,133,135,133,435,0,495,0,225,133,330,133,105,0,240,266,255,133,30,133,225,0,405,266,285,266,210,0,315,266,90,266,30,0,465,133,375,133,480,266,60,266,105,0,420,266,135,0,285,266,195,0,390,266,165,0,330,266,495,133,450,266,465,133,150,133,15,266,240,450,502,133,300,0,150,133,270,266,375,133,390,0,480,1477553065
266,405,133,255,133,120,133,240,0,510,133,420,497,57,266,360,266,390,133,495,133,180,0,180,854,247,133,90,266,450,0,345,266,75,0,375,0,255,855,237,266,315,266,480,0,450,640,212,133,210,0,435,266,180,266,150,133,360,266,15,133,60,133,465,0,210,133,165,0,270,266,420,905,447,133,75,266,435,266,270,0,360,133,45,266,225,697,502,266,45,266,345,0,195,266,330,266,120,266,300,133,405,133,345,414,367,0,300,133,195,431,355,427,486,133,315,133,285,133,135,133,435,0,495,0,225,133,330,133,105,0,240,266,255,133,30,133,225,0,405,266,285,266,210,0,315,266,90,266,30,0,465,133,375,133,480,266,60,266,105,0,420,266,135,0,285,266,195,0,390,266,165,0,330,266,495,133,450,266,465,133,150,133,15,266,240,450,502,133,300,0,150,133,270,266,375,133,390,0,480,1477553080
266,405,133,255,133,120,133,240,0,510,133,420,497,57,266,360,266,390,133,495,133,180,873,245,854,247,133,90,266,450,0,345,266,75,0,375,0,255,855,237,266,315,266,480,0,450,620,211,133,210,0,435,266,180,266,150,133,360,266,15,133,60,133,465,310,234,133,165,0,270,266,420,905,447,133,75,266,435,266,270,0,360,133,45,266,225,697,502,266,45,266,345,695,511,266,330,266,120,266,300,133,405,133,345,414,367,0,300,133,195,431,355,427,486,133,315,133,285,133,135,133,435,0,495,0,225,133,330,133,105,0,240,266,255,133,30,133,225,0,405,266,285,266,210,0,315,266,90,266,30,0,465,133,375,133,480,266,60,266,105,0,420,266,135,0,285,266,195,0,390,266,165,0,330,266,495,133,450,266,465,133,150,133,15,266,240,450,502,133,300,423,510,133,270,266,375,133,390,0,480,1477553095
266,405,133,255,133,120,133,240,0,510,133,420,497,57,266,360,266,390,133,495,133,180,873,245,854,247,133,90,266,450,0,345,266,75,0,375,0,255,855,237,266,315,266,480,0,450,620,211,133,210,0,435,266,180,266,150,133,360,266,15,133,60,133,465,394,342,133,165,0,270,266,420,905,447,133,75,266,435,266,270,0,360,133,45,266,225,697,502,266,45,266,345,695,511,266,330,266,120,266,300,133,405,133,345,414,367,0,300,133,195,431,355,427,486,133,315,133,285,133,135,133,435,0,495,590,200,133,330,133,105,857,105,266,255,133,30,133,225,0,405,266,285,266,210,0,315,266,90,266,30,0,465,133,375,133,480,266,60,266,105,0,420,266,135,0,285,266,195,0,390,266,165,0,330,266,495,133,450,266,465,133,150,133,15,266,240,450,502,133,300,423,510,133,270,266,375,133,390,0,480,1477553110
266,405,133,255,133,120,133,240,0,510,133,420,497,57,266,360,266,390,133,495,133,180,873,245,854,247,133,90,266,450,0,345,266,75,0,375,451,59,855,237,266,315,266,480,0,450,620,211,133,210,0,435,266,180,266,150,133,360,266,15,133,60,133,465,394,342,133,165,580,211,266,420,909,409,133,75,266,435,266,270,0,360,133,45,266,225,697,502,266,45,266,345,856,527,266,330,266,120,266,300,133,405,133,345,414,367,0,300,133,195,431,355,427,486,133,315,133,285,133,135,133,435,0,495,590,200,133,330,133,105,857,105,266,255,133,30,133,225,0,405,266,285,266,210,0,315,266,90,266,30,0,465,133,375,133,480,266,60,266,105,0,420,266,135,574,558,266,195,0,390,266,165,0,330,266,495,133,450,266,465,133,150,133,15,266,240,450,502,133,300,423,510,133,270,266,375,133,390,0,480,1477553125
266,405,133,255,133,120,133,240,0,510,133,420,497,57,266,360,266,390,133,495,133,180,873,245,854,247,133,90,266,450,0,345,266,75,0,375,451,59,855,237,266,315,266,480,0,450,620,211,133,210,0,435,266,180,266,150,133,360,266,15,133,60,133,465,394,342,133,165,580,211,266,420,909,409,133,75,266,435,266,270,0,360,133,45,266,225,662,447,266,45,266,345,624,452,266,330,266,120,266,300,133,405,133,345,414,367,21,207,133,195,431,355,427,486,133,315,133,285,133,135,133,435,0,495,590,200,133,330,133,105,857,105,266,255,133,30,133,225,0,405,266,285,266,210,0,315,266,90,266,30,0,465,133,375,133,480,266,60,266,105,0,420,266,135,574,558,266,195,0,390,266,165,0,330,266,495,133,450,266,465,133,150,133,15,266,240,450,502,133,300,423,510,133,270,266,375,133,390,0,480,1477553140
266,405,133,255,133,120,133,240,0,510,133,420,497,57,266,360,266,390,133,495,133,180,873,245,854,247,133,90,266,450,881,405,266,75,0,375,451,59,855,237,266,315,266,480,0,450,620,211,133,210,0,435,266,180,266,150,133,360,266,15,133,60,133,465,394,342,133,165,580,211,266,420,909,409,133,75,266,435,266,270,664,427,133,45,266,225,662,447,266,45,266,345,624,452,266,330,266,120,266,300,133,405,133,345,414,367,21,207,133,195,431,355,427,486,133,315,133,285,133,135,133,435,0,495,590,200,133,330,133,105,857,105,266,255,133,30,133,225,0,405,266,285,266,210,571,188,266,90,266,30,0,465,133,375,133,480,266,60,266,105,0,420,266,135,574,558,266,195,0,390,266,165,602,555,266,495,133,450,266,465,133,150,133,15,266,240,450,502,133,300,423,510,133,270,266,375,133,390,0,480,1477553155
266,405,133,255,133,120,133,240,0,510,133,420,497,57,266,360,266,390,133,495,133,180,873,245,854,247,133,90,266,450,881,405,266,75,896,246,451,59,855,237,266,315,266,480,0,450,620,211,133,210,0,435,266,180,266,150,133,360,266,15,133,60,133,465,394,342,133,165,580,211,266,420,909,409,133,75,266,435,266,270,629,440,133,45,266,225,662,447,266,45,266,345,624,452,266,330,266,120,266,300,133,405,133,345,414,367,21,207,133,195,431,355,427,486,133,315,133,285,133,135,133,435,0,495,590,200,133,330,133,105,857,105,266,255,133,30,133,225,0,405,266,285,266,210,571,188,266,90,266,30,0,465,133,375,133,480,266,60,266,105,0,420,266,135,574,558,266,195,709,507,266,165,602,555,266,495,133,450,266,465,133,150,133,15,266,240,450,502,133,300,423,510,133,270,266,375,133,390,0,480,1477553170
