266,(95-67)*15+15,266,(78-67)*15+15,266,(90-67)*15+15,0,1*15+15,266,(94-67)*15+15,0,16*15+15,0,26*15+15,0,0*15+15,266,(89-67)*15+15,0,20*15+15,0,7*15+15,0,6*15+15,0,22*15+15,266,(93-67)*15+15,266,(68-67)*15+15,266,(72-67)*15+15,133,(56-34)*15+15,133,(40-34)*15+15,266,(73-67)*15+15,133,(44-34)*15+15,266,(77-67)*15+15,266,(99-67)*15+15,133,(52-34)*15+15,133,(42-34)*15+15,266,(67-67)*15+15,133,(49-34)*15+15,0,23*15+15,133,(37-34)*15+15,266,(88-67)*15+15,133,(34-34)*15+15,266,(71-67)*15+15,0,15*15+15,133,(60-34)*15+15,0,29*15+15,266,(69-67)*15+15,0,33*15+15,0,21*15+15,0,12*15+15,133,(65-34)*15+15,133,(54-34)*15+15,133,(51-34)*15+15,0,19*15+15,266,(80-67)*15+15,0,2*15+15,0,14*15+15,0,3*15+15,0,24*15+15,266,(86-67)*15+15,0,8*15+15,133,(64-34)*15+15,0,17*15+15,266,(81-67)*15+15,266,(79-67)*15+15,133,(36-34)*15+15,266,(96-67)*15+15,266,(85-67)*15+15,0,31*15+15,0,30*15+15,266,(91-67)*15+15,133,(41-34)*15+15,0,28*15+15,266,(98-67)*15+15,266,(76-67)*15+15,133,(59-34)*15+15,0,18*15+15,266,(83-67)*15+15,266,(87-67)*15+15,266,(92-67)*15+15,0,27*15+15,133,(61-34)*15+15,0,13*15+15,133,(63-34)*15+15,266,(84-67)*15+15,133,(46-34)*15+15,133,(39-34)*15+15,0,9*15+15,266,(97-67)*15+15,0,11*15+15,133,(66-34)*15+15,133,(35-34)*15+15,133,(57-34)*15+15,133,(55-34)*15+15,133,(62-34)*15+15,266,(82-67)*15+15,0,10*15+15,133,(38-34)*15+15,266,(75-67)*15+15,266,(74-67)*15+15,0,5*15+15,0,4*15+15,133,(43-34)*15+15,133,(48-34)*15+15,133,(45-34)*15+15,0,25*15+15,0,32*15+15,133,(58-34)*15+15,133,(53-34)*15+15,266,(70-67)*15+15,133,(47-34)*15+15,133,(50-34)*15+15,1467533725
266,435,266,180,266,360,0,30,266,420,0,255,0,405,0,15,266,345,0,315,0,120,0,105,0,345,266,405,266,30,266,90,133,345,133,105,266,105,133,165,266,165,266,495,133,285,133,135,266,15,133,240,0,360,133,60,266,330,133,15,266,75,0,240,133,405,0,450,266,45,0,510,0,330,0,195,133,480,133,315,133,270,0,300,266,210,0,45,0,225,0,60,0,375,266,300,0,135,133,465,0,270,266,225,266,195,133,45,266,450,266,285,0,480,0,465,266,375,133,120,0,435,266,480,266,150,133,390,0,285,266,255,266,315,266,390,0,420,133,420,0,210,133,450,266,270,133,195,133,90,0,150,266,465,0,180,133,495,133,30,133,360,133,330,133,435,266,240,0,165,133,75,266,135,266,120,0,90,0,75,133,150,133,225,133,180,0,390,0,495,133,375,133,300,266,60,133,210,133,255,1467533791
266,435,266,180,266,360,0,30,266,420,0,255,0,405,411,20,266,345,0,315,0,120,0,105,0,345,266,405,266,30,266,90,133,345,133,105,266,105,133,165,266,165,266,495,133,285,133,135,266,15,133,240,0,360,133,60,266,330,133,15,266,75,0,240,133,405,0,450,266,45,0,510,0,330,0,195,133,480,133,315,133,270,0,300,266,210,0,45,0,225,0,60,0,375,266,300,0,135,133,465,0,270,266,225,266,195,133,45,266,450,266,285,0,480,0,465,266,375,133,120,0,435,266,480,266,150,133,390,0,285,266,255,266,315,266,390,0,420,133,420,0,210,133,450,266,270,133,195,133,90,0,150,266,465,0,180,133,495,133,30,133,360,133,330,133,435,266,240,0,165,133,75,266,135,266,120,0,90,0,75,133,150,133,225,133,180,0,390,0,495,133,375,133,300,266,60,133,210,133,255,1467533806
266,435,266,180,266,360,0,30,266,420,0,255,0,405,411,20,266,345,0,315,0,120,0,105,0,345,266,405,266,30,266,90,133,345,133,105,266,105,133,165,266,165,266,495,133,285,133,135,266,15,133,240,0,360,133,60,266,330,133,15,266,75,0,240,133,405,0,450,266,45,0,510,0,330,0,195,133,480,133,315,133,270,0,300,266,210,0,45,0,225,0,60,0,375,266,300,0,135,133,465,0,270,266,225,266,195,133,45,266,450,266,285,0,480,0,465,266,375,133,120,0,435,266,480,266,150,133,390,0,285,266,255,266,315,266,390,0,420,133,420,0,210,133,450,266,270,133,195,133,90,0,150,266,465,0,180,133,495,133,30,133,360,133,330,133,435,266,240,0,165,133,75,266,135,266,120,0,90,0,75,133,150,133,225,133,180,0,390,0,495,133,375,133,300,266,60,133,210,133,255,1467533821
266,435,266,180,266,360,0,30,266,420,0,255,0,405,411,20,266,345,0,315,0,120,0,105,0,345,266,405,266,30,266,90,133,345,133,105,266,105,133,165,266,165,266,495,133,285,133,135,266,15,133,240,0,360,399,46,266,330,133,15,266,75,0,240,133,405,0,450,266,45,0,510,0,330,0,195,133,480,133,315,133,270,0,300,266,210,0,45,0,225,0,60,0,375,266,300,0,135,133,465,0,270,266,225,266,195,133,45,266,450,266,285,0,480,0,465,266,375,133,120,0,435,266,480,266,150,133,390,0,285,266,255,266,315,266,390,0,420,133,420,0,210,133,450,266,270,133,195,133,90,0,150,266,465,0,180,133,495,133,30,133,360,133,330,133,435,266,240,0,165,133,75,266,135,266,120,0,90,0,75,133,150,133,225,133,180,0,390,0,495,133,375,133,300,266,60,133,210,133,255,1467533836
266,435,266,180,266,360,0,30,266,420,0,255,0,405,411,20,266,345,0,315,0,120,0,105,0,345,266,405,414,75,266,90,133,345,133,105,266,105,133,165,266,165,266,495,133,285,133,135,407,58,133,240,0,360,414,36,266,330,133,15,266,75,0,240,133,405,0,450,403,91,0,510,0,330,0,195,133,480,133,315,133,270,0,300,266,210,0,45,0,225,0,60,0,375,266,300,0,135,133,465,0,270,266,225,266,195,133,45,266,450,266,285,0,480,0,465,266,375,133,120,0,435,266,480,266,150,133,390,0,285,266,255,266,315,266,390,0,420,133,420,0,210,133,450,266,270,133,195,133,90,0,150,266,465,0,180,133,495,133,30,133,360,133,330,133,435,266,240,0,165,133,75,266,135,266,120,0,90,0,75,133,150,133,225,133,180,0,390,0,495,133,375,133,300,266,60,133,210,133,255,1467533851
266,435,266,180,266,360,943,22,266,420,0,255,0,405,411,20,266,345,0,315,0,120,0,105,0,345,266,405,414,75,266,90,133,345,133,105,266,105,133,165,266,165,266,495,133,285,133,135,407,58,133,240,0,360,414,36,266,330,400,103,266,75,0,240,133,405,0,450,404,91,0,510,0,330,0,195,133,480,133,315,133,270,0,300,266,210,0,45,0,225,0,60,0,375,266,300,0,135,133,465,0,270,266,225,266,195,133,45,266,450,266,285,0,480,0,465,266,375,133,120,0,435,266,480,266,150,133,390,0,285,266,255,266,315,266,390,0,420,133,420,0,210,133,450,266,270,133,195,133,90,0,150,266,465,0,180,133,495,133,30,133,360,133,330,133,435,266,240,0,165,133,75,266,135,266,120,0,90,0,75,133,150,133,225,133,180,0,390,0,495,133,375,133,300,266,60,133,210,133,255,1467533866
266,435,266,180,266,360,943,22,266,420,0,255,0,405,411,20,266,345,0,315,0,120,0,105,0,345,266,405,414,75,266,90,133,345,133,105,266,105,899,38,266,165,266,495,133,285,133,135,407,58,133,240,0,360,414,36,266,330,400,103,266,75,0,240,423,105,0,450,404,91,0,510,0,330,0,195,133,480,133,315,133,270,0,300,266,210,0,45,0,225,0,60,0,375,266,300,0,135,133,465,0,270,266,225,266,195,133,45,266,450,266,285,0,480,0,465,266,375,133,120,0,435,266,480,266,150,133,390,0,285,266,255,266,315,266,390,0,420,133,420,0,210,133,450,266,270,133,195,133,90,0,150,266,465,0,180,133,495,133,30,133,360,133,330,133,435,266,240,0,165,133,75,266,135,266,120,0,90,0,75,133,150,133,225,133,180,0,390,0,495,133,375,133,300,266,60,133,210,133,255,1467533881
266,435,266,180,266,360,943,22,266,420,0,255,0,405,411,20,266,345,0,315,0,120,0,105,0,345,266,405,414,75,266,90,133,345,133,105,266,105,899,38,266,165,266,495,133,285,133,135,407,58,133,240,0,360,414,36,266,330,400,103,266,75,0,240,410,125,0,450,404,91,0,510,0,330,0,195,133,480,133,315,133,270,0,300,266,210,0,45,0,225,0,60,0,375,266,300,0,135,133,465,0,270,266,225,266,195,133,45,266,450,266,285,0,480,0,465,266,375,133,120,0,435,266,480,266,150,133,390,0,285,266,255,266,315,266,390,0,420,133,420,0,210,133,450,266,270,133,195,133,90,0,150,266,465,0,180,133,495,133,30,133,360,133,330,133,435,266,240,0,165,133,75,266,135,266,120,0,90,411,140,133,150,133,225,133,180,0,390,0,495,133,375,133,300,266,60,133,210,133,255,1467533896
266,435,266,180,266,360,943,22,266,420,0,255,0,405,411,20,266,345,0,315,933,58,0,105,0,345,266,405,414,75,266,90,133,345,133,105,266,105,899,38,266,165,266,495,133,285,133,135,413,52,133,240,0,360,414,36,266,330,400,103,266,75,0,240,410,125,0,450,404,91,0,510,0,330,0,195,133,480,133,315,133,270,0,300,266,210,0,45,0,225,0,60,0,375,266,300,0,135,133,465,0,270,266,225,266,195,133,45,266,450,266,285,0,480,0,465,266,375,133,120,0,435,266,480,266,150,133,390,0,285,266,255,266,315,266,390,0,420,133,420,0,210,133,450,266,270,133,195,133,90,0,150,266,465,0,180,133,495,133,30,133,360,133,330,133,435,266,240,0,165,133,75,266,135,266,120,413,152,411,140,133,150,133,225,133,180,0,390,0,495,133,375,133,300,266,60,133,210,133,255,1467533911
266,435,266,180,266,360,943,22,266,420,0,255,0,405,411,20,266,345,0,315,933,58,0,105,0,345,266,405,416,67,266,90,133,345,133,105,266,105,899,38,266,165,266,495,133,285,133,135,413,52,133,240,0,360,414,36,266,330,409,94,266,75,0,240,410,111,0,450,415,79,0,510,0,330,0,195,133,480,133,315,133,270,0,300,266,210,0,45,0,225,0,60,0,375,266,300,0,135,133,465,0,270,266,225,266,195,133,45,266,450,266,285,0,480,0,465,266,375,133,120,0,435,266,480,266,150,133,390,0,285,266,255,266,315,266,390,0,420,133,420,0,210,133,450,266,270,133,195,133,90,0,150,266,465,0,180,133,495,133,30,133,360,133,330,133,435,266,240,0,165,133,75,266,135,266,120,412,141,408,124,133,150,133,225,133,180,0,390,0,495,133,375,133,300,266,60,133,210,133,255,1467533926
