266,(99-67)*15+15,0,2*15+15,0,18*15+15,133,(45-34)*15+15,266,(73-67)*15+15,133,(63-34)*15+15,133,(48-34)*15+15,266,(84-67)*15+15,266,(76-67)*15+15,0,26*15+15,0,1*15+15,133,(50-34)*15+15,133,(46-34)*15+15,0,10*15+15,266,(77-67)*15+15,133,(54-34)*15+15,266,(95-67)*15+15,133,(39-34)*15+15,266,(90-67)*15+15,266,(70-67)*15+15,133,(66-34)*15+15,133,(65-34)*15+15,0,6*15+15,133,(38-34)*15+15,0,5*15+15,266,(69-67)*15+15,133,(41-34)*15+15,133,(37-34)*15+15,266,(98-67)*15+15,266,(89-67)*15+15,0,25*15+15,266,(88-67)*15+15,0,23*15+15,133,(53-34)*15+15,0,7*15+15,133,(44-34)*15+15,266,(82-67)*15+15,0,28*15+15,133,(58-34)*15+15,266,(78-67)*15+15,0,4*15+15,0,14*15+15,133,(40-34)*15+15,133,(64-34)*15+15,0,16*15+15,266,(93-67)*15+15,0,9*15+15,0,19*15+15,266,(81-67)*15+15,266,(96-67)*15+15,266,(74-67)*15+15,133,(61-34)*15+15,0,8*15+15,133,(52-34)*15+15,0,0*15+15,0,24*15+15,266,(75-67)*15+15,266,(68-67)*15+15,133,(56-34)*15+15,266,(85-67)*15+15,0,3*15+15,133,(36-34)*15+15,0,12*15+15,266,(87-67)*15+15,0,29*15+15,266,(79-67)*15+15,266,(86-67)*15+15,266,(92-67)*15+15,133,(43-34)*15+15,0,33*15+15,133,(47-34)*15+15,0,31*15+15,266,(71-67)*15+15,133,(51-34)*15+15,133,(35-34)*15+15,266,(91-67)*15+15,0,13*15+15,266,(94-67)*15+15,133,(55-34)*15+15,0,30*15+15,0,22*15+15,266,(83-67)*15+15,133,(57-34)*15+15,133,(60-34)*15+15,133,(34-34)*15+15,0,21*15+15,133,(42-34)*15+15,0,17*15+15,133,(62-34)*15+15,0,32*15+15,266,(97-67)*15+15,266,(72-67)*15+15,0,11*15+15,266,(67-67)*15+15,133,(59-34)*15+15,0,27*15+15,266,(80-67)*15+15,0,15*15+15,133,(49-34)*15+15,0,20*15+15,1478709707
266,495,0,45,0,285,133,180,266,105,133,450,133,225,266,270,266,150,0,405,0,30,133,255,133,195,0,165,266,165,133,315,266,435,133,90,266,360,266,60,133,495,133,480,0,105,133,75,0,90,266,45,133,120,133,60,266,480,266,345,0,390,266,330,0,360,133,300,0,120,133,165,266,240,0,435,133,375,266,180,0,75,0,225,133,105,133,465,0,255,266,405,0,150,0,300,266,225,266,450,266,120,133,420,0,135,133,285,0,15,0,375,266,135,266,30,133,345,266,285,0,60,133,45,0,195,266,315,0,450,266,195,266,300,266,390,133,150,0,510,133,210,0,480,266,75,133,270,133,30,266,375,0,210,266,420,133,330,0,465,0,345,266,255,133,360,133,405,133,15,0,330,133,135,0,270,133,435,0,495,266,465,266,90,0,180,266,15,133,390,0,420,266,210,0,240,133,240,0,315,1478709724
266,495,494,249,0,285,133,180,266,105,133,450,133,225,266,270,266,150,0,405,491,457,133,255,133,195,0,165,266,165,133,315,266,435,133,90,266,360,266,60,133,495,133,480,0,105,133,75,0,90,266,45,133,120,133,60,266,480,266,345,0,390,266,330,0,360,133,300,0,120,133,165,266,240,0,435,133,375,266,180,0,75,0,225,133,105,133,465,0,255,266,405,0,150,0,300,266,225,266,450,266,120,133,420,0,135,133,285,765,90,0,375,266,135,266,30,133,345,266,285,0,60,133,45,0,195,266,315,0,450,266,195,266,300,266,390,133,150,0,510,133,210,0,480,266,75,133,270,133,30,266,375,0,210,266,420,133,330,0,465,0,345,266,255,133,360,133,405,133,15,0,330,133,135,0,270,133,435,0,495,266,465,266,90,0,180,266,15,133,390,0,420,266,210,0,240,133,240,0,315,1478709739
266,495,838,464,0,285,133,180,266,105,133,450,133,225,266,270,266,150,0,405,491,457,133,255,133,195,0,165,266,165,133,315,266,435,133,90,266,360,266,60,133,495,133,480,0,105,133,75,451,421,266,45,133,120,133,60,266,480,266,345,0,390,266,330,0,360,133,300,627,330,133,165,266,240,0,435,133,375,266,180,467,86,0,225,133,105,133,465,0,255,266,405,0,150,0,300,266,225,266,450,266,120,133,420,0,135,133,285,765,90,0,375,266,135,266,30,133,345,266,285,623,116,133,45,0,195,266,315,0,450,266,195,266,300,266,390,133,150,0,510,133,210,0,480,266,75,133,270,133,30,266,375,0,210,266,420,133,330,0,465,0,345,266,255,133,360,133,405,133,15,0,330,133,135,0,270,133,435,0,495,266,465,266,90,0,180,266,15,133,390,0,420,266,210,0,240,133,240,0,315,1478709754
266,495,838,464,0,285,133,180,266,105,133,450,133,225,266,270,266,150,0,405,491,457,133,255,133,195,0,165,266,165,133,315,266,435,133,90,266,360,266,60,133,495,133,480,643,293,133,75,451,421,266,45,133,120,133,60,266,480,266,345,0,390,266,330,0,360,133,300,718,169,133,165,266,240,0,435,133,375,266,180,467,86,0,225,133,105,133,465,0,255,266,405,661,345,0,300,266,225,266,450,266,120,133,420,560,192,133,285,765,90,0,375,266,135,266,30,133,345,266,285,623,116,133,45,0,195,266,315,0,450,266,195,266,300,266,390,133,150,0,510,133,210,0,480,266,75,133,270,133,30,266,375,0,210,266,420,133,330,0,465,0,345,266,255,133,360,133,405,133,15,0,330,133,135,0,270,133,435,0,495,266,465,266,90,0,180,266,15,133,390,0,420,266,210,0,240,133,240,0,315,1478709769
266,495,838,464,0,285,133,180,266,105,133,450,133,225,266,270,266,150,0,405,491,457,133,255,133,195,446,151,266,165,133,315,266,435,133,90,266,360,266,60,133,495,133,480,643,293,133,75,451,421,266,45,133,120,133,60,266,480,266,345,0,390,266,330,0,360,133,300,718,169,133,165,266,240,0,435,133,375,266,180,467,86,0,225,133,105,133,465,0,255,266,405,674,342,0,300,266,225,266,450,266,120,133,420,560,192,133,285,765,90,0,375,266,135,266,30,133,345,266,285,623,116,133,45,0,195,266,315,0,450,266,195,266,300,266,390,133,150,0,510,133,210,0,480,266,75,133,270,133,30,266,375,0,210,266,420,133,330,0,465,0,345,266,255,133,360,133,405,133,15,0,330,133,135,0,270,133,435,0,495,266,465,266,90,0,180,266,15,133,390,0,420,266,210,0,240,133,240,0,315,1478709784
266,495,838,464,0,285,133,180,266,105,133,450,133,225,266,270,266,150,0,405,491,457,133,255,133,195,647,462,266,165,133,315,266,435,133,90,266,360,266,60,133,495,133,480,643,293,133,75,451,421,266,45,133,120,133,60,266,480,266,345,0,390,266,330,0,360,133,300,718,169,133,165,266,240,0,435,133,375,266,180,467,86,0,225,133,105,133,465,0,255,266,405,632,370,0,300,266,225,266,450,266,120,133,420,560,192,133,285,765,90,0,375,266,135,266,30,133,345,266,285,623,116,133,45,0,195,266,315,0,450,266,195,266,300,266,390,133,150,0,510,133,210,0,480,266,75,133,270,133,30,266,375,0,210,266,420,133,330,0,465,0,345,266,255,133,360,133,405,133,15,0,330,133,135,0,270,133,435,0,495,266,465,266,90,514,352,266,15,133,390,0,420,266,210,0,240,133,240,0,315,1478709799
266,495,838,464,0,285,133,180,266,105,133,450,133,225,266,270,266,150,0,405,491,457,133,255,133,195,647,462,266,165,133,315,266,435,133,90,266,360,266,60,133,495,133,480,643,293,133,75,451,421,266,45,133,120,133,60,266,480,266,345,0,390,266,330,0,360,133,300,718,169,133,165,266,240,0,435,133,375,266,180,467,86,596,270,133,105,133,465,0,255,266,405,632,370,0,300,266,225,266,450,266,120,133,420,560,192,133,285,765,90,0,375,266,135,266,30,133,345,266,285,623,116,133,45,443,162,266,315,0,450,266,195,266,300,266,390,133,150,0,510,133,210,0,480,266,75,133,270,133,30,266,375,633,242,266,420,133,330,0,465,0,345,266,255,133,360,133,405,133,15,0,330,133,135,0,270,133,435,0,495,266,465,266,90,516,347,266,15,133,390,0,420,266,210,773,356,133,240,0,315,1478709814
266,495,838,464,0,285,133,180,266,105,133,450,133,225,266,270,266,150,0,405,491,457,133,255,133,195,647,462,266,165,133,315,266,435,133,90,266,360,266,60,133,495,133,480,643,293,133,75,451,421,266,45,133,120,133,60,266,480,266,345,0,390,266,330,0,360,133,300,718,169,133,165,266,240,0,435,133,375,266,180,467,86,596,270,133,105,133,465,692,350,266,405,632,370,0,300,266,225,266,450,266,120,133,420,560,192,133,285,765,90,0,375,266,135,266,30,133,345,266,285,623,116,133,45,443,162,266,315,0,450,266,195,266,300,266,390,133,150,0,510,133,210,0,480,266,75,133,270,133,30,266,375,626,321,266,420,133,330,0,465,0,345,266,255,133,360,133,405,133,15,0,330,133,135,0,270,133,435,0,495,266,465,266,90,516,347,266,15,133,390,0,420,266,210,737,391,133,240,0,315,1478709829
266,495,838,464,672,149,133,180,266,105,133,450,133,225,266,270,266,150,0,405,491,457,133,255,133,195,647,462,266,165,133,315,266,435,133,90,266,360,266,60,133,495,133,480,643,293,133,75,451,421,266,45,133,120,133,60,266,480,266,345,0,390,266,330,0,360,133,300,718,169,133,165,266,240,0,435,133,375,266,180,467,86,596,270,133,105,133,465,692,350,266,405,632,370,622,348,266,225,266,450,266,120,133,420,560,192,133,285,765,90,0,375,266,135,266,30,133,345,266,285,623,116,133,45,443,162,266,315,0,450,266,195,266,300,266,390,133,150,0,510,133,210,0,480,266,75,133,270,133,30,266,375,626,321,266,420,133,330,0,465,0,345,266,255,133,360,133,405,133,15,0,330,133,135,720,135,133,435,0,495,266,465,266,90,516,347,266,15,133,390,0,420,266,210,737,391,133,240,0,315,1478709844
266,495,838,464,672,149,133,180,266,105,133,450,133,225,266,270,266,150,0,405,491,457,133,255,133,195,647,462,266,165,133,315,266,435,133,90,266,360,266,60,133,495,133,480,643,293,133,75,451,421,266,45,133,120,133,60,266,480,266,345,0,390,266,330,0,360,133,300,718,169,133,165,266,240,0,435,133,375,266,180,467,86,596,270,133,105,133,465,692,350,266,405,632,370,622,348,266,225,266,450,266,120,133,420,560,192,133,285,765,90,0,375,266,135,266,30,133,345,266,285,623,116,133,45,443,162,266,315,0,450,266,195,266,300,266,390,133,150,0,510,133,210,0,480,266,75,133,270,133,30,266,375,626,321,266,420,133,330,0,465,0,345,266,255,133,360,133,405,133,15,0,330,133,135,720,135,133,435,0,495,266,465,266,90,516,347,266,15,133,390,0,420,266,210,737,391,133,240,592,226,1478709859
