266,(96-67)*15+15,0,31*15+15,0,11*15+15,0,10*15+15,0,17*15+15,266,(67-67)*15+15,133,(60-34)*15+15,266,(95-67)*15+15,0,18*15+15,266,(69-67)*15+15,0,19*15+15,0,25*15+15,266,(87-67)*15+15,266,(75-67)*15+15,266,(70-67)*15+15,0,14*15+15,133,(58-34)*15+15,0,4*15+15,0,5*15+15,0,22*15+15,133,(57-34)*15+15,266,(71-67)*15+15,266,(93-67)*15+15,133,(50-34)*15+15,266,(79-67)*15+15,133,(65-34)*15+15,266,(92-67)*15+15,266,(88-67)*15+15,0,27*15+15,133,(59-34)*15+15,133,(45-34)*15+15,133,(49-34)*15+15,266,(90-67)*15+15,0,32*15+15,133,(34-34)*15+15,266,(68-67)*15+15,0,20*15+15,266,(97-67)*15+15,0,23*15+15,266,(73-67)*15+15,266,(74-67)*15+15,133,(48-34)*15+15,266,(94-67)*15+15,0,1*15+15,0,6*15+15,133,(35-34)*15+15,0,28*15+15,0,30*15+15,266,(77-67)*15+15,133,(46-34)*15+15,0,3*15+15,133,(61-34)*15+15,0,7*15+15,0,26*15+15,133,(43-34)*15+15,0,8*15+15,266,(91-67)*15+15,0,15*15+15,133,(39-34)*15+15,0,2*15+15,266,(99-67)*15+15,0,29*15+15,133,(56-34)*15+15,266,(83-67)*15+15,0,24*15+15,266,(82-67)*15+15,133,(52-34)*15+15,133,(36-34)*15+15,0,13*15+15,133,(66-34)*15+15,266,(72-67)*15+15,133,(55-34)*15+15,133,(37-34)*15+15,133,(54-34)*15+15,0,33*15+15,133,(38-34)*15+15,266,(89-67)*15+15,133,(53-34)*15+15,266,(85-67)*15+15,266,(78-67)*15+15,133,(62-34)*15+15,133,(47-34)*15+15,133,(64-34)*15+15,266,(98-67)*15+15,133,(40-34)*15+15,133,(44-34)*15+15,133,(41-34)*15+15,266,(84-67)*15+15,133,(51-34)*15+15,0,16*15+15,0,12*15+15,133,(63-34)*15+15,0,9*15+15,266,(86-67)*15+15,0,21*15+15,266,(81-67)*15+15,266,(76-67)*15+15,266,(80-67)*15+15,0,0*15+15,133,(42-34)*15+15,1477483282
266,450,0,480,0,180,0,165,0,270,266,15,133,405,266,435,0,285,266,45,0,300,0,390,266,315,266,135,266,60,0,225,133,375,0,75,0,90,0,345,133,360,266,75,266,405,133,255,266,195,133,480,266,390,266,330,0,420,133,390,133,180,133,240,266,360,0,495,133,15,266,30,0,315,266,465,0,360,266,105,266,120,133,225,266,420,0,30,632,99,133,30,0,435,0,465,266,165,133,195,0,60,133,420,0,120,0,405,133,150,429,75,266,375,0,240,133,90,0,45,266,495,0,450,133,345,266,255,0,375,266,240,133,285,133,45,0,210,133,495,266,90,133,330,133,60,133,315,0,510,133,75,266,345,133,300,266,285,266,180,133,435,133,210,133,465,266,480,133,105,133,165,133,120,266,270,133,270,0,255,0,195,133,450,0,150,266,300,0,330,266,225,521,185,266,210,0,15,133,135,1477483371
266,450,0,480,0,180,0,165,0,270,266,15,133,405,266,435,0,285,266,45,0,300,0,390,266,315,266,135,266,60,0,225,133,375,0,75,0,90,0,345,133,360,266,75,266,405,133,255,266,195,133,480,266,390,266,330,0,420,133,390,133,180,133,240,266,360,0,495,133,15,266,30,0,315,266,465,0,360,266,105,266,120,133,225,266,420,0,30,632,99,133,30,0,435,0,465,266,165,133,195,0,60,133,420,0,120,0,405,133,150,429,75,266,375,0,240,133,90,0,45,266,495,0,450,133,345,266,255,0,375,266,240,133,285,133,45,0,210,133,495,266,90,133,330,133,60,133,315,0,510,133,75,266,345,133,300,266,285,266,180,601,448,133,210,133,465,266,480,133,105,133,165,133,120,266,270,133,270,0,255,0,195,133,450,0,150,266,300,571,462,266,225,507,380,266,210,0,15,133,135,1477483386
266,450,0,480,0,180,0,165,0,270,266,15,133,405,266,435,0,285,266,45,0,300,0,390,266,315,266,135,266,60,0,225,133,375,0,75,0,90,0,345,133,360,266,75,266,405,133,255,435,426,133,480,266,390,266,330,0,420,133,390,133,180,133,240,266,360,0,495,133,15,266,30,0,315,266,465,0,360,266,105,266,120,133,225,266,420,0,30,632,99,133,30,0,435,0,465,266,165,133,195,0,60,133,420,0,120,0,405,133,150,429,75,266,375,0,240,133,90,0,45,266,495,0,450,133,345,266,255,0,375,266,240,133,285,133,45,0,210,133,495,266,90,133,330,133,60,133,315,0,510,133,75,266,345,133,300,266,285,266,180,601,448,133,210,315,462,266,480,133,105,133,165,133,120,266,270,133,270,0,255,0,195,133,450,0,150,266,300,571,462,266,225,645,324,266,210,0,15,133,135,1477483401
266,450,0,480,0,180,0,165,0,270,266,15,133,405,266,435,0,285,266,45,0,300,0,390,266,315,266,135,266,60,0,225,133,375,0,75,0,90,0,345,133,360,266,75,266,405,133,255,435,426,133,480,266,390,266,330,0,420,133,390,133,180,133,240,266,360,0,495,133,15,266,30,0,315,266,465,0,360,266,105,266,120,133,225,266,420,0,30,632,99,133,30,0,435,0,465,266,165,133,195,0,60,133,420,0,120,0,405,133,150,429,75,266,375,0,240,133,90,0,45,266,495,0,450,133,345,266,255,0,375,266,240,133,285,133,45,0,210,133,495,266,90,133,330,133,60,133,315,0,510,133,75,266,345,133,300,266,285,266,180,601,448,133,210,584,478,266,480,133,105,563,461,133,120,266,270,133,270,0,255,0,195,133,450,0,150,266,300,534,460,266,225,645,324,266,210,0,15,133,135,1477483416
266,450,0,480,0,180,0,165,0,270,266,15,133,405,266,435,0,285,266,45,0,300,0,390,266,315,266,135,266,60,0,225,133,375,0,75,0,90,0,345,133,360,266,75,266,405,133,255,435,426,133,480,266,390,266,330,0,420,133,390,133,180,133,240,266,360,0,495,133,15,266,30,0,315,266,465,0,360,266,105,266,120,133,225,266,420,0,30,632,99,133,30,0,435,0,465,266,165,133,195,0,60,133,420,0,120,0,405,133,150,429,75,266,375,513,511,133,90,0,45,266,495,0,450,133,345,266,255,0,375,266,240,133,285,133,45,0,210,133,495,266,90,133,330,133,60,133,315,0,510,133,75,266,345,133,300,266,285,266,180,534,486,442,503,585,452,266,480,133,105,563,461,133,120,266,270,133,270,0,255,0,195,133,450,0,150,266,300,534,460,266,225,645,324,266,210,0,15,133,135,1477483431
266,450,0,480,0,180,0,165,0,270,266,15,133,405,266,435,0,285,266,45,0,300,0,390,266,315,266,135,266,60,0,225,133,375,0,75,0,90,0,345,133,360,266,75,266,405,133,255,435,426,133,480,266,390,266,330,0,420,133,390,425,411,133,240,266,360,0,495,133,15,266,30,0,315,266,465,0,360,266,105,266,120,133,225,266,420,0,30,632,99,133,30,0,435,0,465,266,165,133,195,0,60,133,420,0,120,0,405,432,109,429,75,266,375,513,511,133,90,0,45,266,495,0,450,133,345,266,255,0,375,266,240,133,285,133,45,0,210,133,495,266,90,133,330,133,60,133,315,0,510,133,75,266,345,133,300,266,285,266,180,534,486,460,532,585,452,266,480,133,105,563,461,133,120,266,270,133,270,0,255,0,195,133,450,0,150,266,300,534,460,266,225,645,324,266,210,0,15,133,135,1477483446
266,450,0,480,0,180,0,165,0,270,266,15,133,405,266,435,0,285,266,45,0,300,562,316,266,315,266,135,266,60,0,225,133,375,0,75,0,90,0,345,133,360,266,75,266,405,133,255,435,426,133,480,266,390,266,330,0,420,133,390,425,411,133,240,266,360,0,495,133,15,421,350,0,315,266,465,0,360,266,105,266,120,133,225,266,420,0,30,632,99,133,30,0,435,0,465,266,165,133,195,0,60,133,420,0,120,0,405,432,109,429,75,266,375,513,511,133,90,0,45,266,495,0,450,133,345,266,255,0,375,266,240,133,285,133,45,0,210,133,495,266,90,133,330,133,60,133,315,0,510,133,75,266,345,133,300,266,285,266,180,534,486,460,532,585,452,266,480,133,105,563,461,133,120,266,270,133,270,0,255,0,195,133,450,0,150,266,300,534,460,266,225,645,324,266,210,0,15,133,135,1477483461
266,450,0,480,0,180,0,165,0,270,266,15,133,405,266,435,489,378,266,45,0,300,562,316,266,315,266,135,266,60,747,424,133,375,0,75,0,90,0,345,133,360,266,75,266,405,133,255,435,426,133,480,266,390,266,330,0,420,133,390,425,411,133,240,266,360,0,495,133,15,421,350,0,315,266,465,423,334,266,105,266,120,133,225,266,420,0,30,632,99,133,30,0,435,0,465,266,165,133,195,0,60,133,420,0,120,877,278,432,109,429,75,266,375,513,511,133,90,0,45,266,495,0,450,133,345,266,255,0,375,266,240,133,285,133,45,0,210,133,495,266,90,133,330,133,60,133,315,0,510,133,75,266,345,133,300,266,285,266,180,534,486,460,532,585,452,266,480,133,105,563,461,133,120,266,270,133,270,0,255,0,195,133,450,0,150,266,300,534,460,266,225,645,324,266,210,0,15,133,135,1477483476
266,450,0,480,0,180,0,165,0,270,266,15,133,405,266,435,489,378,266,45,0,300,562,316,266,315,266,135,266,60,756,421,133,375,0,75,0,90,0,345,133,360,266,75,266,405,133,255,435,426,133,480,266,390,266,330,0,420,133,390,425,411,133,240,266,360,0,495,133,15,421,350,0,315,266,465,423,334,266,105,266,120,133,225,266,420,0,30,632,99,133,30,0,435,0,465,266,165,133,195,0,60,133,420,0,120,877,278,432,109,429,75,266,375,513,511,133,90,0,45,266,495,0,450,133,345,266,255,0,375,266,240,133,285,133,45,0,210,133,495,266,90,133,330,133,60,133,315,0,510,133,75,266,345,133,300,266,285,266,180,534,486,460,532,585,452,266,480,133,105,563,461,133,120,266,270,133,270,0,255,0,195,133,450,0,150,266,300,534,460,266,225,645,324,266,210,0,15,133,135,1477483491
266,450,0,480,0,180,0,165,0,270,266,15,133,405,266,435,489,378,266,45,0,300,562,316,266,315,266,135,266,60,756,421,133,375,0,75,0,90,0,345,133,360,266,75,266,405,133,255,435,426,133,480,266,390,266,330,408,397,133,390,425,411,133,240,266,360,0,495,133,15,421,350,0,315,266,465,423,334,266,105,266,120,133,225,266,420,0,30,632,99,133,30,0,435,0,465,266,165,133,195,0,60,133,420,0,120,877,278,432,109,429,75,266,375,513,511,133,90,0,45,266,495,0,450,133,345,266,255,0,375,266,240,133,285,133,45,0,210,133,495,266,90,133,330,133,60,133,315,0,510,133,75,266,345,133,300,266,285,266,180,534,486,460,532,585,452,266,480,661,220,563,461,133,120,266,270,133,270,0,255,0,195,133,450,0,150,266,300,534,460,266,225,645,324,266,210,0,15,133,135,1477483506
419,265,0,480,0,180,0,165,0,270,266,15,133,405,266,435,489,378,266,45,0,300,562,316,266,315,266,135,266,60,756,421,133,375,0,75,0,90,0,345,133,360,266,75,266,405,133,255,435,426,133,480,266,390,266,330,408,397,133,390,425,411,133,240,266,360,0,495,133,15,421,350,0,315,266,465,423,334,266,105,266,120,133,225,266,420,0,30,632,99,133,30,0,435,0,465,266,165,133,195,0,60,133,420,0,120,877,278,897,56,903,39,266,375,513,511,133,90,0,45,266,495,0,450,133,345,266,255,0,375,266,240,133,285,133,45,0,210,133,495,266,90,133,330,133,60,133,315,0,510,133,75,266,345,133,300,266,285,266,180,534,486,460,532,585,452,266,480,661,220,563,461,133,120,266,270,133,270,0,255,0,195,133,450,0,150,266,300,534,460,630,284,698,282,266,210,0,15,133,135,1477483521
419,265,0,480,0,180,0,165,0,270,266,15,133,405,266,435,489,378,266,45,0,300,562,316,266,315,266,135,900,125,756,421,133,375,0,75,0,90,0,345,133,360,475,140,266,405,133,255,435,426,133,480,266,390,266,330,408,397,133,390,425,411,133,240,266,360,0,495,133,15,421,350,0,315,266,465,423,334,266,105,266,120,133,225,266,420,0,30,632,99,133,30,0,435,0,465,266,165,133,195,0,60,133,420,0,120,877,278,897,56,903,39,266,375,513,511,133,90,0,45,266,495,0,450,133,345,266,255,0,375,266,240,133,285,133,45,0,210,133,495,266,90,133,330,133,60,133,315,0,510,133,75,266,345,133,300,266,285,266,180,534,486,460,532,585,452,266,480,661,220,563,461,133,120,266,270,133,270,0,255,0,195,133,450,0,150,266,300,534,460,630,284,698,284,266,210,0,15,133,135,1477483536
