133,(63-34)*15+15,133,(36-34)*15+15,266,(74-67)*15+15,0,15*15+15,266,(86-67)*15+15,266,(81-67)*15+15,133,(34-34)*15+15,133,(39-34)*15+15,133,(53-34)*15+15,0,10*15+15,0,27*15+15,133,(35-34)*15+15,266,(96-67)*15+15,266,(83-67)*15+15,266,(89-67)*15+15,266,(85-67)*15+15,133,(38-34)*15+15,0,13*15+15,0,28*15+15,266,(67-67)*15+15,133,(42-34)*15+15,0,2*15+15,0,21*15+15,266,(77-67)*15+15,133,(57-34)*15+15,0,6*15+15,133,(62-34)*15+15,133,(45-34)*15+15,266,(80-67)*15+15,0,29*15+15,133,(65-34)*15+15,266,(98-67)*15+15,133,(55-34)*15+15,0,9*15+15,0,12*15+15,133,(54-34)*15+15,266,(72-67)*15+15,133,(52-34)*15+15,266,(92-67)*15+15,133,(41-34)*15+15,266,(84-67)*15+15,0,16*15+15,0,30*15+15,0,14*15+15,0,5*15+15,0,25*15+15,133,(58-34)*15+15,266,(79-67)*15+15,266,(71-67)*15+15,0,22*15+15,0,23*15+15,0,24*15+15,133,(59-34)*15+15,133,(37-34)*15+15,133,(61-34)*15+15,0,8*15+15,133,(47-34)*15+15,0,1*15+15,0,20*15+15,0,3*15+15,133,(44-34)*15+15,0,18*15+15,0,0*15+15,133,(46-34)*15+15,133,(48-34)*15+15,266,(93-67)*15+15,266,(95-67)*15+15,0,7*15+15,133,(56-34)*15+15,266,(94-67)*15+15,133,(50-34)*15+15,133,(66-34)*15+15,0,19*15+15,266,(82-67)*15+15,266,(87-67)*15+15,0,32*15+15,133,(49-34)*15+15,266,(75-67)*15+15,0,17*15+15,0,33*15+15,0,31*15+15,266,(97-67)*15+15,0,11*15+15,266,(76-67)*15+15,266,(73-67)*15+15,266,(99-67)*15+15,266,(70-67)*15+15,266,(68-67)*15+15,0,26*15+15,266,(90-67)*15+15,0,4*15+15,266,(91-67)*15+15,133,(51-34)*15+15,266,(69-67)*15+15,266,(78-67)*15+15,133,(60-34)*15+15,133,(43-34)*15+15,133,(64-34)*15+15,133,(40-34)*15+15,266,(88-67)*15+15,1477389442
133,450,133,45,266,120,0,240,266,300,266,225,133,15,133,90,133,300,0,165,0,420,133,30,266,450,266,255,266,345,266,285,133,75,0,210,0,435,266,15,133,135,0,45,0,330,266,165,133,360,0,105,133,435,133,180,266,210,0,450,133,480,266,480,133,330,0,150,0,195,133,315,266,90,133,285,266,390,133,120,266,270,0,255,0,465,0,225,0,90,0,390,133,375,266,195,266,75,0,345,0,360,0,375,133,390,133,60,133,420,0,135,133,210,0,30,0,315,0,60,133,165,0,285,0,15,133,195,133,225,266,405,266,435,0,120,133,345,266,420,133,255,133,495,0,300,266,240,266,315,0,495,133,240,266,135,0,270,0,510,0,480,266,465,0,180,266,150,266,105,266,495,266,60,266,30,0,405,266,360,0,75,266,375,133,270,266,45,266,180,133,405,133,150,133,465,133,105,266,330,1477389468
133,450,133,45,266,120,0,240,266,300,266,225,133,15,133,90,133,300,0,165,0,420,133,30,266,450,266,255,266,345,266,285,133,75,0,210,0,435,266,15,133,135,0,45,0,330,266,165,133,360,0,105,133,435,133,180,266,210,0,450,133,480,266,480,133,330,0,150,0,195,133,315,266,90,133,285,266,390,133,120,266,270,0,255,0,465,0,225,0,90,0,390,133,375,266,195,266,75,0,345,0,360,0,375,133,390,133,60,133,420,0,135,133,210,409,14,0,315,0,60,133,165,0,285,0,15,133,195,133,225,266,405,266,435,0,120,133,345,266,420,133,255,133,495,0,300,266,240,266,315,0,495,133,240,266,135,0,270,0,510,0,480,266,465,0,180,266,150,266,105,266,495,266,60,266,30,0,405,266,360,0,75,266,375,133,270,266,45,266,180,133,405,133,150,133,465,133,105,266,330,1477389483
133,450,133,45,266,120,0,240,266,300,266,225,133,15,133,90,133,300,0,165,0,420,133,30,266,450,266,255,266,345,266,285,133,75,0,210,0,435,266,15,133,135,0,45,0,330,266,165,133,360,0,105,133,435,133,180,266,210,0,450,133,480,266,480,133,330,0,150,0,195,133,315,266,90,133,285,266,390,133,120,266,270,0,255,0,465,0,225,0,90,0,390,133,375,266,195,266,75,0,345,409,33,0,375,133,390,133,60,133,420,0,135,133,210,409,14,0,315,0,60,133,165,0,285,0,15,133,195,133,225,266,405,266,435,0,120,133,345,266,420,133,255,133,495,0,300,266,240,266,315,0,495,133,240,266,135,413,24,0,510,0,480,266,465,0,180,266,150,266,105,266,495,266,60,266,30,0,405,266,360,0,75,266,375,133,270,266,45,266,180,133,405,133,150,133,465,133,105,266,330,1477389498
133,450,133,45,266,120,0,240,266,300,266,225,133,15,133,90,133,300,0,165,478,60,133,30,266,450,266,255,266,345,266,285,133,75,0,210,0,435,266,15,133,135,0,45,0,330,266,165,133,360,0,105,133,435,133,180,266,210,0,450,133,480,266,480,133,330,0,150,0,195,133,315,266,90,133,285,266,390,133,120,266,270,0,255,0,465,0,225,0,90,0,390,133,375,266,195,266,75,0,345,409,33,0,375,133,390,133,60,133,420,0,135,133,210,409,14,0,315,0,60,133,165,0,285,0,15,133,195,133,225,266,405,266,435,0,120,133,345,266,420,133,255,133,495,0,300,266,240,266,315,0,495,133,240,266,135,413,24,412,45,453,14,266,465,0,180,266,150,266,105,266,495,266,60,266,30,0,405,266,360,0,75,266,375,133,270,266,45,266,180,133,405,133,150,133,465,133,105,266,330,1477389513
133,450,133,45,266,120,0,240,266,300,266,225,133,15,133,90,133,300,0,165,478,60,516,42,266,450,266,255,266,345,266,285,133,75,0,210,0,435,266,15,133,135,0,45,0,330,266,165,133,360,0,105,133,435,133,180,266,210,0,450,133,480,266,480,133,330,0,150,0,195,133,315,266,90,133,285,266,390,133,120,266,270,0,255,0,465,0,225,0,90,0,390,133,375,266,195,266,75,0,345,409,33,0,375,133,390,493,128,133,420,0,135,133,210,409,14,0,315,0,60,133,165,0,285,0,15,133,195,133,225,266,405,266,435,0,120,133,345,266,420,133,255,133,495,0,300,266,240,266,315,0,495,133,240,266,135,413,24,413,47,453,14,266,465,0,180,266,150,266,105,266,495,266,60,266,30,0,405,266,360,0,75,266,375,133,270,266,45,266,180,133,405,133,150,133,465,133,105,266,330,1477389528
133,450,484,45,266,120,0,240,266,300,266,225,133,15,133,90,133,300,0,165,478,60,516,42,266,450,266,255,266,345,266,285,133,75,0,210,0,435,266,15,133,135,0,45,0,330,266,165,133,360,0,105,133,435,133,180,266,210,0,450,133,480,266,480,133,330,0,150,0,195,133,315,266,90,133,285,266,390,133,120,266,270,0,255,0,465,0,225,0,90,0,390,133,375,266,195,266,75,0,345,409,33,0,375,133,390,445,82,133,420,0,135,133,210,409,14,0,315,0,60,133,165,0,285,0,15,133,195,133,225,266,405,266,435,0,120,133,345,266,420,133,255,133,495,0,300,266,240,266,315,0,495,353,157,266,135,413,24,413,47,453,14,266,465,0,180,266,150,266,105,266,495,266,60,266,30,0,405,266,360,0,75,266,375,133,270,266,45,266,180,133,405,133,150,133,465,133,105,266,330,1477389543
133,450,484,45,266,120,0,240,266,300,266,225,133,15,133,90,133,300,0,165,478,60,516,42,266,450,266,255,266,345,266,285,133,75,0,210,0,435,266,15,133,135,0,45,0,330,266,165,133,360,0,105,133,435,133,180,266,210,0,450,133,480,266,480,133,330,0,150,0,195,413,75,266,90,133,285,266,390,133,120,266,270,0,255,0,465,0,225,0,90,0,390,133,375,266,195,266,75,0,345,409,33,0,375,133,390,475,122,133,420,0,135,133,210,409,14,0,315,0,60,133,165,0,285,0,15,133,195,133,225,266,405,266,435,0,120,133,345,266,420,133,255,133,495,0,300,266,240,266,315,0,495,410,52,266,135,413,24,413,47,453,14,266,465,0,180,266,150,266,105,266,495,266,60,266,30,0,405,266,360,0,75,266,375,133,270,266,45,266,180,133,405,133,150,133,465,133,105,266,330,1477389558
133,450,484,45,266,120,0,240,266,300,266,225,133,15,133,90,133,300,0,165,478,60,516,42,266,450,266,255,266,345,266,285,133,75,0,210,0,435,266,15,133,135,0,45,0,330,266,165,133,360,0,105,133,435,133,180,266,210,0,450,133,480,266,480,133,330,0,150,0,195,504,11,266,90,133,285,266,390,133,120,266,270,0,255,0,465,0,225,0,90,0,390,133,375,266,195,266,75,0,345,409,33,0,375,133,390,134,236,133,420,0,135,133,210,409,14,0,315,0,60,133,165,0,285,0,15,133,195,133,225,266,405,266,435,0,120,133,345,266,420,133,255,133,495,0,300,266,240,266,315,0,495,410,52,266,135,413,24,413,47,453,14,266,465,0,180,266,150,266,105,266,495,266,60,266,30,0,405,266,360,0,75,266,375,133,270,266,45,266,180,133,405,133,150,133,465,133,105,266,330,1477389573
133,450,484,45,266,120,0,240,266,300,266,225,133,15,133,90,133,300,0,165,478,60,516,42,266,450,266,255,266,345,266,285,133,75,0,210,0,435,266,15,133,135,0,45,0,330,266,165,460,2,0,105,133,435,133,180,266,210,0,450,133,480,266,480,133,330,0,150,0,195,504,11,266,90,133,285,266,390,133,120,266,270,0,255,0,465,0,225,0,90,0,390,150,379,266,195,266,75,0,345,409,33,0,375,133,390,134,236,133,420,0,135,133,210,409,14,0,315,0,60,133,165,0,285,0,15,133,195,133,225,266,405,266,435,0,120,133,345,266,420,133,255,133,495,0,300,266,240,266,315,0,495,410,52,266,135,413,24,413,47,460,21,266,465,0,180,266,150,266,105,266,495,266,60,266,30,0,405,266,360,0,75,266,375,133,270,266,45,266,180,133,405,133,150,133,465,133,105,266,330,1477389588
546,18,484,45,266,120,0,240,266,300,266,225,133,15,133,90,133,300,0,165,478,60,516,42,266,450,266,255,266,345,266,285,133,75,0,210,0,435,266,15,133,135,0,45,0,330,266,165,483,14,0,105,133,435,133,180,266,210,0,450,133,480,266,480,133,330,0,150,0,195,504,11,266,90,133,285,266,390,133,120,266,270,0,255,0,465,0,225,0,90,0,390,150,379,266,195,266,75,0,345,409,33,0,375,133,390,134,236,133,420,0,135,133,210,409,14,0,315,0,60,133,165,0,285,0,15,133,195,133,225,266,405,266,435,0,120,133,345,266,420,133,255,133,495,0,300,266,240,266,315,0,495,410,52,266,135,413,24,413,47,433,12,266,465,0,180,266,150,266,105,266,495,266,60,266,30,0,405,266,360,0,75,266,375,133,270,266,45,266,180,133,405,133,150,484,283,133,105,266,330,1477389603
