266,(86-67)*15+15,0,24*15+15,0,22*15+15,266,(90-67)*15+15,0,8*15+15,266,(75-67)*15+15,266,(78-67)*15+15,266,(98-67)*15+15,266,(91-67)*15+15,266,(74-67)*15+15,0,11*15+15,266,(88-67)*15+15,266,(70-67)*15+15,0,31*15+15,133,(43-34)*15+15,0,20*15+15,266,(69-67)*15+15,133,(51-34)*15+15,133,(62-34)*15+15,133,(46-34)*15+15,0,4*15+15,133,(45-34)*15+15,0,6*15+15,0,10*15+15,266,(68-67)*15+15,133,(34-34)*15+15,133,(36-34)*15+15,0,28*15+15,133,(65-34)*15+15,133,(61-34)*15+15,266,(94-67)*15+15,133,(38-34)*15+15,0,33*15+15,133,(41-34)*15+15,0,0*15+15,266,(82-67)*15+15,0,7*15+15,133,(47-34)*15+15,0,15*15+15,133,(35-34)*15+15,0,1*15+15,0,32*15+15,0,3*15+15,0,30*15+15,266,(97-67)*15+15,0,14*15+15,133,(50-34)*15+15,266,(85-67)*15+15,266,(89-67)*15+15,0,21*15+15,133,(54-34)*15+15,266,(95-67)*15+15,0,27*15+15,266,(73-67)*15+15,266,(93-67)*15+15,0,16*15+15,0,12*15+15,133,(58-34)*15+15,133,(66-34)*15+15,266,(92-67)*15+15,266,(84-67)*15+15,133,(40-34)*15+15,266,(80-67)*15+15,266,(96-67)*15+15,133,(48-34)*15+15,266,(67-67)*15+15,0,13*15+15,0,23*15+15,133,(42-34)*15+15,133,(44-34)*15+15,133,(56-34)*15+15,0,25*15+15,0,29*15+15,266,(81-67)*15+15,133,(37-34)*15+15,133,(64-34)*15+15,133,(57-34)*15+15,133,(60-34)*15+15,266,(99-67)*15+15,133,(63-34)*15+15,266,(72-67)*15+15,266,(76-67)*15+15,133,(49-34)*15+15,0,19*15+15,0,2*15+15,266,(87-67)*15+15,0,5*15+15,266,(79-67)*15+15,0,17*15+15,133,(52-34)*15+15,266,(77-67)*15+15,133,(59-34)*15+15,266,(83-67)*15+15,0,9*15+15,0,18*15+15,133,(39-34)*15+15,266,(71-67)*15+15,133,(55-34)*15+15,133,(53-34)*15+15,0,26*15+15,1477301040
266,300,0,375,0,345,266,360,0,135,266,135,266,180,266,480,266,375,266,120,0,180,266,330,266,60,0,480,133,150,0,315,266,45,133,270,133,435,133,195,0,75,133,180,0,105,0,165,266,30,133,15,133,45,0,435,133,480,133,420,266,420,133,75,0,510,133,120,501,119,266,240,0,120,133,210,0,240,133,30,770,304,0,495,0,60,0,465,266,465,0,225,133,255,266,285,266,345,0,330,133,315,266,435,0,420,266,105,266,405,0,255,0,195,133,375,133,495,266,390,266,270,133,105,266,210,266,450,133,225,266,15,0,210,0,360,133,135,133,165,133,345,0,390,0,450,266,225,133,60,133,465,133,360,133,405,266,495,133,450,266,90,266,150,133,240,0,300,0,45,266,315,0,90,266,195,0,270,133,285,266,165,133,390,266,255,0,150,0,285,133,90,266,75,133,330,133,300,0,405,1477301061
266,300,0,375,0,345,266,360,0,135,266,135,266,180,266,480,266,375,266,120,0,180,266,330,266,60,0,480,133,150,0,315,266,45,133,270,133,435,133,195,0,75,133,180,0,105,0,165,266,30,133,15,133,45,0,435,133,480,133,420,266,420,133,75,0,510,133,120,501,119,266,240,0,120,133,210,0,240,133,30,888,341,0,495,867,335,0,465,266,465,0,225,133,255,266,285,266,345,0,330,133,315,266,435,0,420,266,105,266,405,0,255,0,195,133,375,133,495,266,390,266,270,133,105,266,210,266,450,133,225,266,15,0,210,0,360,133,135,133,165,133,345,0,390,0,450,266,225,133,60,133,465,133,360,133,405,266,495,133,450,266,90,266,150,133,240,0,300,0,45,266,315,0,90,266,195,0,270,558,167,266,165,133,390,266,255,0,150,0,285,133,90,266,75,133,330,133,300,0,405,1477301076
266,300,0,375,0,345,266,360,0,135,266,135,266,180,266,480,266,375,266,120,0,180,266,330,266,60,0,480,133,150,0,315,266,45,133,270,133,435,133,195,0,75,133,180,0,105,0,165,266,30,133,15,133,45,0,435,133,480,133,420,266,420,133,75,0,510,133,120,501,119,266,240,0,120,133,210,0,240,133,30,888,341,0,495,867,335,0,465,894,327,0,225,133,255,266,285,266,345,0,330,133,315,266,435,0,420,266,105,266,405,0,255,0,195,133,375,862,353,266,390,266,270,133,105,266,210,266,450,133,225,266,15,0,210,0,360,133,135,133,165,133,345,0,390,0,450,266,225,133,60,133,465,133,360,133,405,898,369,133,450,266,90,266,150,133,240,0,300,0,45,266,315,0,90,266,195,0,270,558,167,266,165,133,390,266,255,0,150,0,285,133,90,266,75,133,330,133,300,0,405,1477301091
266,300,0,375,0,345,266,360,0,135,266,135,266,180,266,480,266,375,266,120,0,180,266,330,266,60,0,480,133,150,0,315,266,45,133,270,133,435,133,195,0,75,133,180,0,105,0,165,266,30,133,15,133,45,0,435,133,480,133,420,266,420,133,75,511,157,133,120,501,119,266,240,520,473,133,210,0,240,133,30,888,341,0,495,867,335,0,465,894,327,0,225,133,255,266,285,266,345,0,330,133,315,266,435,0,420,266,105,266,405,0,255,0,195,133,375,862,353,266,390,266,270,133,105,266,210,266,450,133,225,266,15,0,210,0,360,133,135,133,165,133,345,0,390,0,450,266,225,133,60,133,465,133,360,133,405,898,369,133,450,266,90,266,150,133,240,0,300,0,45,266,315,0,90,266,195,0,270,558,167,831,318,133,390,266,255,0,150,0,285,133,90,266,75,133,330,133,300,0,405,1477301106
266,300,0,375,0,345,266,360,0,135,266,135,266,180,533,132,266,375,266,120,0,180,266,330,266,60,0,480,133,150,0,315,266,45,133,270,133,435,133,195,0,75,133,180,0,105,0,165,266,30,133,15,133,45,0,435,133,480,133,420,266,420,133,75,511,157,133,120,501,119,266,240,520,473,133,210,0,240,133,30,888,341,0,495,867,335,0,465,894,327,0,225,133,255,266,285,266,345,0,330,133,315,266,435,0,420,542,460,266,405,0,255,0,195,133,375,862,353,266,390,266,270,133,105,266,210,266,450,133,225,266,15,0,210,0,360,133,135,133,165,133,345,0,390,0,450,266,225,133,60,133,465,133,360,133,405,898,369,133,450,266,90,266,150,133,240,0,300,0,45,266,315,0,90,266,195,0,270,558,167,831,321,133,390,266,255,0,150,0,285,133,90,266,75,133,330,133,300,0,405,1477301121
266,300,0,375,0,345,266,360,0,135,266,135,266,180,533,132,266,375,266,120,0,180,266,330,266,60,0,480,133,150,0,315,266,45,133,270,133,435,133,195,0,75,133,180,0,105,0,165,266,30,133,15,133,45,0,435,133,480,133,420,266,420,133,75,511,157,133,120,501,119,266,240,520,473,133,210,0,240,133,30,888,341,0,495,867,335,832,344,894,327,0,225,133,255,266,285,266,345,0,330,133,315,266,435,0,420,542,460,266,405,0,255,0,195,133,375,862,353,266,390,266,270,133,105,266,210,266,450,133,225,266,15,0,210,0,360,133,135,133,165,133,345,0,390,0,450,266,225,133,60,133,465,133,360,133,405,898,369,583,415,266,90,266,150,133,240,0,300,546,422,266,315,0,90,266,195,0,270,558,167,831,321,133,390,266,255,0,150,0,285,133,90,266,75,133,330,133,300,0,405,1477301136
266,300,0,375,0,345,266,360,0,135,266,135,266,180,533,132,266,375,266,120,0,180,266,330,266,60,0,480,133,150,0,315,266,45,133,270,133,435,133,195,0,75,133,180,0,105,0,165,266,30,133,15,133,45,0,435,133,480,133,420,266,420,133,75,511,157,133,120,501,119,266,240,520,473,133,210,0,240,133,30,888,341,0,495,867,335,832,344,894,327,0,225,133,255,266,285,266,345,0,330,133,315,266,435,0,420,542,460,266,405,0,255,0,195,133,375,862,353,266,390,266,270,133,105,266,210,266,450,133,225,266,15,0,210,0,360,133,135,133,165,133,345,0,390,0,450,266,225,133,60,133,465,133,360,133,405,898,369,583,415,812,353,266,150,133,240,0,300,546,422,266,315,0,90,266,195,0,270,558,167,831,321,133,390,266,255,0,150,0,285,133,90,266,75,133,330,133,300,0,405,1477301151
266,300,0,375,0,345,266,360,0,135,266,135,266,180,533,132,266,375,266,120,0,180,266,330,266,60,0,480,133,150,0,315,266,45,133,270,133,435,133,195,0,75,133,180,0,105,0,165,266,30,133,15,133,45,0,435,133,480,133,420,266,420,133,75,511,157,133,120,501,119,266,240,520,473,133,210,0,240,133,30,888,341,0,495,867,335,832,344,894,327,0,225,133,255,266,285,266,345,0,330,133,315,266,435,0,420,542,460,266,405,0,255,0,195,133,375,862,353,266,390,524,188,133,105,266,210,266,450,133,225,266,15,783,100,0,360,133,135,133,165,755,110,0,390,0,450,266,225,133,60,133,465,133,360,133,405,898,369,583,415,812,353,266,150,133,240,0,300,546,422,266,315,0,90,266,195,0,270,558,167,831,321,133,390,266,255,0,150,0,285,133,90,266,75,133,330,133,300,0,405,1477301166
266,300,0,375,0,345,266,360,0,135,266,135,266,180,533,132,266,375,266,120,0,180,266,330,266,60,0,480,133,150,0,315,266,45,133,270,133,435,133,195,0,75,133,180,0,105,0,165,266,30,133,15,133,45,0,435,133,480,133,420,266,420,133,75,511,157,133,120,501,119,266,240,520,473,133,210,0,240,133,30,888,341,0,495,867,335,832,344,894,327,0,225,133,255,790,363,266,345,0,330,133,315,783,386,0,420,542,460,266,405,0,255,0,195,133,375,862,353,266,390,787,90,133,105,266,210,266,450,133,225,266,15,783,100,0,360,133,135,133,165,755,110,0,390,0,450,266,225,133,60,133,465,133,360,133,405,898,369,785,416,812,353,266,150,133,240,0,300,800,424,266,315,0,90,266,195,0,270,558,167,831,321,133,390,266,255,0,150,0,285,133,90,266,75,133,330,133,300,0,405,1477301181
266,300,0,375,0,345,266,360,0,135,266,135,266,180,533,132,266,375,266,120,0,180,266,330,266,60,0,480,133,150,0,315,266,45,133,270,133,435,133,195,0,75,133,180,0,105,0,165,266,30,133,15,133,45,0,435,133,480,133,420,266,420,133,75,511,157,133,120,501,119,266,240,520,473,133,210,0,240,133,30,888,341,0,495,867,335,832,344,894,327,0,225,133,255,790,363,266,345,0,330,133,315,783,386,0,420,542,460,266,405,0,255,930,402,133,375,862,353,266,390,787,90,133,105,266,210,266,450,133,225,266,15,783,100,0,360,133,135,133,165,755,110,0,390,0,450,266,225,133,60,133,465,133,360,935,391,898,369,785,416,812,353,266,150,133,240,0,300,800,424,266,315,0,90,266,195,0,270,558,167,831,321,133,390,919,381,0,150,0,285,133,90,266,75,133,330,133,300,0,405,1477301196
