133,(44-34)*15+15,266,(96-67)*15+15,0,12*15+15,0,21*15+15,266,(92-67)*15+15,266,(93-67)*15+15,133,(36-34)*15+15,0,30*15+15,133,(40-34)*15+15,133,(47-34)*15+15,266,(69-67)*15+15,0,18*15+15,266,(83-67)*15+15,133,(35-34)*15+15,133,(63-34)*15+15,133,(39-34)*15+15,0,7*15+15,133,(56-34)*15+15,0,29*15+15,133,(48-34)*15+15,133,(37-34)*15+15,133,(34-34)*15+15,0,5*15+15,0,25*15+15,133,(49-34)*15+15,266,(85-67)*15+15,0,20*15+15,133,(52-34)*15+15,0,27*15+15,266,(78-67)*15+15,133,(59-34)*15+15,0,1*15+15,0,33*15+15,133,(41-34)*15+15,266,(86-67)*15+15,0,28*15+15,133,(43-34)*15+15,266,(91-67)*15+15,266,(90-67)*15+15,266,(94-67)*15+15,0,19*15+15,0,10*15+15,266,(75-67)*15+15,0,4*15+15,0,2*15+15,133,(55-34)*15+15,266,(74-67)*15+15,133,(45-34)*15+15,266,(82-67)*15+15,0,24*15+15,133,(64-34)*15+15,133,(50-34)*15+15,133,(57-34)*15+15,133,(60-34)*15+15,266,(77-67)*15+15,266,(76-67)*15+15,266,(70-67)*15+15,266,(80-67)*15+15,266,(89-67)*15+15,133,(53-34)*15+15,0,11*15+15,266,(81-67)*15+15,266,(71-67)*15+15,0,32*15+15,266,(72-67)*15+15,133,(61-34)*15+15,133,(38-34)*15+15,133,(65-34)*15+15,0,16*15+15,266,(68-67)*15+15,266,(67-67)*15+15,0,26*15+15,266,(84-67)*15+15,133,(51-34)*15+15,0,31*15+15,0,8*15+15,266,(95-67)*15+15,0,14*15+15,133,(54-34)*15+15,0,17*15+15,266,(99-67)*15+15,0,3*15+15,266,(97-67)*15+15,266,(73-67)*15+15,0,13*15+15,266,(98-67)*15+15,0,22*15+15,0,15*15+15,0,6*15+15,0,9*15+15,133,(42-34)*15+15,133,(62-34)*15+15,266,(79-67)*15+15,133,(46-34)*15+15,266,(88-67)*15+15,0,23*15+15,133,(66-34)*15+15,133,(58-34)*15+15,0,0*15+15,266,(87-67)*15+15,1465031817
133,165,266,450,0,195,0,330,266,390,266,405,133,45,0,465,133,105,133,210,266,45,0,285,266,255,133,30,133,450,133,90,0,120,133,345,0,450,133,225,133,60,133,15,0,90,0,390,133,240,266,285,0,315,133,285,0,420,266,180,133,390,0,30,0,510,133,120,266,300,0,435,133,150,266,375,266,360,266,420,0,300,0,165,266,135,0,75,0,45,133,330,266,120,133,180,266,240,0,375,133,465,133,255,133,360,133,405,266,165,266,150,266,60,266,210,266,345,133,300,0,180,266,225,266,75,0,495,266,90,133,420,133,75,133,480,0,255,266,30,266,15,0,405,266,270,133,270,0,480,0,135,266,435,0,225,133,315,0,270,266,495,0,60,266,465,266,105,0,210,266,480,0,345,0,240,0,105,0,150,133,135,133,435,266,195,133,195,266,330,0,360,133,495,133,375,0,15,266,315,1465031847
133,165,266,450,0,195,0,330,266,390,266,405,133,45,0,465,133,105,133,210,266,45,0,285,266,255,434,54,133,450,133,90,0,120,133,345,0,450,133,225,133,60,133,15,0,90,0,390,133,240,266,285,0,315,133,285,0,420,266,180,133,390,420,41,0,510,133,120,266,300,0,435,133,150,266,375,266,360,266,420,0,300,0,165,266,135,0,75,0,45,133,330,266,120,133,180,266,240,0,375,133,465,133,255,133,360,133,405,266,165,266,150,266,60,266,210,266,345,133,300,0,180,266,225,266,75,0,495,266,90,133,420,133,75,133,480,0,255,266,30,266,15,0,405,266,270,133,270,0,480,0,135,266,435,0,225,133,315,0,270,266,495,0,60,266,465,266,105,0,210,266,480,0,345,0,240,0,105,0,150,133,135,133,435,266,195,133,195,266,330,0,360,133,495,133,375,0,15,266,315,1465031862
133,165,266,450,0,195,0,330,266,390,266,405,133,45,0,465,133,105,133,210,266,45,461,65,266,255,434,54,133,450,133,90,0,120,133,345,0,450,133,225,133,60,133,15,0,90,0,390,133,240,266,285,0,315,133,285,486,50,266,180,133,390,420,41,0,510,587,90,266,300,540,72,133,150,266,375,266,360,266,420,0,300,0,165,266,135,0,75,0,45,133,330,266,120,133,180,266,240,0,375,133,465,133,255,133,360,133,405,266,165,266,150,266,60,266,210,266,345,133,300,0,180,266,225,266,75,0,495,266,90,133,420,133,75,133,480,0,255,266,30,266,15,0,405,266,270,133,270,0,480,0,135,266,435,0,225,133,315,0,270,266,495,0,60,266,465,266,105,0,210,266,480,0,345,0,240,0,105,0,150,133,135,133,435,266,195,133,195,266,330,0,360,133,495,133,375,0,15,266,315,1465031877
602,94,266,450,0,195,0,330,266,390,266,405,133,45,0,465,133,105,434,102,266,45,461,65,266,255,434,54,133,450,133,90,0,120,133,345,0,450,506,88,133,60,133,15,0,90,0,390,108,164,266,285,0,315,133,285,486,50,266,180,133,390,420,41,0,510,696,96,266,300,540,72,648,51,266,375,266,360,266,420,0,300,0,165,266,135,0,75,0,45,133,330,266,120,133,180,266,240,0,375,133,465,133,255,133,360,133,405,266,165,266,150,266,60,266,210,266,345,133,300,0,180,266,225,266,75,0,495,266,90,133,420,133,75,133,480,0,255,266,30,266,15,0,405,266,270,133,270,0,480,0,135,266,435,0,225,133,315,0,270,266,495,0,60,266,465,266,105,0,210,266,480,0,345,0,240,0,105,0,150,133,135,133,435,266,195,133,195,266,330,0,360,133,495,133,375,0,15,266,315,1465031892
602,94,266,450,0,195,0,330,266,390,266,405,133,45,0,465,133,105,434,102,266,45,461,65,266,255,434,54,133,450,133,90,0,120,140,303,0,450,506,88,133,60,133,15,0,90,0,390,108,164,266,285,0,315,133,285,486,50,266,180,133,390,420,41,0,510,490,127,266,300,540,72,648,51,266,375,266,360,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,266,240,0,375,133,465,133,255,133,360,133,405,266,165,266,150,266,60,266,210,266,345,672,38,0,180,266,225,266,75,0,495,266,90,133,420,133,75,133,480,0,255,266,30,266,15,0,405,266,270,133,270,0,480,0,135,266,435,0,225,133,315,0,270,266,495,0,60,266,465,266,105,0,210,266,480,0,345,0,240,0,105,0,150,133,135,133,435,266,195,133,195,266,330,0,360,133,495,133,375,0,15,266,315,1465031907
602,94,266,450,0,195,0,330,266,390,266,405,133,45,0,465,133,105,434,102,266,45,461,65,266,255,434,54,133,450,133,90,0,120,140,303,0,450,506,88,133,60,133,15,0,90,0,390,108,164,266,285,0,315,133,285,486,50,266,180,554,106,420,41,0,510,459,142,266,300,540,72,648,51,266,375,266,360,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,266,240,0,375,133,465,133,255,721,54,133,405,266,165,266,150,266,60,266,210,266,345,672,38,0,180,266,225,266,75,0,495,266,90,133,420,133,75,133,480,0,255,266,30,266,15,0,405,266,270,133,270,0,480,0,135,266,435,0,225,133,315,0,270,266,495,0,60,266,465,266,105,0,210,266,480,0,345,0,240,0,105,0,150,133,135,133,435,266,195,133,195,266,330,0,360,133,495,133,375,0,15,266,315,1465031922
602,94,266,450,0,195,0,330,266,390,266,405,133,45,0,465,133,105,434,102,729,26,461,65,266,255,434,54,133,450,133,90,0,120,140,303,0,450,506,88,133,60,133,15,0,90,0,390,108,164,266,285,0,315,133,285,486,50,266,180,554,106,420,41,0,510,459,142,266,300,540,72,648,51,266,375,266,360,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,266,240,0,375,881,33,133,255,721,54,133,405,266,165,266,150,810,83,266,210,266,345,672,38,0,180,266,225,266,75,0,495,266,90,133,420,133,75,133,480,0,255,266,30,266,15,0,405,266,270,133,270,0,480,0,135,266,435,0,225,133,315,0,270,266,495,0,60,266,465,266,105,0,210,266,480,0,345,0,240,0,105,0,150,133,135,133,435,266,195,133,195,266,330,0,360,133,495,133,375,0,15,266,315,1465031937
602,94,427,156,0,195,0,330,266,390,266,405,133,45,0,465,133,105,434,102,729,26,461,65,440,223,434,54,133,450,133,90,0,120,140,303,0,450,506,88,133,60,133,15,0,90,0,390,108,164,266,285,0,315,133,285,486,50,266,180,554,106,420,41,0,510,459,142,266,300,540,72,648,51,915,53,266,360,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,266,240,0,375,881,33,133,255,721,54,133,405,266,165,266,150,810,83,266,210,266,345,672,38,0,180,266,225,266,75,0,495,266,90,133,420,133,75,133,480,0,255,266,30,266,15,0,405,266,270,133,270,0,480,0,135,266,435,0,225,133,315,0,270,266,495,0,60,266,465,266,105,0,210,266,480,0,345,0,240,0,105,0,150,133,135,133,435,266,195,133,195,266,330,0,360,133,495,133,375,0,15,266,315,1465031952
602,94,427,156,0,195,0,330,266,390,266,405,133,45,0,465,133,105,434,102,729,26,461,65,440,223,434,54,133,450,133,90,0,120,140,303,0,450,506,88,133,60,133,15,0,90,0,390,108,164,266,285,0,315,133,285,486,50,266,180,554,106,420,41,0,510,459,142,266,300,540,72,648,51,915,53,266,360,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,825,129,0,375,881,33,133,255,721,54,133,405,266,165,266,150,810,83,266,210,266,345,672,38,0,180,831,164,266,75,0,495,266,90,133,420,133,75,133,480,0,255,266,30,266,15,0,405,266,270,133,270,0,480,0,135,266,435,0,225,133,315,0,270,266,495,0,60,266,465,266,105,0,210,266,480,0,345,0,240,0,105,0,150,133,135,133,435,266,195,133,195,266,330,0,360,133,495,133,375,0,15,266,315,1465031967
602,94,427,156,0,195,0,330,266,390,266,405,133,45,0,465,133,105,434,102,729,26,461,65,440,223,434,54,876,203,133,90,0,120,140,303,0,450,506,88,133,60,133,15,0,90,0,390,108,164,266,285,0,315,133,285,486,50,266,180,554,106,420,41,0,510,459,142,266,300,540,72,648,51,915,53,823,22,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,825,129,0,375,881,33,133,255,721,54,133,405,266,165,266,150,810,83,266,210,266,345,672,38,0,180,831,164,266,75,0,495,266,90,133,420,133,75,133,480,0,255,266,30,266,15,0,405,266,270,133,270,0,480,0,135,266,435,0,225,133,315,0,270,266,495,0,60,266,465,266,105,0,210,266,480,0,345,0,240,0,105,0,150,133,135,133,435,266,195,133,195,266,330,0,360,133,495,133,375,0,15,266,315,1465031982
602,94,427,156,0,195,0,330,266,390,266,405,133,45,0,465,133,105,434,102,729,26,461,65,440,223,434,54,737,258,133,90,0,120,140,303,0,450,506,88,133,60,133,15,0,90,0,390,108,164,266,285,0,315,133,285,486,50,266,180,554,106,420,41,0,510,459,142,266,300,540,72,648,51,915,53,823,22,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,825,129,0,375,881,33,133,255,721,54,133,405,266,165,266,150,810,83,266,210,266,345,672,38,824,213,831,188,266,75,0,495,266,90,133,420,133,75,133,480,0,255,266,30,266,15,0,405,266,270,133,270,0,480,0,135,266,435,0,225,133,315,0,270,266,495,0,60,266,465,266,105,0,210,266,480,0,345,0,240,0,105,0,150,133,135,133,435,266,195,133,195,266,330,0,360,133,495,133,375,0,15,266,315,1465031997
602,94,427,156,0,195,0,330,266,390,266,405,133,45,0,465,133,105,434,102,729,26,461,65,440,223,434,54,737,258,133,90,0,120,140,303,0,450,506,88,133,60,133,15,0,90,0,390,108,164,266,285,0,315,133,285,486,50,266,180,554,106,420,41,0,510,459,142,266,300,540,72,648,51,915,53,823,22,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,825,129,0,375,881,33,830,246,721,54,133,405,266,165,266,150,810,83,266,210,266,345,672,38,824,213,831,188,266,75,0,495,266,90,133,420,133,75,133,480,0,255,266,30,266,15,0,405,266,270,133,270,0,480,0,135,266,435,0,225,133,315,0,270,266,495,0,60,266,465,266,105,0,210,266,480,0,345,0,240,0,105,0,150,133,135,133,435,266,195,133,195,266,330,0,360,133,495,946,86,0,15,266,315,1465032012
