266,(79-67)*15+15,0,1*15+15,133,(64-34)*15+15,0,20*15+15,266,(86-67)*15+15,0,23*15+15,0,18*15+15,266,(72-67)*15+15,0,19*15+15,133,(66-34)*15+15,133,(49-34)*15+15,266,(85-67)*15+15,266,(94-67)*15+15,266,(80-67)*15+15,0,0*15+15,266,(70-67)*15+15,133,(34-34)*15+15,266,(95-67)*15+15,0,25*15+15,266,(73-67)*15+15,0,6*15+15,0,14*15+15,0,5*15+15,266,(67-67)*15+15,0,4*15+15,266,(96-67)*15+15,133,(44-34)*15+15,133,(53-34)*15+15,0,24*15+15,266,(68-67)*15+15,266,(90-67)*15+15,133,(41-34)*15+15,266,(82-67)*15+15,133,(62-34)*15+15,0,2*15+15,133,(36-34)*15+15,266,(97-67)*15+15,266,(78-67)*15+15,266,(98-67)*15+15,133,(51-34)*15+15,133,(55-34)*15+15,0,22*15+15,266,(76-67)*15+15,0,17*15+15,0,16*15+15,0,8*15+15,133,(56-34)*15+15,133,(65-34)*15+15,133,(52-34)*15+15,266,(93-67)*15+15,266,(71-67)*15+15,133,(60-34)*15+15,266,(69-67)*15+15,133,(58-34)*15+15,0,27*15+15,0,21*15+15,133,(47-34)*15+15,266,(99-67)*15+15,0,31*15+15,0,7*15+15,0,10*15+15,133,(59-34)*15+15,133,(39-34)*15+15,0,13*15+15,133,(38-34)*15+15,266,(92-67)*15+15,133,(54-34)*15+15,0,29*15+15,0,3*15+15,0,26*15+15,133,(46-34)*15+15,266,(83-67)*15+15,0,11*15+15,0,32*15+15,266,(75-67)*15+15,266,(81-67)*15+15,133,(48-34)*15+15,133,(35-34)*15+15,133,(40-34)*15+15,0,28*15+15,266,(87-67)*15+15,266,(89-67)*15+15,133,(57-34)*15+15,0,9*15+15,133,(63-34)*15+15,266,(84-67)*15+15,266,(74-67)*15+15,133,(61-34)*15+15,0,30*15+15,133,(50-34)*15+15,133,(45-34)*15+15,266,(88-67)*15+15,0,33*15+15,0,12*15+15,133,(37-34)*15+15,0,15*15+15,133,(43-34)*15+15,133,(42-34)*15+15,266,(77-67)*15+15,266,(91-67)*15+15,1482219852
266,195,0,30,133,465,0,315,266,300,0,360,0,285,266,90,0,300,133,495,133,240,266,285,266,420,266,210,0,15,266,60,133,15,266,435,0,390,266,105,0,105,0,225,0,90,266,15,0,75,266,450,133,165,133,300,0,375,266,30,266,360,133,120,266,240,133,435,0,45,133,45,266,465,266,180,266,480,133,270,133,330,0,345,266,150,0,270,0,255,0,135,133,345,133,480,133,285,266,405,266,75,133,405,266,45,133,375,0,420,0,330,133,210,266,495,0,480,0,120,0,165,133,390,133,90,0,210,133,75,266,390,133,315,0,450,0,60,0,405,133,195,266,255,0,180,0,495,266,135,266,225,133,225,133,30,133,105,0,435,266,315,266,345,133,360,0,150,133,450,266,270,266,120,133,420,0,465,133,255,133,180,266,330,0,510,0,195,133,60,0,240,133,150,133,135,266,165,266,375,1482219872
266,195,668,311,133,465,0,315,266,300,0,360,0,285,266,90,0,300,133,495,133,240,266,285,266,420,266,210,419,590,266,60,133,15,266,435,0,390,266,105,0,105,0,225,0,90,266,15,0,75,266,450,133,165,133,300,0,375,266,30,266,360,133,120,266,240,133,435,411,572,133,45,266,465,266,180,266,480,133,270,133,330,0,345,266,150,0,270,0,255,0,135,133,345,133,480,133,285,266,405,266,75,133,405,266,45,133,375,0,420,0,330,133,210,266,495,0,480,0,120,0,165,133,390,133,90,0,210,133,75,266,390,133,315,0,450,531,457,0,405,133,195,266,255,0,180,0,495,266,135,266,225,133,225,133,30,133,105,0,435,266,315,266,345,133,360,0,150,133,450,266,270,266,120,133,420,0,465,133,255,133,180,266,330,0,510,0,195,133,60,0,240,133,150,133,135,266,165,266,375,1482219887
266,195,800,183,133,465,0,315,266,300,0,360,0,285,266,90,0,300,133,495,133,240,266,285,266,420,266,210,419,590,266,60,133,15,266,435,0,390,266,105,0,105,0,225,474,499,266,15,588,351,266,450,133,165,133,300,0,375,266,30,266,360,133,120,266,240,133,435,411,572,133,45,266,465,266,180,266,480,133,270,133,330,0,345,266,150,0,270,0,255,0,135,133,345,133,480,133,285,266,405,266,75,133,405,266,45,133,375,0,420,0,330,133,210,266,495,0,480,0,120,0,165,133,390,133,90,0,210,133,75,266,390,133,315,0,450,595,363,0,405,133,195,266,255,0,180,0,495,266,135,266,225,133,225,133,30,133,105,0,435,266,315,266,345,133,360,0,150,133,450,266,270,266,120,133,420,0,465,133,255,133,180,266,330,0,510,0,195,133,60,0,240,133,150,133,135,266,165,266,375,1482219902
266,195,790,172,133,465,0,315,266,300,0,360,0,285,266,90,0,300,133,495,133,240,266,285,266,420,266,210,419,590,266,60,133,15,266,435,0,390,266,105,520,464,0,225,523,451,266,15,588,351,266,450,133,165,133,300,0,375,266,30,266,360,133,120,266,240,133,435,411,572,133,45,266,465,266,180,266,480,133,270,133,330,0,345,266,150,0,270,0,255,0,135,133,345,133,480,133,285,266,405,266,75,133,405,266,45,133,375,0,420,0,330,133,210,266,495,0,480,862,83,0,165,133,390,133,90,0,210,133,75,266,390,133,315,0,450,600,364,0,405,133,195,266,255,0,180,0,495,266,135,266,225,133,225,133,30,133,105,0,435,266,315,266,345,133,360,765,204,133,450,266,270,266,120,133,420,0,465,133,255,133,180,266,330,0,510,0,195,133,60,0,240,133,150,133,135,266,165,266,375,1482219917
266,195,790,172,133,465,0,315,266,300,0,360,0,285,266,90,0,300,133,495,133,240,266,285,266,420,266,210,419,590,266,60,133,15,266,435,0,390,266,105,520,464,0,225,523,451,266,15,588,351,266,450,133,165,133,300,0,375,266,30,266,360,133,120,266,240,133,435,411,572,133,45,266,465,266,180,266,480,133,270,133,330,0,345,266,150,0,270,0,255,548,396,133,345,133,480,133,285,266,405,266,75,133,405,266,45,133,375,0,420,0,330,133,210,266,495,0,480,862,83,0,165,133,390,133,90,0,210,133,75,266,390,133,315,0,450,600,364,0,405,133,195,266,255,0,180,0,495,266,135,266,225,133,225,133,30,133,105,0,435,266,315,266,345,133,360,667,261,133,450,266,270,266,120,133,420,0,465,133,255,133,180,266,330,0,510,0,195,133,60,0,240,133,150,133,135,266,165,266,375,1482219932
266,195,790,172,133,465,0,315,266,300,0,360,0,285,266,90,0,300,133,495,133,240,266,285,266,420,266,210,419,590,266,60,133,15,266,435,0,390,266,105,520,464,0,225,523,451,266,15,588,351,266,450,133,165,133,300,0,375,266,30,266,360,133,120,266,240,133,435,411,572,133,45,266,465,266,180,266,480,133,270,133,330,0,345,266,150,0,270,0,255,523,399,133,345,133,480,133,285,266,405,266,75,133,405,266,45,133,375,0,420,0,330,133,210,266,495,0,480,862,83,401,559,133,390,133,90,0,210,133,75,266,390,133,315,0,450,600,364,0,405,133,195,266,255,666,364,0,495,266,135,266,225,133,225,133,30,133,105,0,435,266,315,266,345,133,360,667,261,133,450,266,270,266,120,133,420,0,465,133,255,133,180,266,330,0,510,510,409,133,60,0,240,133,150,133,135,266,165,266,375,1482219947
266,195,790,172,133,465,0,315,266,300,0,360,0,285,266,90,0,300,133,495,133,240,266,285,266,420,266,210,419,590,266,60,133,15,266,435,0,390,266,105,520,464,496,472,523,451,266,15,588,351,266,450,133,165,133,300,0,375,266,30,266,360,133,120,266,240,133,435,411,572,133,45,266,465,266,180,266,480,133,270,133,330,0,345,266,150,0,270,490,404,523,399,133,345,133,480,133,285,266,405,266,75,133,405,266,45,133,375,0,420,0,330,133,210,266,495,0,480,862,83,401,559,133,390,133,90,411,582,133,75,266,390,133,315,0,450,600,364,0,405,133,195,266,255,666,364,0,495,266,135,266,225,133,225,133,30,133,105,0,435,266,315,266,345,133,360,667,261,133,450,266,270,266,120,133,420,0,465,133,255,133,180,266,330,0,510,510,409,133,60,570,409,133,150,133,135,266,165,266,375,1482219962
266,195,790,172,133,465,0,315,266,300,0,360,534,453,266,90,0,300,133,495,133,240,266,285,266,420,266,210,419,590,266,60,133,15,266,435,0,390,266,105,520,464,496,472,523,451,266,15,588,351,266,450,133,165,133,300,0,375,266,30,266,360,133,120,266,240,133,435,411,572,133,45,266,465,266,180,266,480,133,270,133,330,0,345,266,150,502,418,591,399,523,399,133,345,133,480,133,285,266,405,266,75,133,405,266,45,133,375,0,420,0,330,133,210,266,495,0,480,862,83,401,559,133,390,133,90,411,582,133,75,266,390,133,315,0,450,600,364,0,405,133,195,266,255,666,364,0,495,266,135,266,225,133,225,133,30,133,105,0,435,266,315,266,345,133,360,667,261,133,450,266,270,266,120,133,420,0,465,133,255,133,180,266,330,0,510,510,409,133,60,579,410,133,150,133,135,266,165,266,375,1482219977
266,195,790,172,133,465,817,172,266,300,0,360,484,462,266,90,556,363,133,495,133,240,266,285,266,420,266,210,419,590,266,60,133,15,266,435,0,390,266,105,520,464,496,472,523,451,266,15,588,351,266,450,133,165,133,300,0,375,266,30,266,360,133,120,266,240,133,435,411,572,133,45,266,465,266,180,266,480,133,270,133,330,469,567,266,150,502,418,591,399,523,399,133,345,133,480,133,285,266,405,266,75,133,405,266,45,133,375,0,420,470,570,133,210,266,495,0,480,862,83,401,559,133,390,133,90,411,582,133,75,266,390,133,315,0,450,600,364,0,405,133,195,266,255,666,364,0,495,266,135,266,225,133,225,133,30,133,105,0,435,266,315,266,345,133,360,667,261,133,450,266,270,266,120,133,420,0,465,133,255,133,180,266,330,0,510,510,409,133,60,579,410,133,150,133,135,266,165,266,375,1482219992
266,195,790,172,133,465,817,172,266,300,788,184,484,462,266,90,556,363,133,495,133,240,266,285,266,420,266,210,419,590,266,60,133,15,266,435,478,559,266,105,520,464,496,472,523,451,266,15,588,351,266,450,133,165,133,300,569,338,266,30,266,360,133,120,266,240,133,435,411,572,133,45,266,465,266,180,266,480,133,270,133,330,451,545,266,150,502,418,591,399,523,399,133,345,133,480,133,285,266,405,266,75,133,405,266,45,133,375,0,420,470,570,133,210,266,495,0,480,862,83,401,559,133,390,133,90,411,582,133,75,266,390,133,315,0,450,600,364,411,518,133,195,266,255,666,364,0,495,266,135,266,225,133,225,133,30,133,105,0,435,266,315,266,345,133,360,667,261,133,450,266,270,266,120,133,420,0,465,133,255,133,180,266,330,0,510,510,409,133,60,579,410,133,150,133,135,266,165,266,375,1482220007
266,195,790,172,133,465,817,172,266,300,788,184,484,462,266,90,556,363,133,495,133,240,266,285,266,420,266,210,419,590,266,60,133,15,266,435,401,546,266,105,520,464,496,472,523,451,266,15,588,351,266,450,133,165,133,300,569,338,266,30,266,360,133,120,266,240,133,435,411,572,133,45,266,465,266,180,266,480,133,270,133,330,472,546,266,150,502,418,591,399,523,399,133,345,133,480,133,285,266,405,266,75,133,405,266,45,133,375,557,556,571,567,133,210,266,495,0,480,862,83,401,559,133,390,133,90,411,582,133,75,266,390,133,315,0,450,600,364,405,535,133,195,266,255,666,364,0,495,266,135,266,225,133,225,133,30,133,105,668,273,266,315,266,345,133,360,667,261,133,450,266,270,266,120,133,420,0,465,133,255,133,180,266,330,0,510,510,409,133,60,579,410,133,150,133,135,266,165,266,375,1482220022
266,195,790,172,133,465,817,172,266,300,788,184,484,462,266,90,556,363,133,495,133,240,266,285,266,420,266,210,419,590,266,60,133,15,266,435,401,546,266,105,520,464,496,472,523,451,266,15,588,351,266,450,133,165,133,300,569,338,266,30,266,360,133,120,266,240,133,435,411,572,133,45,266,465,266,180,266,480,133,270,133,330,472,546,266,150,502,418,591,399,523,399,133,345,133,480,133,285,266,405,266,75,133,405,266,45,133,375,557,556,571,567,133,210,266,495,694,273,862,83,401,559,133,390,133,90,411,582,133,75,266,390,133,315,508,350,600,364,405,535,133,195,266,255,666,364,0,495,266,135,266,225,133,225,133,30,133,105,668,273,266,315,266,345,133,360,667,261,133,450,266,270,266,120,133,420,404,524,133,255,133,180,266,330,415,474,510,409,133,60,579,410,133,150,133,135,266,165,266,375,1482220037
266,195,790,172,133,465,817,172,266,300,788,184,484,462,266,90,556,363,133,495,133,240,266,285,266,420,266,210,419,590,266,60,464,525,266,435,401,546,266,105,520,464,496,472,523,451,266,15,588,351,266,450,133,165,133,300,569,338,266,30,266,360,133,120,266,240,133,435,411,572,133,45,266,465,266,180,266,480,133,270,133,330,472,546,266,150,502,418,591,399,523,399,133,345,133,480,133,285,266,405,266,75,133,405,266,45,133,375,557,556,571,567,133,210,266,495,694,273,862,83,401,559,133,390,133,90,411,582,133,75,266,390,133,315,508,350,600,364,405,535,133,195,266,255,666,364,577,468,266,135,266,225,133,225,133,30,133,105,668,273,266,315,266,345,133,360,667,261,133,450,266,270,266,120,133,420,404,524,133,255,133,180,266,330,721,263,510,409,133,60,579,410,133,150,133,135,266,165,266,375,1482220052
266,195,790,172,133,465,817,172,266,300,788,184,484,462,266,90,556,363,133,495,133,240,266,285,266,420,266,210,419,590,266,60,464,525,266,435,401,546,266,105,520,464,496,472,523,451,266,15,588,351,266,450,133,165,133,300,569,338,266,30,266,360,133,120,266,240,133,435,411,572,815,184,266,465,266,180,266,480,133,270,133,330,472,546,266,150,502,418,591,399,523,399,133,345,133,480,133,285,266,405,266,75,133,405,266,45,133,375,557,556,571,567,133,210,266,495,694,273,862,83,401,559,133,390,133,90,411,582,479,494,266,390,133,315,508,350,600,364,405,535,133,195,266,255,666,364,577,468,266,135,266,225,133,225,741,276,133,105,668,273,266,315,266,345,133,360,667,261,133,450,266,270,266,120,133,420,404,524,133,255,133,180,266,330,721,263,510,409,766,172,579,410,133,150,133,135,266,165,266,375,1482220067
