266,(74-67)*15+15,266,(87-67)*15+15,133,(46-34)*15+15,0,18*15+15,0,2*15+15,0,14*15+15,133,(52-34)*15+15,266,(83-67)*15+15,0,24*15+15,266,(77-67)*15+15,133,(40-34)*15+15,133,(43-34)*15+15,133,(56-34)*15+15,266,(85-67)*15+15,266,(99-67)*15+15,133,(47-34)*15+15,133,(61-34)*15+15,0,27*15+15,266,(82-67)*15+15,266,(88-67)*15+15,133,(65-34)*15+15,0,26*15+15,266,(84-67)*15+15,0,1*15+15,0,3*15+15,133,(49-34)*15+15,0,11*15+15,133,(39-34)*15+15,266,(86-67)*15+15,133,(66-34)*15+15,266,(95-67)*15+15,133,(60-34)*15+15,0,28*15+15,266,(91-67)*15+15,266,(78-67)*15+15,133,(59-34)*15+15,0,23*15+15,0,6*15+15,133,(53-34)*15+15,0,31*15+15,266,(90-67)*15+15,0,10*15+15,133,(42-34)*15+15,0,7*15+15,266,(68-67)*15+15,133,(35-34)*15+15,0,13*15+15,133,(45-34)*15+15,133,(41-34)*15+15,266,(80-67)*15+15,266,(75-67)*15+15,0,0*15+15,266,(94-67)*15+15,266,(81-67)*15+15,266,(72-67)*15+15,0,29*15+15,266,(73-67)*15+15,0,33*15+15,0,16*15+15,0,12*15+15,266,(79-67)*15+15,133,(44-34)*15+15,133,(50-34)*15+15,133,(34-34)*15+15,133,(62-34)*15+15,133,(36-34)*15+15,266,(76-67)*15+15,133,(58-34)*15+15,0,17*15+15,0,19*15+15,133,(57-34)*15+15,133,(54-34)*15+15,133,(63-34)*15+15,0,15*15+15,133,(64-34)*15+15,0,32*15+15,266,(92-67)*15+15,266,(93-67)*15+15,0,25*15+15,266,(67-67)*15+15,266,(89-67)*15+15,0,20*15+15,266,(96-67)*15+15,266,(70-67)*15+15,0,8*15+15,0,4*15+15,0,21*15+15,266,(98-67)*15+15,133,(55-34)*15+15,266,(97-67)*15+15,133,(37-34)*15+15,133,(38-34)*15+15,266,(71-67)*15+15,0,22*15+15,266,(69-67)*15+15,0,9*15+15,0,30*15+15,133,(51-34)*15+15,0,5*15+15,133,(48-34)*15+15,1478710897
266,120,266,315,133,195,0,285,0,45,0,225,133,285,266,255,0,375,266,165,133,105,133,150,133,345,266,285,266,495,133,210,133,420,0,420,266,240,266,330,133,480,0,405,266,270,0,30,0,60,133,240,0,180,133,90,266,300,133,495,266,435,133,405,0,435,266,375,266,180,133,390,0,360,0,105,133,300,0,480,266,360,0,165,133,135,0,120,266,30,133,30,0,210,133,180,133,120,266,210,266,135,655,292,266,420,266,225,266,90,0,450,266,105,0,510,0,255,0,195,266,195,133,165,133,255,133,15,133,435,133,45,266,150,133,375,0,270,0,300,133,360,133,315,133,450,0,240,133,465,0,495,266,390,266,405,0,390,266,15,266,345,0,315,266,450,266,60,0,135,0,75,0,330,266,480,133,330,266,465,133,60,133,75,266,75,0,345,266,45,0,150,0,465,133,270,0,90,133,225,1478710914
266,120,266,315,133,195,0,285,664,345,0,225,133,285,266,255,0,375,266,165,133,105,133,150,133,345,266,285,266,495,133,210,133,420,0,420,266,240,266,330,133,480,0,405,266,270,645,239,697,374,133,240,0,180,133,90,266,300,133,495,266,435,133,405,0,435,266,375,266,180,133,390,0,360,0,105,133,300,0,480,266,360,0,165,133,135,0,120,266,30,133,30,0,210,133,180,133,120,266,210,266,135,655,292,266,420,266,225,266,90,0,450,266,105,0,510,0,255,0,195,266,195,133,165,133,255,133,15,133,435,133,45,266,150,133,375,0,270,0,300,133,360,133,315,133,450,0,240,133,465,0,495,266,390,266,405,0,390,266,15,266,345,0,315,266,450,266,60,0,135,0,75,0,330,266,480,133,330,266,465,133,60,133,75,266,75,0,345,266,45,0,150,0,465,133,270,0,90,133,225,1478710929
266,120,266,315,133,195,0,285,664,345,0,225,133,285,266,255,0,375,266,165,133,105,133,150,133,345,266,285,266,495,133,210,133,420,0,420,266,240,266,330,133,480,0,405,266,270,645,239,552,321,133,240,0,180,133,90,266,300,133,495,266,435,133,405,0,435,266,375,266,180,133,390,0,360,465,200,133,300,0,480,266,360,0,165,133,135,0,120,266,30,133,30,0,210,133,180,133,120,266,210,266,135,655,292,266,420,266,225,266,90,0,450,266,105,0,510,0,255,0,195,266,195,133,165,133,255,133,15,133,435,133,45,266,150,133,375,0,270,0,300,133,360,133,315,133,450,0,240,133,465,0,495,266,390,266,405,0,390,266,15,266,345,0,315,266,450,266,60,0,135,915,41,0,330,266,480,133,330,266,465,133,60,133,75,266,75,0,345,266,45,0,150,0,465,133,270,699,310,133,225,1478710944
266,120,266,315,133,195,0,285,664,345,0,225,133,285,266,255,0,375,266,165,133,105,133,150,133,345,266,285,266,495,133,210,133,420,0,420,266,240,266,330,133,480,0,405,266,270,645,239,552,321,133,240,0,180,133,90,266,300,133,495,266,435,133,405,0,435,266,375,266,180,133,390,0,360,489,227,133,300,0,480,266,360,0,165,133,135,665,270,266,30,133,30,0,210,133,180,133,120,266,210,266,135,655,292,266,420,266,225,266,90,0,450,266,105,0,510,0,255,0,195,266,195,133,165,133,255,133,15,133,435,133,45,266,150,133,375,0,270,0,300,133,360,133,315,133,450,0,240,133,465,0,495,266,390,266,405,0,390,266,15,266,345,0,315,266,450,266,60,745,257,915,41,0,330,266,480,133,330,266,465,133,60,133,75,266,75,0,345,266,45,606,251,0,465,133,270,699,310,133,225,1478710959
266,120,266,315,133,195,0,285,664,345,0,225,133,285,266,255,0,375,266,165,133,105,133,150,133,345,266,285,266,495,133,210,133,420,0,420,266,240,266,330,133,480,0,405,266,270,645,239,552,321,133,240,620,301,133,90,266,300,133,495,266,435,133,405,0,435,266,375,266,180,133,390,0,360,489,227,133,300,0,480,266,360,761,330,133,135,771,321,266,30,133,30,0,210,133,180,133,120,266,210,266,135,655,292,266,420,266,225,266,90,0,450,266,105,0,510,0,255,0,195,266,195,133,165,133,255,133,15,133,435,133,45,266,150,133,375,0,270,0,300,133,360,133,315,133,450,0,240,133,465,0,495,266,390,266,405,0,390,266,15,266,345,0,315,266,450,266,60,745,257,915,41,0,330,266,480,133,330,266,465,133,60,133,75,266,75,0,345,266,45,770,241,0,465,133,270,699,310,133,225,1478710974
266,120,266,315,133,195,0,285,591,244,0,225,133,285,266,255,0,375,266,165,133,105,133,150,133,345,266,285,266,495,133,210,133,420,0,420,266,240,266,330,133,480,0,405,266,270,598,231,506,365,133,240,597,321,133,90,266,300,133,495,266,435,133,405,0,435,266,375,266,180,133,390,0,360,489,227,133,300,0,480,266,360,761,330,133,135,771,321,266,30,133,30,0,210,133,180,133,120,266,210,266,135,655,292,266,420,266,225,266,90,0,450,266,105,0,510,0,255,917,16,266,195,133,165,133,255,133,15,133,435,133,45,266,150,133,375,0,270,0,300,133,360,133,315,133,450,0,240,133,465,0,495,266,390,266,405,0,390,266,15,266,345,0,315,266,450,266,60,745,257,882,60,0,330,266,480,133,330,266,465,133,60,133,75,266,75,0,345,266,45,770,241,0,465,133,270,699,310,133,225,1478710989
266,120,266,315,133,195,0,285,591,244,445,439,133,285,266,255,0,375,266,165,133,105,133,150,133,345,266,285,266,495,133,210,133,420,0,420,266,240,266,330,133,480,0,405,266,270,598,231,506,365,133,240,597,321,133,90,266,300,133,495,266,435,133,405,0,435,266,375,266,180,133,390,0,360,489,227,133,300,0,480,266,360,761,330,133,135,771,321,266,30,133,30,818,148,133,180,133,120,266,210,266,135,655,292,266,420,266,225,266,90,0,450,266,105,0,510,825,126,891,50,266,195,133,165,133,255,133,15,133,435,133,45,266,150,133,375,690,174,0,300,133,360,133,315,133,450,599,391,133,465,0,495,266,390,266,405,0,390,266,15,266,345,0,315,266,450,266,60,745,257,882,60,0,330,266,480,133,330,266,465,133,60,133,75,266,75,0,345,266,45,770,241,0,465,133,270,699,310,133,225,1478711004
266,120,266,315,133,195,445,430,591,244,445,439,133,285,266,255,0,375,266,165,133,105,133,150,133,345,266,285,266,495,133,210,133,420,0,420,266,240,266,330,133,480,0,405,266,270,598,231,506,365,133,240,597,321,133,90,266,300,133,495,266,435,133,405,0,435,266,375,266,180,133,390,0,360,489,227,133,300,0,480,266,360,761,330,133,135,771,321,266,30,133,30,818,148,133,180,133,120,266,210,266,135,655,292,266,420,266,225,266,90,0,450,266,105,0,510,825,126,891,50,266,195,133,165,133,255,133,15,133,435,133,45,266,150,133,375,604,414,605,404,133,360,133,315,133,450,599,391,133,465,0,495,266,390,266,405,0,390,266,15,266,345,787,160,266,450,266,60,745,257,882,60,0,330,266,480,133,330,266,465,133,60,133,75,266,75,0,345,266,45,770,241,0,465,133,270,699,310,133,225,1478711019
266,120,266,315,133,195,445,430,591,244,445,439,133,285,266,255,504,354,266,165,133,105,133,150,133,345,266,285,266,495,133,210,133,420,0,420,266,240,266,330,133,480,0,405,266,270,598,231,506,365,133,240,597,321,133,90,266,300,133,495,266,435,133,405,0,435,266,375,266,180,133,390,426,452,489,227,133,300,0,480,266,360,761,330,133,135,771,321,266,30,133,30,818,148,133,180,133,120,266,210,266,135,655,292,266,420,266,225,266,90,0,450,266,105,0,510,825,126,891,50,266,195,133,165,133,255,133,15,133,435,133,45,266,150,133,375,604,414,605,404,133,360,133,315,133,450,599,391,133,465,0,495,266,390,266,405,778,131,266,15,266,345,787,160,266,450,266,60,745,257,882,60,786,271,266,480,133,330,266,465,133,60,133,75,266,75,882,229,266,45,770,241,0,465,133,270,699,310,133,225,1478711034
266,120,266,315,133,195,445,430,591,244,445,439,133,285,266,255,504,354,266,165,133,105,133,150,133,345,266,285,266,495,133,210,133,420,469,455,266,240,266,330,133,480,458,224,266,270,598,231,506,365,133,240,597,321,133,90,266,300,133,495,266,435,133,405,0,435,266,375,266,180,133,390,426,452,942,476,133,300,0,480,266,360,761,330,133,135,771,321,266,30,133,30,720,188,133,180,133,120,266,210,266,135,655,292,266,420,266,225,266,90,0,450,266,105,0,510,825,126,891,50,266,195,133,165,133,255,133,15,133,435,133,45,266,150,133,375,604,414,605,404,133,360,133,315,133,450,599,391,133,465,0,495,266,390,266,405,779,136,266,15,266,345,787,160,266,450,266,60,745,257,882,60,786,271,266,480,133,330,266,465,133,60,133,75,266,75,882,229,266,45,770,241,0,465,133,270,699,310,133,225,1478711049
