133,(47-34)*15+15,0,16*15+15,266,(93-67)*15+15,133,(62-34)*15+15,133,(64-34)*15+15,133,(42-34)*15+15,266,(92-67)*15+15,0,10*15+15,133,(38-34)*15+15,266,(75-67)*15+15,133,(52-34)*15+15,0,19*15+15,266,(77-67)*15+15,266,(69-67)*15+15,0,0*15+15,133,(63-34)*15+15,266,(79-67)*15+15,266,(76-67)*15+15,0,30*15+15,0,33*15+15,133,(34-34)*15+15,0,11*15+15,266,(85-67)*15+15,0,8*15+15,0,29*15+15,266,(81-67)*15+15,266,(89-67)*15+15,266,(96-67)*15+15,0,20*15+15,266,(88-67)*15+15,0,24*15+15,133,(51-34)*15+15,0,21*15+15,0,9*15+15,0,18*15+15,266,(97-67)*15+15,133,(57-34)*15+15,266,(78-67)*15+15,0,7*15+15,133,(58-34)*15+15,133,(54-34)*15+15,266,(67-67)*15+15,133,(61-34)*15+15,133,(59-34)*15+15,133,(41-34)*15+15,133,(55-34)*15+15,133,(36-34)*15+15,0,1*15+15,133,(40-34)*15+15,266,(94-67)*15+15,133,(44-34)*15+15,266,(74-67)*15+15,266,(70-67)*15+15,0,4*15+15,133,(45-34)*15+15,0,14*15+15,133,(46-34)*15+15,133,(60-34)*15+15,0,3*15+15,133,(53-34)*15+15,0,26*15+15,266,(73-67)*15+15,266,(71-67)*15+15,266,(82-67)*15+15,133,(35-34)*15+15,266,(99-67)*15+15,133,(39-34)*15+15,133,(43-34)*15+15,133,(66-34)*15+15,0,5*15+15,266,(84-67)*15+15,266,(95-67)*15+15,266,(83-67)*15+15,0,32*15+15,0,25*15+15,266,(68-67)*15+15,133,(37-34)*15+15,0,15*15+15,266,(87-67)*15+15,0,27*15+15,0,12*15+15,133,(65-34)*15+15,266,(90-67)*15+15,0,13*15+15,0,22*15+15,266,(98-67)*15+15,0,17*15+15,266,(80-67)*15+15,0,2*15+15,133,(48-34)*15+15,133,(56-34)*15+15,133,(50-34)*15+15,266,(91-67)*15+15,0,6*15+15,0,28*15+15,266,(86-67)*15+15,0,23*15+15,133,(49-34)*15+15,0,31*15+15,266,(72-67)*15+15,1464768421
133,210,0,255,266,405,133,435,133,465,133,135,266,390,0,165,133,75,266,135,133,285,0,300,266,165,266,45,454,58,133,450,266,195,266,150,0,465,0,510,133,15,0,180,266,285,0,135,0,450,266,225,266,345,266,450,0,315,266,330,0,375,133,270,0,330,0,150,0,285,266,465,133,360,266,180,0,120,133,375,133,315,266,15,133,420,133,390,133,120,133,330,133,45,409,148,133,105,266,420,133,165,266,120,266,60,0,75,133,180,0,225,133,195,133,405,0,60,133,300,0,405,266,105,266,75,266,240,133,30,266,495,133,90,133,150,133,495,0,90,266,270,266,435,266,255,0,495,0,390,266,30,133,60,0,240,266,315,0,420,0,195,133,480,266,360,0,210,0,345,266,480,0,270,266,210,0,45,133,225,133,345,133,255,266,375,0,105,0,435,266,300,0,360,133,240,0,480,266,90,1464768463
133,210,0,255,266,405,133,435,133,465,133,135,266,390,0,165,133,75,266,135,133,285,0,300,266,165,266,45,454,58,133,450,266,195,266,150,0,465,0,510,133,15,0,180,266,285,0,135,0,450,266,225,266,345,266,450,0,315,266,330,0,375,133,270,0,330,0,150,0,285,266,465,133,360,266,180,0,120,133,375,133,315,266,15,133,420,133,390,133,120,133,330,133,45,778,443,133,105,266,420,133,165,266,120,266,60,762,476,133,180,0,225,133,195,133,405,850,479,133,300,0,405,266,105,266,75,266,240,133,30,266,495,133,90,133,150,133,495,0,90,266,270,266,435,266,255,0,495,0,390,266,30,133,60,0,240,266,315,0,420,0,195,133,480,266,360,0,210,0,345,266,480,0,270,266,210,574,149,133,225,133,345,133,255,266,375,0,105,0,435,266,300,0,360,133,240,0,480,266,90,1464768478
133,210,0,255,266,405,133,435,133,465,133,135,266,390,0,165,133,75,266,135,133,285,0,300,266,165,266,45,454,58,133,450,266,195,266,150,0,465,0,510,133,15,0,180,266,285,0,135,0,450,266,225,266,345,266,450,0,315,266,330,0,375,133,270,0,330,0,150,0,285,266,465,133,360,266,180,0,120,133,375,133,315,692,127,133,420,133,390,133,120,133,330,133,45,778,443,133,105,266,420,133,165,266,120,266,60,762,476,133,180,0,225,133,195,133,405,850,479,133,300,0,405,266,105,266,75,266,240,474,147,266,495,133,90,133,150,133,495,0,90,266,270,266,435,266,255,0,495,0,390,457,191,133,60,0,240,266,315,0,420,0,195,133,480,266,360,0,210,0,345,266,480,0,270,266,210,639,114,133,225,133,345,133,255,266,375,0,105,0,435,266,300,0,360,133,240,0,480,266,90,1464768493
133,210,0,255,266,405,133,435,133,465,133,135,266,390,0,165,133,75,266,135,133,285,0,300,266,165,697,344,454,58,133,450,266,195,266,150,0,465,0,510,133,15,0,180,266,285,0,135,0,450,266,225,266,345,266,450,0,315,266,330,0,375,133,270,0,330,0,150,0,285,266,465,133,360,266,180,0,120,133,375,133,315,692,127,133,420,133,390,133,120,133,330,133,45,778,443,133,105,266,420,133,165,266,120,431,142,762,476,133,180,0,225,133,195,133,405,850,479,133,300,0,405,266,105,556,171,266,240,473,160,266,495,133,90,133,150,133,495,473,175,266,270,266,435,266,255,0,495,0,390,457,191,133,60,0,240,266,315,0,420,0,195,133,480,266,360,0,210,0,345,266,480,0,270,266,210,639,114,133,225,133,345,133,255,266,375,0,105,0,435,266,300,0,360,133,240,0,480,266,90,1464768508
133,210,0,255,266,405,133,435,133,465,133,135,266,390,0,165,133,75,266,135,133,285,0,300,266,165,697,344,454,58,133,450,266,195,266,150,0,465,0,510,659,219,0,180,266,285,0,135,0,450,266,225,266,345,266,450,0,315,266,330,0,375,133,270,0,330,0,150,0,285,266,465,133,360,266,180,0,120,133,375,133,315,692,127,133,420,133,390,133,120,133,330,133,45,778,443,133,105,266,420,133,165,266,120,427,107,762,476,133,180,0,225,133,195,133,405,850,479,133,300,0,405,266,105,556,171,266,240,473,160,266,495,133,90,133,150,133,495,473,175,266,270,266,435,266,255,0,495,0,390,457,191,133,60,0,240,266,315,0,420,0,195,133,480,266,360,0,210,0,345,266,480,0,270,266,210,639,114,133,225,133,345,133,255,266,375,666,362,0,435,266,300,0,360,133,240,0,480,688,206,1464768523
133,210,0,255,266,405,133,435,133,465,133,135,266,390,0,165,133,75,768,360,133,285,0,300,266,165,697,344,454,58,133,450,266,195,266,150,0,465,0,510,659,219,0,180,266,285,0,135,0,450,266,225,266,345,266,450,0,315,266,330,0,375,133,270,0,330,0,150,0,285,266,465,133,360,266,180,0,120,133,375,133,315,692,127,133,420,133,390,133,120,133,330,133,45,778,443,133,105,266,420,133,165,666,143,684,183,762,476,133,180,0,225,133,195,133,405,850,479,133,300,0,405,512,73,556,171,266,240,473,160,266,495,133,90,133,150,133,495,473,175,266,270,266,435,266,255,0,495,0,390,457,191,133,60,0,240,266,315,0,420,0,195,133,480,266,360,0,210,0,345,266,480,0,270,266,210,639,114,133,225,133,345,133,255,266,375,666,362,0,435,266,300,0,360,133,240,0,480,689,200,1464768538
133,210,0,255,266,405,133,435,133,465,133,135,266,390,0,165,133,75,768,360,133,285,0,300,770,307,697,344,454,58,133,450,266,195,735,328,0,465,0,510,659,219,0,180,266,285,0,135,0,450,266,225,266,345,266,450,0,315,266,330,0,375,133,270,0,330,0,150,0,285,266,465,133,360,676,319,0,120,133,375,133,315,692,127,133,420,133,390,133,120,133,330,133,45,778,443,133,105,266,420,133,165,666,143,684,183,762,476,133,180,0,225,133,195,133,405,850,479,133,300,0,405,512,73,556,171,266,240,473,160,266,495,133,90,133,150,133,495,473,175,266,270,266,435,266,255,0,495,0,390,457,191,133,60,0,240,266,315,0,420,0,195,133,480,266,360,0,210,0,345,266,480,0,270,266,210,639,114,133,225,133,345,133,255,266,375,666,362,0,435,266,300,0,360,133,240,0,480,689,200,1464768553
133,210,0,255,266,405,133,435,133,465,133,135,266,390,0,165,133,75,768,360,133,285,0,300,770,307,697,344,454,58,133,450,646,46,735,328,0,465,0,510,659,219,0,180,266,285,0,135,0,450,266,225,266,345,266,450,0,315,266,330,0,375,133,270,0,330,0,150,0,285,266,465,133,360,676,319,0,120,133,375,133,315,692,127,133,420,133,390,133,120,133,330,710,441,778,443,133,105,266,420,133,165,666,143,684,183,762,476,133,180,0,225,133,195,133,405,850,479,133,300,0,405,512,73,556,171,266,240,473,160,266,495,133,90,133,150,133,495,473,175,266,270,266,435,266,255,0,495,0,390,457,191,899,498,0,240,266,315,0,420,0,195,133,480,266,360,0,210,0,345,266,480,0,270,266,210,639,114,133,225,133,345,133,255,266,375,666,362,0,435,266,300,0,360,133,240,0,480,689,200,1464768568
133,210,0,255,266,405,133,435,133,465,133,135,266,390,0,165,133,75,768,360,133,285,0,300,770,307,697,344,454,58,133,450,646,46,735,328,0,465,0,510,659,219,0,180,266,285,0,135,0,450,266,225,266,345,266,450,0,315,266,330,0,375,133,270,0,330,0,150,0,285,266,465,133,360,676,319,0,120,133,375,133,315,692,127,133,420,133,390,133,120,133,330,710,441,778,443,133,105,266,420,133,165,666,143,684,183,762,476,133,180,0,225,133,195,133,405,850,479,133,300,0,405,512,73,556,171,456,208,473,160,266,495,133,90,133,150,133,495,473,175,266,270,266,435,453,144,0,495,0,390,457,191,899,498,0,240,266,315,0,420,0,195,133,480,266,360,0,210,0,345,266,480,0,270,702,111,639,114,133,225,133,345,133,255,266,375,666,362,0,435,266,300,0,360,133,240,0,480,689,200,1464768583
133,210,0,255,266,405,133,435,133,465,133,135,266,390,0,165,133,75,768,360,133,285,0,300,770,307,697,344,454,58,133,450,646,46,735,328,0,465,0,510,659,219,0,180,636,300,0,135,0,450,618,100,266,345,266,450,0,315,266,330,0,375,133,270,0,330,0,150,0,285,266,465,133,360,676,319,0,120,133,375,133,315,692,127,133,420,133,390,133,120,133,330,710,441,778,443,133,105,266,420,133,165,666,143,684,183,762,476,133,180,0,225,133,195,133,405,850,479,133,300,0,405,512,73,556,171,456,208,473,160,266,495,133,90,133,150,133,495,473,175,582,181,266,435,453,144,0,495,0,390,457,191,899,498,0,240,266,315,0,420,0,195,133,480,266,360,0,210,0,345,266,480,0,270,702,111,639,114,133,225,133,345,133,255,266,375,666,362,0,435,905,511,0,360,133,240,0,480,689,200,1464768598
