133,(65-34)*15+15,266,(68-67)*15+15,133,(58-34)*15+15,133,(47-34)*15+15,0,21*15+15,133,(38-34)*15+15,266,(96-67)*15+15,133,(34-34)*15+15,266,(70-67)*15+15,133,(61-34)*15+15,0,12*15+15,133,(60-34)*15+15,266,(73-67)*15+15,133,(54-34)*15+15,0,6*15+15,266,(95-67)*15+15,0,5*15+15,266,(97-67)*15+15,133,(36-34)*15+15,266,(91-67)*15+15,266,(92-67)*15+15,266,(85-67)*15+15,0,2*15+15,266,(90-67)*15+15,133,(41-34)*15+15,266,(71-67)*15+15,0,16*15+15,133,(51-34)*15+15,266,(80-67)*15+15,0,33*15+15,0,15*15+15,133,(37-34)*15+15,133,(46-34)*15+15,133,(45-34)*15+15,266,(74-67)*15+15,266,(93-67)*15+15,266,(98-67)*15+15,0,19*15+15,266,(88-67)*15+15,266,(72-67)*15+15,0,23*15+15,0,32*15+15,0,26*15+15,0,4*15+15,0,28*15+15,266,(99-67)*15+15,133,(57-34)*15+15,266,(78-67)*15+15,266,(82-67)*15+15,266,(69-67)*15+15,0,3*15+15,133,(56-34)*15+15,0,10*15+15,133,(52-34)*15+15,0,13*15+15,266,(94-67)*15+15,0,0*15+15,0,27*15+15,266,(77-67)*15+15,0,31*15+15,133,(62-34)*15+15,0,22*15+15,0,18*15+15,0,1*15+15,0,30*15+15,133,(53-34)*15+15,0,29*15+15,266,(76-67)*15+15,133,(63-34)*15+15,133,(40-34)*15+15,133,(48-34)*15+15,266,(75-67)*15+15,0,11*15+15,266,(79-67)*15+15,266,(86-67)*15+15,133,(35-34)*15+15,0,24*15+15,133,(59-34)*15+15,0,7*15+15,133,(49-34)*15+15,133,(50-34)*15+15,0,8*15+15,133,(64-34)*15+15,0,17*15+15,266,(81-67)*15+15,133,(66-34)*15+15,133,(39-34)*15+15,133,(42-34)*15+15,266,(89-67)*15+15,0,14*15+15,0,20*15+15,0,25*15+15,266,(83-67)*15+15,133,(44-34)*15+15,133,(55-34)*15+15,0,9*15+15,266,(87-67)*15+15,266,(84-67)*15+15,266,(67-67)*15+15,133,(43-34)*15+15,1465225383
133,480,266,30,133,375,133,210,0,330,133,75,266,450,133,15,266,60,133,420,0,195,133,405,266,105,133,315,0,105,266,435,0,90,266,465,133,45,266,375,266,390,266,285,0,45,266,360,133,120,266,75,0,255,133,270,266,210,0,510,0,240,133,60,133,195,133,180,266,120,266,405,266,480,0,300,266,330,266,90,0,360,0,495,0,405,0,75,0,435,266,495,133,360,266,180,266,240,266,45,0,60,133,345,0,165,133,285,0,210,266,420,0,15,0,420,266,165,0,480,133,435,0,345,0,285,0,30,0,465,133,300,0,450,266,150,133,450,133,105,133,225,266,135,0,180,266,195,266,300,133,30,0,375,133,390,0,120,133,240,133,255,0,135,133,465,0,270,266,225,133,495,133,90,133,135,266,345,0,225,0,315,0,390,266,255,133,165,133,330,0,150,266,315,266,270,566,229,133,150,1465225518
133,480,687,557,664,19,133,210,0,330,133,75,266,450,133,15,266,60,133,420,0,195,133,405,266,105,133,315,0,105,266,435,0,90,266,465,133,45,266,375,266,390,266,285,0,45,266,360,133,120,266,75,0,255,133,270,266,210,0,510,0,240,133,60,133,195,133,180,266,120,266,405,266,480,0,300,266,330,266,90,0,360,0,495,0,405,0,75,0,435,266,495,133,360,266,180,266,240,266,50,0,60,133,345,0,165,133,285,0,210,266,420,0,15,0,420,266,165,0,480,133,435,0,345,0,285,0,30,0,465,133,300,0,450,266,150,133,450,133,105,133,225,266,135,0,180,266,195,266,300,133,30,0,375,133,390,0,120,133,240,133,255,0,135,133,465,0,270,266,225,133,495,133,90,133,135,266,345,0,225,0,315,0,390,266,255,133,165,133,330,0,150,266,315,266,270,256,18,133,150,1465225533
133,480,687,557,664,19,133,210,0,330,133,75,266,450,133,15,266,60,133,420,0,195,133,405,266,105,133,315,0,105,266,435,0,90,266,465,133,45,266,375,266,390,266,285,0,45,266,360,133,120,266,75,0,255,133,270,266,210,0,510,0,240,133,60,133,195,133,180,266,120,266,405,266,480,0,300,415,270,891,140,0,360,0,495,0,405,0,75,0,435,266,495,133,360,266,180,266,240,266,50,0,60,133,345,0,165,133,285,0,210,266,420,0,15,0,420,266,165,0,480,133,435,0,345,0,285,0,30,0,465,133,300,0,450,444,77,133,450,133,105,133,225,266,135,0,180,266,195,266,300,133,30,0,375,133,390,0,120,133,240,133,255,0,135,133,465,0,270,266,225,133,495,133,90,133,135,262,344,0,225,0,315,0,390,266,255,133,165,133,330,0,150,266,315,266,270,256,18,133,150,1465225548
133,480,962,569,407,17,133,210,0,330,133,75,266,450,133,15,266,60,133,420,0,195,133,405,266,105,133,315,0,105,266,435,0,90,266,465,133,45,266,375,266,390,266,285,0,45,266,360,133,120,266,75,0,255,133,270,266,210,0,510,0,240,133,60,133,195,133,180,266,120,266,405,266,480,0,300,414,316,567,21,0,360,0,495,0,405,0,75,0,435,266,495,133,360,266,180,266,240,266,50,0,60,133,345,0,165,133,285,0,210,266,420,0,15,0,420,266,165,0,480,133,435,0,345,0,285,0,30,0,465,133,300,0,450,757,87,133,450,133,105,133,225,266,135,0,180,266,195,266,300,133,30,0,375,133,390,0,120,133,240,133,255,0,135,133,465,0,270,266,225,133,495,133,90,133,135,262,344,0,225,0,315,0,390,266,255,133,165,133,330,0,150,266,315,266,270,256,18,133,150,1465225563
133,480,962,569,407,17,133,210,0,330,133,75,266,450,133,15,266,60,133,420,0,195,133,405,266,105,133,315,0,105,266,435,0,90,266,465,133,45,266,375,266,390,266,285,0,45,266,360,133,120,266,75,0,255,133,270,266,210,0,510,0,240,133,60,133,195,133,180,266,120,421,472,266,480,0,300,408,335,567,21,0,360,0,495,0,405,0,75,0,435,266,495,133,360,266,180,266,240,266,50,0,60,133,345,0,165,133,285,0,210,266,420,0,15,0,420,266,165,0,480,133,435,0,345,0,285,0,30,0,465,133,300,0,450,757,87,133,450,133,105,133,225,266,135,0,180,266,195,266,300,133,30,0,375,133,390,0,120,133,240,133,255,0,135,133,465,0,270,266,225,133,495,133,90,133,135,262,344,0,225,0,315,0,390,266,255,133,165,133,330,0,150,415,376,266,270,256,18,133,150,1465225578
133,480,962,569,407,17,133,210,0,330,133,75,266,450,133,15,266,60,133,420,0,195,133,405,408,433,133,315,0,105,266,435,0,90,266,465,133,45,266,375,266,390,266,285,0,45,266,360,133,120,266,75,0,255,133,270,266,210,0,510,0,240,133,60,133,195,133,180,266,120,435,453,266,480,0,300,408,335,567,21,0,360,0,495,0,405,0,75,0,435,266,495,133,360,266,180,266,240,266,50,0,60,133,345,0,165,133,285,0,210,503,31,0,15,0,420,266,165,0,480,133,435,0,345,0,285,0,30,0,465,133,300,0,450,757,87,133,450,133,105,133,225,266,135,0,180,266,195,266,300,133,30,0,375,133,390,0,120,133,240,133,255,0,135,133,465,0,270,266,225,133,495,133,90,133,135,262,344,0,225,0,315,0,390,266,255,133,165,133,330,0,150,415,376,266,270,256,18,133,150,1465225593
133,480,962,569,407,17,133,210,0,330,133,75,266,450,133,15,266,60,133,420,0,195,133,405,408,433,133,315,0,105,557,412,0,90,266,465,133,45,266,375,266,390,266,285,0,45,266,360,133,120,266,75,0,255,133,270,266,210,0,510,0,240,133,60,133,195,133,180,266,120,435,453,469,516,0,300,408,335,567,21,0,360,0,495,0,405,0,75,0,435,266,495,133,360,266,180,266,240,266,50,0,60,133,345,0,165,133,285,0,210,503,31,0,15,0,420,266,165,0,480,133,435,0,345,0,285,0,30,0,465,133,300,0,450,757,87,133,450,133,105,133,225,266,135,0,180,266,195,266,300,133,30,0,375,133,390,0,120,133,240,133,255,0,135,133,465,0,270,266,225,133,495,133,90,133,135,262,344,0,225,0,315,0,390,266,255,133,165,133,330,0,150,415,376,266,270,256,18,133,150,1465225608
133,480,962,569,407,17,133,210,0,330,133,75,266,450,133,15,266,60,133,420,0,195,133,405,499,462,133,315,0,105,436,450,0,90,266,465,133,45,266,375,266,390,266,285,0,45,266,360,133,120,266,75,0,255,133,270,266,210,0,510,0,240,133,60,133,195,133,180,266,120,432,475,453,498,0,300,408,335,567,21,0,360,0,495,0,405,0,75,0,435,266,495,133,360,266,180,266,240,266,50,0,60,133,345,0,165,133,285,0,210,503,31,0,15,0,420,266,165,0,480,133,435,0,345,0,285,0,30,0,465,133,300,0,450,757,87,133,450,133,105,133,225,266,135,0,180,266,195,266,300,133,30,0,375,133,390,0,120,133,240,133,255,0,135,133,465,0,270,266,225,133,495,133,90,133,135,262,344,0,225,0,315,0,390,266,255,133,165,133,330,0,150,415,376,266,270,256,18,133,150,1465225623
963,26,962,569,407,17,133,210,0,330,133,75,266,450,133,15,266,60,133,420,0,195,133,405,499,462,133,315,0,105,436,450,0,90,266,465,133,45,266,375,266,390,266,285,0,45,266,360,133,120,266,75,0,255,133,270,266,210,0,510,0,240,133,60,133,195,133,180,266,120,432,475,453,498,0,300,935,248,567,21,0,360,0,495,0,405,0,75,0,435,266,495,133,360,266,180,266,240,266,50,0,60,133,345,0,165,133,285,0,210,503,31,0,15,0,420,266,165,0,480,133,435,0,345,0,285,0,30,0,465,133,300,0,450,757,87,133,450,133,105,133,225,266,135,0,180,266,195,266,300,133,30,0,375,133,390,0,120,133,240,133,255,0,135,133,465,0,270,266,225,133,495,133,90,133,135,262,344,0,225,0,315,0,390,266,255,133,165,133,330,0,150,935,294,266,270,256,18,133,150,1465225638
963,26,962,569,407,17,133,210,0,330,133,75,266,450,133,15,266,60,133,420,0,195,133,405,499,462,133,315,0,105,436,450,0,90,266,465,133,45,266,375,266,390,266,285,0,45,266,360,133,120,266,75,0,255,133,270,266,210,0,510,0,240,133,60,133,195,133,180,266,120,432,475,453,498,0,300,935,248,567,21,0,360,0,495,0,405,0,75,0,435,266,495,133,360,266,180,939,232,266,50,0,60,133,345,0,165,133,285,0,210,503,31,0,15,0,420,266,165,0,480,133,435,0,345,0,285,0,30,0,465,133,300,0,450,757,87,133,450,133,105,133,225,266,135,0,180,266,195,266,300,133,30,0,375,133,390,0,120,133,240,133,255,0,135,133,465,0,270,266,225,133,495,133,90,133,135,262,344,0,225,0,315,0,390,285,268,133,165,133,330,0,150,935,294,266,270,256,18,133,150,1465225653
