266,(92-67)*15+15,0,10*15+15,266,(75-67)*15+15,133,(54-34)*15+15,266,(77-67)*15+15,0,21*15+15,133,(45-34)*15+15,266,(67-67)*15+15,266,(87-67)*15+15,133,(35-34)*15+15,0,7*15+15,133,(57-34)*15+15,266,(79-67)*15+15,133,(47-34)*15+15,133,(49-34)*15+15,0,1*15+15,266,(94-67)*15+15,0,13*15+15,0,28*15+15,0,23*15+15,133,(46-34)*15+15,0,30*15+15,133,(43-34)*15+15,0,16*15+15,0,12*15+15,266,(81-67)*15+15,0,15*15+15,266,(69-67)*15+15,0,18*15+15,266,(85-67)*15+15,0,32*15+15,0,25*15+15,266,(80-67)*15+15,133,(42-34)*15+15,266,(95-67)*15+15,133,(61-34)*15+15,0,17*15+15,0,8*15+15,266,(76-67)*15+15,133,(63-34)*15+15,0,19*15+15,133,(55-34)*15+15,266,(91-67)*15+15,133,(48-34)*15+15,133,(58-34)*15+15,0,2*15+15,133,(65-34)*15+15,133,(62-34)*15+15,266,(97-67)*15+15,266,(82-67)*15+15,0,14*15+15,266,(78-67)*15+15,133,(37-34)*15+15,133,(51-34)*15+15,266,(72-67)*15+15,0,22*15+15,133,(53-34)*15+15,133,(59-34)*15+15,133,(56-34)*15+15,133,(50-34)*15+15,133,(34-34)*15+15,133,(36-34)*15+15,266,(90-67)*15+15,266,(70-67)*15+15,0,6*15+15,0,5*15+15,133,(60-34)*15+15,266,(71-67)*15+15,133,(52-34)*15+15,0,3*15+15,266,(98-67)*15+15,133,(66-34)*15+15,266,(73-67)*15+15,133,(64-34)*15+15,266,(89-67)*15+15,266,(84-67)*15+15,133,(41-34)*15+15,266,(88-67)*15+15,0,29*15+15,266,(74-67)*15+15,0,4*15+15,0,26*15+15,266,(93-67)*15+15,0,24*15+15,0,0*15+15,0,20*15+15,133,(39-34)*15+15,0,9*15+15,0,27*15+15,0,33*15+15,266,(96-67)*15+15,266,(86-67)*15+15,133,(44-34)*15+15,133,(38-34)*15+15,266,(68-67)*15+15,0,11*15+15,0,31*15+15,266,(99-67)*15+15,133,(40-34)*15+15,266,(83-67)*15+15,1477566369
266,390,0,165,266,135,133,315,266,165,0,330,133,180,266,15,266,315,133,30,0,120,133,360,266,195,133,210,133,240,0,30,266,420,0,210,0,435,0,360,133,195,0,465,133,150,0,255,0,195,266,225,0,240,266,45,0,285,266,285,0,495,0,390,266,210,133,135,266,435,133,420,0,270,0,135,266,150,133,450,0,300,133,330,266,375,133,225,133,375,0,45,133,480,133,435,266,465,266,240,0,225,266,180,133,60,133,270,266,90,0,345,133,300,133,390,133,345,133,255,133,15,133,45,266,360,266,60,0,105,0,90,133,405,266,75,133,285,0,60,266,480,133,495,266,105,133,465,266,345,266,270,133,120,266,330,0,450,266,120,0,75,0,405,266,405,0,375,0,15,0,315,133,90,0,150,0,420,0,510,266,450,266,300,133,165,133,75,266,30,0,180,0,480,266,495,133,105,266,255,1477566394
266,390,0,165,266,135,133,315,266,165,0,330,133,180,266,15,266,315,133,30,0,120,133,360,266,195,133,210,133,240,0,30,266,420,0,210,0,435,0,360,133,195,0,465,133,150,0,255,0,195,266,225,0,240,266,45,0,285,266,285,0,495,0,390,266,210,133,135,266,435,133,420,0,270,0,135,266,150,133,450,0,300,133,330,266,375,133,225,133,375,0,45,133,480,133,435,266,465,266,240,0,225,266,180,133,60,133,270,266,90,0,345,133,300,133,390,133,345,133,255,133,15,133,45,266,360,266,60,0,105,0,90,133,405,266,75,133,285,0,60,266,480,133,495,266,105,133,465,266,345,266,270,133,120,266,330,0,450,266,120,0,75,0,405,266,405,0,375,0,15,0,315,133,90,0,150,0,420,0,510,266,450,266,300,133,165,133,75,266,30,0,180,0,480,266,495,133,105,266,255,1477566409
445,323,0,165,985,301,133,315,266,165,0,330,133,180,266,15,266,315,133,30,0,120,133,360,266,195,133,210,133,240,0,30,266,420,0,210,0,435,0,360,133,195,0,465,133,150,0,255,0,195,266,225,0,240,266,45,0,285,266,285,0,495,0,390,266,210,133,135,266,435,133,420,0,270,0,135,402,308,133,450,0,300,133,330,266,375,133,225,133,375,0,45,133,480,133,435,266,465,266,240,0,225,266,180,133,60,133,270,266,90,0,345,133,300,133,390,133,345,133,255,133,15,133,45,266,360,266,60,0,105,0,90,133,405,266,75,133,285,0,60,266,480,133,495,266,105,133,465,266,345,266,270,133,120,266,330,0,450,266,120,0,75,0,405,466,363,0,375,0,15,0,315,133,90,0,150,0,420,0,510,266,450,266,300,133,165,133,75,266,30,0,180,0,480,266,495,133,105,266,255,1477566424
445,323,0,165,985,301,133,315,266,165,0,330,133,180,266,15,266,315,133,30,0,120,133,360,266,195,133,210,133,240,0,30,266,420,0,210,0,435,0,360,133,195,0,465,133,150,0,255,0,195,266,225,0,240,266,45,0,285,266,285,0,495,0,390,266,210,133,135,266,435,133,420,0,270,0,135,419,69,133,450,0,300,133,330,266,375,133,225,133,375,0,45,133,480,133,435,266,465,266,240,0,225,266,180,133,60,133,270,266,90,0,345,133,300,133,390,133,345,133,255,133,15,133,45,266,360,266,60,0,105,0,90,133,405,266,75,133,285,0,60,266,480,133,495,266,105,133,465,266,345,266,270,133,120,266,330,0,450,266,120,0,75,0,405,466,363,0,375,0,15,0,315,133,90,0,150,0,420,0,510,266,450,266,300,133,165,133,75,266,30,0,180,0,480,266,495,133,105,266,255,1477566439
445,323,0,165,979,41,133,315,266,165,0,330,133,180,266,15,266,315,133,30,0,120,133,360,266,195,133,210,133,240,0,30,266,420,0,210,0,435,0,360,133,195,0,465,133,150,0,255,0,195,266,225,0,240,266,45,0,285,266,285,0,495,0,390,266,210,133,135,266,435,133,420,0,270,0,135,419,69,133,450,0,300,133,330,266,375,133,225,133,375,0,45,133,480,133,435,266,465,266,240,0,225,266,180,133,60,133,270,266,90,0,345,133,300,133,390,133,345,429,397,902,338,133,45,663,320,266,60,0,105,0,90,133,405,266,75,133,285,0,60,266,480,133,495,266,105,133,465,266,345,266,270,133,120,266,330,0,450,266,120,0,75,0,405,466,363,0,375,0,15,0,315,133,90,0,150,0,420,0,510,266,450,266,300,133,165,133,75,266,30,0,180,0,480,266,495,133,105,266,255,1477566454
406,35,0,165,979,41,133,315,266,165,0,330,133,180,266,15,266,315,133,30,0,120,133,360,266,195,133,210,133,240,0,30,266,420,0,210,0,435,0,360,133,195,0,465,133,150,0,255,0,195,266,225,0,240,266,45,0,285,266,285,0,495,0,390,266,210,133,135,266,435,133,420,0,270,409,89,419,69,133,450,0,300,133,330,266,375,133,225,133,375,0,45,133,480,133,435,266,465,266,240,0,225,266,180,133,60,133,270,266,90,0,345,133,300,133,390,133,345,408,500,902,338,133,45,663,320,266,60,0,105,0,90,133,405,266,75,133,285,0,60,266,480,133,495,266,105,133,465,266,345,266,270,133,120,266,330,0,450,266,120,0,75,0,405,404,477,0,375,0,15,0,315,133,90,0,150,0,420,0,510,266,450,266,300,133,165,133,75,266,30,0,180,0,480,266,495,133,105,266,255,1477566469
406,35,0,165,979,41,133,315,266,165,0,330,133,180,266,15,266,315,133,30,0,120,133,360,266,195,133,210,133,240,0,30,266,420,0,210,0,435,0,360,133,195,262,422,133,150,0,255,0,195,266,225,0,240,266,45,0,285,266,285,481,301,0,390,266,210,133,135,266,435,133,420,0,270,409,89,419,69,133,450,0,300,133,330,266,375,133,225,133,375,0,45,133,480,133,435,266,465,266,240,0,225,266,180,133,60,133,270,266,90,0,345,133,300,133,390,133,345,408,500,902,338,133,45,663,320,266,60,0,105,0,90,133,405,266,75,133,285,0,60,266,480,133,495,266,105,133,465,266,345,266,270,133,120,266,330,0,450,266,120,0,75,0,405,404,477,0,375,0,15,0,315,133,90,664,305,0,420,0,510,266,450,266,300,133,165,133,75,266,30,596,382,602,372,266,495,133,105,266,255,1477566484
406,35,0,165,979,41,133,315,671,63,0,330,133,180,266,15,266,315,133,30,0,120,133,360,266,195,133,210,133,240,0,30,266,420,0,210,0,435,0,360,133,195,842,137,133,150,0,255,0,195,266,225,0,240,266,45,0,285,266,285,481,301,0,390,266,210,133,135,671,48,133,420,0,270,409,89,419,69,133,450,0,300,133,330,266,375,133,225,133,375,0,45,133,480,133,435,266,465,266,240,0,225,266,180,133,60,133,270,266,90,0,345,133,300,133,390,133,345,408,500,902,338,133,45,663,320,266,60,0,105,0,90,133,405,266,75,133,285,0,60,266,480,133,495,266,105,133,465,266,345,266,270,133,120,266,330,0,450,266,120,0,75,0,405,404,477,0,375,0,15,0,315,133,90,664,305,0,420,815,124,266,450,266,300,133,165,133,75,266,30,596,382,602,372,266,495,133,105,266,255,1477566499
406,35,0,165,979,41,133,315,672,56,0,330,133,180,266,15,266,315,133,30,0,120,133,360,266,195,133,210,133,240,0,30,266,420,0,210,0,435,0,360,133,195,842,137,133,150,0,255,0,195,266,225,0,240,266,45,0,285,266,285,481,301,0,390,266,210,133,135,671,31,133,420,0,270,409,89,419,69,133,450,0,300,133,330,266,375,133,225,133,375,0,45,133,480,133,435,266,465,266,240,0,225,266,180,133,60,133,270,266,90,0,345,133,300,133,390,133,345,408,500,902,338,133,45,663,320,266,60,0,105,0,90,133,405,266,75,133,285,0,60,266,480,133,495,266,105,133,465,266,345,266,270,681,364,266,330,0,450,266,120,0,75,0,405,404,477,0,375,0,15,0,315,133,90,664,305,0,420,815,124,266,450,266,300,133,165,133,75,266,30,596,382,602,372,266,495,668,169,266,255,1477566514
406,35,407,163,979,41,133,315,672,56,0,330,133,180,266,15,266,315,133,30,0,120,133,360,266,195,133,210,133,240,0,30,266,420,550,218,0,435,0,360,133,195,842,137,133,150,0,255,0,195,266,225,0,240,266,45,0,285,266,285,403,127,0,390,266,210,133,135,671,31,133,420,0,270,409,89,419,69,133,450,0,300,133,330,266,375,133,225,133,375,0,45,133,480,133,435,266,465,266,240,0,225,266,180,133,60,133,270,266,90,0,345,133,300,133,390,133,345,408,500,902,338,133,45,663,320,266,60,0,105,0,90,133,405,266,75,133,285,0,60,266,480,133,495,266,105,133,465,266,345,266,270,551,247,266,330,0,450,266,120,0,75,0,405,404,477,0,375,0,15,0,315,133,90,664,305,0,420,815,124,266,450,266,300,133,165,133,75,266,30,596,382,602,372,266,495,668,169,266,255,1477566529
