266,(76-67)*15+15,0,15*15+15,133,(64-34)*15+15,0,24*15+15,0,5*15+15,0,20*15+15,133,(51-34)*15+15,266,(98-67)*15+15,133,(35-34)*15+15,0,17*15+15,266,(69-67)*15+15,0,1*15+15,0,31*15+15,0,12*15+15,266,(72-67)*15+15,266,(95-67)*15+15,266,(79-67)*15+15,133,(56-34)*15+15,133,(54-34)*15+15,0,3*15+15,133,(45-34)*15+15,133,(52-34)*15+15,133,(66-34)*15+15,133,(55-34)*15+15,133,(47-34)*15+15,133,(60-34)*15+15,266,(70-67)*15+15,266,(71-67)*15+15,266,(85-67)*15+15,266,(81-67)*15+15,133,(39-34)*15+15,133,(53-34)*15+15,0,27*15+15,266,(97-67)*15+15,133,(46-34)*15+15,266,(82-67)*15+15,133,(61-34)*15+15,266,(84-67)*15+15,0,14*15+15,266,(92-67)*15+15,266,(89-67)*15+15,133,(40-34)*15+15,0,2*15+15,0,30*15+15,133,(43-34)*15+15,266,(68-67)*15+15,266,(88-67)*15+15,133,(38-34)*15+15,133,(57-34)*15+15,133,(37-34)*15+15,0,8*15+15,0,29*15+15,266,(83-67)*15+15,133,(62-34)*15+15,0,13*15+15,133,(63-34)*15+15,133,(58-34)*15+15,266,(99-67)*15+15,266,(96-67)*15+15,0,10*15+15,266,(91-67)*15+15,133,(36-34)*15+15,0,4*15+15,0,7*15+15,0,19*15+15,0,18*15+15,266,(67-67)*15+15,0,22*15+15,133,(65-34)*15+15,266,(80-67)*15+15,133,(41-34)*15+15,266,(75-67)*15+15,0,0*15+15,133,(48-34)*15+15,133,(59-34)*15+15,266,(77-67)*15+15,266,(86-67)*15+15,0,11*15+15,133,(49-34)*15+15,0,16*15+15,0,28*15+15,0,6*15+15,0,25*15+15,0,21*15+15,133,(44-34)*15+15,0,33*15+15,133,(50-34)*15+15,133,(34-34)*15+15,133,(42-34)*15+15,266,(87-67)*15+15,0,9*15+15,0,23*15+15,0,26*15+15,266,(94-67)*15+15,266,(74-67)*15+15,266,(93-67)*15+15,0,32*15+15,266,(90-67)*15+15,266,(73-67)*15+15,266,(78-67)*15+15,1466229968
266,150,0,240,133,465,0,375,0,90,0,315,133,270,266,480,133,30,0,270,266,45,0,30,0,480,0,195,266,90,266,435,266,195,133,345,133,315,0,60,133,180,133,285,133,495,133,330,133,210,133,405,471,32,266,75,266,285,266,225,133,90,133,300,0,420,266,465,133,195,266,240,133,420,266,270,0,225,266,390,266,345,133,105,0,45,0,465,133,150,266,30,266,330,133,75,133,360,133,60,0,135,0,450,266,255,133,435,0,210,133,450,133,375,266,495,266,450,0,165,266,375,133,45,0,75,0,120,0,300,0,285,266,15,0,345,133,480,266,210,133,120,266,135,0,15,133,225,133,390,266,165,266,300,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,266,315,0,150,0,360,0,405,266,420,266,120,266,405,0,495,266,360,266,105,266,180,1466230041
266,150,0,240,133,465,0,375,0,90,0,315,133,270,266,480,133,30,0,270,266,45,0,30,0,480,0,195,513,86,266,435,485,117,133,345,133,315,0,60,133,180,133,285,133,495,133,330,133,210,133,405,475,56,266,75,266,285,266,225,133,90,133,300,0,420,266,465,133,195,266,240,133,420,266,270,0,225,266,390,266,345,133,105,0,45,0,465,133,150,266,30,266,330,133,75,133,360,133,60,0,135,0,450,266,255,133,435,0,210,133,450,133,375,266,495,266,450,0,165,266,375,133,45,0,75,0,120,0,300,0,285,266,15,0,345,133,480,266,210,133,120,266,135,0,15,133,225,133,390,266,165,266,300,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,266,315,0,150,0,360,0,405,266,420,266,120,266,405,0,495,266,360,266,105,266,180,1466230056
266,150,0,240,133,465,0,375,0,90,0,315,133,270,266,480,133,30,0,270,266,45,0,30,0,480,0,195,513,86,266,435,474,118,133,345,133,315,0,60,133,180,133,285,133,495,133,330,133,210,133,405,475,56,266,75,266,285,540,104,133,90,133,300,0,420,266,465,133,195,266,240,133,420,266,270,0,225,266,390,266,345,133,105,0,45,0,465,133,150,266,30,266,330,133,75,133,360,133,60,0,135,0,450,266,255,133,435,0,210,133,450,133,375,266,495,266,450,0,165,266,375,133,45,0,75,0,120,0,300,0,285,266,15,0,345,133,480,266,210,133,120,266,135,0,15,133,225,133,390,266,165,266,300,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,266,315,0,150,0,360,0,405,266,420,266,120,266,405,0,495,266,360,266,105,455,146,1466230071
266,150,0,240,133,465,0,375,0,90,0,315,133,270,266,480,133,30,0,270,266,45,0,30,0,480,0,195,513,86,266,435,474,118,133,345,133,315,557,299,133,180,133,285,133,495,133,330,133,210,133,405,475,56,266,75,266,285,540,104,133,90,133,300,0,420,266,465,133,195,266,240,133,420,266,270,0,225,266,390,266,345,133,105,0,45,0,465,133,150,266,30,266,330,133,75,133,360,133,60,0,135,0,450,266,255,133,435,0,210,133,450,133,375,266,495,266,450,0,165,266,375,133,45,596,266,0,120,0,300,0,285,266,15,0,345,133,480,266,210,133,120,266,135,0,15,133,225,133,390,266,165,266,300,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,266,315,0,150,0,360,0,405,266,420,266,120,266,405,0,495,266,360,266,105,455,146,1466230086
266,150,0,240,133,465,0,375,0,90,0,315,133,270,266,480,133,30,0,270,266,45,905,516,0,480,0,195,513,86,266,435,474,118,133,345,133,315,805,486,133,180,133,285,133,495,133,330,133,210,133,405,475,56,266,75,266,285,540,104,133,90,133,300,0,420,266,465,133,195,777,470,133,420,634,416,0,225,266,390,266,345,133,105,0,45,0,465,133,150,266,30,266,330,133,75,133,360,133,60,0,135,0,450,266,255,133,435,0,210,133,450,133,375,266,495,266,450,0,165,266,375,133,45,596,266,0,120,0,300,0,285,266,15,0,345,133,480,266,210,133,120,266,135,0,15,133,225,133,390,266,165,266,300,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,266,315,0,150,0,360,0,405,266,420,266,120,266,405,0,495,266,360,266,105,455,146,1466230101
266,150,0,240,133,465,0,375,0,90,0,315,133,270,266,480,133,30,0,270,266,45,905,516,0,480,0,195,513,86,266,435,474,118,133,345,133,315,805,486,133,180,133,285,133,495,133,330,133,210,133,405,475,56,266,75,266,285,540,104,133,90,133,300,0,420,266,465,133,195,777,470,133,420,749,485,0,225,266,390,266,345,133,105,0,45,0,465,133,150,266,30,266,330,133,75,133,360,133,60,0,135,0,450,266,255,133,435,0,210,133,450,133,375,266,495,266,450,0,165,505,195,133,45,596,266,0,120,0,300,0,285,266,15,0,345,133,480,266,210,133,120,266,135,0,15,133,225,133,390,266,165,266,300,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,266,315,0,150,0,360,0,405,266,420,266,120,266,405,0,495,266,360,266,105,455,146,1466230116
266,150,0,240,133,465,0,375,0,90,0,315,133,270,266,480,133,30,0,270,266,45,941,521,0,480,0,195,513,86,266,435,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,133,405,475,56,266,75,266,285,540,104,133,90,133,300,0,420,750,545,133,195,777,470,133,420,749,485,0,225,266,390,266,345,133,105,0,45,0,465,133,150,266,30,266,330,133,75,133,360,133,60,0,135,0,450,266,255,133,435,0,210,133,450,133,375,266,495,266,450,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,133,480,266,210,133,120,266,135,0,15,133,225,133,390,266,165,266,300,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,266,315,0,150,0,360,0,405,266,420,266,120,266,405,0,495,266,360,266,105,455,146,1466230131
266,150,0,240,133,465,0,375,0,90,0,315,133,270,266,480,133,30,0,270,266,45,956,494,0,480,0,195,513,86,266,435,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,133,405,475,56,266,75,266,285,540,104,133,90,133,300,0,420,750,545,133,195,777,470,133,420,749,485,0,225,754,505,266,345,133,105,0,45,0,465,133,150,266,30,266,330,133,75,133,360,133,60,0,135,0,450,266,255,133,435,0,210,133,450,133,375,266,495,266,450,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,133,480,266,210,133,120,266,135,0,15,133,225,133,390,266,165,266,300,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,266,315,0,150,0,360,0,405,266,420,266,120,266,405,0,495,266,360,266,105,455,146,1466230146
551,376,0,240,133,465,0,375,0,90,0,315,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,266,435,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,133,405,475,56,530,312,266,285,540,104,133,90,133,300,0,420,750,545,133,195,777,470,133,420,749,485,0,225,754,505,266,345,133,105,0,45,0,465,133,150,266,30,266,330,133,75,133,360,133,60,0,135,0,450,266,255,133,435,0,210,133,450,133,375,266,495,266,450,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,133,480,266,210,133,120,266,135,0,15,133,225,133,390,266,165,266,300,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,266,315,0,150,0,360,0,405,266,420,266,120,266,405,0,495,266,360,266,105,455,146,1466230161
789,114,0,240,133,465,0,375,0,90,0,315,133,270,592,94,133,30,0,270,266,45,956,494,0,480,0,195,513,86,266,435,474,118,133,345,133,315,817,503,133,180,133,285,133,495,133,330,133,210,133,405,475,56,679,113,266,285,540,104,133,90,133,300,0,420,750,545,133,195,777,470,133,420,749,485,0,225,754,505,266,345,133,105,0,45,0,465,133,150,266,30,266,330,133,75,133,360,133,60,0,135,0,450,266,255,133,435,0,210,133,450,133,375,266,495,266,450,0,165,490,192,133,45,596,266,0,120,0,300,0,285,266,15,0,345,133,480,266,210,133,120,266,135,0,15,133,225,133,390,266,165,266,300,0,180,133,240,0,255,0,435,0,105,0,390,0,330,133,165,0,510,133,255,133,15,133,135,266,315,0,150,0,360,0,405,266,420,266,120,266,405,0,495,266,360,266,105,455,146,1466230176
