133,(49-34)*15+15,133,(38-34)*15+15,266,(80-67)*15+15,0,24*15+15,266,(78-67)*15+15,266,(97-67)*15+15,0,20*15+15,0,12*15+15,0,11*15+15,133,(37-34)*15+15,133,(62-34)*15+15,133,(41-34)*15+15,266,(88-67)*15+15,133,(50-34)*15+15,0,0*15+15,0,18*15+15,0,27*15+15,133,(61-34)*15+15,0,10*15+15,266,(74-67)*15+15,266,(70-67)*15+15,0,5*15+15,133,(51-34)*15+15,266,(83-67)*15+15,0,19*15+15,133,(54-34)*15+15,266,(75-67)*15+15,0,23*15+15,266,(87-67)*15+15,266,(68-67)*15+15,133,(47-34)*15+15,0,30*15+15,0,33*15+15,0,32*15+15,0,3*15+15,0,26*15+15,0,1*15+15,133,(64-34)*15+15,133,(55-34)*15+15,0,7*15+15,266,(99-67)*15+15,133,(43-34)*15+15,0,9*15+15,133,(45-34)*15+15,133,(56-34)*15+15,133,(34-34)*15+15,133,(57-34)*15+15,133,(42-34)*15+15,266,(79-67)*15+15,0,14*15+15,133,(60-34)*15+15,133,(63-34)*15+15,0,25*15+15,0,2*15+15,0,28*15+15,266,(76-67)*15+15,266,(77-67)*15+15,0,6*15+15,266,(91-67)*15+15,266,(73-67)*15+15,266,(85-67)*15+15,0,21*15+15,266,(81-67)*15+15,266,(94-67)*15+15,133,(59-34)*15+15,0,8*15+15,266,(95-67)*15+15,266,(98-67)*15+15,266,(89-67)*15+15,133,(58-34)*15+15,266,(71-67)*15+15,266,(93-67)*15+15,133,(52-34)*15+15,266,(96-67)*15+15,133,(48-34)*15+15,0,17*15+15,266,(72-67)*15+15,133,(66-34)*15+15,0,13*15+15,133,(39-34)*15+15,266,(84-67)*15+15,133,(53-34)*15+15,133,(65-34)*15+15,133,(44-34)*15+15,266,(82-67)*15+15,133,(35-34)*15+15,133,(36-34)*15+15,266,(92-67)*15+15,133,(46-34)*15+15,0,16*15+15,266,(69-67)*15+15,0,31*15+15,133,(40-34)*15+15,266,(67-67)*15+15,0,15*15+15,0,4*15+15,266,(86-67)*15+15,0,22*15+15,266,(90-67)*15+15,0,29*15+15,1478708979
133,240,133,75,266,210,0,375,266,180,266,465,0,315,0,195,0,180,133,60,133,435,133,120,266,330,133,255,0,15,0,285,0,420,133,420,0,165,266,120,266,60,0,90,133,270,266,255,0,300,133,315,266,135,0,360,266,315,266,30,133,210,0,465,0,510,0,495,0,60,0,405,0,30,133,465,133,330,0,120,266,495,133,150,0,150,133,180,133,345,133,15,133,360,133,135,266,195,0,225,133,405,133,450,0,390,0,45,0,435,266,150,266,165,0,105,266,375,266,105,266,285,0,330,266,225,266,420,133,390,0,135,266,435,266,480,266,345,133,375,266,75,266,405,133,285,266,450,133,225,0,270,266,90,133,495,0,210,133,90,266,270,133,300,133,480,133,165,266,240,133,30,133,45,266,390,133,195,0,255,266,45,0,480,133,105,266,15,0,240,0,75,266,300,0,345,266,360,0,450,1478709012
133,240,133,75,266,210,0,375,266,180,266,465,0,315,0,195,0,180,133,60,133,435,133,120,266,330,133,255,472,125,0,285,0,420,133,420,0,165,266,120,266,60,0,90,133,270,266,255,0,300,133,315,266,135,0,360,266,315,266,30,133,210,0,465,0,510,0,495,0,60,0,405,775,532,133,465,133,330,0,120,266,495,133,150,0,150,133,180,133,345,133,15,133,360,133,135,266,195,0,225,133,405,133,450,0,390,696,138,0,435,266,150,266,165,0,105,266,375,266,105,266,285,0,330,266,225,266,420,133,390,0,135,266,435,266,480,266,345,133,375,266,75,266,405,133,285,266,450,133,225,0,270,266,90,133,495,0,210,133,90,266,270,133,300,133,480,133,165,266,240,133,30,133,45,266,390,133,195,0,255,266,45,0,480,133,105,266,15,0,240,0,75,266,300,0,345,266,360,0,450,1478709027
133,240,133,75,266,210,0,375,266,180,266,465,0,315,0,195,0,180,133,60,133,435,133,120,266,330,133,255,472,125,0,285,0,420,133,420,0,165,266,120,266,60,446,107,133,270,266,255,0,300,133,315,266,135,0,360,266,315,266,30,133,210,0,465,0,510,0,495,437,161,0,405,775,532,133,465,133,330,0,120,266,495,133,150,0,150,133,180,133,345,133,15,133,360,133,135,266,195,0,225,133,405,133,450,0,390,692,131,0,435,266,150,266,165,839,210,266,375,266,105,266,285,0,330,266,225,266,420,133,390,0,135,266,435,266,480,266,345,133,375,266,75,266,405,133,285,266,450,133,225,0,270,266,90,133,495,0,210,133,90,266,270,133,300,133,480,133,165,266,240,133,30,133,45,266,390,133,195,0,255,266,45,0,480,133,105,266,15,0,240,516,367,266,300,0,345,266,360,0,450,1478709042
133,240,133,75,266,210,0,375,266,180,266,465,0,315,0,195,0,180,133,60,133,435,133,120,266,330,133,255,472,125,0,285,0,420,133,420,0,165,266,120,266,60,446,107,133,270,266,255,0,300,133,315,266,135,0,360,266,315,266,30,133,210,0,465,0,510,0,495,437,161,0,405,775,532,133,465,133,330,708,420,266,495,133,150,582,459,133,180,133,345,133,15,133,360,133,135,266,195,0,225,133,405,133,450,0,390,692,131,0,435,266,150,266,165,853,224,266,375,266,105,266,285,0,330,266,225,266,420,133,390,740,324,266,435,266,480,266,345,133,375,266,75,266,405,133,285,266,450,133,225,0,270,266,90,133,495,0,210,133,90,266,270,133,300,133,480,133,165,266,240,133,30,133,45,266,390,133,195,0,255,266,45,0,480,133,105,266,15,0,240,516,367,266,300,0,345,266,360,0,450,1478709057
133,240,133,75,266,210,0,375,266,180,266,465,0,315,543,173,552,207,133,60,133,435,133,120,266,330,133,255,472,125,0,285,0,420,133,420,518,143,266,120,266,60,446,107,133,270,266,255,0,300,133,315,266,135,0,360,266,315,266,30,133,210,0,465,0,510,0,495,437,161,0,405,775,532,133,465,133,330,708,420,266,495,133,150,582,459,133,180,133,345,133,15,133,360,133,135,266,195,0,225,133,405,133,450,0,390,692,131,0,435,266,150,266,165,853,224,266,375,266,105,266,285,0,330,266,225,266,420,133,390,740,324,266,435,266,480,266,345,133,375,266,75,266,405,133,285,266,450,133,225,0,270,266,90,133,495,859,295,133,90,266,270,133,300,133,480,133,165,266,240,133,30,133,45,266,390,133,195,0,255,266,45,0,480,133,105,266,15,0,240,516,367,266,300,0,345,266,360,0,450,1478709072
133,240,133,75,266,210,0,375,266,180,266,465,0,315,543,173,552,207,133,60,133,435,133,120,266,330,133,255,472,125,0,285,0,420,133,420,518,143,266,120,266,60,446,107,133,270,266,255,0,300,133,315,266,135,0,360,266,315,266,30,133,210,0,465,0,510,0,495,437,161,0,405,775,532,133,465,133,330,708,420,266,495,133,150,582,459,133,180,133,345,133,15,133,360,133,135,266,195,479,281,133,405,133,450,0,390,692,131,0,435,266,150,266,165,853,224,266,375,266,105,266,285,0,330,266,225,266,420,133,390,740,324,266,435,266,480,266,345,133,375,266,75,266,405,133,285,266,450,133,225,532,87,266,90,133,495,896,261,133,90,266,270,133,300,133,480,133,165,266,240,133,30,133,45,266,390,133,195,445,194,266,45,0,480,133,105,266,15,871,370,516,367,266,300,0,345,266,360,0,450,1478709087
133,240,133,75,266,210,0,375,266,180,266,465,575,126,543,173,552,207,133,60,133,435,133,120,266,330,133,255,472,125,624,443,0,420,133,420,518,143,266,120,266,60,446,107,133,270,266,255,553,255,133,315,266,135,0,360,266,315,266,30,133,210,0,465,0,510,0,495,437,161,0,405,775,532,133,465,133,330,708,420,266,495,133,150,582,459,133,180,133,345,133,15,133,360,133,135,266,195,479,281,133,405,133,450,0,390,692,131,0,435,266,150,266,165,853,224,266,375,266,105,266,285,493,259,266,225,266,420,133,390,740,324,266,435,266,480,266,345,133,375,266,75,266,405,133,285,266,450,133,225,421,80,266,90,133,495,896,261,133,90,266,270,133,300,133,480,133,165,266,240,133,30,133,45,266,390,133,195,445,194,266,45,0,480,133,105,266,15,871,370,516,367,266,300,0,345,266,360,0,450,1478709102
133,240,133,75,266,210,0,375,266,180,266,465,575,126,543,173,552,207,133,60,133,435,133,120,266,330,133,255,472,125,624,443,0,420,133,420,518,143,266,120,266,60,446,107,133,270,266,255,553,255,133,315,266,135,418,126,266,315,266,30,133,210,0,465,0,510,0,495,437,161,0,405,775,532,133,465,133,330,708,420,266,495,133,150,582,459,133,180,133,345,133,15,133,360,133,135,266,195,479,281,133,405,133,450,0,390,692,131,0,435,266,150,266,165,853,224,266,375,266,105,266,285,450,260,266,225,266,420,133,390,740,324,266,435,266,480,266,345,133,375,266,75,266,405,133,285,266,450,133,225,421,80,266,90,133,495,896,261,133,90,266,270,133,300,133,480,133,165,266,240,133,30,133,45,266,390,133,195,445,194,266,45,0,480,133,105,266,15,871,370,516,367,266,300,609,508,266,360,0,450,1478709117
133,240,133,75,266,210,823,436,266,180,266,465,575,126,543,173,552,207,133,60,133,435,133,120,266,330,133,255,472,125,624,443,0,420,133,420,518,143,266,120,266,60,446,107,133,270,266,255,553,255,133,315,266,135,418,126,266,315,266,30,133,210,0,465,0,510,0,495,437,161,710,468,775,532,133,465,133,330,708,420,266,495,133,150,582,459,133,180,133,345,133,15,133,360,133,135,266,195,479,281,133,405,133,450,553,314,692,131,0,435,266,150,266,165,853,224,266,375,266,105,266,285,450,260,266,225,266,420,133,390,740,324,266,435,266,480,266,345,133,375,266,75,266,405,133,285,266,450,133,225,421,80,266,90,133,495,896,261,133,90,266,270,133,300,133,480,133,165,266,240,133,30,133,45,266,390,133,195,445,194,266,45,0,480,133,105,266,15,871,370,516,367,266,300,609,508,266,360,0,450,1478709132
133,240,133,75,266,210,823,436,266,180,266,465,575,126,543,173,552,207,133,60,133,435,133,120,266,330,133,255,472,125,624,443,627,189,133,420,518,143,266,120,266,60,446,107,133,270,266,255,553,255,133,315,266,135,418,126,266,315,266,30,133,210,0,465,0,510,0,495,437,161,708,468,775,532,133,465,133,330,708,420,266,495,133,150,582,459,133,180,133,345,133,15,133,360,133,135,266,195,479,281,133,405,133,450,553,314,897,177,550,154,266,150,266,165,853,224,266,375,266,105,266,285,450,260,266,225,266,420,133,390,740,324,266,435,266,480,266,345,133,375,266,75,266,405,133,285,266,450,133,225,421,80,266,90,133,495,896,261,133,90,266,270,133,300,133,480,133,165,266,240,133,30,133,45,266,390,133,195,445,194,266,45,0,480,133,105,266,15,871,370,516,367,266,300,609,508,266,360,0,450,1478709147
