133,(62-34)*15+15,133,(44-34)*15+15,0,22*15+15,266,(77-67)*15+15,0,19*15+15,133,(40-34)*15+15,266,(90-67)*15+15,266,(81-67)*15+15,266,(75-67)*15+15,266,(79-67)*15+15,0,25*15+15,266,(78-67)*15+15,133,(45-34)*15+15,133,(63-34)*15+15,0,0*15+15,0,9*15+15,133,(42-34)*15+15,0,15*15+15,266,(88-67)*15+15,0,30*15+15,266,(82-67)*15+15,266,(87-67)*15+15,266,(96-67)*15+15,0,27*15+15,133,(66-34)*15+15,0,12*15+15,133,(52-34)*15+15,266,(98-67)*15+15,133,(61-34)*15+15,133,(36-34)*15+15,133,(64-34)*15+15,0,2*15+15,266,(74-67)*15+15,266,(95-67)*15+15,0,14*15+15,266,(84-67)*15+15,266,(67-67)*15+15,133,(58-34)*15+15,0,13*15+15,0,16*15+15,0,26*15+15,0,31*15+15,133,(48-34)*15+15,266,(76-67)*15+15,0,5*15+15,266,(68-67)*15+15,133,(37-34)*15+15,266,(99-67)*15+15,266,(71-67)*15+15,133,(56-34)*15+15,0,4*15+15,266,(70-67)*15+15,0,20*15+15,266,(89-67)*15+15,266,(86-67)*15+15,266,(85-67)*15+15,266,(91-67)*15+15,266,(93-67)*15+15,0,28*15+15,0,29*15+15,0,24*15+15,0,17*15+15,133,(65-34)*15+15,133,(54-34)*15+15,266,(72-67)*15+15,133,(43-34)*15+15,0,7*15+15,0,33*15+15,0,6*15+15,266,(83-67)*15+15,0,11*15+15,266,(92-67)*15+15,133,(46-34)*15+15,0,8*15+15,0,10*15+15,0,23*15+15,266,(94-67)*15+15,133,(55-34)*15+15,266,(80-67)*15+15,0,1*15+15,133,(57-34)*15+15,133,(60-34)*15+15,133,(47-34)*15+15,133,(41-34)*15+15,133,(39-34)*15+15,133,(49-34)*15+15,133,(35-34)*15+15,133,(34-34)*15+15,133,(59-34)*15+15,0,18*15+15,266,(73-67)*15+15,266,(97-67)*15+15,133,(51-34)*15+15,0,3*15+15,266,(69-67)*15+15,0,21*15+15,133,(53-34)*15+15,133,(50-34)*15+15,0,32*15+15,133,(38-34)*15+15,1470214266
133,435,133,165,0,345,266,165,0,300,133,105,266,360,266,225,266,135,266,195,0,390,266,180,133,180,133,450,407,16,0,150,133,135,0,240,266,330,0,465,266,240,266,315,266,450,0,420,133,495,0,195,133,285,266,480,133,420,133,45,133,465,0,45,266,120,266,435,0,225,266,270,266,15,133,375,0,210,0,255,0,405,0,480,133,225,266,150,0,90,266,30,133,60,266,495,266,75,133,345,0,75,266,60,0,315,266,345,266,300,266,285,266,375,266,405,0,435,0,450,0,375,0,270,133,480,133,315,266,90,133,150,0,120,0,510,0,105,266,255,0,180,266,390,133,195,0,135,0,165,0,360,266,420,133,330,266,210,0,30,133,360,133,405,133,210,133,120,133,90,133,240,133,30,133,15,133,390,0,285,266,105,266,465,133,270,0,60,266,45,0,330,133,300,133,255,0,495,133,75,1470214290
133,435,133,165,0,345,266,165,0,300,133,105,266,360,266,225,266,135,266,195,0,390,266,180,133,180,133,450,407,16,0,150,133,135,0,240,266,330,0,465,266,240,266,315,266,450,0,420,133,495,0,195,133,285,266,480,133,420,133,45,133,465,0,45,266,120,266,435,0,225,266,270,266,15,133,375,0,210,0,255,0,405,0,480,133,225,266,150,0,90,266,30,133,60,266,495,266,75,133,345,0,75,266,60,0,315,266,345,266,300,266,285,266,375,266,405,0,435,0,450,0,375,0,270,133,480,133,315,266,90,133,150,409,39,0,510,407,27,266,255,0,180,266,390,133,195,-1,136,0,165,0,360,266,420,133,330,266,210,0,30,133,360,133,405,133,210,133,120,133,90,133,240,133,30,133,15,133,390,0,285,266,105,266,465,133,270,0,60,266,45,0,330,133,300,133,255,0,495,133,75,1470214305
133,435,133,165,0,345,266,165,0,300,133,105,266,360,266,225,266,135,266,195,0,390,266,180,133,180,133,450,407,16,0,150,133,135,0,240,266,330,0,465,266,240,266,315,266,450,0,420,133,495,0,195,133,285,266,480,133,420,133,45,133,465,0,45,266,120,266,435,409,70,266,270,266,15,133,375,0,210,0,255,0,405,0,480,133,225,266,150,0,90,266,30,133,60,266,495,266,75,133,345,0,75,266,60,0,315,266,345,266,300,266,285,266,375,266,405,0,435,0,450,0,375,419,82,133,480,133,315,266,90,133,150,409,39,0,510,407,27,266,255,413,60,266,390,133,195,-1,136,402,47,0,360,266,420,133,330,266,210,0,30,133,360,133,405,133,210,133,120,133,90,133,240,133,30,133,15,133,390,411,88,266,105,266,465,133,270,0,60,266,45,0,330,133,300,133,255,0,495,133,75,1470214320
133,435,133,165,458,72,266,165,410,99,133,105,266,360,266,225,266,135,266,195,0,390,266,180,133,180,133,450,407,16,0,150,133,135,0,240,266,330,0,465,266,240,266,315,266,450,0,420,133,495,0,195,133,285,266,480,133,420,133,45,133,465,0,45,266,120,266,435,409,70,266,270,266,15,133,375,0,210,0,255,0,405,0,480,133,225,266,150,0,90,266,30,133,60,266,495,266,75,133,345,0,75,266,60,398,77,266,345,266,300,266,285,266,375,266,405,0,435,0,450,434,53,419,82,133,480,133,315,266,90,133,150,409,39,0,510,407,27,266,255,413,60,266,390,133,195,-1,136,402,47,0,360,266,420,133,330,266,210,0,30,133,360,133,405,133,210,133,120,133,90,133,240,133,30,133,15,133,390,411,88,266,105,266,465,133,270,0,60,266,45,0,330,133,300,133,255,0,495,133,75,1470214335
133,435,133,165,458,72,266,165,410,99,133,105,266,360,266,225,266,135,266,195,0,390,266,180,133,180,133,450,407,16,0,150,133,135,0,240,266,330,0,465,266,240,266,315,266,450,37,398,133,495,0,195,133,285,266,480,133,420,133,45,133,465,0,45,266,120,266,435,409,70,266,270,266,15,133,375,0,210,0,255,411,83,424,57,133,225,266,150,0,90,266,30,133,60,266,495,266,75,133,345,0,75,266,60,398,77,266,345,266,300,266,285,266,375,266,405,0,435,0,450,434,53,419,82,133,480,133,315,266,90,133,150,409,39,438,36,407,27,266,255,413,60,266,390,133,195,-1,136,402,47,0,360,266,420,133,330,266,210,0,30,133,360,133,405,133,210,133,120,133,90,133,240,133,30,438,68,133,390,411,88,266,105,266,465,133,270,0,60,266,45,0,330,133,300,133,255,438,38,133,75,1470214350
133,435,133,165,458,72,266,165,410,99,133,105,266,360,266,225,266,135,266,195,0,390,266,180,133,180,133,450,407,16,0,150,133,135,0,240,266,330,0,465,266,240,266,315,266,450,37,398,133,495,0,195,133,285,266,480,133,420,391,69,133,465,0,45,266,120,266,435,409,70,266,270,266,15,133,375,0,210,0,255,411,83,424,57,133,225,266,150,0,90,266,30,133,60,266,495,266,75,133,345,0,75,266,60,398,77,266,345,266,300,266,285,266,375,266,405,0,435,0,450,434,53,419,82,133,480,133,315,266,90,133,150,409,39,438,36,407,27,266,255,413,60,266,390,133,195,-1,136,402,47,0,360,266,420,133,330,266,210,0,30,133,360,133,405,133,210,133,120,133,90,133,240,133,30,438,68,133,390,411,88,266,105,266,465,133,270,0,60,266,45,0,330,133,300,133,255,438,38,133,75,1470214365
133,435,133,165,458,72,266,165,410,99,133,105,266,360,266,225,266,135,266,195,0,390,266,180,133,180,133,450,407,16,0,150,418,59,0,240,266,330,0,465,266,240,266,315,266,450,37,398,133,495,0,195,133,285,266,480,133,420,391,69,133,465,0,45,266,120,266,435,409,70,266,270,266,15,133,375,0,210,0,255,411,83,424,57,133,225,266,150,0,90,266,30,133,60,266,495,266,75,133,345,0,75,266,60,398,77,266,345,266,300,266,285,266,375,266,405,0,435,0,450,434,53,419,82,133,480,133,315,266,90,140,151,409,39,438,36,407,27,266,255,413,60,266,390,457,40,-1,136,402,47,0,360,266,420,133,330,266,210,0,30,133,360,133,405,133,210,133,120,133,90,133,240,133,30,438,68,133,390,411,88,266,105,266,465,133,270,0,60,266,45,0,330,133,300,133,255,438,38,432,54,1470214380
133,435,133,165,458,72,266,165,410,99,133,105,266,360,266,225,266,135,266,195,0,390,266,180,133,180,133,450,407,16,0,150,418,59,0,240,266,330,0,465,266,240,266,315,266,450,37,398,133,495,0,195,428,44,266,480,133,420,391,69,133,465,0,45,266,120,266,435,409,70,266,270,266,15,133,375,0,210,0,255,411,83,424,57,133,225,266,150,0,90,266,30,133,60,266,495,266,75,252,284,0,75,266,60,398,77,266,345,266,300,266,285,266,375,266,405,0,435,0,450,434,53,419,82,133,480,426,49,266,90,140,151,409,39,438,36,407,27,266,255,413,60,266,390,457,40,-1,136,402,47,0,360,266,420,133,330,266,210,0,30,132,370,133,405,133,210,133,120,133,90,133,240,133,30,438,68,133,390,411,88,266,105,266,465,133,270,0,60,266,45,0,330,133,300,133,255,438,38,432,54,1470214395
133,435,133,165,458,72,266,165,410,99,133,105,266,360,266,225,266,135,266,195,0,390,266,180,133,180,133,450,407,16,0,150,418,59,0,240,266,330,0,465,266,240,266,315,266,450,37,398,133,495,0,195,428,44,266,480,133,420,391,69,133,465,0,45,266,120,266,435,409,70,266,270,266,15,133,375,0,210,0,255,411,83,424,57,133,225,266,150,0,90,266,30,133,60,266,495,266,75,417,36,0,75,465,34,398,77,266,345,266,300,266,285,266,375,266,405,0,435,0,450,434,53,419,82,415,98,426,49,266,90,140,151,409,39,438,36,407,27,266,255,413,60,266,390,457,40,-1,136,402,47,0,360,266,420,133,330,266,210,0,30,132,370,133,405,133,210,133,120,133,90,133,240,133,30,438,68,444,41,411,88,266,105,266,465,133,270,0,60,266,45,0,330,133,300,133,255,438,38,432,54,1470214410
133,435,133,165,458,72,266,165,410,99,133,105,266,360,435,56,266,135,266,195,0,390,266,180,133,180,133,450,407,16,0,150,418,59,0,240,266,330,0,465,408,93,266,315,266,450,37,398,133,495,0,195,428,44,266,480,133,420,391,69,133,465,0,45,396,49,266,435,409,70,266,270,266,15,133,375,0,210,0,255,411,83,424,57,133,225,464,51,0,90,266,30,133,60,266,495,266,75,417,36,0,75,465,34,398,77,266,345,266,300,266,285,266,375,266,405,0,435,0,450,434,53,419,82,415,98,426,49,427,52,140,151,409,39,438,36,407,27,266,255,413,60,266,390,457,40,-1,136,402,47,0,360,266,420,133,330,266,210,0,30,132,370,133,405,133,210,133,120,133,90,133,240,133,30,438,68,444,41,411,88,266,105,266,465,133,270,0,60,266,45,0,330,133,300,133,255,438,38,432,54,1470214425
