266,(98-67)*15+15,266,(93-67)*15+15,266,(80-67)*15+15,266,(88-67)*15+15,266,(96-67)*15+15,266,(99-67)*15+15,133,(47-34)*15+15,133,(63-34)*15+15,0,2*15+15,0,4*15+15,133,(41-34)*15+15,266,(81-67)*15+15,266,(86-67)*15+15,0,8*15+15,0,22*15+15,266,(73-67)*15+15,133,(46-34)*15+15,133,(39-34)*15+15,0,17*15+15,266,(71-67)*15+15,0,30*15+15,133,(42-34)*15+15,266,(67-67)*15+15,133,(34-34)*15+15,0,12*15+15,133,(59-34)*15+15,266,(75-67)*15+15,0,7*15+15,133,(44-34)*15+15,266,(72-67)*15+15,266,(90-67)*15+15,0,27*15+15,0,28*15+15,0,10*15+15,266,(68-67)*15+15,0,3*15+15,266,(94-67)*15+15,0,29*15+15,0,13*15+15,266,(84-67)*15+15,266,(89-67)*15+15,266,(76-67)*15+15,133,(64-34)*15+15,266,(97-67)*15+15,266,(74-67)*15+15,266,(78-67)*15+15,133,(53-34)*15+15,133,(43-34)*15+15,266,(70-67)*15+15,133,(49-34)*15+15,0,24*15+15,266,(92-67)*15+15,0,23*15+15,133,(56-34)*15+15,266,(79-67)*15+15,0,11*15+15,133,(57-34)*15+15,133,(62-34)*15+15,0,26*15+15,0,5*15+15,0,6*15+15,266,(85-67)*15+15,266,(87-67)*15+15,133,(48-34)*15+15,0,20*15+15,133,(55-34)*15+15,133,(50-34)*15+15,133,(65-34)*15+15,0,21*15+15,0,9*15+15,133,(40-34)*15+15,133,(51-34)*15+15,133,(37-34)*15+15,133,(54-34)*15+15,266,(91-67)*15+15,266,(82-67)*15+15,266,(69-67)*15+15,0,25*15+15,0,33*15+15,133,(35-34)*15+15,133,(45-34)*15+15,0,16*15+15,133,(60-34)*15+15,0,18*15+15,0,1*15+15,266,(95-67)*15+15,133,(66-34)*15+15,0,15*15+15,0,14*15+15,266,(83-67)*15+15,266,(77-67)*15+15,0,31*15+15,0,19*15+15,133,(36-34)*15+15,0,0*15+15,0,32*15+15,133,(52-34)*15+15,133,(61-34)*15+15,133,(38-34)*15+15,133,(58-34)*15+15,1464599216
266,480,266,405,266,210,266,330,266,450,266,495,133,210,133,450,0,45,0,75,133,120,266,225,266,300,0,135,0,345,266,105,133,195,133,90,0,270,266,75,0,465,133,135,266,15,133,15,0,195,133,390,266,135,0,120,133,165,266,90,266,360,0,420,0,435,0,165,266,30,0,60,266,420,0,450,0,210,266,270,266,345,266,150,133,465,266,465,266,120,266,180,133,300,133,150,266,60,133,240,0,375,266,390,0,360,133,345,266,195,0,180,133,360,133,435,0,405,0,90,0,105,266,285,266,315,133,225,0,315,133,330,133,255,133,480,0,330,0,150,133,105,133,270,133,60,133,315,266,375,266,240,266,45,0,390,0,510,133,30,133,180,0,255,133,405,0,285,0,30,266,435,133,495,0,240,0,225,266,255,266,165,0,480,0,300,133,45,0,15,0,495,133,285,133,420,133,75,133,375,1464599197
266,480,266,405,266,210,266,330,266,450,266,495,133,210,133,450,0,45,0,75,133,120,266,225,266,300,0,135,0,345,266,105,133,195,133,90,0,270,266,75,0,465,133,135,266,15,133,15,0,195,133,390,266,135,0,120,133,165,266,90,266,360,0,420,0,435,0,165,266,30,0,60,266,420,0,450,0,210,266,270,266,345,266,150,133,465,266,465,266,120,266,180,133,300,133,150,266,60,133,240,0,375,266,390,0,360,133,345,266,195,0,180,133,360,133,435,0,405,0,90,0,105,266,285,266,315,133,225,0,315,133,330,133,255,133,480,0,330,0,150,133,105,133,270,133,60,133,315,266,375,266,240,266,45,0,390,0,510,133,30,133,180,0,255,133,405,0,285,0,30,266,435,133,495,0,240,0,225,266,255,266,165,0,480,0,300,133,45,60,52,0,495,133,285,133,420,133,75,133,375,1464599212
266,480,266,405,266,210,266,330,266,450,266,495,133,210,133,450,495,69,0,75,133,120,266,225,266,300,0,135,0,345,266,105,133,195,133,90,0,270,266,75,0,465,133,135,266,15,133,15,0,195,133,390,266,135,0,120,133,165,266,90,266,360,0,420,0,435,0,165,266,30,698,104,266,420,0,450,0,210,266,270,266,345,266,150,133,465,266,465,266,120,266,180,133,300,133,150,266,60,133,240,0,375,266,390,0,360,133,345,266,195,0,180,133,360,133,435,0,405,0,90,0,105,266,285,266,315,133,225,0,315,133,330,133,255,133,480,0,330,0,150,133,105,133,270,133,60,133,315,266,375,266,240,266,45,0,390,0,510,133,30,133,180,0,255,133,405,0,285,467,462,266,435,133,495,0,240,0,225,266,255,266,165,0,480,0,300,133,45,490,88,0,495,133,285,133,420,133,75,133,375,1464599227
266,480,266,405,266,210,266,330,266,450,266,495,133,210,133,450,590,53,524,178,133,120,266,225,266,300,0,135,0,345,266,105,133,195,133,90,0,270,266,75,0,465,133,135,266,15,133,15,0,195,133,390,266,135,0,120,133,165,266,90,266,360,0,420,0,435,0,165,266,30,698,104,266,420,0,450,607,237,266,270,266,345,266,150,133,465,266,465,266,120,266,180,133,300,133,150,266,60,133,240,0,375,266,390,0,360,133,345,266,195,0,180,133,360,133,435,0,405,583,131,903,556,266,285,266,315,133,225,0,315,133,330,133,255,133,480,0,330,0,150,133,105,133,270,133,60,133,315,266,375,266,240,266,45,0,390,0,510,133,30,133,180,0,255,133,405,0,285,467,462,266,435,133,495,0,240,0,225,266,255,266,165,0,480,0,300,133,45,490,88,0,495,133,285,133,420,133,75,133,375,1464599242
266,480,266,405,266,210,266,330,266,450,266,495,133,210,133,450,590,53,524,178,133,120,266,225,266,300,0,135,0,345,266,105,133,195,133,90,0,270,266,75,0,465,133,135,266,15,133,15,0,195,133,390,266,135,0,120,133,165,266,90,266,360,0,420,0,435,0,165,266,30,698,104,266,420,0,450,545,229,266,270,266,345,266,150,133,465,266,465,266,120,266,180,133,300,133,150,266,60,133,240,0,375,266,390,0,360,133,345,266,195,0,180,133,360,133,435,0,405,583,131,903,556,266,285,266,315,133,225,0,315,133,330,133,255,133,480,0,330,0,150,133,105,133,270,133,60,133,315,266,375,266,240,266,45,0,390,0,510,133,30,133,180,625,185,133,405,0,285,467,462,266,435,133,495,0,240,0,225,266,255,266,165,0,480,0,300,133,45,431,37,0,495,133,285,133,420,133,75,133,375,1464599257
266,480,266,405,266,210,266,330,266,450,266,495,133,210,133,450,590,53,524,178,133,120,266,225,266,300,0,135,0,345,266,105,133,195,133,90,0,270,266,75,0,465,133,135,266,15,133,15,0,195,133,390,266,135,914,421,133,165,266,90,266,360,0,420,0,435,0,165,266,30,698,104,266,420,0,450,545,229,266,270,266,345,266,150,133,465,266,465,266,120,266,180,133,300,133,150,266,60,133,240,0,375,266,390,0,360,133,345,266,195,0,180,133,360,133,435,0,405,583,131,903,556,266,285,266,315,133,225,0,315,133,330,133,255,133,480,0,330,0,150,133,105,133,270,133,60,133,315,266,375,266,240,266,45,0,390,0,510,133,30,133,180,625,185,133,405,0,285,467,462,266,435,133,495,0,240,0,225,266,255,266,165,0,480,0,300,133,45,431,37,0,495,133,285,133,420,133,75,133,375,1464599272
266,480,266,405,266,210,266,330,266,450,266,495,133,210,133,450,729,171,524,178,133,120,266,225,266,300,0,135,0,345,266,105,133,195,133,90,0,270,266,75,0,465,133,135,266,15,133,15,0,195,133,390,266,135,914,421,133,165,266,90,266,360,490,58,0,435,0,165,266,30,698,104,266,420,0,450,545,229,266,270,266,345,266,150,133,465,266,465,266,120,266,180,133,300,133,150,266,60,133,240,0,375,266,390,869,375,133,345,266,195,0,180,133,360,133,435,0,405,583,131,903,556,266,285,266,315,133,225,0,315,133,330,133,255,133,480,0,330,0,150,133,105,133,270,133,60,133,315,266,375,266,240,266,45,0,390,0,510,133,30,133,180,625,185,133,405,0,285,467,462,266,435,133,495,0,240,0,225,266,255,266,165,0,480,0,300,133,45,431,37,0,495,133,285,133,420,133,75,133,375,1464599287
266,480,266,405,266,210,266,330,266,450,266,495,133,210,133,450,729,171,524,178,133,120,266,225,266,300,0,135,0,345,266,105,133,195,133,90,0,270,266,75,0,465,133,135,266,15,133,15,0,195,133,390,266,135,914,421,133,165,266,90,266,360,490,58,842,434,0,165,266,30,698,104,266,420,0,450,545,229,266,270,266,345,266,150,133,465,266,465,266,120,266,180,133,300,133,150,266,60,133,240,0,375,266,390,869,375,133,345,266,195,0,180,133,360,133,435,0,405,583,131,903,556,266,285,266,315,133,225,0,315,133,330,133,255,133,480,0,330,0,150,133,105,133,270,133,60,133,315,266,375,266,240,266,45,506,445,0,510,527,476,133,180,625,185,133,405,0,285,467,462,266,435,133,495,0,240,0,225,266,255,266,165,0,480,0,300,133,45,431,37,0,495,133,285,133,420,133,75,133,375,1464599302
266,480,266,405,266,210,266,330,266,450,266,495,133,210,133,450,729,171,524,178,133,120,266,225,266,300,0,135,0,345,266,105,133,195,133,90,0,270,266,75,0,465,133,135,266,15,133,15,0,195,133,390,266,135,914,421,133,165,266,90,266,360,490,58,850,435,0,165,266,30,698,104,266,420,0,450,545,229,266,270,266,345,266,150,133,465,266,465,266,120,266,180,133,300,133,150,266,60,133,240,0,375,266,390,869,375,133,345,266,195,0,180,133,360,133,435,0,405,583,131,903,556,266,285,266,315,133,225,0,315,133,330,133,255,133,480,0,330,0,150,133,105,133,270,133,60,133,315,266,375,266,240,266,45,506,445,0,510,527,476,133,180,625,185,133,405,437,439,467,462,266,435,133,495,0,240,0,225,266,255,266,165,0,480,0,300,133,45,431,37,652,334,133,285,133,420,133,75,133,375,1464599317
266,480,266,405,266,210,266,330,266,450,266,495,133,210,133,450,729,171,524,178,133,120,266,225,266,300,0,135,0,345,266,105,133,195,133,90,0,270,266,75,0,465,133,135,266,15,133,15,0,195,133,390,266,135,914,421,133,165,266,90,266,360,490,58,850,435,0,165,266,30,698,104,266,420,0,450,545,229,266,270,266,345,266,150,133,465,266,465,266,120,266,180,133,300,133,150,266,60,133,240,0,375,266,390,869,375,427,289,266,195,0,180,133,360,133,435,0,405,583,131,903,556,266,285,266,315,133,225,0,315,133,330,133,255,133,480,0,330,0,150,133,105,133,270,133,60,133,315,266,375,266,240,266,45,506,445,473,495,527,476,133,180,449,309,133,405,437,439,467,462,266,435,133,495,0,240,0,225,266,255,266,165,0,480,0,300,133,45,431,37,652,334,133,285,133,420,133,75,133,375,1464599332
