133,(61-34)*15+15,266,(89-67)*15+15,266,(96-67)*15+15,133,(53-34)*15+15,133,(58-34)*15+15,133,(66-34)*15+15,133,(62-34)*15+15,266,(91-67)*15+15,0,23*15+15,133,(50-34)*15+15,266,(80-67)*15+15,266,(93-67)*15+15,0,10*15+15,0,13*15+15,133,(40-34)*15+15,133,(44-34)*15+15,0,4*15+15,133,(46-34)*15+15,0,5*15+15,266,(95-67)*15+15,266,(81-67)*15+15,0,16*15+15,133,(36-34)*15+15,0,25*15+15,266,(79-67)*15+15,133,(34-34)*15+15,266,(90-67)*15+15,266,(71-67)*15+15,266,(73-67)*15+15,133,(56-34)*15+15,0,3*15+15,266,(84-67)*15+15,266,(83-67)*15+15,133,(57-34)*15+15,266,(87-67)*15+15,266,(97-67)*15+15,0,28*15+15,266,(75-67)*15+15,0,24*15+15,133,(64-34)*15+15,0,26*15+15,266,(94-67)*15+15,266,(74-67)*15+15,0,21*15+15,266,(92-67)*15+15,133,(63-34)*15+15,0,2*15+15,0,9*15+15,0,12*15+15,266,(76-67)*15+15,133,(41-34)*15+15,133,(55-34)*15+15,133,(35-34)*15+15,0,8*15+15,266,(72-67)*15+15,133,(37-34)*15+15,133,(51-34)*15+15,0,0*15+15,0,17*15+15,0,33*15+15,133,(47-34)*15+15,0,7*15+15,133,(49-34)*15+15,0,6*15+15,133,(65-34)*15+15,0,14*15+15,0,19*15+15,0,27*15+15,266,(68-67)*15+15,133,(48-34)*15+15,133,(43-34)*15+15,0,11*15+15,0,18*15+15,133,(45-34)*15+15,266,(86-67)*15+15,133,(38-34)*15+15,266,(67-67)*15+15,133,(39-34)*15+15,266,(85-67)*15+15,133,(42-34)*15+15,266,(69-67)*15+15,133,(54-34)*15+15,0,31*15+15,0,1*15+15,266,(88-67)*15+15,0,29*15+15,0,32*15+15,0,30*15+15,0,20*15+15,0,15*15+15,266,(70-67)*15+15,133,(60-34)*15+15,266,(99-67)*15+15,133,(52-34)*15+15,266,(98-67)*15+15,266,(78-67)*15+15,0,22*15+15,133,(59-34)*15+15,266,(77-67)*15+15,266,(82-67)*15+15,1488370675
133,420,266,345,266,450,133,300,133,375,133,495,133,435,266,375,0,360,133,255,266,210,266,405,0,165,0,210,133,105,133,165,0,75,133,195,0,90,266,435,266,225,0,255,133,45,0,390,266,195,133,15,266,360,266,75,266,105,133,345,717,353,266,270,266,255,133,360,266,315,266,465,0,435,266,135,0,375,133,465,0,405,266,420,266,120,0,330,266,390,133,450,746,59,0,150,0,195,266,150,133,120,133,330,133,30,0,135,266,90,133,60,133,270,435,124,0,270,0,510,133,210,0,120,133,240,0,105,133,480,0,225,0,300,0,420,266,30,133,225,133,150,0,180,0,285,133,180,266,300,133,75,266,15,133,90,266,285,133,135,266,45,133,315,0,480,442,227,266,330,0,450,0,495,0,465,0,315,0,240,266,60,133,405,266,495,133,285,266,480,266,180,0,345,133,390,266,165,266,240,1488370698
133,420,266,345,266,450,133,300,133,375,133,495,133,435,266,375,0,360,133,255,266,210,266,405,0,165,0,210,133,105,133,165,708,337,133,195,709,370,266,435,266,225,0,255,133,45,0,390,266,195,133,15,266,360,266,75,266,105,133,345,717,353,266,270,266,255,133,360,266,315,266,465,0,435,266,135,0,375,133,465,0,405,266,420,266,120,0,330,266,390,133,450,746,59,0,150,0,195,266,150,133,120,133,330,133,30,0,135,266,90,133,60,133,270,435,124,0,270,0,510,133,210,781,334,133,240,717,324,133,480,0,225,0,300,0,420,266,30,133,225,133,150,0,180,0,285,133,180,266,300,133,75,266,15,133,90,266,285,133,135,266,45,133,315,0,480,442,227,266,330,0,450,0,495,0,465,0,315,0,240,266,60,133,405,266,495,133,285,266,480,266,180,0,345,133,390,266,165,266,240,1488370713
133,420,266,345,266,450,133,300,133,375,133,495,133,435,266,375,0,360,133,255,266,210,266,405,541,412,0,210,133,105,133,165,708,337,133,195,709,370,266,435,266,225,0,255,133,45,0,390,266,195,133,15,266,360,266,75,266,105,133,345,717,353,266,270,266,255,133,360,266,315,266,465,0,435,266,135,0,375,133,465,0,405,266,420,266,120,0,330,266,390,133,450,746,59,769,77,0,195,266,150,133,120,133,330,133,30,442,136,266,90,133,60,133,270,435,124,0,270,0,510,133,210,781,334,133,240,717,324,133,480,0,225,0,300,0,420,266,30,133,225,133,150,884,198,0,285,133,180,266,300,133,75,266,15,133,90,266,285,133,135,266,45,133,315,0,480,442,227,266,330,0,450,0,495,0,465,0,315,0,240,266,60,133,405,266,495,133,285,266,480,266,180,0,345,133,390,266,165,266,240,1488370728
133,420,266,345,266,450,133,300,133,375,133,495,133,435,266,375,0,360,133,255,266,210,266,405,541,412,536,423,133,105,133,165,708,337,133,195,709,370,266,435,266,225,0,255,133,45,0,390,266,195,133,15,266,360,266,75,266,105,133,345,717,353,266,270,266,255,133,360,266,315,266,465,0,435,266,135,0,375,133,465,0,405,266,420,266,120,0,330,266,390,133,450,746,59,769,77,710,312,266,150,133,120,133,330,133,30,442,136,266,90,133,60,133,270,435,124,0,270,0,510,133,210,781,334,133,240,717,324,133,480,841,529,0,300,0,420,266,30,133,225,133,150,884,198,0,285,133,180,266,300,133,75,266,15,133,90,266,285,133,135,266,45,133,315,0,480,442,227,266,330,0,450,0,495,0,465,0,315,639,305,266,60,133,405,266,495,133,285,266,480,266,180,0,345,133,390,266,165,266,240,1488370743
133,420,266,345,266,450,133,300,133,375,133,495,133,435,266,375,0,360,133,255,266,210,266,405,541,412,536,423,133,105,133,165,708,337,133,195,709,370,266,435,266,225,711,288,133,45,0,390,266,195,133,15,266,360,266,75,266,105,133,345,717,353,266,270,266,255,133,360,266,315,266,465,0,435,266,135,0,375,133,465,0,405,266,420,266,120,0,330,266,390,133,450,746,59,769,77,710,312,266,150,133,120,133,330,133,30,442,136,266,90,133,60,133,270,435,124,422,241,0,510,133,210,781,334,133,240,717,324,133,480,841,529,701,257,0,420,266,30,133,225,133,150,884,198,713,272,133,180,266,300,133,75,266,15,133,90,266,285,133,135,266,45,133,315,0,480,442,227,266,330,0,450,0,495,0,465,11,315,639,304,266,60,133,405,266,495,133,285,266,480,266,180,0,345,133,390,266,165,266,240,1488370758
133,420,266,345,266,450,133,300,133,375,133,495,133,435,266,375,681,238,133,255,266,210,266,405,541,412,536,423,133,105,133,165,708,337,133,195,709,370,266,435,266,225,711,288,133,45,0,390,266,195,133,15,266,360,266,75,266,105,133,345,717,353,266,270,266,255,133,360,266,315,266,465,0,435,266,135,653,493,133,465,0,405,266,420,266,120,417,255,266,390,133,450,746,59,769,77,710,312,266,150,133,120,133,330,133,30,442,136,266,90,133,60,133,270,435,124,422,241,0,510,133,210,781,334,133,240,717,324,133,480,841,529,701,257,0,420,266,30,133,225,133,150,884,198,713,272,133,180,266,300,133,75,266,15,133,90,266,285,133,135,266,45,133,315,0,480,442,227,266,330,0,450,0,495,0,465,695,249,639,304,266,60,133,405,266,495,133,285,266,480,266,180,505,548,133,390,266,165,266,240,1488370773
133,420,266,345,266,450,133,300,133,375,133,495,133,435,266,375,681,238,133,255,266,210,266,405,541,412,536,423,133,105,133,165,708,337,133,195,709,370,266,435,266,225,711,288,133,45,638,232,266,195,133,15,266,360,266,75,266,105,133,345,717,353,266,270,266,255,133,360,266,315,266,465,940,433,266,135,654,499,133,465,448,343,266,420,266,120,417,255,266,390,133,450,746,59,769,77,710,312,266,150,133,120,133,330,133,30,442,136,266,90,133,60,133,270,435,124,422,241,0,510,133,210,781,334,133,240,717,324,133,480,841,529,701,257,737,281,266,30,133,225,133,150,884,198,713,272,133,180,266,300,133,75,266,15,133,90,266,285,133,135,266,45,133,315,0,480,442,227,266,330,0,450,0,495,0,465,695,249,639,304,266,60,133,405,266,495,133,285,266,480,266,180,505,548,133,390,266,165,266,240,1488370788
133,420,266,345,266,450,133,300,133,375,133,495,133,435,266,375,681,238,133,255,266,210,266,405,541,412,536,423,133,105,133,165,708,337,133,195,709,370,266,435,266,225,711,288,133,45,638,232,266,195,133,15,266,360,266,75,266,105,133,345,717,353,266,270,266,255,133,360,266,315,266,465,940,433,266,135,654,499,133,465,448,343,266,420,266,120,417,255,266,390,133,450,746,59,769,77,710,312,266,150,133,120,133,330,133,30,442,136,266,90,133,60,133,270,435,124,422,241,0,510,133,210,781,334,133,240,717,324,133,480,841,529,701,257,737,281,266,30,133,225,133,150,884,198,713,272,133,180,266,300,133,75,266,15,133,90,266,285,133,135,266,45,133,315,454,217,442,227,266,330,773,548,642,464,671,280,695,249,639,304,266,60,133,405,266,495,133,285,266,480,266,180,505,548,133,390,266,165,266,240,1488370803
133,420,266,345,266,450,133,300,133,375,133,495,133,435,266,375,681,238,133,255,266,210,266,405,541,412,536,423,133,105,133,165,708,337,133,195,709,370,266,435,266,225,711,288,695,140,638,232,266,195,741,240,266,360,266,75,266,105,133,345,717,353,266,270,266,255,133,360,266,315,266,465,940,433,266,135,654,499,133,465,448,343,266,420,266,120,417,255,266,390,133,450,746,59,769,77,710,312,266,150,133,120,133,330,691,223,442,136,266,90,133,60,133,270,435,124,422,241,413,208,133,210,781,334,133,240,717,324,133,480,841,529,701,257,737,281,266,30,133,225,133,150,884,198,713,272,133,180,266,300,133,75,266,15,133,90,266,285,133,135,266,45,133,315,454,217,442,227,266,330,773,548,642,464,671,280,695,249,639,304,266,60,133,405,266,495,133,285,266,480,266,180,505,548,133,390,266,165,266,240,1488370818
133,420,266,345,266,450,133,300,133,375,133,495,133,435,266,375,681,238,133,255,266,210,266,405,541,412,536,423,133,105,133,165,708,337,133,195,709,370,266,435,266,225,711,288,692,214,638,232,266,195,741,240,266,360,266,75,266,105,133,345,717,353,266,270,266,255,133,360,266,315,266,465,940,433,266,135,654,499,133,465,448,343,266,420,266,120,417,255,266,390,133,450,746,59,769,77,710,312,266,150,549,414,133,330,691,223,442,136,266,90,840,444,133,270,435,124,422,241,413,208,133,210,781,334,133,240,717,324,133,480,841,529,701,257,737,281,266,30,133,225,133,150,884,198,713,272,133,180,266,300,662,201,266,15,435,490,266,285,133,135,266,45,133,315,454,217,442,227,266,330,773,548,642,464,671,280,695,249,639,304,266,60,133,405,266,495,133,285,266,480,266,180,505,548,133,390,266,165,266,240,1488370833
133,420,266,345,266,450,133,300,133,375,133,495,133,435,266,375,681,238,133,255,266,210,266,405,541,412,536,423,691,187,636,180,708,337,133,195,709,370,266,435,266,225,711,288,692,214,638,232,266,195,741,240,266,360,266,75,266,105,133,345,717,353,266,270,266,255,133,360,266,315,266,465,940,433,266,135,654,499,133,465,448,343,266,420,266,120,417,255,266,390,133,450,746,59,769,77,710,312,266,150,559,515,133,330,691,223,442,136,266,90,840,444,133,270,435,124,422,241,413,208,133,210,781,334,133,240,717,324,133,480,841,529,701,257,737,281,266,30,133,225,702,174,884,198,713,272,697,161,266,300,662,201,266,15,435,490,266,285,419,264,266,45,133,315,454,217,442,227,266,330,773,548,642,464,671,280,695,249,639,304,266,60,133,405,266,495,133,285,266,480,266,180,505,548,133,390,266,165,266,240,1488370848
133,420,266,345,266,450,133,300,133,375,133,495,133,435,266,375,681,238,550,485,266,210,266,405,541,412,536,423,691,187,636,180,708,337,420,385,709,370,266,435,266,225,711,288,692,214,638,232,266,195,741,240,266,360,266,75,266,105,133,345,717,353,266,270,266,255,133,360,266,315,266,465,940,433,266,135,654,499,133,465,448,343,266,420,266,120,417,255,266,390,133,450,746,59,769,77,710,312,266,150,559,515,133,330,691,223,442,136,266,90,840,444,133,270,435,124,422,241,413,208,679,151,781,334,641,145,717,324,133,480,841,529,701,257,737,281,266,30,623,165,702,174,884,198,713,272,697,161,266,300,662,201,266,15,435,490,266,285,419,264,266,45,133,315,454,217,442,227,266,330,773,548,642,464,671,280,695,249,639,304,266,60,133,405,266,495,133,285,266,480,266,180,505,548,133,390,266,165,266,240,1488370863
133,420,266,345,266,450,537,9,133,375,133,495,133,435,266,375,681,238,550,485,266,210,266,405,541,412,536,423,691,187,636,180,708,337,420,385,709,370,266,435,266,225,711,288,692,214,638,232,266,195,741,240,266,360,266,75,266,105,133,345,717,353,266,270,266,255,500,310,266,315,266,465,940,433,266,135,654,499,133,465,448,343,266,420,266,120,417,255,266,390,133,450,746,59,769,77,710,312,266,150,559,515,692,139,691,223,442,136,266,90,840,444,426,542,435,124,422,241,413,208,679,151,781,334,641,145,717,324,133,480,841,529,701,257,737,281,266,30,623,165,702,174,884,198,713,272,697,161,266,300,662,201,266,15,435,490,266,285,419,264,266,45,431,146,454,217,442,227,266,330,773,548,642,464,671,280,695,249,639,304,266,60,133,405,266,495,784,483,266,480,266,180,505,548,133,390,266,165,266,240,1488370878
133,420,266,345,266,450,537,9,650,271,133,495,133,435,266,375,681,238,550,485,266,210,266,405,541,412,536,423,691,187,636,180,708,337,420,385,709,370,266,435,266,225,711,288,692,214,638,232,266,195,741,240,266,360,266,75,266,105,613,289,717,353,266,270,266,255,620,222,266,315,266,465,940,433,266,135,654,499,133,465,448,343,266,420,266,120,417,255,266,390,133,450,746,59,769,77,710,312,266,150,559,515,692,139,691,223,442,136,266,90,840,444,426,542,435,124,422,241,413,208,679,151,781,334,641,145,717,324,133,480,841,529,701,257,737,281,266,30,623,165,702,174,884,198,713,272,697,161,266,300,662,201,266,15,435,490,266,285,419,264,266,45,431,146,454,217,442,227,266,330,773,548,642,464,671,280,695,249,639,304,266,60,664,337,266,495,784,483,266,480,266,180,505,548,464,265,266,165,266,240,1488370893
736,519,266,345,266,450,537,9,650,271,133,495,676,582,266,375,681,238,550,485,266,210,266,405,541,412,536,423,691,187,636,180,708,337,420,385,709,370,266,435,266,225,711,288,692,214,638,232,266,195,741,240,266,360,266,75,266,105,613,289,717,353,266,270,266,255,620,222,266,315,266,465,940,433,266,135,654,499,930,493,448,343,266,420,266,120,417,255,266,390,444,445,746,59,769,77,710,312,266,150,559,515,692,139,691,223,442,136,266,90,840,444,426,542,435,124,422,241,413,208,679,151,781,334,641,145,717,324,618,261,841,529,701,257,737,281,266,30,623,165,702,174,884,198,713,272,697,161,266,300,662,201,266,15,435,490,266,285,419,264,266,45,431,146,454,217,442,227,266,330,773,548,642,464,671,280,695,249,639,304,266,60,659,324,266,495,784,483,266,480,266,180,505,548,464,265,266,165,266,240,1488370908
736,519,266,345,266,450,537,9,650,271,639,14,676,582,266,375,681,238,550,485,266,210,266,405,541,412,536,423,691,187,636,180,708,337,420,385,709,370,266,435,266,225,711,288,692,214,638,232,266,195,741,240,266,360,285,74,266,105,613,289,717,353,266,270,266,255,620,222,266,315,266,465,940,433,266,135,654,499,930,493,448,343,266,420,266,120,417,255,266,390,444,445,746,59,769,77,710,312,266,150,559,515,692,139,691,223,442,136,266,90,840,444,426,542,435,124,422,241,413,208,679,151,781,334,641,145,717,324,618,261,841,529,701,257,737,281,692,128,623,165,702,174,884,198,713,272,697,161,266,300,662,201,417,197,435,490,266,285,419,264,406,188,431,146,454,217,442,227,266,330,773,548,642,464,671,280,695,249,639,304,662,125,659,324,266,495,784,483,266,480,266,180,505,548,464,265,266,165,266,240,1488370923
736,519,266,345,266,450,537,9,650,271,639,14,676,582,266,375,681,238,550,485,266,210,266,405,541,412,536,423,691,187,636,180,708,337,420,385,709,370,266,435,266,225,711,288,692,214,638,232,266,195,741,240,266,360,628,134,893,31,613,289,717,353,266,270,266,255,620,222,266,315,266,465,940,433,507,40,654,499,930,493,448,343,266,420,457,13,417,255,266,390,444,445,746,59,769,77,710,312,691,124,559,515,692,139,691,223,442,136,609,112,840,444,426,542,435,124,422,241,413,208,679,151,781,334,641,145,717,324,618,261,841,529,701,257,737,281,692,128,623,165,702,174,884,198,713,272,697,161,266,300,662,201,417,197,435,490,266,285,419,264,406,188,431,146,454,217,442,227,266,330,773,548,642,464,671,280,695,249,639,304,662,125,659,324,266,495,784,483,266,480,266,180,505,548,464,265,266,165,266,240,1488370938
736,519,266,345,266,450,537,9,650,271,639,14,676,582,266,375,681,238,550,485,946,286,266,405,541,412,536,423,691,187,636,180,708,337,420,385,709,370,266,435,632,251,711,288,692,214,638,232,713,193,741,240,266,360,628,134,893,31,613,289,717,353,266,270,266,255,620,222,266,315,266,465,940,433,507,40,654,499,930,493,448,343,266,420,457,13,417,255,266,390,444,445,746,59,769,77,710,312,691,117,559,515,692,139,691,223,442,136,609,112,840,444,426,542,435,124,422,241,413,208,679,151,781,334,641,145,717,324,618,261,841,529,701,257,737,281,692,128,623,165,702,174,884,198,713,272,697,161,266,300,662,201,417,197,435,490,266,285,419,264,406,188,431,146,454,217,442,227,266,330,773,548,642,464,671,280,695,249,639,304,662,125,659,324,266,495,784,483,266,480,898,140,505,548,464,265,686,38,266,240,1488370953
736,519,266,345,266,450,537,9,650,271,639,14,676,582,266,375,681,238,550,485,946,286,266,405,541,412,536,423,691,187,636,180,708,337,420,385,709,370,266,435,632,251,711,288,692,214,638,232,713,193,741,240,266,360,628,134,893,31,613,289,717,353,890,371,571,193,620,222,631,215,266,465,940,433,507,40,654,499,930,493,448,343,266,420,457,13,417,255,266,390,444,445,746,59,769,77,710,312,691,117,559,515,692,139,691,223,442,136,609,112,840,444,426,542,435,124,422,241,413,208,679,151,781,334,641,145,717,324,618,261,841,529,701,257,737,281,692,128,623,165,702,174,884,198,713,272,697,161,603,278,662,201,417,197,435,490,405,219,419,264,406,188,431,146,454,217,442,227,452,242,773,548,642,464,671,280,695,249,639,304,662,125,659,324,266,495,784,483,266,480,898,140,505,548,464,265,686,38,625,243,1488370968
736,519,488,400,266,450,537,9,650,271,639,14,676,582,687,266,681,238,550,485,946,286,624,404,541,412,536,423,691,187,636,180,708,337,420,385,709,370,266,435,632,251,711,288,692,214,638,232,713,193,741,240,653,298,628,134,893,31,613,289,717,353,890,371,571,193,620,222,631,215,266,465,940,433,507,40,654,499,930,493,448,343,444,305,457,13,417,255,544,363,444,445,746,59,769,77,710,312,691,117,559,515,692,139,691,223,442,136,609,112,840,444,426,542,435,124,422,241,413,208,679,151,781,334,641,145,717,324,618,261,841,529,701,257,737,281,692,128,623,165,702,174,884,198,713,272,697,161,603,278,662,201,417,197,435,490,405,219,419,264,406,188,431,146,454,217,442,227,450,236,773,548,642,464,671,280,695,249,639,304,662,125,659,324,266,495,784,483,266,480,898,140,505,548,464,265,686,38,625,243,1488370983
736,519,488,400,643,311,537,9,650,271,639,14,676,582,687,266,681,238,550,485,946,286,624,404,541,412,536,423,691,187,636,180,708,337,420,385,709,370,464,514,632,251,711,288,692,214,638,232,713,193,741,240,653,298,628,134,893,31,613,289,717,353,890,371,571,193,620,222,631,215,557,572,940,433,507,40,654,499,930,493,448,343,444,305,457,13,417,255,544,363,444,445,746,59,769,77,710,312,691,117,559,515,692,139,691,223,442,136,609,112,840,444,426,542,435,124,422,241,413,208,679,151,781,334,641,145,717,324,618,261,841,529,701,257,737,281,692,128,623,165,702,174,884,198,713,272,697,161,603,278,662,201,417,197,435,490,405,219,419,264,406,188,431,146,454,217,442,227,450,236,773,548,642,464,671,280,695,249,639,304,662,125,659,324,868,564,784,483,724,416,898,140,505,548,464,265,686,38,625,243,1488370996
