133,(43-34)*15+15,133,(40-34)*15+15,266,(67-67)*15+15,266,(95-67)*15+15,0,9*15+15,133,(56-34)*15+15,133,(53-34)*15+15,0,3*15+15,266,(86-67)*15+15,133,(50-34)*15+15,266,(70-67)*15+15,266,(74-67)*15+15,0,17*15+15,0,27*15+15,133,(34-34)*15+15,133,(59-34)*15+15,266,(71-67)*15+15,266,(96-67)*15+15,133,(35-34)*15+15,133,(37-34)*15+15,0,7*15+15,266,(85-67)*15+15,133,(49-34)*15+15,0,20*15+15,266,(94-67)*15+15,266,(77-67)*15+15,0,19*15+15,133,(48-34)*15+15,133,(47-34)*15+15,0,5*15+15,133,(36-34)*15+15,266,(80-67)*15+15,0,16*15+15,0,23*15+15,0,22*15+15,266,(82-67)*15+15,0,25*15+15,0,24*15+15,266,(92-67)*15+15,133,(52-34)*15+15,266,(69-67)*15+15,266,(83-67)*15+15,266,(79-67)*15+15,266,(90-67)*15+15,0,29*15+15,0,18*15+15,266,(87-67)*15+15,133,(39-34)*15+15,0,15*15+15,0,28*15+15,266,(78-67)*15+15,0,26*15+15,133,(58-34)*15+15,0,10*15+15,266,(81-67)*15+15,266,(93-67)*15+15,133,(46-34)*15+15,0,30*15+15,266,(68-67)*15+15,133,(45-34)*15+15,266,(99-67)*15+15,266,(91-67)*15+15,266,(75-67)*15+15,133,(66-34)*15+15,133,(65-34)*15+15,0,0*15+15,133,(38-34)*15+15,266,(88-67)*15+15,133,(60-34)*15+15,133,(55-34)*15+15,0,1*15+15,0,32*15+15,133,(62-34)*15+15,133,(44-34)*15+15,0,14*15+15,266,(98-67)*15+15,0,6*15+15,133,(41-34)*15+15,133,(54-34)*15+15,133,(64-34)*15+15,133,(61-34)*15+15,266,(97-67)*15+15,266,(84-67)*15+15,0,21*15+15,0,31*15+15,266,(89-67)*15+15,266,(72-67)*15+15,0,4*15+15,266,(73-67)*15+15,133,(51-34)*15+15,0,13*15+15,0,8*15+15,0,12*15+15,133,(57-34)*15+15,0,2*15+15,0,33*15+15,0,11*15+15,266,(76-67)*15+15,133,(63-34)*15+15,133,(42-34)*15+15,1470372640
133,150,133,105,266,15,266,435,0,150,133,345,133,300,0,60,266,300,133,255,266,60,266,120,0,270,0,420,133,15,133,390,266,75,266,450,133,30,133,60,0,120,266,285,133,240,0,315,266,420,266,165,0,300,133,225,133,210,0,90,133,45,266,210,0,255,0,360,0,345,266,240,0,390,0,375,266,390,133,285,266,45,266,255,266,195,266,360,0,450,0,285,266,315,133,90,0,240,0,435,266,180,0,405,133,375,0,165,266,225,266,405,133,195,0,465,266,30,133,180,266,495,266,375,266,135,133,495,133,480,452,99,133,75,266,330,133,405,133,330,0,30,0,495,133,435,133,165,0,225,266,480,0,105,133,120,133,315,133,465,133,420,266,465,266,270,0,330,0,480,266,345,266,90,0,75,266,105,133,270,0,210,0,135,0,195,133,360,0,45,0,510,0,180,266,150,133,450,133,135,1470372677
133,150,133,105,266,15,559,304,0,150,133,345,133,300,0,60,266,300,133,255,266,60,266,120,0,270,0,420,133,15,133,390,266,75,266,450,133,30,133,60,0,120,266,285,133,240,0,315,266,420,266,165,0,300,133,225,133,210,0,90,133,45,266,210,0,255,0,360,0,345,554,314,0,390,0,375,266,390,133,285,266,45,266,255,266,195,266,360,0,450,0,285,266,315,133,90,0,240,0,435,266,180,0,405,133,375,0,165,266,225,266,405,575,327,0,465,266,30,133,180,266,495,266,375,266,135,133,495,133,480,452,99,133,75,266,330,133,405,133,330,0,30,0,495,133,435,133,165,0,225,449,143,0,105,133,120,133,315,133,465,133,420,266,465,266,270,0,330,0,480,568,337,266,90,0,75,266,105,133,270,0,210,0,135,0,195,133,360,0,45,0,510,0,180,266,150,133,450,133,135,1470372692
133,150,133,105,787,105,559,304,0,150,133,345,133,300,0,60,266,300,133,255,266,60,266,120,0,270,0,420,769,117,133,390,266,75,266,450,133,30,133,60,0,120,266,285,133,240,0,315,266,420,266,165,0,300,133,225,544,292,0,90,133,45,266,210,0,255,0,360,0,345,554,314,0,390,0,375,266,390,133,285,266,45,266,255,266,195,266,360,0,450,0,285,266,315,133,90,0,240,0,435,266,180,0,405,133,375,0,165,266,225,266,405,575,327,0,465,266,30,133,180,266,495,266,375,266,135,133,495,133,480,452,99,133,75,266,330,133,405,133,330,0,30,0,495,133,435,437,120,0,225,436,109,0,105,133,120,133,200,133,465,133,420,266,465,266,270,0,330,0,480,568,337,266,90,0,75,266,105,133,270,0,210,0,135,0,195,133,360,0,45,0,510,0,180,266,150,133,450,133,135,1470372707
133,150,133,105,787,105,559,304,0,150,133,345,133,300,760,130,266,300,133,255,266,60,266,120,0,270,0,420,769,117,133,390,266,75,266,450,133,30,133,60,0,120,266,285,133,240,0,315,266,420,266,165,0,300,133,225,544,292,0,90,133,45,266,210,0,255,0,360,0,345,554,314,0,390,0,375,266,390,133,285,266,45,266,255,266,195,266,360,0,450,0,285,266,315,133,90,0,240,0,435,266,180,0,405,133,375,0,165,266,225,266,405,575,327,0,465,266,30,133,180,266,495,266,375,266,135,133,495,133,480,452,99,133,75,266,330,133,405,133,330,0,30,0,495,133,435,437,120,427,133,436,109,0,105,133,120,133,200,133,465,133,420,266,465,266,270,0,330,0,480,568,337,266,90,0,75,266,105,133,270,0,210,0,135,0,195,133,360,572,283,0,510,0,180,266,150,133,450,133,135,1470372722
133,150,133,105,787,105,559,304,0,150,133,345,133,300,760,130,266,300,133,255,266,60,266,120,0,270,0,420,769,117,133,390,266,75,266,450,133,30,133,60,0,120,266,285,133,240,0,315,266,420,266,165,0,300,133,225,544,292,0,90,133,45,266,210,0,255,0,360,0,345,554,314,581,382,581,370,266,390,133,285,266,45,266,255,266,195,266,360,0,450,0,285,266,315,133,90,0,240,0,435,266,180,0,405,528,354,0,165,266,225,266,405,575,327,0,465,266,30,652,338,266,495,266,375,266,135,133,495,133,480,452,99,133,75,266,330,133,405,133,330,0,30,0,495,133,435,437,120,427,133,436,109,0,105,133,120,133,200,133,465,133,420,266,465,266,270,0,330,0,480,568,337,266,90,0,75,266,105,133,270,0,210,0,135,0,195,133,360,572,283,0,510,0,180,266,150,133,450,133,135,1470372737
133,150,133,105,787,105,559,304,0,150,133,345,133,300,760,130,266,300,133,255,266,60,266,120,0,270,0,420,769,117,133,390,266,75,266,450,133,30,133,60,0,120,266,285,133,240,0,315,266,420,266,165,0,300,133,225,544,292,0,90,133,45,266,210,0,255,0,360,0,345,554,314,581,382,581,370,266,390,133,285,266,45,266,255,266,195,266,360,0,450,0,285,266,315,133,90,0,240,0,435,266,180,0,405,528,354,0,165,266,225,266,405,575,327,0,465,806,251,652,338,266,495,266,375,266,135,456,91,133,480,452,99,133,75,266,330,133,405,133,330,0,30,0,495,133,435,437,120,427,133,436,109,0,105,133,120,133,200,133,465,133,420,266,465,266,270,0,330,0,480,568,337,266,90,0,75,756,141,133,270,0,210,0,135,0,195,496,334,572,283,0,510,0,180,266,150,133,450,133,135,1470372752
534,264,133,105,787,105,559,304,0,150,133,345,133,300,760,130,266,300,133,255,266,60,266,120,0,270,0,420,769,117,133,390,266,75,266,450,133,30,133,60,0,120,266,285,133,240,0,315,266,420,266,165,751,149,133,225,544,292,0,90,133,45,266,210,0,255,0,360,0,345,554,314,581,382,581,370,266,390,133,285,266,45,266,255,266,195,266,360,0,450,0,285,266,315,133,90,0,240,0,435,266,180,0,405,528,354,0,165,266,225,266,405,575,327,0,465,806,251,652,338,266,495,266,375,266,135,456,91,133,480,452,99,133,75,266,330,133,405,133,330,0,30,0,495,133,435,437,120,427,133,436,109,0,105,133,120,804,261,133,465,133,420,266,465,266,270,796,336,0,480,568,337,266,90,0,75,474,230,133,270,0,210,0,135,0,195,496,334,572,283,0,510,0,180,266,150,133,450,133,135,1470372767
501,476,133,105,787,105,559,304,0,150,133,345,133,300,760,130,266,300,133,255,266,60,266,120,0,270,0,420,769,117,133,390,266,75,266,450,133,30,133,60,636,67,266,285,133,240,0,315,266,420,266,165,751,149,133,225,544,292,0,90,514,344,266,210,0,255,0,360,0,345,554,314,581,382,581,370,266,390,133,285,266,45,266,255,266,195,266,360,0,450,0,285,266,315,133,90,0,240,0,435,266,180,0,405,528,354,0,165,622,77,266,405,575,327,0,465,806,251,652,338,798,140,266,375,266,135,456,91,133,480,452,99,133,75,266,330,133,405,133,330,0,30,0,495,133,435,437,120,427,133,436,109,0,105,133,120,804,261,133,465,133,420,266,465,266,270,796,336,0,480,568,337,266,90,0,75,474,230,133,270,0,210,0,135,0,195,496,334,572,283,0,510,0,180,266,150,133,450,133,135,1470372782
501,476,133,105,787,105,559,304,0,150,133,345,133,300,760,130,266,300,133,255,266,60,266,120,0,270,0,420,769,117,133,390,266,75,266,450,133,30,133,60,636,67,266,285,133,240,0,315,266,420,266,165,751,149,133,225,544,292,0,90,514,344,266,210,0,255,0,360,0,345,554,314,581,382,581,370,266,390,133,285,266,45,266,255,266,195,266,360,0,450,0,285,266,315,133,90,0,240,0,435,486,488,0,405,528,354,0,165,622,77,266,405,575,327,0,465,806,251,652,338,798,140,266,375,266,135,456,91,133,480,452,99,133,75,266,330,133,405,133,330,0,30,0,495,133,435,437,120,427,133,436,109,0,105,133,120,804,261,133,465,133,420,266,465,266,270,796,336,0,480,568,337,266,90,0,75,474,230,133,270,0,210,0,135,0,195,496,334,572,283,0,510,0,180,266,150,133,450,133,135,1470372797
501,476,133,105,787,105,559,304,0,150,133,345,133,300,760,130,266,300,133,255,266,60,266,120,0,270,0,420,769,117,133,390,266,75,266,450,133,30,133,60,636,67,266,285,133,240,0,315,586,88,266,165,751,149,133,225,544,292,0,90,514,344,266,210,0,255,0,360,0,345,554,314,581,382,581,370,266,390,133,285,266,45,266,255,266,195,266,360,0,450,0,285,266,315,133,90,488,498,0,435,486,488,0,405,528,354,0,165,622,77,706,81,575,327,0,465,806,251,652,338,798,140,266,375,266,135,456,91,133,480,452,99,133,75,266,330,133,405,133,330,0,30,0,495,674,306,437,120,427,133,436,109,0,105,133,120,804,261,133,465,133,420,266,465,266,270,796,336,0,480,568,337,266,90,0,75,474,230,133,270,0,210,0,135,0,195,496,334,572,283,0,510,0,180,266,150,133,450,133,135,1470372812
