133,(52-34)*15+15,133,(61-34)*15+15,133,(44-34)*15+15,266,(80-67)*15+15,266,(67-67)*15+15,133,(56-34)*15+15,266,(84-67)*15+15,133,(48-34)*15+15,0,0*15+15,133,(51-34)*15+15,0,2*15+15,0,11*15+15,133,(46-34)*15+15,0,20*15+15,133,(59-34)*15+15,133,(40-34)*15+15,266,(97-67)*15+15,133,(37-34)*15+15,133,(49-34)*15+15,266,(87-67)*15+15,266,(82-67)*15+15,133,(62-34)*15+15,266,(95-67)*15+15,0,18*15+15,0,32*15+15,266,(78-67)*15+15,133,(34-34)*15+15,133,(65-34)*15+15,133,(66-34)*15+15,133,(42-34)*15+15,0,25*15+15,0,33*15+15,266,(88-67)*15+15,133,(58-34)*15+15,133,(63-34)*15+15,0,24*15+15,0,6*15+15,0,31*15+15,266,(74-67)*15+15,0,3*15+15,266,(71-67)*15+15,0,1*15+15,133,(55-34)*15+15,0,13*15+15,0,12*15+15,266,(70-67)*15+15,266,(68-67)*15+15,266,(92-67)*15+15,0,15*15+15,0,30*15+15,0,27*15+15,266,(75-67)*15+15,0,22*15+15,0,26*15+15,266,(89-67)*15+15,133,(60-34)*15+15,133,(53-34)*15+15,133,(41-34)*15+15,0,8*15+15,266,(77-67)*15+15,266,(91-67)*15+15,133,(36-34)*15+15,133,(38-34)*15+15,0,23*15+15,266,(86-67)*15+15,266,(79-67)*15+15,0,28*15+15,266,(76-67)*15+15,0,7*15+15,266,(85-67)*15+15,266,(96-67)*15+15,266,(83-67)*15+15,266,(93-67)*15+15,133,(54-34)*15+15,266,(98-67)*15+15,0,21*15+15,0,5*15+15,133,(43-34)*15+15,133,(35-34)*15+15,266,(72-67)*15+15,0,14*15+15,0,4*15+15,133,(39-34)*15+15,0,29*15+15,133,(45-34)*15+15,0,17*15+15,266,(81-67)*15+15,0,19*15+15,133,(57-34)*15+15,133,(50-34)*15+15,0,9*15+15,133,(64-34)*15+15,133,(47-34)*15+15,266,(73-67)*15+15,266,(90-67)*15+15,266,(94-67)*15+15,266,(99-67)*15+15,0,16*15+15,0,10*15+15,266,(69-67)*15+15,1491472176
133,285,133,420,133,165,266,210,266,15,133,345,266,270,133,225,0,15,133,270,0,45,0,180,133,195,0,315,133,390,133,105,266,465,133,60,133,240,266,315,266,240,133,435,266,435,0,285,0,495,266,180,133,15,133,480,133,495,133,135,0,390,0,510,266,330,133,375,133,450,0,375,0,105,0,480,266,120,0,60,450,28,0,30,133,330,0,210,0,195,340,168,266,30,266,390,0,240,0,465,0,420,266,135,0,345,0,405,266,345,133,405,133,300,133,120,0,135,266,165,266,375,133,45,133,75,0,360,266,300,266,195,0,435,266,150,0,120,266,285,266,450,266,255,266,405,133,315,266,480,0,330,0,90,133,150,133,30,266,90,0,225,0,75,133,90,0,450,133,180,0,270,266,225,0,300,133,360,133,255,0,150,133,465,133,210,266,105,266,360,266,420,266,495,0,255,0,165,266,45,1491472211
133,285,133,420,133,165,266,210,664,195,133,345,266,270,133,225,0,15,133,270,0,45,0,180,133,195,0,315,133,390,133,105,266,465,133,60,133,240,266,315,266,240,133,435,266,435,0,285,0,495,266,180,133,15,133,480,133,495,133,135,0,390,0,510,266,330,133,375,133,450,0,375,0,105,0,480,700,212,0,60,450,28,0,30,133,330,0,210,0,195,422,284,441,35,266,390,0,240,0,465,0,420,266,135,0,345,0,405,266,345,133,405,133,300,133,120,0,135,446,59,266,375,133,45,133,75,0,360,266,300,266,195,0,435,799,438,0,120,266,285,266,450,266,255,266,405,133,315,266,480,0,330,0,90,133,150,133,30,612,456,0,225,0,75,133,90,0,450,133,180,0,270,266,225,0,300,133,360,133,255,0,150,133,465,133,210,266,105,266,360,266,420,266,495,0,255,0,165,686,182,1491472226
133,285,133,420,133,165,681,219,664,195,133,345,266,270,133,225,0,15,133,270,0,45,0,180,133,195,0,315,133,390,133,105,266,465,133,60,133,240,266,315,613,230,133,435,266,435,0,285,0,495,720,90,133,15,133,480,133,495,133,135,0,390,0,510,266,330,133,375,133,450,0,375,0,105,0,480,700,212,0,60,450,28,0,30,133,330,0,210,0,195,422,284,441,35,266,390,0,240,0,465,0,420,422,305,0,345,0,405,266,345,133,405,133,300,133,120,0,135,446,59,266,375,133,45,133,75,0,360,266,300,670,276,0,435,799,438,0,120,266,285,266,450,268,255,266,405,133,315,266,480,0,330,0,90,133,150,133,30,612,456,0,225,0,75,133,90,0,450,133,180,0,270,639,259,0,300,133,360,133,255,0,150,133,465,133,210,698,229,266,360,266,420,266,495,0,255,0,165,686,182,1491472241
133,285,133,420,133,165,681,219,664,195,133,345,750,259,133,225,0,15,133,270,0,45,0,180,133,195,0,315,133,390,133,105,266,465,133,60,133,240,266,315,599,240,133,435,266,435,0,285,0,495,914,251,133,15,133,480,133,495,133,135,0,390,0,510,266,330,133,375,133,450,0,375,0,105,0,480,700,212,0,60,450,28,0,30,133,330,0,210,0,195,422,284,441,35,266,390,0,240,0,465,0,420,422,305,0,345,0,405,266,345,133,405,133,300,133,120,0,135,446,59,266,375,133,45,133,75,0,360,893,323,670,276,0,435,799,438,0,120,888,292,266,450,598,266,266,405,133,315,266,480,0,330,0,90,133,150,133,30,612,456,0,225,0,75,133,90,0,450,133,180,0,270,639,259,0,300,133,360,133,255,0,150,133,465,133,210,698,229,266,360,266,420,266,495,0,255,0,165,686,182,1491472256
133,285,133,420,133,165,681,219,664,195,133,345,750,259,133,225,0,15,133,270,0,45,0,180,133,195,0,315,133,390,133,105,266,465,133,60,133,240,728,242,599,240,133,435,266,435,0,285,0,495,914,251,133,15,133,480,133,495,133,135,0,390,0,510,661,251,133,375,133,450,0,375,0,105,0,480,700,212,0,60,450,28,0,30,133,330,0,210,0,195,422,284,441,35,438,34,0,240,0,465,0,420,422,305,0,345,0,405,700,243,133,405,133,300,133,120,0,135,446,59,911,297,133,45,133,75,0,360,893,323,670,276,0,435,799,438,0,120,888,292,266,450,598,266,705,241,133,315,266,480,0,330,0,90,133,150,133,30,612,456,0,225,0,75,133,90,0,450,133,180,0,270,639,259,0,300,133,360,133,255,0,150,133,465,133,210,698,229,720,240,266,420,266,495,0,255,0,165,686,182,1491472271
133,285,133,420,133,165,681,219,664,195,133,345,750,259,133,225,0,15,133,270,0,45,0,180,133,195,0,315,133,390,133,105,421,264,133,60,133,240,728,242,599,240,133,435,636,206,0,285,0,495,914,251,133,15,133,480,133,495,133,135,0,390,0,510,661,251,133,375,133,450,0,375,0,105,0,480,700,212,0,60,450,28,0,30,133,330,0,210,0,195,422,284,441,35,438,34,0,240,0,465,0,420,422,305,0,345,0,405,700,243,133,405,133,300,133,120,0,135,446,59,911,297,133,45,133,75,0,360,893,323,670,276,0,435,799,438,0,120,888,292,676,191,598,266,705,241,133,315,633,225,0,330,0,90,133,150,133,30,612,456,0,225,0,75,133,90,0,450,133,180,0,270,639,259,0,300,133,360,133,255,0,150,133,465,133,210,698,229,720,240,442,238,618,445,0,255,0,165,686,182,1491472286
133,285,133,420,133,165,681,219,664,195,133,345,750,259,133,225,0,15,133,270,0,45,0,180,133,195,0,315,687,243,653,202,421,264,641,232,133,240,728,242,599,240,133,435,636,206,0,285,0,495,914,251,133,15,133,480,133,495,133,135,0,390,0,510,661,251,679,276,133,450,0,375,0,105,0,480,700,212,0,60,450,28,0,30,447,34,0,210,0,195,422,284,441,35,438,34,0,240,0,465,0,420,422,305,0,345,0,405,700,243,700,238,133,300,673,233,0,135,446,59,911,297,133,45,683,231,0,360,893,323,670,276,0,435,799,438,0,120,888,292,676,191,598,266,705,241,133,315,633,225,0,330,0,90,133,150,133,30,612,456,0,225,0,75,647,238,0,450,133,180,0,270,639,259,0,300,898,326,133,255,0,150,133,465,133,210,698,229,720,240,442,238,618,445,0,255,0,165,686,182,1491472301
133,285,133,420,718,269,681,219,664,195,133,345,750,259,785,199,0,15,133,270,0,45,0,180,133,195,0,315,687,243,653,202,421,264,641,232,458,257,728,242,599,240,133,435,636,206,0,285,0,495,914,251,133,15,133,480,133,495,633,233,0,390,0,510,661,251,679,276,133,450,0,375,0,105,0,480,700,212,0,60,450,28,0,30,447,34,0,210,0,195,422,284,441,35,438,34,0,240,0,465,0,420,422,305,0,345,0,405,700,243,700,238,133,300,673,233,0,135,446,59,911,297,133,45,683,231,0,360,893,323,670,276,0,435,667,248,0,120,888,292,676,191,598,266,705,241,133,315,633,225,0,330,0,90,610,455,133,30,612,456,0,225,0,75,647,238,0,450,744,245,0,270,639,259,0,300,898,326,628,236,0,150,133,465,673,237,698,229,720,240,442,238,618,445,0,255,0,165,686,182,1491472316
614,225,645,259,718,269,681,219,664,195,674,245,750,259,688,225,0,15,584,225,0,45,0,180,601,253,0,315,687,243,653,202,421,264,641,232,458,257,728,242,599,240,646,257,636,206,0,285,0,495,914,251,133,15,133,480,133,495,633,233,0,390,0,510,661,251,679,276,133,450,0,375,0,105,0,480,700,212,0,60,450,28,0,30,447,34,0,210,0,195,422,284,441,35,438,34,0,240,0,465,0,420,422,305,0,345,0,405,700,243,700,238,670,235,673,233,0,135,446,59,911,297,133,45,683,231,0,360,893,323,670,276,0,435,667,248,0,120,888,292,676,191,598,266,705,241,703,221,633,225,0,330,0,90,610,455,133,30,612,456,0,225,0,75,647,238,0,450,744,245,0,270,639,259,0,300,898,326,644,229,0,150,133,465,673,237,698,229,720,240,442,238,618,445,0,255,0,165,686,182,1491472331
614,225,645,259,718,269,681,219,664,195,674,245,750,259,688,225,0,15,584,225,0,45,0,180,601,253,0,315,687,243,653,202,421,264,641,232,458,257,728,242,599,240,646,257,636,206,0,285,0,495,914,251,679,228,765,224,631,257,633,233,0,390,0,510,661,251,679,276,660,279,0,375,0,105,0,480,700,212,0,60,450,28,0,30,447,34,0,210,0,195,422,284,441,35,438,34,0,240,0,465,0,420,422,305,0,345,0,405,700,243,700,238,670,235,673,233,0,135,446,59,911,297,666,238,683,231,0,360,893,323,670,276,0,435,667,248,0,120,888,292,676,191,598,266,705,241,703,221,633,225,0,330,0,90,610,455,620,447,612,456,0,225,0,75,647,238,0,450,744,245,0,270,639,259,0,300,898,326,644,229,0,150,741,250,673,237,698,229,720,240,442,238,618,445,0,255,420,279,686,182,1491472346
