266,(94-67)*15+15,133,(46-34)*15+15,133,(57-34)*15+15,266,(70-67)*15+15,133,(42-34)*15+15,133,(36-34)*15+15,0,27*15+15,0,30*15+15,266,(97-67)*15+15,133,(52-34)*15+15,133,(53-34)*15+15,0,19*15+15,133,(66-34)*15+15,266,(82-67)*15+15,0,31*15+15,266,(76-67)*15+15,133,(61-34)*15+15,266,(86-67)*15+15,0,1*15+15,0,25*15+15,0,20*15+15,133,(54-34)*15+15,133,(40-34)*15+15,133,(56-34)*15+15,133,(44-34)*15+15,133,(39-34)*15+15,266,(92-67)*15+15,266,(69-67)*15+15,0,11*15+15,133,(38-34)*15+15,266,(87-67)*15+15,133,(62-34)*15+15,0,22*15+15,0,12*15+15,0,33*15+15,133,(43-34)*15+15,266,(88-67)*15+15,266,(75-67)*15+15,266,(96-67)*15+15,133,(63-34)*15+15,266,(85-67)*15+15,266,(79-67)*15+15,0,0*15+15,266,(74-67)*15+15,266,(95-67)*15+15,0,6*15+15,266,(99-67)*15+15,0,3*15+15,133,(41-34)*15+15,0,18*15+15,133,(49-34)*15+15,133,(45-34)*15+15,266,(93-67)*15+15,266,(78-67)*15+15,266,(80-67)*15+15,266,(81-67)*15+15,0,2*15+15,266,(72-67)*15+15,266,(90-67)*15+15,133,(51-34)*15+15,133,(65-34)*15+15,0,10*15+15,133,(37-34)*15+15,266,(98-67)*15+15,0,13*15+15,0,32*15+15,0,4*15+15,0,29*15+15,133,(60-34)*15+15,0,26*15+15,266,(83-67)*15+15,0,28*15+15,133,(34-34)*15+15,133,(64-34)*15+15,266,(91-67)*15+15,0,17*15+15,0,23*15+15,133,(55-34)*15+15,266,(84-67)*15+15,266,(77-67)*15+15,0,15*15+15,266,(68-67)*15+15,133,(48-34)*15+15,133,(50-34)*15+15,0,7*15+15,133,(58-34)*15+15,0,14*15+15,0,16*15+15,0,5*15+15,0,21*15+15,0,24*15+15,0,8*15+15,266,(89-67)*15+15,0,9*15+15,133,(35-34)*15+15,266,(73-67)*15+15,133,(59-34)*15+15,266,(67-67)*15+15,266,(71-67)*15+15,133,(47-34)*15+15,1466084213
266,420,133,195,133,360,266,60,133,135,133,45,0,420,0,465,266,465,133,285,133,300,0,300,133,495,266,240,0,480,266,150,133,420,266,300,852,479,0,390,0,315,133,315,133,105,133,345,133,165,133,90,266,390,266,45,0,180,133,75,266,315,133,435,0,345,0,195,0,510,133,150,266,330,266,135,266,450,133,450,266,285,266,195,457,189,266,120,266,435,0,105,266,495,0,60,133,120,0,285,133,240,133,180,266,405,266,180,266,210,266,225,0,45,266,90,266,360,133,270,133,480,0,165,133,60,266,480,0,210,0,495,0,75,0,450,133,405,0,405,266,255,0,435,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,0,120,133,375,0,225,0,255,0,90,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,133,210,1466084236
266,420,133,195,133,360,266,60,133,135,133,45,0,420,806,428,266,465,133,285,133,300,0,300,133,495,266,240,823,464,266,150,133,420,266,300,852,479,0,390,0,315,133,315,133,105,133,345,133,165,133,90,266,390,266,45,0,180,133,75,266,315,133,435,0,345,0,195,753,491,133,150,266,330,266,135,266,450,133,450,266,285,266,195,457,189,266,120,266,435,0,105,266,495,0,60,133,120,0,285,133,240,133,180,266,405,266,180,266,210,266,225,0,45,266,90,266,360,133,270,133,480,0,165,133,60,266,480,0,210,0,495,0,75,0,450,133,405,0,405,266,255,0,435,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,0,120,133,375,0,225,0,255,0,90,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,133,210,1466084251
266,420,133,195,133,360,266,60,133,135,133,45,0,420,806,428,266,465,133,285,133,300,0,300,654,460,266,240,823,464,266,150,133,420,266,300,688,491,0,390,0,315,133,315,133,105,133,345,133,165,133,90,266,390,266,45,0,180,133,75,266,315,133,435,0,345,0,195,685,337,133,150,266,330,266,135,266,450,133,450,266,285,266,195,645,124,266,120,266,435,0,105,266,495,0,60,133,120,0,285,133,240,133,180,266,405,266,180,266,210,266,225,0,45,266,90,266,360,133,270,133,480,0,165,133,60,266,480,0,210,0,495,0,75,0,450,133,405,0,405,266,255,0,435,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,0,120,133,375,0,225,0,255,0,90,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,133,210,1466084266
266,420,133,195,133,360,266,60,133,135,133,45,0,420,604,474,266,465,133,285,133,300,0,300,674,364,266,240,722,478,266,150,133,420,266,300,680,491,0,390,0,315,133,315,133,105,133,345,133,165,133,90,266,390,266,45,0,180,133,75,266,315,133,435,0,345,0,195,676,434,133,150,266,330,266,135,266,450,133,450,266,285,266,195,645,124,266,120,266,435,0,105,266,495,0,60,133,120,0,285,133,240,133,180,266,405,266,180,266,210,266,225,0,45,266,90,266,360,133,270,133,480,0,165,133,60,266,480,0,210,0,495,0,75,0,450,133,405,0,405,266,255,0,435,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,0,120,133,375,0,225,0,255,0,90,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,133,210,1466084281
266,420,133,195,133,360,266,60,133,135,133,45,0,420,604,474,266,465,133,285,133,300,0,300,674,351,266,240,722,478,266,150,133,420,266,300,680,491,0,390,0,315,133,315,133,105,133,345,133,165,133,90,266,390,266,45,0,180,133,75,266,315,133,435,765,440,0,195,682,417,133,150,266,330,266,135,266,450,133,450,266,285,266,195,645,124,266,120,266,435,0,105,266,495,0,60,133,120,0,285,133,240,133,180,266,405,266,180,266,210,266,225,0,45,266,90,266,360,133,270,133,480,0,165,133,60,266,480,0,210,0,495,0,75,0,450,133,405,0,405,266,255,0,435,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,8,120,133,375,0,225,0,255,0,90,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,133,210,1466084296
266,420,133,195,133,360,266,60,133,135,133,45,0,420,604,474,266,465,133,285,133,300,0,300,674,351,266,240,722,478,266,150,133,420,266,300,680,491,0,390,0,315,133,315,133,105,133,345,133,165,133,90,266,390,266,45,0,180,133,75,266,315,133,435,765,440,0,195,682,417,133,150,266,330,266,135,266,450,133,450,266,285,266,195,645,124,266,120,266,435,0,105,266,495,0,60,133,120,0,285,131,250,133,180,266,405,266,180,266,210,266,225,0,45,266,90,266,360,133,270,813,491,0,165,133,60,266,480,0,210,0,495,0,75,0,450,133,405,0,405,266,255,0,435,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,8,120,133,375,0,225,0,255,0,90,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,133,210,1466084311
266,420,133,195,133,360,266,60,133,135,133,45,0,420,604,474,266,465,133,285,133,300,0,300,674,351,266,240,722,478,266,150,133,420,266,300,680,491,355,493,0,315,133,315,133,105,133,345,133,165,133,90,266,390,266,45,0,180,133,75,266,315,133,435,765,440,0,195,682,417,133,150,266,330,266,135,266,450,133,450,266,285,266,195,645,124,266,120,266,435,0,105,266,495,0,60,133,120,0,285,815,520,133,180,266,405,266,180,266,210,266,225,0,45,266,90,266,360,133,270,813,491,0,165,133,60,266,480,0,210,0,495,0,75,0,450,133,405,0,405,266,255,0,435,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,8,120,133,375,0,225,0,255,0,90,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,133,210,1466084326
266,420,133,195,133,360,266,60,133,135,133,45,0,420,604,474,266,465,133,285,133,300,0,300,674,351,266,240,722,478,266,150,133,420,266,300,680,491,-1,390,0,315,133,315,133,105,133,345,133,165,133,90,266,390,266,45,0,180,133,75,266,315,133,435,765,440,0,195,682,417,133,150,266,330,266,135,266,450,133,450,266,285,266,195,645,124,266,120,266,435,0,105,266,495,0,60,133,120,0,285,827,533,133,180,266,405,266,180,266,210,266,225,0,45,266,90,266,360,133,270,813,491,0,165,133,60,266,480,0,210,0,495,0,75,0,450,133,405,0,405,266,255,0,435,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,8,120,133,375,0,225,0,255,0,90,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,133,210,1466084341
266,420,133,195,133,360,266,60,133,135,133,45,0,420,604,474,266,465,133,285,133,300,0,300,674,351,266,240,722,478,266,150,133,420,266,300,680,491,-1,390,0,315,133,315,133,105,133,345,133,165,133,90,266,390,266,45,0,180,133,75,266,315,133,435,765,440,0,195,682,417,133,150,266,330,266,135,266,450,133,450,266,285,266,195,645,124,266,120,266,435,0,106,266,495,0,60,133,120,0,285,821,530,133,180,266,405,266,180,266,210,266,225,0,45,266,90,266,360,133,270,813,491,0,165,133,60,266,480,0,210,0,495,902,489,0,450,133,405,0,405,266,255,0,435,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,8,120,133,375,0,225,0,255,270,310,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,133,210,1466084356
266,420,133,195,133,360,266,60,133,135,133,45,0,420,604,474,266,465,133,285,133,300,0,300,674,351,266,240,722,478,266,150,133,420,266,300,680,491,-1,390,0,315,133,315,133,105,133,345,133,165,133,90,266,390,266,45,0,180,798,424,266,315,133,435,765,440,0,195,682,417,133,150,266,330,266,135,266,450,133,450,266,285,266,195,645,124,266,120,266,435,0,106,266,495,0,60,133,120,0,285,821,530,133,180,266,405,266,180,266,210,266,225,0,45,266,90,266,360,133,270,813,491,0,165,133,60,266,480,0,210,0,495,902,489,0,450,133,405,0,405,266,255,0,435,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,8,120,133,375,0,225,0,255,16,81,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,133,210,1466084371
