266,(95-67)*15+15,266,(99-67)*15+15,266,(72-67)*15+15,133,(59-34)*15+15,133,(58-34)*15+15,266,(89-67)*15+15,266,(85-67)*15+15,0,7*15+15,0,20*15+15,266,(86-67)*15+15,133,(54-34)*15+15,0,28*15+15,133,(65-34)*15+15,0,33*15+15,133,(36-34)*15+15,266,(90-67)*15+15,133,(63-34)*15+15,133,(43-34)*15+15,0,12*15+15,133,(66-34)*15+15,133,(37-34)*15+15,0,4*15+15,133,(38-34)*15+15,133,(45-34)*15+15,266,(71-67)*15+15,133,(61-34)*15+15,133,(57-34)*15+15,0,29*15+15,133,(49-34)*15+15,0,17*15+15,0,6*15+15,266,(70-67)*15+15,266,(82-67)*15+15,266,(83-67)*15+15,0,32*15+15,133,(39-34)*15+15,0,23*15+15,0,14*15+15,0,5*15+15,266,(76-67)*15+15,0,15*15+15,0,31*15+15,266,(98-67)*15+15,266,(68-67)*15+15,0,9*15+15,0,2*15+15,0,0*15+15,133,(53-34)*15+15,0,19*15+15,133,(62-34)*15+15,133,(34-34)*15+15,0,30*15+15,266,(80-67)*15+15,133,(42-34)*15+15,133,(56-34)*15+15,0,18*15+15,133,(41-34)*15+15,266,(97-67)*15+15,266,(79-67)*15+15,0,27*15+15,133,(48-34)*15+15,266,(81-67)*15+15,0,21*15+15,133,(52-34)*15+15,0,25*15+15,133,(35-34)*15+15,133,(55-34)*15+15,266,(96-67)*15+15,266,(92-67)*15+15,0,26*15+15,133,(47-34)*15+15,266,(93-67)*15+15,133,(40-34)*15+15,0,11*15+15,0,1*15+15,266,(91-67)*15+15,133,(50-34)*15+15,133,(46-34)*15+15,0,16*15+15,133,(64-34)*15+15,0,13*15+15,266,(73-67)*15+15,266,(69-67)*15+15,266,(77-67)*15+15,0,3*15+15,266,(84-67)*15+15,266,(78-67)*15+15,0,24*15+15,266,(87-67)*15+15,0,22*15+15,0,10*15+15,266,(88-67)*15+15,266,(74-67)*15+15,266,(75-67)*15+15,266,(94-67)*15+15,133,(60-34)*15+15,133,(51-34)*15+15,133,(44-34)*15+15,0,8*15+15,266,(67-67)*15+15,1477341211
266,435,266,495,266,90,133,390,133,375,266,345,266,285,0,120,0,315,266,300,133,315,0,435,133,480,0,510,133,45,266,360,133,450,133,150,0,195,133,495,133,60,0,75,133,75,133,180,266,75,133,420,133,360,0,450,133,240,0,270,0,105,266,60,266,240,266,255,0,495,133,90,0,360,0,225,0,90,266,150,0,240,0,480,266,480,266,30,0,150,0,45,0,15,133,300,0,300,133,435,133,15,0,465,266,210,133,135,133,345,0,285,133,120,266,465,266,195,0,420,133,225,266,225,0,330,133,285,0,390,133,30,133,330,266,450,266,390,0,405,133,210,266,405,133,105,0,180,0,30,266,375,133,255,133,195,0,255,133,465,0,210,266,105,266,45,266,165,0,60,266,270,266,180,0,375,266,315,0,345,0,165,266,330,266,120,266,135,266,420,133,405,133,270,133,165,0,135,266,15,1477341228
266,435,266,495,266,90,133,390,133,375,266,345,266,285,0,120,0,315,266,300,133,315,0,435,133,480,0,510,133,45,266,360,133,450,133,150,0,195,133,495,133,60,0,75,133,75,133,180,266,75,133,420,133,360,0,450,133,240,0,270,0,105,266,60,266,240,266,255,0,495,133,90,0,360,0,225,0,90,266,150,0,240,0,480,266,480,266,30,0,150,0,45,0,15,133,300,0,300,133,435,133,15,0,465,266,210,133,135,133,345,0,285,133,120,266,465,266,195,0,420,133,225,266,225,0,330,133,285,0,390,133,30,133,330,266,450,266,390,0,405,133,210,266,405,133,105,0,180,0,30,266,375,133,255,133,195,0,255,133,465,0,210,266,105,266,45,266,165,0,60,266,270,266,180,0,375,266,315,0,345,0,165,266,330,266,120,266,135,266,420,133,405,133,270,133,165,0,135,266,15,1477341251
266,435,266,495,266,90,133,390,133,375,266,345,266,285,0,120,0,315,266,300,133,315,0,435,133,480,0,510,133,45,266,360,133,450,133,150,0,195,133,495,133,60,0,75,133,75,133,180,266,75,133,420,133,360,0,450,133,240,0,270,0,105,266,60,266,240,266,255,0,495,133,90,0,360,0,225,0,90,266,150,0,240,0,480,266,480,266,30,0,150,0,45,896,483,133,300,0,300,133,435,133,15,0,465,266,210,133,135,133,345,0,285,133,120,266,465,266,195,0,420,133,225,266,225,0,330,133,285,0,390,133,30,133,330,266,450,266,390,0,405,133,210,266,405,133,105,0,180,2,30,266,375,133,255,133,195,0,255,133,465,0,210,266,105,266,45,266,165,0,60,266,270,266,180,0,375,266,315,0,345,0,165,266,330,266,120,266,135,266,420,133,405,133,270,133,165,0,135,266,15,1477341266
266,435,266,495,266,90,133,390,133,375,266,345,266,285,0,120,0,315,266,300,133,315,0,435,133,480,0,510,133,45,266,360,133,450,133,150,0,195,133,495,133,60,708,376,133,75,133,180,266,75,133,420,133,360,0,450,133,240,0,270,0,105,266,60,266,240,266,255,0,495,133,90,0,360,0,225,0,90,266,150,0,240,0,480,266,480,266,30,0,150,895,498,896,483,133,300,0,300,133,435,133,15,0,465,266,210,133,135,133,345,0,285,133,120,266,465,266,195,0,420,133,225,266,225,0,330,133,285,0,390,133,30,133,330,266,450,266,390,0,405,133,210,266,405,133,105,0,180,479,94,266,375,133,255,133,195,0,255,133,465,0,210,266,105,266,45,266,165,0,60,266,270,266,180,0,375,266,315,0,345,0,165,266,330,266,120,266,135,266,420,133,405,133,270,133,165,0,135,266,15,1477341281
266,435,266,495,266,90,133,390,133,375,266,345,266,285,0,120,0,315,266,300,133,315,0,435,133,480,0,510,133,45,266,360,133,450,133,150,0,195,133,495,133,60,725,362,133,75,133,180,266,75,133,420,133,360,0,450,133,240,0,270,756,63,266,60,266,240,266,255,0,495,133,90,0,360,0,225,759,75,266,150,0,240,0,480,266,480,266,30,0,150,895,498,896,483,133,300,0,300,133,435,133,15,0,465,266,210,133,135,133,345,0,285,133,120,266,465,266,195,0,420,133,225,266,225,0,330,133,285,0,390,133,30,133,330,266,450,266,390,0,405,133,210,266,405,133,105,0,180,479,94,266,375,133,255,133,195,0,255,133,465,0,210,266,105,266,45,266,165,0,60,266,270,266,180,0,375,266,315,0,345,0,165,266,330,266,120,266,135,266,420,133,405,133,270,133,165,483,500,266,15,1477341296
266,435,266,495,266,90,133,390,133,375,266,345,266,285,0,120,0,315,266,300,133,315,0,435,133,480,0,510,133,45,266,360,133,450,133,150,0,195,133,495,133,60,725,362,133,75,133,180,266,75,133,420,133,360,0,450,133,240,0,270,446,532,266,60,266,240,266,255,0,495,133,90,0,360,0,225,450,550,266,150,0,240,0,480,266,480,266,30,0,150,895,498,896,483,133,300,0,300,133,435,133,15,0,465,266,210,133,135,133,345,0,285,133,120,266,465,266,195,0,420,133,225,266,225,0,330,133,285,0,390,133,30,133,330,266,450,266,390,0,405,133,210,266,405,133,105,0,180,479,94,266,375,133,255,133,195,0,255,133,465,0,210,266,105,266,45,266,165,651,252,266,270,266,180,0,375,266,315,0,345,0,165,266,330,266,120,266,135,266,420,133,405,133,270,133,165,470,321,266,15,1477341311
266,435,266,495,266,90,133,390,133,375,266,345,266,285,855,102,0,315,266,300,133,315,0,435,133,480,0,510,133,45,266,360,133,450,133,150,0,195,133,495,133,60,725,362,133,75,133,180,266,75,133,420,133,360,0,450,133,240,0,270,446,532,266,60,266,240,266,255,0,495,133,90,0,360,0,225,450,550,266,150,0,240,0,480,266,480,266,30,891,467,895,498,896,483,133,300,0,300,133,435,133,15,0,465,266,210,133,135,133,345,0,285,133,120,266,465,266,195,0,420,133,225,266,225,0,330,133,285,0,390,133,30,133,330,266,450,266,390,0,405,133,210,266,405,133,105,0,180,479,94,266,375,133,255,133,195,0,255,133,465,0,210,266,105,266,45,266,165,651,252,266,270,266,180,0,375,266,315,0,345,891,515,266,330,266,120,266,135,266,420,133,405,133,270,133,165,470,321,266,15,1477341326
266,435,266,495,266,90,133,390,133,375,266,345,266,285,855,102,0,315,266,300,133,315,0,435,133,480,0,510,133,45,266,360,133,450,133,150,0,195,133,495,133,60,725,362,133,75,133,180,266,75,133,420,133,360,0,450,133,240,0,270,446,532,266,60,266,240,266,255,0,495,133,90,0,360,0,225,450,550,266,150,0,240,0,480,266,480,266,30,891,467,895,498,896,483,133,300,0,300,133,435,133,15,0,465,266,210,133,135,133,345,0,285,133,120,266,465,266,195,0,420,133,225,266,225,0,330,133,285,0,390,133,30,133,330,266,450,266,390,0,405,133,210,266,405,133,105,818,244,479,94,266,375,133,255,133,195,0,255,133,465,861,125,266,105,266,45,266,165,651,252,266,270,266,180,0,375,266,315,0,345,891,515,266,330,266,120,266,135,266,420,133,405,133,270,133,165,470,321,266,15,1477341341
266,435,266,495,266,90,133,390,133,375,266,345,266,285,855,102,0,315,266,300,133,315,0,435,133,480,0,510,133,45,266,360,133,450,133,150,860,115,133,495,133,60,725,362,133,75,133,180,266,75,133,420,133,360,0,450,133,240,0,270,446,532,266,60,266,240,266,255,0,495,133,90,0,360,96,238,450,550,266,150,0,240,0,480,266,480,266,30,891,467,895,498,896,483,133,300,0,300,133,435,133,15,0,465,266,210,133,135,133,345,0,285,133,120,266,465,266,195,0,420,133,225,266,225,0,330,133,285,0,390,133,30,133,330,266,450,266,390,0,405,133,210,266,405,133,105,818,244,479,94,266,375,133,255,133,195,0,255,133,465,678,528,266,105,266,45,266,165,651,252,266,270,266,180,0,375,266,315,0,345,891,515,266,330,266,120,266,135,266,420,133,405,133,270,133,165,470,321,266,15,1477341356
266,435,266,495,266,90,133,390,133,375,266,345,266,285,855,102,0,315,266,300,133,315,0,435,133,480,0,510,133,45,266,360,133,450,133,150,860,115,133,495,133,60,725,362,133,75,133,180,266,75,133,420,133,360,0,450,133,240,0,270,446,532,266,60,266,240,266,255,0,495,133,90,0,360,518,484,450,550,266,150,893,450,0,480,266,480,266,30,891,467,895,498,896,483,133,300,0,300,133,435,133,15,0,465,266,210,133,135,133,345,0,285,133,120,266,465,266,195,0,420,133,225,266,225,0,330,133,285,0,390,133,30,133,330,266,450,266,390,0,405,133,210,266,405,133,105,818,244,479,94,266,375,133,255,133,195,677,508,133,465,678,528,266,105,266,45,266,165,651,252,266,270,266,180,0,375,266,315,0,345,891,515,266,330,266,120,266,135,266,420,133,405,133,270,133,165,470,321,266,15,1477341371
266,435,266,495,266,90,133,390,133,375,266,345,266,285,855,102,0,315,266,300,133,315,0,435,133,480,0,510,133,45,266,360,133,450,133,150,860,115,133,495,133,60,725,362,133,75,133,180,266,75,133,420,133,360,0,450,133,240,704,121,446,532,266,60,266,240,266,255,0,495,133,90,0,360,518,484,450,550,266,150,893,450,0,480,266,480,266,30,891,467,895,498,896,483,133,300,0,300,133,435,133,15,0,465,266,210,133,135,133,345,515,139,133,120,266,465,266,195,0,420,133,225,266,225,0,330,133,285,0,390,133,30,133,330,266,450,266,390,0,405,133,210,266,405,133,105,818,244,479,94,266,375,133,255,133,195,677,508,133,465,678,528,266,105,266,45,266,165,651,252,266,270,266,180,0,375,266,315,0,345,891,515,266,330,266,120,266,135,266,420,133,405,133,270,133,165,470,321,266,15,1477341386
266,435,266,495,266,90,133,390,133,375,266,345,266,285,855,102,0,315,266,300,133,315,0,435,133,480,0,510,133,45,266,360,133,450,133,150,860,115,133,495,133,60,725,362,133,75,133,180,266,75,133,420,133,360,0,450,133,240,704,121,446,532,266,60,266,240,266,255,0,495,133,90,0,360,518,484,450,550,266,150,893,450,0,480,266,480,266,30,891,467,895,498,896,483,133,300,565,424,133,435,133,15,0,465,266,210,133,135,133,345,707,134,133,120,266,465,266,195,0,420,133,225,266,225,0,330,133,285,0,390,133,30,133,330,266,450,266,390,0,405,133,210,266,405,133,105,818,244,479,94,266,375,133,255,133,195,677,508,133,465,678,528,266,105,266,45,266,165,651,252,266,270,266,180,0,375,266,315,0,345,891,515,266,330,266,120,266,135,266,420,133,405,133,270,133,165,470,321,266,15,1477341401
266,435,266,495,266,90,133,390,133,375,266,345,266,285,855,102,717,102,266,300,133,315,0,435,133,480,0,510,133,45,266,360,133,450,133,150,860,115,133,495,133,60,725,362,133,75,133,180,266,75,133,420,133,360,0,450,133,240,704,121,446,532,266,60,266,240,266,255,0,495,133,90,0,360,518,484,450,550,266,150,893,450,0,480,266,480,266,30,891,467,895,498,896,483,133,300,565,424,133,435,133,15,0,465,266,210,133,135,133,345,707,134,133,120,266,465,266,195,0,420,133,225,266,225,775,261,133,285,0,390,133,30,133,330,266,450,266,390,0,405,133,210,266,405,133,105,818,244,479,94,266,375,133,255,133,195,677,508,133,465,678,528,266,105,266,45,266,165,651,252,266,270,266,180,0,375,266,315,690,161,891,515,266,330,266,120,266,135,266,420,133,405,133,270,133,165,470,321,266,15,1477341416
266,435,266,495,266,90,133,390,133,375,266,345,266,285,855,102,717,102,266,300,133,315,0,435,133,480,0,510,133,45,266,360,133,450,133,150,860,115,133,495,133,60,725,362,133,75,133,180,266,75,133,420,133,360,0,450,133,240,704,121,446,532,266,60,266,240,266,255,0,495,133,90,606,503,518,484,450,550,266,150,893,450,0,480,266,480,266,30,891,467,895,498,896,483,133,300,565,424,133,435,133,15,0,465,266,210,133,135,133,345,707,134,133,120,266,465,266,195,0,420,133,225,266,225,775,261,133,285,0,390,133,30,133,330,266,450,266,390,0,405,133,210,266,405,133,105,818,244,479,94,266,375,133,255,133,195,677,508,133,465,678,528,266,105,266,45,266,165,651,252,266,270,266,180,217,383,266,315,694,153,891,515,266,330,266,120,266,135,266,420,133,405,133,270,133,165,470,321,266,15,1477341431
266,435,266,495,266,90,133,390,133,375,266,345,266,285,855,102,717,102,266,300,133,315,0,435,133,480,0,510,133,45,266,360,133,450,133,150,860,115,133,495,133,60,725,362,133,75,133,180,266,75,133,420,133,360,0,450,133,240,704,121,446,532,266,60,266,240,266,255,0,495,133,90,606,503,518,484,450,550,266,150,893,450,0,480,266,480,266,30,891,467,895,498,896,483,133,300,565,424,133,435,133,15,0,465,266,210,133,135,133,345,707,134,133,120,266,465,266,195,0,420,133,225,266,225,775,261,133,285,650,342,133,30,133,330,266,450,266,390,763,280,133,210,266,405,133,105,818,244,479,94,266,375,133,255,133,195,677,508,133,465,678,528,266,105,266,45,266,165,651,252,266,270,266,180,889,425,266,315,694,153,891,515,266,330,266,120,266,135,266,420,133,405,133,270,133,165,470,321,266,15,1477341446
