133,(64-34)*15+15,133,(42-34)*15+15,266,(89-67)*15+15,0,27*15+15,133,(39-34)*15+15,266,(68-67)*15+15,266,(79-67)*15+15,133,(37-34)*15+15,0,13*15+15,0,15*15+15,266,(99-67)*15+15,0,2*15+15,266,(74-67)*15+15,266,(90-67)*15+15,266,(88-67)*15+15,133,(41-34)*15+15,133,(45-34)*15+15,133,(65-34)*15+15,133,(44-34)*15+15,266,(81-67)*15+15,266,(83-67)*15+15,0,33*15+15,266,(95-67)*15+15,266,(94-67)*15+15,133,(59-34)*15+15,0,8*15+15,0,0*15+15,0,6*15+15,0,14*15+15,133,(38-34)*15+15,0,25*15+15,266,(71-67)*15+15,266,(85-67)*15+15,133,(58-34)*15+15,0,32*15+15,266,(78-67)*15+15,133,(35-34)*15+15,266,(70-67)*15+15,0,19*15+15,266,(84-67)*15+15,266,(82-67)*15+15,0,26*15+15,266,(98-67)*15+15,0,5*15+15,266,(77-67)*15+15,266,(92-67)*15+15,266,(76-67)*15+15,0,3*15+15,266,(72-67)*15+15,133,(62-34)*15+15,133,(34-34)*15+15,266,(67-67)*15+15,133,(66-34)*15+15,133,(53-34)*15+15,266,(75-67)*15+15,0,28*15+15,133,(63-34)*15+15,0,20*15+15,0,23*15+15,0,18*15+15,0,1*15+15,266,(86-67)*15+15,0,16*15+15,133,(48-34)*15+15,133,(46-34)*15+15,133,(54-34)*15+15,266,(91-67)*15+15,133,(43-34)*15+15,0,17*15+15,133,(60-34)*15+15,266,(87-67)*15+15,133,(51-34)*15+15,0,29*15+15,133,(57-34)*15+15,266,(97-67)*15+15,0,11*15+15,0,21*15+15,0,10*15+15,0,31*15+15,133,(61-34)*15+15,266,(69-67)*15+15,133,(56-34)*15+15,133,(50-34)*15+15,266,(80-67)*15+15,0,12*15+15,266,(73-67)*15+15,0,9*15+15,133,(47-34)*15+15,0,30*15+15,0,22*15+15,0,4*15+15,0,24*15+15,266,(93-67)*15+15,133,(40-34)*15+15,133,(36-34)*15+15,0,7*15+15,133,(55-34)*15+15,133,(49-34)*15+15,266,(96-67)*15+15,133,(52-34)*15+15,1464601396
133,465,133,135,266,345,0,420,133,90,266,30,266,195,133,60,0,210,0,240,266,495,0,45,266,120,266,360,266,330,133,120,133,180,133,480,133,165,266,225,266,255,0,510,266,435,266,420,133,390,0,135,0,15,0,105,0,225,133,75,0,390,266,75,266,285,133,375,0,495,266,180,133,30,266,60,0,300,266,270,266,240,0,405,266,480,0,90,266,165,266,390,266,150,0,60,266,90,133,435,133,15,266,15,133,495,133,300,266,135,0,435,133,450,0,315,0,360,0,285,0,30,266,300,0,255,133,225,133,195,133,315,266,375,133,150,0,270,133,405,266,315,133,270,0,450,133,360,266,465,0,180,0,330,0,165,0,480,133,420,266,45,133,345,133,255,266,210,0,195,266,105,0,150,133,210,0,465,0,345,0,75,0,375,266,405,133,105,133,45,0,120,133,330,133,240,266,450,133,285,1464601439
133,465,133,135,266,345,0,420,133,90,266,30,266,195,133,60,0,210,0,240,266,495,0,45,266,120,266,360,266,330,133,120,133,180,133,480,133,165,266,225,266,255,0,510,266,435,266,420,133,390,0,135,947,230,0,105,0,225,133,75,0,390,266,75,266,285,133,375,0,495,266,180,133,30,266,60,0,300,266,270,266,240,0,405,266,480,0,90,266,165,266,390,266,150,0,60,266,90,133,435,133,15,266,15,133,495,139,302,266,135,0,435,133,450,0,315,0,360,0,285,0,30,266,300,0,255,133,225,133,195,133,315,266,375,133,150,0,270,133,405,266,315,133,270,0,450,133,360,266,465,0,180,0,330,0,165,0,480,133,420,266,45,133,345,133,255,266,210,0,195,266,105,0,150,133,210,0,465,0,345,0,75,0,375,266,405,133,105,133,45,0,120,133,330,133,240,266,450,133,285,1464601454
133,465,133,135,266,345,0,420,133,90,266,30,266,195,133,60,0,210,0,240,266,495,0,45,266,120,266,360,266,330,133,120,133,180,133,480,133,165,266,225,266,255,0,510,266,435,266,420,133,390,0,135,947,230,0,105,0,225,133,75,0,390,266,75,266,285,133,375,0,495,266,180,133,30,266,60,0,300,266,270,266,240,0,405,266,480,0,90,266,165,266,390,266,150,0,60,266,90,133,435,133,15,266,15,133,495,139,302,266,135,0,435,133,450,0,315,0,360,0,285,0,30,266,300,0,255,133,225,133,195,133,315,266,375,133,150,0,270,133,405,266,315,133,270,0,450,223,346,266,465,0,180,0,330,0,165,0,480,133,420,266,45,133,345,133,255,460,93,0,195,266,105,0,150,886,462,0,465,0,345,0,75,0,375,266,405,133,105,133,45,0,120,133,330,133,240,266,450,133,285,1464601483
133,465,133,135,266,345,0,420,133,90,266,30,266,195,133,60,0,210,0,240,266,495,0,45,266,120,266,360,266,330,133,120,133,180,133,480,133,165,266,225,266,255,0,510,266,435,266,420,133,390,0,135,947,230,787,136,0,225,133,75,0,390,266,75,266,285,133,375,0,495,266,180,133,30,266,60,0,300,266,270,266,240,0,405,266,480,0,90,266,165,266,390,266,150,0,60,266,90,133,435,133,15,266,15,133,495,139,302,266,135,0,435,133,450,0,315,0,360,0,285,0,30,266,300,0,255,133,225,133,195,133,315,266,375,133,150,0,270,133,405,266,315,133,270,0,450,604,217,266,465,0,180,0,330,0,165,0,480,133,420,266,45,133,345,133,255,460,93,0,195,266,105,0,150,886,462,0,465,0,345,0,75,0,375,266,405,609,103,133,45,0,120,133,330,133,240,266,450,133,285,1464601498
133,465,133,135,266,345,0,420,133,90,266,30,266,195,133,60,0,210,0,240,266,495,0,45,266,120,266,360,266,330,133,120,133,180,133,480,133,165,266,225,266,255,0,510,266,435,266,420,133,390,0,135,436,338,501,442,0,225,133,75,0,390,266,75,266,285,133,375,0,495,266,180,133,30,266,60,0,300,266,270,266,240,0,405,266,480,0,90,266,165,266,390,266,150,0,60,266,90,133,435,133,15,266,15,133,495,139,302,266,135,0,435,133,450,0,315,0,360,0,285,0,30,266,300,0,255,133,225,133,195,795,169,266,375,133,150,0,270,133,405,266,315,133,270,0,450,604,217,266,465,0,180,0,330,0,165,0,480,133,420,266,45,133,345,133,255,460,93,0,195,266,105,0,150,886,462,0,465,0,345,0,75,0,375,266,405,609,103,133,45,0,120,873,73,133,240,266,450,133,285,1464601513
133,465,133,135,266,345,0,420,133,90,266,30,266,195,133,60,0,210,0,240,266,495,0,45,266,120,266,360,266,330,133,120,133,180,133,480,133,165,266,225,266,255,0,510,266,435,266,420,133,390,0,135,436,338,501,442,0,225,133,75,0,390,266,75,266,285,133,375,0,495,266,180,133,30,266,60,0,300,266,270,266,240,0,405,266,480,0,90,266,165,266,390,266,150,0,60,266,90,133,435,133,15,266,15,133,495,139,302,266,135,0,435,133,450,0,315,0,360,0,285,0,30,266,300,0,255,133,225,133,195,870,222,266,375,133,150,0,270,133,405,266,315,133,270,0,450,863,393,266,465,0,180,0,330,0,165,0,480,133,420,266,45,133,345,133,255,460,93,0,195,266,105,0,150,886,462,0,465,462,301,0,75,0,375,266,405,609,103,133,45,0,120,873,73,133,240,266,450,133,285,1464601528
133,465,133,135,266,345,0,420,133,90,266,30,266,195,133,60,0,210,0,240,266,495,0,45,266,120,266,360,266,330,133,120,133,180,133,480,133,165,266,225,266,255,0,510,266,435,266,420,133,390,0,135,436,338,501,442,0,225,133,75,0,390,266,75,266,285,133,375,0,495,735,17,133,30,266,60,0,300,266,270,266,240,0,405,266,480,0,90,266,165,266,390,266,150,0,60,266,90,133,435,133,15,266,15,133,495,139,302,266,135,0,435,133,450,0,315,0,360,0,285,0,30,266,300,0,255,133,225,133,195,870,222,266,375,133,150,0,270,133,405,266,315,133,270,0,450,863,393,266,465,0,180,0,330,0,165,0,480,133,420,266,45,133,345,133,255,460,93,0,195,266,105,0,150,886,462,0,465,617,280,0,75,0,375,266,405,609,103,133,45,0,120,873,73,133,240,266,450,133,285,1464601543
133,465,133,135,266,345,0,420,133,90,266,30,266,195,133,60,0,210,0,240,266,495,0,45,874,58,266,360,266,330,133,120,133,180,133,480,133,165,266,225,266,255,0,510,266,435,266,420,133,390,0,135,436,338,501,442,0,225,133,75,0,390,266,75,266,285,133,375,0,495,735,17,133,30,266,60,0,300,266,270,266,240,0,405,266,480,0,90,266,165,266,390,266,150,0,60,266,90,133,435,133,15,266,15,133,495,139,302,266,135,0,435,133,450,0,315,0,360,0,285,0,30,266,300,0,255,133,225,133,195,870,222,266,375,133,150,0,270,133,405,266,315,133,270,0,450,863,393,266,465,0,180,0,330,0,165,0,480,133,420,266,45,133,345,133,255,460,93,0,195,266,105,0,150,886,462,0,465,617,280,0,75,0,375,266,405,609,103,133,45,0,120,895,114,133,240,266,450,133,285,1464601558
133,465,133,135,266,345,0,420,133,90,266,30,543,195,133,60,0,210,0,240,266,495,0,45,874,58,266,360,266,330,133,120,133,180,133,480,133,165,266,225,266,255,0,510,266,435,266,420,133,390,0,135,436,338,501,442,0,225,133,75,0,390,266,75,266,285,133,375,0,495,735,17,133,30,266,60,0,300,266,270,266,240,0,405,266,480,0,90,266,165,266,390,266,150,0,60,266,90,133,435,133,15,266,15,133,495,139,302,266,135,0,435,133,450,0,315,0,360,0,285,0,30,266,300,0,255,133,225,133,195,870,222,266,375,133,150,0,270,133,405,266,315,133,270,0,450,863,393,266,465,0,180,0,330,0,165,0,480,133,420,266,45,133,345,133,255,460,93,0,195,755,97,0,150,886,462,0,465,617,280,0,75,0,375,266,405,609,103,133,45,0,120,895,114,133,240,266,450,133,285,1464601573
133,465,133,135,266,345,0,420,133,90,266,30,543,195,133,60,0,210,0,240,266,495,0,45,874,58,266,360,266,330,133,120,133,180,133,480,133,165,266,225,266,255,0,510,266,435,266,420,133,390,0,135,436,338,501,442,0,225,133,75,0,390,266,75,266,285,133,375,0,495,735,17,133,30,266,60,0,300,266,270,266,240,0,405,266,480,0,90,266,165,266,390,266,150,0,60,266,90,133,435,133,15,266,15,133,495,139,302,266,135,0,435,133,450,0,315,0,360,0,285,0,30,266,300,0,255,133,225,843,301,870,222,266,375,133,150,0,270,133,405,266,315,133,270,0,450,863,393,266,465,0,180,0,330,0,165,0,480,133,420,266,45,133,345,133,255,460,93,0,195,755,97,0,150,886,462,0,465,617,280,0,75,0,375,266,405,609,103,133,45,0,120,895,114,133,240,266,450,133,285,1464601588
