0,2*15+15,133,(51-34)*15+15,266,(89-67)*15+15,0,28*15+15,133,(64-34)*15+15,133,(38-34)*15+15,0,30*15+15,0,26*15+15,0,24*15+15,133,(50-34)*15+15,0,13*15+15,0,14*15+15,133,(34-34)*15+15,266,(88-67)*15+15,133,(40-34)*15+15,133,(41-34)*15+15,266,(99-67)*15+15,133,(62-34)*15+15,266,(90-67)*15+15,0,16*15+15,266,(68-67)*15+15,0,22*15+15,0,9*15+15,0,12*15+15,266,(84-67)*15+15,133,(36-34)*15+15,266,(92-67)*15+15,0,18*15+15,0,17*15+15,266,(80-67)*15+15,0,33*15+15,133,(58-34)*15+15,0,23*15+15,0,11*15+15,133,(47-34)*15+15,0,31*15+15,266,(87-67)*15+15,0,29*15+15,266,(67-67)*15+15,266,(83-67)*15+15,133,(54-34)*15+15,133,(61-34)*15+15,133,(46-34)*15+15,133,(48-34)*15+15,0,6*15+15,133,(52-34)*15+15,266,(97-67)*15+15,0,3*15+15,133,(57-34)*15+15,0,27*15+15,266,(96-67)*15+15,133,(37-34)*15+15,133,(59-34)*15+15,266,(69-67)*15+15,266,(82-67)*15+15,133,(56-34)*15+15,266,(79-67)*15+15,133,(63-34)*15+15,0,15*15+15,266,(74-67)*15+15,0,4*15+15,266,(71-67)*15+15,0,25*15+15,266,(78-67)*15+15,266,(94-67)*15+15,0,20*15+15,133,(49-34)*15+15,266,(75-67)*15+15,133,(39-34)*15+15,266,(93-67)*15+15,266,(85-67)*15+15,0,1*15+15,133,(65-34)*15+15,266,(70-67)*15+15,266,(95-67)*15+15,0,5*15+15,0,0*15+15,133,(43-34)*15+15,133,(53-34)*15+15,133,(35-34)*15+15,266,(86-67)*15+15,0,19*15+15,266,(77-67)*15+15,133,(42-34)*15+15,133,(45-34)*15+15,266,(73-67)*15+15,0,32*15+15,133,(44-34)*15+15,266,(76-67)*15+15,266,(91-67)*15+15,133,(66-34)*15+15,0,21*15+15,266,(81-67)*15+15,266,(98-67)*15+15,0,10*15+15,0,7*15+15,266,(72-67)*15+15,133,(60-34)*15+15,0,8*15+15,133,(55-34)*15+15,1469794567
0,45,133,270,266,345,0,435,133,465,133,75,0,465,0,405,0,375,133,255,0,210,0,225,133,15,266,330,133,105,133,120,292,518,133,435,266,360,0,255,266,30,0,345,0,150,0,195,266,270,133,45,266,390,0,285,0,270,266,210,0,510,133,375,0,360,0,180,133,210,0,480,266,315,0,450,266,15,266,255,133,315,133,420,133,195,133,225,0,105,133,285,266,465,0,60,133,360,0,420,266,450,133,60,133,390,266,45,266,240,133,345,266,195,133,450,0,240,266,120,0,75,266,75,0,390,266,180,266,420,0,315,133,240,266,135,133,90,266,405,266,285,0,30,133,480,266,60,266,435,0,90,422,126,133,150,133,300,133,30,266,300,0,300,266,165,133,135,133,180,266,105,0,495,133,165,266,150,266,375,133,495,0,330,266,225,266,480,0,165,0,120,266,90,133,405,0,135,133,330,1469794592
545,24,133,270,266,345,0,435,133,465,133,75,0,465,0,405,0,375,133,255,0,210,0,225,133,15,266,330,133,105,133,120,292,518,133,435,266,360,0,255,266,30,0,345,0,150,0,195,266,270,133,45,266,390,0,285,0,270,266,210,0,510,133,375,0,360,0,180,133,210,0,480,266,315,0,450,266,15,266,255,133,315,133,420,133,195,133,225,0,105,133,285,266,465,520,308,133,360,0,420,266,450,133,60,133,390,266,45,266,240,133,345,266,195,133,450,0,240,266,120,0,75,266,75,0,390,266,180,266,420,0,315,133,240,266,135,133,90,266,405,266,285,728,25,133,480,266,60,266,435,0,90,417,23,133,150,133,300,133,30,266,300,0,300,266,165,133,135,133,180,266,105,0,495,133,165,266,150,266,375,133,495,0,330,266,225,266,480,0,165,0,120,266,90,133,405,0,135,133,330,1469794607
545,24,133,270,266,345,0,435,133,465,133,75,0,465,0,405,0,375,133,255,0,210,0,225,133,15,266,330,133,105,133,120,292,518,133,435,266,360,0,255,266,30,0,345,0,150,0,195,266,270,133,45,266,390,0,285,0,270,266,210,0,510,133,375,0,360,0,180,133,210,0,480,266,315,0,450,266,15,266,255,133,315,133,420,133,195,133,225,451,116,133,285,266,465,520,308,133,360,0,420,266,450,133,60,133,390,266,45,266,240,133,345,266,195,133,450,0,240,266,120,899,588,266,75,0,390,266,180,266,420,0,315,133,240,266,135,133,90,266,405,266,285,728,25,133,480,266,60,266,435,819,333,417,23,133,150,133,300,133,30,266,300,0,300,266,165,133,135,133,180,266,105,0,495,133,165,266,150,266,375,133,495,0,330,266,225,266,480,0,165,0,120,266,90,133,405,448,169,133,330,1469794622
668,26,133,270,266,345,0,435,133,465,133,75,0,465,0,405,0,375,133,255,0,210,0,225,133,15,266,330,133,105,133,120,292,518,133,435,266,360,0,255,266,30,0,345,488,175,0,195,266,270,133,45,266,390,0,285,0,270,266,210,0,510,133,375,0,360,0,180,133,210,0,480,266,315,0,450,266,15,266,255,133,315,133,420,133,195,133,225,451,116,133,285,266,465,471,358,133,360,0,420,266,450,133,60,133,390,266,45,266,240,133,345,266,195,133,450,0,240,266,120,899,588,266,75,0,390,266,180,266,420,0,315,133,240,266,135,133,90,266,405,266,285,807,257,133,480,266,60,266,435,819,333,417,23,133,150,133,300,133,30,266,300,0,300,266,165,133,135,133,180,266,105,0,495,133,165,266,150,266,375,133,495,0,330,266,225,266,480,0,165,474,148,266,90,133,405,711,334,133,330,1469794637
668,26,133,270,266,345,0,435,133,465,133,75,0,465,0,405,0,375,133,255,0,210,0,225,133,15,266,330,133,105,133,120,292,518,133,435,266,360,0,255,266,30,0,345,488,175,550,209,266,270,133,45,266,390,0,285,0,270,266,210,0,510,133,375,0,360,701,88,133,210,0,480,266,315,0,450,266,15,266,255,133,315,133,420,133,195,133,225,451,116,133,285,266,465,471,358,133,360,0,420,266,450,133,60,133,390,266,45,266,240,133,345,266,195,133,450,0,240,266,120,899,588,266,75,0,390,266,180,266,420,0,315,133,240,266,135,133,90,266,405,266,285,709,144,133,480,266,60,266,435,819,333,417,23,133,150,133,300,133,30,266,300,0,300,266,165,133,135,133,180,266,105,0,495,133,165,266,150,266,375,133,495,0,330,266,225,266,480,531,36,474,148,266,90,133,405,711,334,133,330,1469794652
668,26,133,270,266,345,0,435,133,465,133,75,0,465,0,405,0,375,133,255,714,22,628,14,133,15,266,330,133,105,133,120,292,518,133,435,266,360,0,255,266,30,0,345,488,175,550,209,266,270,133,45,266,390,0,285,0,270,266,210,0,510,133,375,0,360,701,88,133,210,0,480,266,315,0,450,266,15,266,255,133,315,133,420,133,195,133,225,451,116,133,285,266,465,471,358,133,360,0,420,266,450,133,60,133,390,266,45,266,240,133,345,266,195,133,450,529,56,266,120,899,588,266,75,0,390,266,180,266,420,0,315,133,240,266,135,133,90,266,405,266,285,709,144,133,480,266,60,266,435,819,333,417,23,133,150,133,300,133,30,266,300,0,300,266,165,133,135,133,180,266,105,0,495,133,165,266,150,266,375,133,495,0,330,266,225,266,480,531,36,474,148,266,90,133,405,711,334,133,330,1469794667
668,26,133,270,266,345,0,435,133,465,133,75,0,465,0,405,0,375,133,255,714,22,628,14,133,15,266,330,133,105,133,120,292,518,133,435,266,360,681,9,266,30,0,345,488,175,550,209,266,270,133,45,266,390,841,560,660,36,266,210,0,510,133,375,0,360,701,88,133,210,0,480,266,315,0,450,266,15,266,255,133,315,133,420,133,195,133,225,451,116,133,285,266,465,471,358,133,360,0,420,266,450,133,60,133,390,266,45,266,240,133,345,266,195,133,450,529,56,266,120,899,588,266,75,0,390,266,180,266,420,710,272,133,240,266,135,133,90,266,405,266,285,709,144,133,480,266,60,266,435,819,333,417,23,133,150,133,300,133,30,266,300,426,55,266,165,133,135,133,180,266,105,0,495,133,165,266,150,266,375,133,495,0,330,266,225,266,480,531,36,474,148,266,90,133,405,711,334,133,330,1469794682
668,26,133,270,266,345,0,435,133,465,133,75,0,465,0,405,0,375,133,255,714,22,628,14,133,15,266,330,133,105,133,120,292,518,133,435,266,360,681,9,266,30,0,345,488,175,550,209,266,270,133,45,266,390,841,560,660,36,266,210,0,510,133,375,683,574,701,88,133,210,0,480,266,315,0,450,266,15,266,255,133,315,133,420,133,195,133,225,451,116,133,285,266,465,438,282,133,360,0,420,266,450,133,60,133,390,266,45,266,240,133,345,266,195,133,450,529,56,266,120,899,588,266,75,0,390,266,180,266,420,609,284,133,240,266,135,133,90,266,405,266,285,709,144,133,480,266,60,266,435,819,333,417,23,133,150,133,300,133,30,266,300,426,55,266,165,133,135,133,180,266,105,0,495,133,165,266,150,266,375,133,495,670,446,266,225,266,480,531,36,474,148,266,90,133,405,711,334,133,330,1469794697
668,26,133,270,266,345,0,435,133,465,133,75,0,465,713,544,757,43,133,255,714,22,628,14,133,15,266,330,133,105,133,120,292,518,133,435,266,360,681,9,266,30,761,508,488,175,550,209,266,270,133,45,266,390,841,560,660,36,266,210,0,510,133,375,683,574,701,88,133,210,0,480,266,315,0,450,266,15,266,255,133,315,133,420,133,195,133,225,451,116,133,285,266,465,438,282,133,360,656,351,266,450,133,60,133,390,266,45,266,240,133,345,266,195,133,450,529,56,266,120,899,588,266,75,775,353,266,180,266,420,609,284,133,240,266,135,133,90,266,405,266,285,709,144,133,480,266,60,266,435,819,333,417,23,133,150,133,300,133,30,266,300,426,55,266,165,133,135,133,180,266,105,0,495,133,165,266,150,266,375,133,495,670,446,266,225,266,480,531,36,474,148,266,90,133,405,711,334,133,330,1469794712
668,26,133,270,266,345,540,11,133,465,133,75,618,361,713,544,757,43,133,255,714,22,628,14,133,15,266,330,133,105,133,120,292,518,133,435,266,360,681,9,266,30,761,508,488,175,550,209,266,270,133,45,266,390,841,560,660,36,266,210,0,510,133,375,683,574,701,88,133,210,0,480,266,315,576,16,266,15,266,255,133,315,133,420,133,195,133,225,451,116,133,285,266,465,438,282,133,360,656,351,266,450,133,60,133,390,266,45,266,240,133,345,266,195,133,450,529,56,266,120,899,588,266,75,775,353,266,180,266,420,577,244,133,240,266,135,133,90,266,405,266,285,709,144,133,480,266,60,266,435,819,333,417,23,133,150,133,300,133,30,266,300,426,55,266,165,133,135,133,180,266,105,0,495,133,165,266,150,266,375,133,495,670,446,266,225,266,480,531,36,474,148,266,90,133,405,711,334,133,330,1469794727
668,26,133,270,266,345,540,11,133,465,133,75,618,361,713,544,757,43,133,255,714,22,628,14,522,21,266,330,133,105,133,120,292,518,133,435,266,360,681,9,266,30,761,508,488,175,550,209,266,270,133,45,266,390,841,560,660,36,266,210,777,14,133,375,683,574,701,88,133,210,588,28,266,315,576,16,266,15,266,255,133,315,133,420,133,195,133,225,451,116,133,285,266,465,438,282,133,360,656,351,266,450,133,60,133,390,266,45,266,240,133,345,266,195,133,450,529,56,266,120,899,588,266,75,775,353,266,180,266,420,577,244,133,240,266,135,133,90,266,405,266,285,709,144,133,480,266,60,266,435,819,333,417,23,133,150,133,300,491,41,266,300,426,55,266,165,133,135,133,180,266,105,613,397,133,165,266,150,266,375,133,495,670,446,266,225,266,480,531,36,474,148,266,90,133,405,711,334,133,330,1469794742
668,26,133,270,266,345,540,11,133,465,133,75,618,361,713,544,757,43,133,255,714,22,628,14,522,21,266,330,133,105,133,120,292,518,133,435,266,360,681,9,266,30,761,508,488,175,550,209,266,270,686,308,266,390,841,560,660,36,266,210,777,14,133,375,683,574,701,88,133,210,588,28,266,315,576,16,266,15,266,255,133,315,133,420,133,195,133,225,451,116,133,285,266,465,438,282,133,360,656,351,266,450,744,293,133,390,266,45,266,240,133,345,266,195,133,450,529,56,266,120,899,588,266,75,775,353,266,180,266,420,577,244,133,240,266,135,627,485,266,405,266,285,709,144,133,480,266,60,266,435,819,333,417,23,133,150,133,300,491,41,266,300,426,55,266,165,133,135,133,180,266,105,613,397,133,165,266,150,266,375,133,495,670,446,266,225,266,480,531,36,474,148,266,90,133,405,711,334,133,330,1469794757
