266,(78-67)*15+15,0,17*15+15,133,(54-34)*15+15,0,24*15+15,266,(74-67)*15+15,266,(98-67)*15+15,266,(91-67)*15+15,133,(48-34)*15+15,133,(51-34)*15+15,133,(46-34)*15+15,266,(81-67)*15+15,266,(68-67)*15+15,0,16*15+15,266,(73-67)*15+15,266,(71-67)*15+15,133,(45-34)*15+15,266,(77-67)*15+15,266,(86-67)*15+15,0,27*15+15,266,(79-67)*15+15,0,12*15+15,266,(85-67)*15+15,0,15*15+15,133,(40-34)*15+15,0,0*15+15,0,33*15+15,0,9*15+15,133,(44-34)*15+15,0,22*15+15,0,2*15+15,0,31*15+15,0,10*15+15,266,(93-67)*15+15,133,(53-34)*15+15,133,(35-34)*15+15,266,(83-67)*15+15,0,8*15+15,0,25*15+15,0,3*15+15,266,(80-67)*15+15,133,(55-34)*15+15,266,(89-67)*15+15,0,32*15+15,133,(41-34)*15+15,0,20*15+15,266,(88-67)*15+15,133,(43-34)*15+15,266,(92-67)*15+15,133,(34-34)*15+15,0,6*15+15,0,4*15+15,266,(95-67)*15+15,133,(59-34)*15+15,266,(76-67)*15+15,0,13*15+15,133,(57-34)*15+15,133,(37-34)*15+15,266,(69-67)*15+15,0,23*15+15,0,26*15+15,266,(72-67)*15+15,133,(61-34)*15+15,133,(49-34)*15+15,0,5*15+15,0,7*15+15,133,(56-34)*15+15,0,28*15+15,133,(39-34)*15+15,266,(97-67)*15+15,0,14*15+15,133,(64-34)*15+15,0,29*15+15,0,30*15+15,133,(65-34)*15+15,0,1*15+15,133,(63-34)*15+15,0,11*15+15,266,(94-67)*15+15,133,(42-34)*15+15,266,(99-67)*15+15,266,(96-67)*15+15,266,(70-67)*15+15,133,(60-34)*15+15,0,18*15+15,133,(47-34)*15+15,266,(84-67)*15+15,266,(75-67)*15+15,0,19*15+15,266,(67-67)*15+15,133,(36-34)*15+15,133,(58-34)*15+15,133,(38-34)*15+15,266,(82-67)*15+15,266,(87-67)*15+15,133,(62-34)*15+15,133,(50-34)*15+15,133,(52-34)*15+15,0,21*15+15,133,(66-34)*15+15,266,(90-67)*15+15,1466449110
266,180,0,270,133,315,0,375,266,120,266,480,266,375,133,225,133,270,133,195,266,225,266,30,0,255,266,105,266,75,133,180,266,165,266,300,0,420,266,195,0,195,266,285,0,240,133,105,0,15,0,510,0,150,133,165,0,345,0,45,0,480,0,165,266,405,133,300,133,30,266,255,0,135,0,390,0,60,266,210,133,330,266,345,0,495,133,120,0,315,266,330,133,150,266,390,133,15,0,105,0,75,266,435,133,390,266,150,0,210,133,360,133,60,266,45,0,360,0,405,266,90,133,420,133,240,0,90,0,120,133,345,0,435,133,90,266,465,0,225,133,465,0,450,0,465,133,480,0,30,133,450,0,180,266,420,133,135,266,495,266,450,266,60,133,405,0,285,133,210,266,270,266,135,0,300,266,15,133,45,133,375,133,75,266,240,266,315,133,435,133,255,133,285,0,330,133,495,266,360,1466449221
266,180,0,270,133,315,0,375,266,120,266,480,266,375,133,225,133,270,133,195,266,225,266,30,0,255,266,105,266,75,133,180,266,165,266,300,0,420,266,195,0,195,266,285,0,240,133,105,407,15,0,510,0,150,133,165,0,345,0,45,0,480,0,165,266,405,133,300,133,30,266,255,0,135,0,390,0,60,266,210,133,330,266,345,0,495,133,120,0,315,266,330,133,150,266,390,133,15,0,105,0,75,266,435,133,390,266,150,0,210,133,360,133,60,266,45,0,360,0,405,266,90,133,420,133,240,0,90,0,120,133,345,0,435,133,90,266,465,0,225,133,465,0,450,0,465,133,480,0,30,133,450,0,180,266,420,133,135,266,495,266,450,266,60,133,405,0,285,133,210,266,270,266,135,0,300,266,15,133,45,133,375,133,75,266,240,266,315,133,435,133,255,133,285,0,330,133,495,266,360,1466449236
266,180,0,270,133,315,0,375,266,120,266,480,266,375,133,225,133,270,133,195,266,225,266,30,0,255,266,105,266,75,133,180,266,165,266,300,0,420,266,195,0,195,266,285,0,240,133,105,-1,17,0,510,0,150,133,165,0,345,0,45,0,480,0,165,266,405,133,300,133,30,266,255,0,135,0,390,406,28,266,210,133,330,266,345,0,495,133,120,0,315,266,330,133,150,266,390,133,15,0,105,407,15,266,435,133,390,266,150,0,210,133,360,133,60,266,45,0,360,0,405,266,90,133,420,133,240,0,90,0,120,133,345,0,435,133,90,266,465,0,225,133,465,0,450,0,465,133,480,0,30,133,450,0,180,266,420,133,135,266,495,266,450,266,60,133,405,0,285,133,210,266,270,266,135,0,300,266,15,133,45,133,375,133,75,266,240,266,315,133,435,133,255,133,285,0,330,133,495,266,360,1466449251
266,180,0,270,133,315,0,375,266,120,266,480,266,375,133,225,133,270,133,195,266,225,406,43,0,255,266,105,266,75,133,180,266,165,266,300,0,420,266,195,0,195,266,285,0,240,133,105,-1,17,0,510,0,150,133,165,0,345,0,45,0,480,0,165,266,405,133,300,133,30,266,255,0,135,0,390,406,28,266,210,133,330,266,345,0,495,133,120,0,315,266,330,133,150,266,390,133,15,0,105,407,15,266,435,133,390,266,150,0,210,133,360,133,60,424,72,0,360,0,405,266,90,133,420,133,240,0,90,0,120,133,345,0,435,133,90,266,465,0,225,133,465,0,450,0,465,133,480,0,30,133,450,0,180,266,420,133,135,266,495,266,450,404,57,133,405,0,285,133,210,266,270,266,135,0,300,266,15,133,45,133,375,133,75,266,240,266,315,133,435,133,255,133,285,0,330,133,495,266,360,1466449266
266,180,0,270,133,315,0,375,266,120,266,480,266,375,133,225,133,270,133,195,266,225,406,43,0,255,266,105,266,75,133,180,266,165,266,300,0,420,266,195,0,195,266,285,0,240,133,105,-1,17,0,510,0,150,133,165,0,345,0,45,0,480,0,165,266,405,133,300,133,30,266,255,0,135,0,390,406,28,266,210,133,330,266,345,0,495,133,120,0,315,266,330,133,150,266,390,133,15,0,105,407,15,266,435,133,390,266,150,0,210,133,360,133,60,409,126,0,360,0,405,266,90,133,420,133,240,0,90,0,120,133,345,0,435,133,90,266,465,0,225,133,465,0,450,0,465,133,480,0,30,133,450,410,139,266,420,133,135,266,495,266,450,404,57,133,405,0,285,133,210,266,270,266,135,0,300,266,15,133,45,133,375,133,75,266,240,266,315,133,435,133,255,133,285,0,330,133,495,266,360,1466449281
266,180,0,270,133,315,0,375,266,120,266,480,266,375,133,225,133,270,133,195,266,225,406,43,0,255,266,105,266,75,133,180,266,165,266,300,0,420,266,195,0,195,266,285,0,240,133,105,-1,17,0,510,0,150,133,165,0,345,0,45,0,480,0,165,266,405,133,300,133,30,266,255,0,135,0,390,406,28,266,210,133,330,266,345,0,495,133,120,0,315,266,330,133,150,266,390,133,15,0,105,407,15,266,435,133,390,266,150,0,210,133,360,133,60,409,126,412,151,0,405,266,90,133,420,133,240,0,90,0,120,133,345,0,435,133,90,266,465,0,225,133,465,0,450,0,465,133,480,0,30,133,450,410,139,266,420,133,135,266,495,266,450,404,57,133,405,0,285,133,210,266,270,266,135,0,300,266,15,133,45,133,375,133,75,266,240,266,315,133,435,133,255,133,285,0,330,133,495,266,360,1466449296
266,180,0,270,133,315,0,375,266,120,266,480,266,375,133,225,133,270,133,195,266,225,406,43,0,255,266,105,266,75,133,180,266,165,266,300,0,420,266,195,0,195,266,285,0,240,133,105,-1,17,0,510,0,150,133,165,0,345,0,45,0,480,0,165,266,405,133,300,133,30,266,255,0,135,0,390,406,28,266,210,133,330,266,345,0,495,133,120,0,315,266,330,133,150,266,390,133,15,0,105,407,15,266,435,133,390,266,150,0,210,133,360,133,60,409,126,417,577,0,405,266,90,133,420,133,240,0,90,0,120,133,345,0,435,133,90,266,465,0,225,133,465,0,450,0,465,133,480,0,30,133,450,410,139,266,420,133,135,266,495,266,450,404,57,133,405,0,285,133,210,266,270,266,135,0,300,266,15,133,45,133,375,133,75,266,240,266,315,133,435,133,255,133,285,0,330,133,495,266,360,1466449311
266,180,0,270,133,315,0,375,266,120,266,480,266,375,133,225,133,270,133,195,266,225,406,43,0,255,266,105,266,75,133,180,266,165,266,300,0,420,266,195,0,195,266,285,0,240,133,105,-1,17,0,510,0,150,133,165,0,345,0,45,0,480,0,165,266,405,133,300,133,30,266,255,0,135,0,390,406,28,266,210,133,330,266,345,0,495,133,120,0,315,266,330,133,150,266,390,133,15,0,105,407,15,266,435,133,390,266,150,0,210,133,360,133,60,409,126,5,359,0,405,266,90,133,420,133,240,0,90,0,120,133,345,0,435,133,90,266,465,0,225,133,465,0,450,0,465,133,480,0,30,133,450,410,139,266,420,133,135,407,153,266,450,404,57,133,405,0,285,133,210,266,270,266,135,0,300,266,15,133,45,133,375,133,75,266,240,266,315,133,435,133,255,133,285,0,330,133,495,266,360,1466449326
266,180,0,270,133,315,0,375,266,120,266,480,266,375,133,225,133,270,133,195,266,225,406,43,0,255,266,105,266,75,133,180,266,165,266,300,0,420,266,195,0,195,266,285,0,240,133,105,-1,17,0,510,0,150,133,165,0,345,0,45,0,480,0,165,266,405,133,300,133,30,266,255,0,135,0,390,406,28,266,210,133,330,266,345,0,495,133,120,0,315,266,330,133,150,266,390,133,15,0,105,407,15,266,435,133,390,266,150,0,210,133,360,133,60,409,126,5,359,0,405,266,90,133,420,133,240,0,90,0,120,133,345,0,435,133,90,266,465,0,225,133,465,0,450,0,465,133,480,0,30,133,450,410,139,266,420,406,97,407,153,266,450,404,87,133,405,0,285,133,210,266,270,266,135,0,300,266,15,133,45,133,375,133,75,266,240,266,315,133,435,133,255,133,285,0,330,133,495,266,360,1466449341
266,180,0,270,133,315,0,375,266,120,266,480,266,375,133,225,133,270,133,195,266,225,406,43,0,255,266,105,266,75,133,180,266,165,266,300,0,420,266,195,0,195,266,285,0,240,133,105,-1,17,0,510,0,150,133,165,0,345,0,45,0,480,0,165,266,405,133,300,133,30,266,255,0,135,0,390,406,28,266,210,133,330,266,345,0,495,133,120,0,315,266,330,133,150,266,390,133,15,0,105,407,15,266,435,133,390,266,150,0,210,133,360,407,75,409,149,5,359,0,405,266,90,133,420,133,240,0,90,0,120,133,345,0,435,133,90,266,465,0,225,133,465,0,450,0,465,133,480,0,30,133,450,408,165,266,420,405,121,407,177,266,450,404,87,133,405,0,285,133,210,266,270,266,135,0,300,266,15,133,45,133,375,133,75,266,240,266,315,133,435,133,255,133,285,0,330,133,495,266,360,1466449356
