133,(42-34)*15+15,266,(75-67)*15+15,0,2*15+15,0,32*15+15,133,(57-34)*15+15,0,16*15+15,266,(92-67)*15+15,0,7*15+15,266,(96-67)*15+15,133,(38-34)*15+15,0,3*15+15,266,(78-67)*15+15,266,(85-67)*15+15,0,4*15+15,133,(64-34)*15+15,266,(98-67)*15+15,0,29*15+15,133,(54-34)*15+15,266,(73-67)*15+15,0,14*15+15,133,(60-34)*15+15,266,(88-67)*15+15,266,(97-67)*15+15,133,(63-34)*15+15,0,18*15+15,0,11*15+15,133,(65-34)*15+15,133,(51-34)*15+15,133,(40-34)*15+15,133,(62-34)*15+15,133,(55-34)*15+15,0,22*15+15,133,(66-34)*15+15,266,(99-67)*15+15,266,(93-67)*15+15,133,(46-34)*15+15,0,15*15+15,0,26*15+15,266,(94-67)*15+15,0,8*15+15,266,(95-67)*15+15,133,(47-34)*15+15,0,10*15+15,133,(50-34)*15+15,0,24*15+15,133,(34-34)*15+15,0,30*15+15,266,(89-67)*15+15,133,(49-34)*15+15,133,(37-34)*15+15,0,25*15+15,266,(68-67)*15+15,133,(53-34)*15+15,133,(43-34)*15+15,0,12*15+15,266,(77-67)*15+15,133,(59-34)*15+15,266,(67-67)*15+15,0,0*15+15,133,(61-34)*15+15,0,19*15+15,0,21*15+15,266,(71-67)*15+15,0,28*15+15,0,6*15+15,0,31*15+15,0,9*15+15,0,13*15+15,133,(44-34)*15+15,133,(48-34)*15+15,266,(83-67)*15+15,266,(79-67)*15+15,0,33*15+15,133,(35-34)*15+15,266,(69-67)*15+15,133,(41-34)*15+15,266,(76-67)*15+15,266,(70-67)*15+15,133,(39-34)*15+15,266,(72-67)*15+15,266,(86-67)*15+15,133,(56-34)*15+15,133,(52-34)*15+15,266,(91-67)*15+15,133,(36-34)*15+15,266,(84-67)*15+15,266,(90-67)*15+15,0,1*15+15,266,(82-67)*15+15,133,(58-34)*15+15,266,(74-67)*15+15,266,(80-67)*15+15,0,23*15+15,0,5*15+15,0,27*15+15,266,(87-67)*15+15,266,(81-67)*15+15,133,(45-34)*15+15,0,20*15+15,0,17*15+15,1476884314
133,135,266,135,0,45,0,495,133,360,0,255,266,390,0,120,266,450,133,75,0,60,266,180,266,285,0,75,133,465,266,480,0,450,133,315,266,105,0,225,133,405,266,330,266,465,133,450,0,285,0,180,133,480,133,270,133,105,133,435,133,330,0,345,133,495,266,495,266,405,133,195,0,240,0,405,266,420,0,135,266,435,133,210,0,165,133,255,0,375,133,15,0,465,266,345,133,240,133,60,0,390,266,30,133,300,133,150,0,195,266,165,133,390,266,15,0,15,133,420,0,300,0,330,266,75,0,435,0,105,0,480,0,150,0,210,133,165,133,225,266,255,266,195,0,510,133,30,266,45,133,120,266,150,266,60,133,90,266,90,266,300,133,345,133,285,266,375,133,45,266,270,266,360,0,30,266,240,133,375,266,120,266,210,351,379,0,90,0,420,266,315,266,225,133,180,0,315,0,270,1476884351
133,135,266,135,0,45,0,495,133,360,0,255,266,390,0,120,266,450,133,75,0,60,266,180,266,285,0,75,133,465,266,480,0,450,133,315,266,105,0,225,133,405,266,330,266,465,133,450,0,285,0,180,133,480,133,270,133,105,133,435,133,330,0,345,133,495,752,510,266,405,133,195,0,240,0,405,266,420,0,135,266,435,133,210,0,165,133,255,0,375,133,15,0,465,266,345,133,240,133,60,465,525,266,30,133,300,133,150,0,195,266,165,133,390,266,15,0,15,133,420,0,300,0,330,266,75,0,435,0,105,0,480,0,150,0,210,133,165,133,225,266,255,266,195,0,510,133,30,266,45,133,120,266,150,266,60,133,90,266,90,266,300,133,345,133,285,266,375,133,45,266,270,266,360,0,30,266,240,133,375,266,120,266,210,-18,401,0,90,0,420,266,315,266,225,133,180,0,315,0,270,1476884366
133,135,266,135,0,45,0,495,133,360,0,255,266,390,0,120,266,450,133,75,0,60,266,180,266,285,0,75,133,465,782,445,0,450,133,315,266,105,0,225,133,405,266,330,266,465,133,450,0,285,0,180,133,480,133,270,133,105,133,435,133,330,0,345,133,495,752,510,467,242,133,195,0,240,0,405,443,547,0,135,266,435,133,210,0,165,133,255,0,375,133,15,0,465,266,345,133,240,133,60,465,525,266,30,133,300,133,150,0,195,266,165,133,390,266,15,0,15,133,420,0,300,0,330,266,75,0,435,0,105,0,480,0,150,0,210,133,165,133,225,266,255,266,195,0,510,133,30,266,45,133,120,266,150,266,60,133,90,266,90,266,300,133,345,133,285,585,394,133,45,266,270,266,360,0,30,266,240,133,375,266,120,266,210,-18,401,0,90,0,420,266,315,266,225,133,180,0,315,0,270,1476884381
133,135,266,135,0,45,0,495,133,360,0,255,504,203,0,120,508,344,133,75,0,60,266,180,266,285,0,75,133,465,782,445,0,450,133,315,266,105,0,225,133,405,266,330,266,465,133,450,0,285,0,180,133,480,133,270,133,105,133,435,133,330,0,345,133,495,752,510,467,242,133,195,0,240,0,405,443,547,0,135,588,305,133,210,0,165,133,255,0,375,133,15,0,465,266,345,133,240,133,60,465,525,266,30,133,300,133,150,0,195,266,165,133,390,266,15,0,15,133,420,0,300,0,330,266,75,0,435,0,105,0,480,0,150,0,210,133,165,133,225,266,255,266,195,0,510,133,30,266,45,133,120,266,150,266,60,133,90,266,90,266,300,133,345,133,285,585,394,133,45,266,270,266,360,0,30,266,240,133,375,266,120,266,210,-18,401,0,90,0,420,266,315,266,225,133,180,0,315,0,270,1476884396
133,135,266,135,0,45,0,495,133,360,0,255,504,203,0,120,508,344,133,75,0,60,266,180,480,565,0,75,133,465,782,445,0,450,133,315,266,105,0,225,133,405,754,245,266,465,133,450,0,285,0,180,133,480,133,270,133,105,133,435,133,330,0,345,133,495,752,510,467,242,133,195,0,240,0,405,443,547,0,135,588,305,133,210,0,165,133,255,0,375,133,15,0,465,664,349,133,240,133,60,465,525,266,30,133,300,133,150,0,195,266,165,133,390,266,15,0,15,133,420,0,300,0,330,266,75,0,435,0,105,0,480,0,150,0,210,133,165,133,225,266,255,266,195,0,510,133,30,266,45,133,120,266,150,266,60,133,90,266,90,578,433,133,345,133,285,585,394,133,45,577,450,266,360,0,30,266,240,133,375,266,120,266,210,-18,401,0,90,0,420,266,315,266,225,133,180,0,315,0,270,1476884411
133,135,266,135,0,45,0,495,133,360,0,255,504,203,0,120,508,344,133,75,0,60,266,180,480,565,0,75,133,465,782,445,0,450,133,315,266,105,0,225,133,405,823,158,266,465,133,450,0,285,0,180,133,480,133,270,133,105,133,435,133,330,0,345,133,495,752,510,467,242,133,195,0,240,0,405,443,547,0,135,588,305,133,210,0,165,133,255,0,375,133,15,0,465,664,349,133,240,133,60,465,525,266,30,133,300,133,150,0,195,852,131,133,390,508,504,0,15,133,420,0,300,0,330,266,75,0,435,0,105,0,480,0,150,0,210,133,165,133,225,266,255,266,195,0,510,133,30,266,45,133,120,266,150,266,60,133,90,266,90,578,433,133,345,133,285,585,394,133,45,588,447,266,360,0,30,266,240,133,375,266,120,266,210,-18,401,0,90,0,420,266,315,266,225,133,180,0,315,0,270,1476884426
133,135,266,135,0,45,0,495,133,360,0,255,504,203,0,120,508,344,133,75,0,60,266,180,480,565,0,75,133,465,782,445,0,450,133,315,266,105,0,225,133,405,823,158,266,465,133,450,0,285,0,180,133,480,133,270,133,105,133,435,133,330,0,345,133,495,752,510,467,242,133,195,0,240,0,405,443,547,0,135,588,305,133,210,0,165,133,255,0,375,133,15,0,465,661,329,133,240,133,60,465,525,266,30,133,300,133,150,0,195,852,131,133,390,508,504,0,15,133,420,0,300,0,330,266,75,0,435,0,105,0,480,0,150,0,210,133,165,133,225,266,255,266,195,0,510,133,30,266,45,133,120,266,150,266,60,547,518,266,90,578,433,133,345,133,285,585,394,634,376,588,447,266,360,0,30,266,240,133,375,266,120,266,210,-18,401,0,90,0,420,266,315,266,225,133,180,0,315,0,270,1476884441
133,135,266,135,0,45,0,495,133,360,0,255,504,203,0,120,508,344,133,75,0,60,266,180,480,565,0,75,133,465,782,445,0,450,133,315,266,105,0,225,133,405,823,158,266,465,133,450,0,285,0,180,133,480,133,270,133,105,133,435,133,330,0,345,133,495,752,510,467,242,133,195,0,240,0,405,443,547,0,135,588,305,133,210,0,165,133,255,0,375,133,15,0,465,661,329,133,240,133,60,465,525,266,30,133,300,742,280,0,195,852,131,133,390,508,504,0,15,133,420,0,300,0,330,266,75,0,435,0,105,0,480,0,150,0,210,133,165,133,225,266,255,266,195,0,510,133,30,266,45,133,120,266,150,266,60,428,503,266,90,578,433,133,345,133,285,585,394,634,376,588,447,266,360,0,30,266,240,133,375,266,120,266,210,-18,401,0,90,0,420,266,315,266,225,133,180,0,315,0,270,1476884456
133,135,918,540,0,45,0,495,133,360,0,255,504,203,0,120,508,344,133,75,0,60,266,180,480,565,0,75,133,465,782,445,0,450,133,315,266,105,0,225,133,405,823,158,266,465,133,450,0,285,0,180,133,480,133,270,133,105,133,435,133,330,0,345,133,495,752,510,467,242,710,572,0,240,0,405,443,547,0,135,588,305,133,210,0,165,133,255,0,375,133,15,0,465,661,329,133,240,133,60,465,525,266,30,133,300,742,280,0,195,852,131,133,390,508,504,0,15,133,420,0,300,0,330,266,75,0,435,0,105,0,480,0,150,0,210,133,165,133,225,266,255,266,195,0,510,133,30,266,45,133,120,266,150,266,60,428,503,266,90,578,433,133,345,133,285,585,394,634,376,588,447,266,360,0,30,266,240,133,375,266,120,266,210,-16,389,0,90,0,420,266,315,266,225,133,180,0,315,0,270,1476884471
133,135,918,540,0,45,0,495,133,360,712,527,504,203,0,120,508,344,133,75,0,60,266,180,480,565,0,75,133,465,782,445,0,450,133,315,266,105,0,225,133,405,823,158,266,465,133,450,437,396,0,180,133,480,133,270,133,105,133,435,133,330,553,551,133,495,752,510,467,242,710,572,0,240,0,405,443,547,0,135,588,305,133,210,0,165,133,255,0,375,133,15,0,465,661,329,133,240,133,60,465,525,266,30,133,300,742,280,0,195,852,131,133,390,508,504,0,15,133,420,0,300,0,330,266,75,0,435,0,105,0,480,0,150,0,210,133,165,133,225,266,255,266,195,0,510,133,30,266,45,133,120,266,150,266,60,428,503,266,90,578,433,133,345,133,285,585,394,634,376,588,447,266,360,0,30,266,240,133,375,266,120,266,210,17,387,0,90,0,420,266,315,266,225,133,180,0,315,0,270,1476884486
