133,(39-34)*15+15,266,(81-67)*15+15,0,30*15+15,266,(99-67)*15+15,266,(92-67)*15+15,0,2*15+15,133,(55-34)*15+15,266,(85-67)*15+15,266,(70-67)*15+15,0,6*15+15,266,(88-67)*15+15,266,(89-67)*15+15,133,(57-34)*15+15,0,4*15+15,266,(96-67)*15+15,266,(83-67)*15+15,266,(84-67)*15+15,0,25*15+15,133,(62-34)*15+15,266,(90-67)*15+15,266,(98-67)*15+15,133,(46-34)*15+15,133,(44-34)*15+15,133,(42-34)*15+15,266,(76-67)*15+15,133,(36-34)*15+15,0,28*15+15,133,(52-34)*15+15,133,(65-34)*15+15,0,26*15+15,133,(56-34)*15+15,0,15*15+15,266,(97-67)*15+15,133,(54-34)*15+15,266,(68-67)*15+15,0,20*15+15,133,(63-34)*15+15,0,32*15+15,0,27*15+15,266,(80-67)*15+15,266,(74-67)*15+15,0,29*15+15,266,(78-67)*15+15,266,(73-67)*15+15,0,9*15+15,0,16*15+15,266,(71-67)*15+15,0,21*15+15,0,12*15+15,0,18*15+15,0,11*15+15,133,(34-34)*15+15,266,(77-67)*15+15,133,(50-34)*15+15,0,8*15+15,266,(94-67)*15+15,133,(51-34)*15+15,133,(41-34)*15+15,266,(67-67)*15+15,0,5*15+15,0,33*15+15,0,22*15+15,133,(66-34)*15+15,133,(48-34)*15+15,133,(60-34)*15+15,133,(45-34)*15+15,133,(59-34)*15+15,133,(53-34)*15+15,0,19*15+15,0,0*15+15,0,10*15+15,266,(87-67)*15+15,133,(35-34)*15+15,0,3*15+15,266,(93-67)*15+15,133,(58-34)*15+15,0,7*15+15,0,31*15+15,0,17*15+15,133,(47-34)*15+15,133,(61-34)*15+15,0,24*15+15,133,(43-34)*15+15,266,(69-67)*15+15,0,1*15+15,133,(37-34)*15+15,266,(75-67)*15+15,266,(91-67)*15+15,0,14*15+15,133,(49-34)*15+15,266,(95-67)*15+15,266,(72-67)*15+15,133,(40-34)*15+15,0,23*15+15,266,(82-67)*15+15,0,13*15+15,133,(38-34)*15+15,266,(86-67)*15+15,133,(64-34)*15+15,266,(79-67)*15+15,1472056663
133,90,266,225,0,465,266,495,266,390,0,45,133,330,266,285,266,60,0,105,266,330,413,450,133,360,0,75,266,450,266,255,266,270,0,390,133,435,407,469,266,480,133,195,133,165,133,135,266,150,133,45,0,435,133,285,133,480,0,405,133,345,0,240,266,465,133,315,266,30,0,315,133,450,0,495,0,420,266,210,266,120,0,450,266,180,266,105,0,150,0,255,266,75,0,330,0,195,0,285,0,180,133,15,266,165,133,255,0,135,266,420,133,270,133,120,266,15,0,90,0,510,0,345,133,495,133,225,133,405,133,180,133,390,133,300,0,300,0,15,0,165,266,315,133,30,876,505,266,405,133,375,0,120,0,480,0,270,133,210,133,420,0,375,133,150,266,45,0,30,133,60,266,135,266,375,0,225,133,240,266,435,266,90,133,105,0,360,266,240,0,210,133,75,266,300,133,465,266,195,1472056695
133,90,266,225,0,465,266,495,266,390,0,45,133,330,266,285,266,60,0,105,266,330,413,450,133,360,0,75,266,450,266,255,266,270,0,390,133,435,407,469,266,480,133,195,133,165,457,116,266,150,133,45,0,435,133,285,133,480,0,405,133,345,0,240,266,465,133,315,266,30,0,315,133,450,0,495,0,420,266,210,266,120,0,450,266,180,266,105,0,150,0,255,266,75,0,330,0,195,0,285,0,180,133,15,266,165,879,178,0,135,266,420,133,270,133,120,266,15,0,90,0,510,0,345,133,495,133,225,133,405,133,180,133,390,133,300,0,300,0,15,0,165,266,315,133,30,876,505,266,405,845,482,0,120,0,480,0,270,133,210,133,420,0,375,543,100,266,45,0,30,133,60,266,135,266,375,0,225,830,193,266,435,266,90,133,105,0,360,266,240,0,210,133,75,266,300,133,465,266,195,1472056710
133,90,266,225,0,465,266,495,266,390,0,45,133,330,266,285,266,60,0,105,266,330,413,450,133,360,0,75,897,208,266,255,266,270,0,390,133,435,407,469,266,480,133,195,133,165,137,151,266,150,133,45,0,435,133,285,133,480,0,405,133,345,0,240,266,465,133,315,266,30,0,315,133,450,0,495,0,420,266,210,266,120,0,450,266,180,266,105,0,150,0,255,266,75,0,330,0,195,0,285,0,180,133,15,266,165,879,178,0,135,825,174,133,270,566,118,266,15,0,90,0,510,0,345,133,495,133,225,133,405,133,180,133,390,133,300,0,300,0,15,0,165,266,315,133,30,876,505,266,405,845,482,0,120,0,480,0,270,133,210,133,420,0,375,543,100,266,45,0,30,547,80,266,135,266,375,0,225,830,193,266,435,266,90,133,105,0,360,266,240,0,210,464,452,266,300,133,465,266,195,1472056725
133,90,266,225,0,465,266,495,266,390,0,45,133,330,266,285,266,60,0,105,266,330,413,450,133,360,0,75,897,208,266,255,266,270,0,390,133,435,407,469,266,480,133,195,133,165,137,151,266,150,133,45,0,435,133,285,133,480,796,207,133,345,423,432,266,465,133,315,266,30,0,315,133,450,0,495,0,420,266,210,266,120,0,450,266,180,266,105,0,150,0,255,266,75,0,330,0,195,0,285,0,180,133,15,832,150,879,178,0,135,825,174,133,270,566,118,266,15,0,90,0,510,0,345,133,495,133,225,133,405,133,180,133,390,133,300,0,300,0,15,0,165,266,315,133,30,876,505,266,405,845,482,0,120,0,480,0,270,133,210,133,420,0,375,543,100,266,45,0,30,547,80,266,135,266,375,0,225,830,193,266,435,266,90,133,105,0,360,533,127,0,210,464,452,266,300,133,465,266,195,1472056740
133,90,266,225,0,465,266,495,266,390,0,45,133,330,266,285,266,60,0,105,266,330,413,450,133,360,0,75,897,208,266,255,266,270,0,390,133,435,407,469,266,480,133,195,133,165,137,151,266,150,133,45,0,435,133,285,133,480,796,207,133,345,423,432,266,465,133,315,266,30,0,315,133,450,0,495,0,420,266,210,266,120,0,450,266,180,266,105,0,150,0,255,266,75,0,330,0,195,0,285,0,180,133,15,832,150,890,135,0,135,825,174,133,270,566,118,266,15,0,90,814,226,0,345,133,495,133,225,133,405,133,180,133,390,133,300,0,300,0,15,0,165,266,315,133,30,876,505,266,405,845,482,0,120,848,134,0,270,133,210,133,420,0,375,543,100,266,45,0,30,547,80,266,135,266,375,0,225,824,193,266,435,266,90,133,105,0,360,533,127,0,210,464,452,266,300,133,465,266,195,1472056755
133,90,266,225,886,173,266,495,266,390,0,45,133,330,266,285,266,60,0,105,266,330,413,450,133,360,0,75,897,208,266,255,266,270,0,390,133,435,407,469,266,480,133,195,133,165,137,151,266,150,133,45,0,435,133,285,133,480,796,207,133,345,423,432,266,465,133,315,266,30,0,315,133,450,494,410,442,485,266,210,266,120,0,450,266,180,266,105,0,150,0,255,266,75,0,330,0,195,0,285,0,180,133,15,832,150,890,135,0,135,825,174,133,270,566,118,266,15,0,90,814,226,0,345,133,495,133,225,133,405,133,180,133,390,133,300,0,300,0,15,0,165,266,315,133,30,876,505,266,405,845,482,0,120,872,118,0,270,133,210,133,420,0,375,543,100,266,45,0,30,547,80,266,135,266,375,0,225,824,193,266,435,266,90,133,105,0,360,533,127,0,210,464,452,266,300,133,465,266,195,1472056770
133,90,266,225,886,173,266,495,266,390,0,45,133,330,266,285,266,60,414,411,266,330,413,450,133,360,497,469,897,208,266,255,266,270,0,390,133,435,407,469,266,480,133,195,133,165,137,151,266,150,133,45,0,435,133,285,133,480,796,207,133,345,423,432,266,465,133,315,266,30,0,315,133,450,494,410,442,485,266,210,266,120,0,450,266,180,266,105,0,150,0,255,266,75,0,330,0,195,0,285,0,180,133,15,832,150,890,135,798,162,825,174,133,270,566,118,266,15,518,453,814,226,0,345,133,495,133,225,133,405,133,180,133,390,133,300,0,300,147,90,0,165,266,315,133,30,876,505,266,405,845,482,0,120,872,118,0,270,133,210,133,420,0,375,543,100,266,45,0,30,547,80,266,135,266,375,0,225,824,193,266,435,266,90,133,105,0,360,533,127,0,210,464,452,266,300,133,465,266,195,1472056785
515,302,266,225,886,173,266,495,266,390,443,395,133,330,266,285,266,60,414,411,266,330,413,450,133,360,497,469,897,208,266,255,266,270,0,390,133,435,407,469,266,480,133,195,133,165,137,151,266,150,133,45,0,435,133,285,133,480,796,207,133,345,423,432,266,465,133,315,266,30,0,315,133,450,494,410,442,485,266,210,266,120,0,450,266,180,266,105,0,150,0,255,266,75,0,330,0,195,0,285,0,180,133,15,832,150,890,135,798,162,825,174,133,270,566,118,266,15,518,453,814,226,0,345,133,495,133,225,133,405,133,180,133,390,133,300,0,300,795,500,0,165,266,315,133,30,876,505,266,405,845,482,569,63,872,118,0,270,133,210,133,420,0,375,543,100,266,45,594,53,547,80,266,135,266,375,0,225,824,193,266,435,266,90,133,105,0,360,533,127,0,210,464,452,266,300,133,465,266,195,1472056800
519,488,266,225,886,173,266,495,266,390,443,395,133,330,266,285,266,60,414,411,266,330,413,450,133,360,497,469,897,208,266,255,266,270,0,390,133,435,407,469,266,480,743,193,133,165,137,151,266,150,133,45,0,435,133,285,133,480,796,207,133,345,423,432,266,465,133,315,266,30,0,315,133,450,494,410,442,485,266,210,266,120,0,450,266,180,266,105,0,150,0,255,266,75,0,330,0,195,0,285,0,180,133,15,832,150,890,135,798,162,825,174,133,270,566,118,266,15,518,453,814,226,0,345,133,495,902,465,133,405,133,180,133,390,510,287,0,300,795,500,0,165,266,315,133,30,876,505,266,405,845,482,569,63,872,118,0,270,133,210,133,420,0,375,543,100,266,45,594,53,547,80,266,135,266,375,0,225,824,193,266,435,266,90,133,105,0,360,533,127,0,210,464,452,266,300,133,465,266,195,1472056815
519,488,466,386,886,173,266,495,266,390,443,395,133,330,266,285,266,60,414,411,407,502,413,450,133,360,497,469,897,208,266,255,266,270,0,390,133,435,407,469,266,480,743,193,133,165,137,151,266,150,133,45,0,435,133,285,133,480,796,207,133,345,423,432,266,465,133,315,266,30,0,315,133,450,494,410,442,485,266,210,266,120,0,450,266,180,266,105,0,150,0,255,266,75,0,330,0,195,0,285,0,180,133,15,832,150,890,135,798,162,825,174,133,270,566,118,266,15,518,453,814,226,0,345,133,495,902,465,133,405,133,180,133,390,806,465,0,300,795,500,0,165,266,315,133,30,876,505,266,405,845,482,569,63,872,118,0,270,133,210,133,420,0,375,543,100,266,45,594,53,547,80,266,135,266,375,0,225,824,193,266,435,266,90,133,105,0,360,533,127,0,210,464,452,266,300,133,465,266,195,1472056830
