266,(80-67)*15+15,0,22*15+15,0,0*15+15,266,(81-67)*15+15,133,(64-34)*15+15,133,(57-34)*15+15,0,32*15+15,133,(36-34)*15+15,0,29*15+15,0,4*15+15,0,8*15+15,266,(95-67)*15+15,0,27*15+15,0,11*15+15,133,(53-34)*15+15,0,13*15+15,0,31*15+15,266,(76-67)*15+15,266,(91-67)*15+15,133,(60-34)*15+15,266,(98-67)*15+15,133,(59-34)*15+15,133,(50-34)*15+15,0,18*15+15,0,1*15+15,0,19*15+15,0,24*15+15,133,(34-34)*15+15,266,(96-67)*15+15,0,17*15+15,133,(51-34)*15+15,0,23*15+15,266,(85-67)*15+15,0,26*15+15,266,(68-67)*15+15,266,(88-67)*15+15,0,16*15+15,0,12*15+15,0,25*15+15,0,30*15+15,133,(56-34)*15+15,133,(38-34)*15+15,266,(78-67)*15+15,266,(94-67)*15+15,133,(54-34)*15+15,133,(35-34)*15+15,0,33*15+15,0,28*15+15,266,(70-67)*15+15,133,(40-34)*15+15,133,(39-34)*15+15,133,(48-34)*15+15,0,15*15+15,266,(82-67)*15+15,133,(47-34)*15+15,266,(90-67)*15+15,266,(99-67)*15+15,266,(97-67)*15+15,266,(73-67)*15+15,133,(45-34)*15+15,133,(42-34)*15+15,266,(75-67)*15+15,133,(49-34)*15+15,133,(65-34)*15+15,0,21*15+15,133,(41-34)*15+15,266,(74-67)*15+15,133,(46-34)*15+15,266,(67-67)*15+15,133,(52-34)*15+15,133,(63-34)*15+15,0,10*15+15,0,20*15+15,0,7*15+15,133,(37-34)*15+15,0,2*15+15,266,(84-67)*15+15,266,(69-67)*15+15,266,(92-67)*15+15,266,(72-67)*15+15,266,(87-67)*15+15,133,(55-34)*15+15,0,5*15+15,266,(93-67)*15+15,266,(71-67)*15+15,133,(44-34)*15+15,266,(86-67)*15+15,133,(43-34)*15+15,133,(58-34)*15+15,0,6*15+15,266,(89-67)*15+15,0,3*15+15,133,(66-34)*15+15,0,14*15+15,0,9*15+15,133,(61-34)*15+15,133,(62-34)*15+15,266,(79-67)*15+15,266,(77-67)*15+15,266,(83-67)*15+15,1464593251
266,210,0,345,0,15,266,225,133,465,133,360,0,495,133,45,0,450,0,75,0,135,266,435,0,420,0,180,133,300,0,210,0,480,266,150,266,375,133,405,266,480,133,390,133,255,0,285,0,30,0,300,0,375,133,15,266,450,0,270,133,270,0,360,266,285,0,405,266,30,266,330,0,255,0,195,0,390,0,465,133,345,133,75,266,180,266,420,133,315,133,30,0,510,0,435,266,60,133,105,133,90,133,225,0,240,266,240,133,210,266,360,266,495,266,465,266,105,133,180,133,135,266,135,133,240,133,480,0,330,133,120,266,120,133,195,266,15,133,285,133,450,0,165,0,315,0,120,133,60,0,45,266,270,266,45,266,390,266,90,266,315,133,330,0,90,266,405,266,75,133,165,266,300,133,150,133,375,0,105,266,345,0,60,133,495,0,225,0,150,133,420,133,435,266,195,266,165,266,255,1464593295
266,210,0,345,0,15,266,225,133,465,133,360,0,495,133,45,0,450,0,75,0,135,266,435,0,420,0,180,133,300,0,210,0,480,266,150,266,375,133,405,480,133,133,390,133,255,0,285,0,30,0,300,0,375,133,15,266,450,0,270,133,270,0,360,266,285,0,405,266,30,266,330,0,255,0,195,0,390,0,465,133,345,133,75,266,180,266,420,133,315,133,30,0,510,0,435,266,60,133,105,133,90,133,225,0,240,266,240,133,210,266,360,266,495,266,465,266,105,133,180,425,590,266,135,133,240,133,480,0,330,133,120,266,120,133,195,266,15,133,285,133,450,0,165,0,315,0,120,133,60,0,45,266,270,266,45,266,390,266,90,266,315,133,330,0,90,266,405,266,75,133,165,266,300,133,150,133,375,0,105,266,345,0,60,133,495,0,225,0,150,133,420,133,435,266,195,266,165,266,255,1464593310
266,210,0,345,0,15,266,225,133,465,133,360,0,495,133,45,0,450,0,75,0,135,266,435,0,420,0,180,133,300,0,210,0,480,266,150,266,375,133,405,480,133,133,390,133,255,0,285,0,30,0,300,0,375,133,15,266,450,0,270,133,270,0,360,266,285,0,405,266,30,266,330,0,255,0,195,0,390,0,465,133,345,133,75,266,180,266,420,133,315,133,30,0,510,0,435,266,60,133,105,133,90,132,226,0,240,266,240,491,64,266,360,266,495,266,465,266,105,133,180,441,586,266,135,133,240,133,480,0,330,133,120,266,120,133,195,266,15,133,285,133,450,0,165,0,315,0,120,133,60,0,45,266,270,266,45,266,390,266,90,266,315,133,330,0,90,266,405,266,75,133,165,266,300,133,150,133,375,0,105,266,345,0,60,133,495,0,225,0,150,133,420,133,435,266,195,266,165,266,255,1464593325
266,210,0,345,0,15,266,225,133,465,889,191,0,495,133,45,0,450,0,75,0,135,266,435,0,420,0,180,133,300,0,210,0,480,266,150,266,375,133,405,480,133,133,390,133,255,0,285,0,30,0,300,0,375,133,15,266,450,0,270,133,270,741,211,266,285,0,405,266,30,266,330,0,255,0,195,0,390,0,465,133,345,133,75,266,180,266,420,133,315,133,30,0,510,0,435,266,60,133,105,133,90,132,226,0,240,266,240,464,57,266,360,266,495,266,465,266,105,133,180,441,586,266,135,133,240,133,480,0,330,133,120,266,120,133,195,266,15,133,285,133,450,0,165,0,315,0,120,133,60,0,45,266,270,266,45,266,390,266,90,266,315,133,330,0,90,266,405,266,75,133,165,266,300,133,150,133,375,0,105,266,345,0,60,133,495,0,225,0,150,133,420,133,435,266,195,266,165,266,255,1464593340
266,210,0,345,0,15,266,225,133,465,889,191,0,495,133,45,0,450,0,75,0,135,266,435,0,420,0,180,133,300,0,210,0,480,266,150,266,375,133,405,480,133,133,390,133,255,0,285,0,30,0,300,0,375,133,15,266,450,0,270,133,270,887,291,266,285,0,405,266,30,266,330,0,255,0,195,0,390,0,465,133,345,133,75,266,180,266,420,133,315,133,30,0,510,0,435,266,60,133,105,133,90,132,226,0,240,266,240,464,57,266,360,266,495,266,465,266,105,133,180,441,586,266,135,133,240,133,480,0,330,133,120,266,120,133,195,266,15,133,285,133,450,0,165,0,315,0,120,133,60,0,45,266,270,266,45,266,390,266,90,266,315,133,330,0,90,266,405,266,75,757,107,266,300,133,150,133,375,0,105,266,345,0,60,133,495,0,225,0,150,133,420,133,435,266,195,266,165,266,255,1464593355
266,210,0,345,0,15,266,225,133,465,889,191,0,495,133,45,0,450,0,75,0,135,266,435,0,420,0,180,133,300,0,210,0,480,266,150,266,375,133,405,480,133,133,390,133,255,0,285,0,30,0,300,0,375,133,15,266,450,0,270,133,270,887,291,266,285,0,405,266,30,266,330,0,255,0,195,0,390,0,465,133,345,133,75,266,180,266,420,133,315,133,30,0,510,0,435,266,60,133,105,133,90,132,226,0,240,266,240,464,57,266,360,266,495,266,465,266,105,133,180,441,586,266,135,133,240,133,480,0,330,133,120,266,120,475,472,266,15,133,285,133,450,0,165,0,315,0,120,133,60,0,45,266,270,266,45,266,390,266,90,266,315,133,330,0,90,266,405,266,75,757,107,266,300,133,150,133,375,0,105,266,345,0,60,133,495,0,225,0,150,133,420,133,435,266,195,266,165,266,255,1464593370
889,350,0,345,0,15,266,225,133,465,889,191,0,495,133,45,0,450,0,75,0,135,266,435,0,420,0,180,133,300,0,210,0,480,266,150,266,375,133,405,480,133,133,390,133,255,0,285,0,30,0,300,0,375,133,15,266,450,0,270,133,270,887,291,266,285,0,405,266,30,266,330,0,255,0,195,0,390,0,465,133,345,133,75,266,180,266,420,133,315,133,30,0,510,0,435,266,60,133,105,133,90,132,226,0,240,266,240,464,57,266,360,266,495,266,465,266,105,133,180,441,586,266,135,133,240,133,480,0,330,133,120,266,120,478,497,501,513,133,285,133,450,0,165,0,315,0,120,133,60,0,45,266,270,266,45,266,390,266,90,266,315,133,330,0,90,266,405,266,75,757,107,266,300,133,150,133,375,0,105,266,345,0,60,133,495,0,225,0,150,133,420,133,435,706,157,266,165,266,255,1464593385
898,320,0,345,0,15,964,117,133,465,889,191,0,495,133,45,0,450,0,75,0,135,266,435,0,420,0,180,133,300,0,210,0,480,266,150,266,375,133,405,480,133,133,390,133,255,0,285,0,30,0,300,0,375,133,15,266,450,0,270,133,270,887,291,266,285,0,405,266,30,266,330,0,255,0,195,0,390,0,465,133,345,133,75,266,180,266,420,133,315,133,30,0,510,0,435,266,60,133,105,133,90,132,226,0,240,643,68,464,57,266,360,266,495,266,465,266,105,133,180,441,586,266,135,133,240,133,480,0,330,133,120,266,120,478,497,501,513,133,285,133,450,0,165,0,315,0,120,133,60,0,45,266,270,266,45,266,390,266,90,266,315,133,330,0,90,266,405,266,75,757,107,266,300,133,150,133,375,0,105,266,345,0,60,133,495,0,225,0,150,133,420,133,435,706,157,266,165,266,255,1464593400
898,320,0,345,425,280,964,117,133,465,889,191,0,495,133,45,0,450,0,75,0,135,266,435,0,420,0,180,133,300,0,210,0,480,266,150,266,375,133,405,480,133,133,390,133,255,0,285,0,30,0,300,0,375,133,15,266,450,0,270,133,270,887,291,266,285,0,405,266,30,266,330,0,255,0,195,0,390,0,465,133,345,133,75,266,180,266,420,133,315,133,30,0,510,0,435,266,60,133,105,133,90,132,226,0,240,643,68,464,57,266,360,266,495,266,465,266,105,133,180,441,586,266,135,133,240,133,480,0,330,133,120,266,120,478,497,501,513,133,285,133,450,0,165,0,315,0,120,133,60,0,45,266,270,266,45,266,390,266,90,266,315,133,330,0,90,266,405,266,75,757,107,266,300,133,150,133,375,0,105,266,345,0,60,133,495,0,225,0,150,133,420,133,435,706,157,266,165,266,255,1464593415
898,320,0,345,438,310,964,117,133,465,889,191,0,495,133,45,0,450,0,75,0,135,266,435,0,420,0,180,133,300,0,210,0,480,266,150,266,375,133,405,480,133,133,390,133,255,0,285,0,30,0,300,0,375,133,15,266,450,0,270,133,270,887,291,266,285,0,405,266,30,266,330,911,17,0,195,0,390,0,465,133,345,133,75,266,180,266,420,133,315,133,30,0,510,0,435,266,60,133,105,133,90,132,226,0,240,643,68,464,57,266,360,266,495,266,465,266,105,133,180,441,586,266,135,133,240,133,480,0,330,133,120,266,120,478,497,501,513,133,285,133,450,0,165,0,315,0,120,133,60,0,45,266,270,266,45,266,390,266,90,266,315,133,330,0,90,266,405,266,75,757,107,266,300,133,150,133,375,0,105,266,345,0,60,133,495,0,225,0,150,133,420,133,435,706,157,266,165,266,255,1464593430
