133,(49-34)*15+15,266,(81-67)*15+15,133,(63-34)*15+15,266,(92-67)*15+15,0,3*15+15,133,(43-34)*15+15,133,(57-34)*15+15,0,29*15+15,0,32*15+15,266,(70-67)*15+15,0,8*15+15,133,(44-34)*15+15,266,(96-67)*15+15,0,4*15+15,0,16*15+15,0,30*15+15,266,(76-67)*15+15,133,(40-34)*15+15,266,(95-67)*15+15,266,(72-67)*15+15,0,11*15+15,266,(94-67)*15+15,0,23*15+15,266,(67-67)*15+15,133,(64-34)*15+15,133,(60-34)*15+15,266,(75-67)*15+15,266,(71-67)*15+15,266,(69-67)*15+15,266,(86-67)*15+15,133,(65-34)*15+15,266,(68-67)*15+15,266,(74-67)*15+15,133,(53-34)*15+15,133,(36-34)*15+15,0,18*15+15,0,19*15+15,266,(84-67)*15+15,0,13*15+15,133,(59-34)*15+15,266,(78-67)*15+15,0,21*15+15,0,28*15+15,266,(89-67)*15+15,133,(51-34)*15+15,0,7*15+15,133,(54-34)*15+15,0,2*15+15,133,(37-34)*15+15,133,(55-34)*15+15,0,26*15+15,266,(87-67)*15+15,133,(61-34)*15+15,0,6*15+15,0,25*15+15,133,(50-34)*15+15,133,(56-34)*15+15,266,(77-67)*15+15,0,20*15+15,0,1*15+15,266,(73-67)*15+15,0,22*15+15,266,(80-67)*15+15,0,15*15+15,266,(93-67)*15+15,0,17*15+15,266,(98-67)*15+15,266,(97-67)*15+15,133,(52-34)*15+15,133,(58-34)*15+15,0,27*15+15,133,(46-34)*15+15,133,(45-34)*15+15,133,(35-34)*15+15,266,(82-67)*15+15,133,(62-34)*15+15,266,(91-67)*15+15,266,(90-67)*15+15,133,(41-34)*15+15,0,0*15+15,0,9*15+15,0,33*15+15,0,24*15+15,133,(42-34)*15+15,0,10*15+15,133,(39-34)*15+15,133,(48-34)*15+15,266,(85-67)*15+15,133,(38-34)*15+15,266,(88-67)*15+15,266,(79-67)*15+15,0,31*15+15,133,(66-34)*15+15,266,(83-67)*15+15,0,5*15+15,0,14*15+15,133,(47-34)*15+15,133,(34-34)*15+15,266,(99-67)*15+15,0,12*15+15,1472284804
133,240,266,225,133,450,266,390,0,60,133,150,133,360,0,450,0,495,266,60,0,135,133,165,266,450,0,75,0,255,0,465,266,150,133,105,266,435,266,90,0,180,266,420,0,360,266,15,133,465,133,405,266,135,266,75,266,45,266,300,133,480,266,30,266,120,133,300,133,45,0,285,0,300,266,270,0,210,133,390,266,180,0,330,0,435,266,345,133,270,0,120,133,315,0,45,133,60,133,330,0,405,266,315,133,420,0,105,0,390,133,255,133,345,266,165,0,315,0,30,266,105,0,345,266,210,0,240,266,405,0,270,266,480,266,465,133,285,133,375,0,420,133,195,133,180,133,30,266,240,133,435,266,375,266,360,133,120,0,15,0,150,0,510,0,375,133,135,0,165,133,90,133,225,266,285,133,75,266,330,266,195,0,480,133,495,266,255,0,90,0,225,133,210,133,15,266,495,0,195,1472284847
133,240,266,225,133,450,266,390,0,60,133,150,133,360,0,450,0,495,266,60,0,135,133,165,266,450,0,75,0,255,0,465,266,150,133,105,266,435,266,90,0,180,266,420,0,360,266,15,133,465,133,405,424,44,266,75,266,45,266,300,133,480,266,30,266,120,133,300,133,45,0,285,0,300,266,270,0,210,133,390,266,180,0,330,0,435,266,345,133,270,0,120,133,315,0,45,133,60,133,330,0,405,266,315,133,420,0,105,0,390,133,255,133,345,266,165,0,315,0,30,266,105,0,345,266,210,0,240,266,405,0,270,266,480,266,465,133,285,133,375,0,420,133,195,133,180,133,30,266,240,133,435,266,375,266,360,133,120,0,15,0,150,0,510,0,375,133,135,0,165,133,90,133,225,266,285,133,75,266,330,266,195,0,480,133,495,266,255,0,90,0,225,133,210,133,15,266,495,0,195,1472284862
133,240,266,225,133,450,266,390,0,60,133,150,133,360,0,450,0,495,266,60,0,135,133,165,266,450,0,75,0,255,0,465,266,150,133,105,266,435,266,90,0,180,266,420,0,360,266,15,132,466,133,405,648,48,266,75,266,45,266,300,133,480,266,30,266,120,133,300,133,45,0,285,0,300,266,270,0,210,133,390,266,180,0,330,0,435,266,345,133,270,0,120,133,315,0,45,133,60,133,330,0,405,266,315,133,420,0,105,0,390,133,255,133,345,266,165,0,315,0,30,266,105,0,345,266,210,0,240,266,405,0,270,266,480,266,465,133,285,133,375,0,420,133,195,133,180,133,30,266,240,133,435,266,375,266,360,133,120,0,15,0,150,0,510,0,375,133,135,0,165,133,90,133,225,266,285,133,75,266,330,266,195,0,480,133,495,266,255,0,90,0,225,133,210,133,15,266,495,0,195,1472284877
133,240,266,225,613,23,266,390,0,60,133,150,133,360,0,450,0,495,266,60,0,135,133,165,266,450,0,75,0,255,0,465,266,150,133,105,266,435,266,90,0,180,266,420,0,360,266,15,132,466,133,405,648,48,266,75,266,45,266,300,133,480,266,30,266,120,133,300,133,45,0,285,0,300,266,270,0,210,133,390,266,180,0,330,0,435,266,345,133,270,0,120,133,315,0,45,133,60,133,330,0,405,266,315,133,420,657,136,0,390,133,255,133,345,266,165,0,315,0,30,266,105,0,345,266,210,0,240,266,405,692,23,266,480,266,465,133,285,133,375,0,420,133,195,133,180,133,30,266,240,133,435,266,375,266,360,133,120,0,15,0,150,0,510,0,375,133,135,0,165,133,90,133,225,266,285,133,75,266,330,266,195,0,480,133,495,266,255,0,90,0,225,133,210,133,15,266,495,0,195,1472284892
133,240,266,225,613,23,266,390,0,60,133,150,133,360,0,450,0,495,266,60,0,135,133,165,266,450,0,75,691,84,0,465,266,150,133,105,266,435,266,90,0,180,266,420,0,360,266,15,132,466,133,405,648,48,266,75,266,45,266,300,133,480,266,30,266,120,133,300,133,45,0,285,0,300,266,270,0,210,133,390,266,180,0,330,0,435,266,345,133,270,0,120,133,315,0,45,133,60,133,330,0,405,266,315,133,420,657,136,0,390,133,255,133,345,266,165,0,315,0,30,266,105,0,345,266,210,0,240,266,405,269,135,266,480,266,465,133,285,133,375,0,420,133,195,133,180,133,30,266,240,133,435,266,375,266,360,133,120,0,15,0,150,0,510,0,375,133,135,0,165,133,90,133,225,266,285,133,75,266,330,266,195,0,480,133,495,266,255,0,90,0,225,133,210,133,15,266,495,0,195,1472284907
133,240,266,225,613,23,266,390,0,60,133,150,133,360,0,450,0,495,266,60,0,135,133,165,705,536,0,75,691,84,0,465,266,150,133,105,566,14,266,90,0,180,266,420,0,360,266,15,132,466,133,405,648,48,266,75,266,45,266,300,133,480,266,30,266,120,133,300,133,45,673,567,0,300,266,270,0,210,133,390,266,180,0,330,0,435,266,345,133,270,0,120,133,315,0,45,133,60,133,330,0,405,266,315,133,420,657,136,0,390,133,255,133,345,266,165,0,315,0,30,266,105,0,345,266,210,0,240,266,405,269,135,266,480,266,465,133,285,133,375,0,420,133,195,133,180,133,30,266,240,133,435,266,375,266,360,133,120,0,15,0,150,0,510,0,375,133,135,0,165,133,90,133,225,266,285,133,75,266,330,266,195,0,480,133,495,266,255,0,90,0,225,133,210,133,15,266,495,0,195,1472284922
133,240,266,225,613,23,266,390,0,60,133,150,133,360,0,450,0,495,638,495,0,135,133,165,705,536,0,75,691,84,0,465,266,150,133,105,548,49,266,90,0,180,266,420,0,360,266,15,132,466,133,405,648,48,606,72,584,529,266,300,133,480,266,30,266,120,133,300,133,45,673,567,0,300,266,270,0,210,133,390,266,180,0,330,0,435,266,345,133,270,0,120,133,315,0,45,133,60,133,330,0,405,637,305,133,420,657,136,0,390,133,255,133,345,266,165,0,315,0,30,266,105,0,345,266,210,0,240,266,405,269,135,266,480,266,465,133,285,133,375,0,420,133,195,133,180,133,30,266,240,133,435,266,375,266,360,133,120,0,15,0,150,0,510,0,375,133,135,0,165,133,90,133,225,266,285,133,75,266,330,266,195,0,480,133,495,266,255,0,90,0,225,133,210,133,15,266,495,0,195,1472284937
133,240,266,225,613,23,266,390,0,60,133,150,133,360,0,450,0,495,638,495,0,135,133,165,705,536,0,75,691,84,0,465,266,150,133,105,548,49,266,90,0,180,444,298,0,360,266,15,132,466,133,405,648,48,606,72,584,529,266,300,133,480,266,30,266,120,133,300,133,45,673,567,0,300,266,270,0,210,133,390,266,180,0,330,0,435,266,345,133,270,0,120,133,315,0,45,133,60,133,330,0,405,637,299,133,420,657,136,0,390,133,255,133,345,266,165,0,315,0,30,266,105,0,345,266,210,0,240,266,405,269,135,749,115,555,109,133,285,133,375,0,420,133,195,133,180,133,30,266,240,133,435,266,375,266,360,133,120,0,15,0,150,0,510,0,375,133,135,0,165,133,90,133,225,266,285,133,75,266,330,266,195,0,480,133,495,266,255,0,90,0,225,133,210,133,15,778,92,0,195,1472284952
133,240,266,225,613,23,592,566,0,60,133,150,133,360,0,450,0,495,638,495,0,135,133,165,705,536,0,75,691,84,0,465,266,150,133,105,548,49,540,507,0,180,444,298,0,360,266,15,132,466,133,405,648,48,606,72,584,529,266,300,133,480,266,30,266,120,133,300,133,45,673,567,0,300,595,547,0,210,133,390,266,180,0,330,0,435,511,67,133,270,0,120,133,315,0,45,133,60,133,330,0,405,637,299,133,420,657,136,0,390,520,116,133,345,266,165,0,315,0,30,266,105,0,345,266,210,0,240,266,405,269,135,749,115,555,109,133,285,133,375,0,420,133,195,133,180,133,30,266,240,133,435,266,375,266,360,133,120,0,15,0,150,0,510,0,375,133,135,0,165,133,90,133,225,266,285,133,75,266,330,266,195,0,480,133,495,266,255,0,90,0,225,133,210,133,15,778,92,0,195,1472284967
521,419,266,225,613,23,592,566,0,60,540,549,133,360,0,450,0,495,638,495,0,135,525,561,705,536,0,75,691,84,0,465,266,150,133,105,548,49,540,507,0,180,444,298,0,360,266,15,132,466,133,405,648,48,606,72,584,529,266,300,133,480,266,30,266,120,133,300,133,45,673,567,0,300,595,547,0,210,133,390,266,180,0,330,0,435,511,67,133,270,0,120,133,315,0,45,133,60,133,330,0,405,637,299,133,420,657,136,0,390,487,111,133,345,266,165,0,315,0,30,266,105,0,345,266,210,0,240,266,405,269,135,749,115,555,109,133,285,133,375,0,420,133,195,133,180,133,30,266,240,133,435,266,375,266,360,133,120,0,15,0,150,0,510,0,375,133,135,0,165,133,90,133,225,266,285,133,75,266,330,266,195,0,480,133,495,266,255,0,90,0,225,633,407,133,15,778,92,0,195,1472284982
