Key|Finnish
welcome|Kysely tuntemuksista kehossa ja mielessä
welcome_text|Tässä kokeessa tutkimme sitä, kuinka paljon erilaiset tuntemukset, olotilat ja tapahtumat  koetaan mielessä ja kehossa. Sinulle esitetään lista erilaisia tuntemuksia ja olotiloja. Tehtävänäsi on arvioida kuinka voimakkaasti kukin näistä tuntuu kehossasi ja mielessäsi. Huomaa että voit vastata kokevasi samaa asiaa sekä kehossa että mielessä. 
<br><br>
Tämän lisäksi sinua pyydetään arvioimaan, kuinka miellyttävältä nämä tuntemukset ja olotilat tuntuvat, kuinka usein koet niitä, ja kuinka paljon voit itse vaikuttaa niihin. Lomakkeen täyttämiseen menee noin 10 minuuttia,. 
<br><br>
Tutkimukseen osallistuminen on vapaaehtoista ja voit keskeyttää kokeen milloin tahansa. Kaikkea tutkimuksessa kerättyä tietoa käsitellään ainoastaan tutkimusryhmän jäsenten toimesta. Sinua ei voida tunnistaa vastaustesi perusteella. Tutkimuksen toteuttavat Lauri Nummenmaa, Enrico Glerean, Riitta Hari (Aalto-yliopisto), Mikko Sams (Aalto-yliopisto) ja Jari Hietanen (Tampereen yliopisto).
<br><br>
Lisätietoja: Enrico Glerean (eglerean@aalto.fi)

start|<a href="informedconsent.php">Aloita koe t&auml;st&auml;"</a>
continue|Tai jatka aiemmin aloitettua koetta antamalla k&auml;ytt&auml;j&auml;tunnuksesi
thank-you|Olet suorittanut kaikki arvioinnit; suuri kiitos osallistumisesta!
instructions|
consent_title|Suostumuslomake
exp_title|Kysely tuntemuksista kehossa ja mielessä
cons_form_link|Lue tutkimustiedote <a href ='pdfs/sensations_consent_FI.pdf' target='_blank'>tästä</a>.
consent_txt1|<br><br> Ennen tämän suostumuksen antamista olen lukenut ja ymmärtänyt saamani tutkimustiedotteen; sekä saanut riittävästi tietoa tutkimuksen kulusta. Minulle on selvitetty; että minusta kerättäviä tutkimustietoja tullaan käsittelemään luottamuksellisina siten; että niistä ei voida tunnistaa henkilöllisyyttäni. Ymmärrän; että osallistumiseni tutkimukseen on täysin vapaaehtoista ja että voin missä tutkimuksen vaiheessa tahansa keskeyttää tutkimuksen antamatta perustetta. Minulle on lisäksi selvitetty; että halutessani saan tutkimustiedotteessa nimetyltä tutkijalta lisätietoja tutkimuksen yleisistä periaatteista ja edistymisestä. Ymmärrän; että aineistoa kerätään pelkästään tieteellistä tutkimusta varten eikä sitä luovuteta osittainkaan koehenkilölle itselleen.<br>Klikkaamalla alla olevaa painiketta annan suostumukseni tutkimuksen yhteydessä tapahtuvaan tietojen keräämiseen ja niiden käsittelyyn tiedotteessa kuvatulla tavalla.
accept|HYVÄKSYN
consent_txt2|Tästä elektronisesta suostumuksesta säilytetään digitaalinen merkintä tutkimuksesta vastaavan tutkijan tiedostoissa.
sub_ID|koehenkilötunnuksesi:
done_perc|Valmiina:
uid_error|UserID ##user## does not exist. <a href="index.php">go back</a> 
title|Kysely tuntemuksista kehossa ja mielessä
rating_title|Kysely tuntemuksista kehossa ja mielessä
instr_title|Ohjeet
instructions|instructions_FI.txt
forward|valmis
rp_title|Rekisteröidy
